 Location:  2S 125W  27 Sep 1992 to 15 May 2012 ( 7171 times, 15 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 27 Sep 1992 to 1200 27 Sep 1992 (index     1 to     1,    1 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19920927 1200  84.56 2
 Time: 1200  9 Oct 1992 to 1200 24 Oct 1992 (index    13 to    28,   16 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19921009 1200  84.11 2
 19921010 1200  82.31 2
 19921011 1200  87.11 2
 19921012 1200  93.58 2
 19921013 1200 107.99 2
 19921014 1200 104.60 2
 19921015 1200 106.78 2
 19921016 1200  90.71 2
 19921017 1200  91.58 2
 19921018 1200  96.04 2
 19921019 1200 102.74 2
 19921020 1200  96.95 2
 19921021 1200  90.23 2
 19921022 1200  87.12 2
 19921023 1200  87.09 2
 19921024 1200  85.22 2
 Time: 1200  4 Nov 1992 to 1200  1 Jun 1993 (index    39 to   248,  210 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19921104 1200  87.19 2
 19921105 1200  86.44 2
 19921106 1200  84.54 2
 19921107 1200  89.90 2
 19921108 1200  92.12 2
 19921109 1200 107.32 2
 19921110 1200 111.97 2
 19921111 1200 110.10 2
 19921112 1200 105.69 2
 19921113 1200  89.53 2
 19921114 1200  94.32 2
 19921115 1200 104.39 2
 19921116 1200  97.33 2
 19921117 1200  92.82 2
 19921118 1200  82.70 2
 19921119 1200  92.61 2
 19921120 1200  95.96 2
 19921121 1200  99.34 2
 19921122 1200  98.94 2
 19921123 1200 102.94 2
 19921124 1200 103.39 2
 19921125 1200  97.14 2
 19921126 1200 101.10 2
 19921127 1200 101.09 2
 19921128 1200 104.54 2
 19921129 1200 108.86 2
 19921130 1200  99.27 2
 19921201 1200  95.69 2
 19921202 1200  92.92 2
 19921203 1200 100.81 2
 19921204 1200 100.83 2
 19921205 1200  94.42 2
 19921206 1200 108.69 2
 19921207 1200 109.64 2
 19921208 1200 116.88 2
 19921209 1200 118.01 2
 19921210 1200 114.70 2
 19921211 1200 115.96 2
 19921212 1200 122.50 2
 19921213 1200 116.49 2
 19921214 1200 109.20 2
 19921215 1200 114.83 2
 19921216 1200 123.41 2
 19921217 1200 129.27 2
 19921218 1200 134.82 2
 19921219 1200 129.26 2
 19921220 1200 126.99 2
 19921221 1200 129.95 2
 19921222 1200 131.74 2
 19921223 1200 122.54 2
 19921224 1200 117.13 2
 19921225 1200 127.30 2
 19921226 1200 123.71 2
 19921227 1200 117.11 2
 19921228 1200 110.77 2
 19921229 1200 107.76 2
 19921230 1200 107.22 2
 19921231 1200 109.06 2
 19930101 1200 105.14 2
 19930102 1200 101.31 2
 19930103 1200 101.21 2
 19930104 1200 105.33 2
 19930105 1200 105.05 2
 19930106 1200 103.98 2
 19930107 1200 106.55 2
 19930108 1200 107.99 2
 19930109 1200 101.69 2
 19930110 1200  93.88 2
 19930111 1200 110.93 2
 19930112 1200 116.87 2
 19930113 1200 112.50 2
 19930114 1200 113.51 2
 19930115 1200 110.12 2
 19930116 1200 103.57 2
 19930117 1200 109.64 2
 19930118 1200 111.10 2
 19930119 1200 102.30 2
 19930120 1200 106.03 2
 19930121 1200 111.05 2
 19930122 1200 117.30 2
 19930123 1200 114.43 2
 19930124 1200 113.58 2
 19930125 1200 103.24 2
 19930126 1200 114.69 2
 19930127 1200 110.11 2
 19930128 1200 110.41 2
 19930129 1200 106.94 2
 19930130 1200  98.44 2
 19930131 1200 107.15 2
 19930201 1200 113.44 2
 19930202 1200 122.77 2
 19930203 1200 120.09 2
 19930204 1200 116.58 2
 19930205 1200 120.43 2
 19930206 1200 114.12 2
 19930207 1200 111.76 2
 19930208 1200 114.90 2
 19930209 1200 114.98 2
 19930210 1200 115.57 2
 19930211 1200 110.53 2
 19930212 1200 114.09 2
 19930213 1200 115.93 2
 19930214 1200 111.95 2
 19930215 1200  99.91 2
 19930216 1200 106.54 2
 19930217 1200 103.46 2
 19930218 1200  96.31 2
 19930219 1200  95.39 2
 19930220 1200  95.20 2
 19930221 1200  94.14 2
 19930222 1200  91.82 2
 19930223 1200  99.86 2
 19930224 1200 103.00 2
 19930225 1200  94.09 2
 19930226 1200 109.66 2
 19930227 1200 105.40 2
 19930228 1200 102.52 2
 19930301 1200 114.63 2
 19930302 1200 115.22 2
 19930303 1200 107.12 2
 19930304 1200  97.01 2
 19930305 1200 106.50 2
 19930306 1200 111.16 2
 19930307 1200 101.97 2
 19930308 1200  99.02 2
 19930309 1200  90.23 2
 19930310 1200  98.56 2
 19930311 1200  99.10 2
 19930312 1200  97.18 2
 19930313 1200 101.28 2
 19930314 1200  92.03 2
 19930315 1200  91.02 2
 19930316 1200  99.69 2
 19930317 1200  99.11 2
 19930318 1200  86.47 2
 19930319 1200  90.47 2
 19930320 1200  91.88 2
 19930321 1200  87.39 2
 19930322 1200  93.17 2
 19930323 1200  92.32 2
 19930324 1200  90.73 2
 19930325 1200  91.39 2
 19930326 1200  93.11 2
 19930327 1200 109.44 2
 19930328 1200 106.73 2
 19930329 1200  95.82 2
 19930330 1200  94.06 2
 19930331 1200 100.08 2
 19930401 1200 109.42 2
 19930402 1200  99.50 2
 19930403 1200  95.43 2
 19930404 1200  93.23 2
 19930405 1200  97.46 2
 19930406 1200 105.33 2
 19930407 1200 100.80 2
 19930408 1200 103.21 2
 19930409 1200 106.45 2
 19930410 1200 104.24 2
 19930411 1200  99.61 2
 19930412 1200 106.75 2
 19930413 1200 109.09 2
 19930414 1200  97.87 2
 19930415 1200  94.27 2
 19930416 1200 101.08 2
 19930417 1200 111.94 2
 19930418 1200 103.47 2
 19930419 1200 105.67 2
 19930420 1200  96.26 2
 19930421 1200  99.39 2
 19930422 1200 103.90 2
 19930423 1200 105.60 2
 19930424 1200 105.67 2
 19930425 1200 102.87 2
 19930426 1200 103.40 2
 19930427 1200  94.95 2
 19930428 1200  98.15 2
 19930429 1200 102.83 2
 19930430 1200  91.33 2
 19930501 1200  97.74 2
 19930502 1200 102.69 2
 19930503 1200 107.80 2
 19930504 1200 102.41 2
 19930505 1200  93.99 2
 19930506 1200  91.97 2
 19930507 1200  97.97 2
