 Location:  0N 147E  28 Apr 1994 to 29 Nov 2013 ( 7156 times,  9 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 28 Apr 1994 to 1200  6 Jul 1994 (index     1 to    70,   70 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19940428 1200 186.90 2
 19940429 1200 185.84 2
 19940430 1200 186.97 2
 19940501 1200 185.43 2
 19940502 1200 186.18 2
 19940503 1200 186.46 2
 19940504 1200 184.92 2
 19940505 1200 182.41 2
 19940506 1200 183.84 2
 19940507 1200 182.08 2
 19940508 1200 188.15 2
 19940509 1200 194.66 2
 19940510 1200 198.17 2
 19940511 1200 195.58 2
 19940512 1200 196.34 2
 19940513 1200 194.03 2
 19940514 1200 192.08 2
 19940515 1200 197.26 2
 19940516 1200 201.69 2
 19940517 1200 201.16 2
 19940518 1200 190.85 2
 19940519 1200 188.41 2
 19940520 1200 185.27 2
 19940521 1200 177.11 2
 19940522 1200 169.81 2
 19940523 1200 171.13 2
 19940524 1200 167.11 2
 19940525 1200 166.01 2
 19940526 1200 167.00 2
 19940527 1200 169.20 2
 19940528 1200 175.84 2
 19940529 1200 169.09 2
 19940530 1200 176.98 2
 19940531 1200 180.68 2
 19940601 1200 185.87 2
 19940602 1200 183.00 2
 19940603 1200 181.03 2
 19940604 1200 178.24 2
 19940605 1200 182.37 2
 19940606 1200 181.77 2
 19940607 1200 182.35 2
 19940608 1200 182.18 2
 19940609 1200 180.42 2
 19940610 1200 177.84 2
 19940611 1200 175.16 2
 19940612 1200 176.45 2
 19940613 1200 177.86 2
 19940614 1200 180.75 2
 19940615 1200 179.53 2
 19940616 1200 183.71 2
 19940617 1200 187.31 2
 19940618 1200 183.88 2
 19940619 1200 182.82 2
 19940620 1200 186.71 2
 19940621 1200 184.05 2
 19940622 1200 186.43 2
 19940623 1200 183.89 2
 19940624 1200 184.57 2
 19940625 1200 184.22 2
 19940626 1200 184.89 2
 19940627 1200 182.23 2
 19940628 1200 185.25 2
 19940629 1200 182.71 2
 19940630 1200 180.31 2
 19940701 1200 176.83 2
 19940702 1200 176.87 2
 19940703 1200 177.46 2
 19940704 1200 174.66 2
 19940705 1200 174.73 2
 19940706 1200 178.99 2
 Time: 1200  4 Jan 1995 to 1200 13 Feb 1995 (index   252 to   292,   41 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19950104 1200 139.36 2
 19950105 1200 145.27 2
 19950106 1200 143.79 2
 19950107 1200 146.19 2
 19950108 1200 141.67 2
 19950109 1200 140.08 2
 19950110 1200 138.80 2
 19950111 1200 136.49 2
 19950112 1200 140.87 2
 19950113 1200 140.48 2
 19950114 1200 142.58 2
 19950115 1200 141.18 2
 19950116 1200 146.85 2
 19950117 1200 147.68 2
 19950118 1200 147.05 2
 19950119 1200 146.79 2
 19950120 1200 151.53 2
 19950121 1200 154.68 2
 19950122 1200 155.48 2
 19950123 1200 152.51 2
 19950124 1200 151.53 2
 19950125 1200 153.73 2
 19950126 1200 156.28 2
