 Location:  0N 165E  20 Jan 1986 to 23 Aug 2013 (10078 times, 28 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 20 Jan 1986 to 1200  2 Jul 1986 (index     1 to   164,  164 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19860120 1200 164.01 2
 19860121 1200 166.41 2
 19860122 1200 168.77 2
 19860123 1200 167.46 2
 19860124 1200 167.23 2
 19860125 1200 168.59 2
 19860126 1200 170.43 2
 19860127 1200 171.18 2
 19860128 1200 170.69 2
 19860129 1200 172.42 2
 19860130 1200 173.13 2
 19860131 1200 170.09 2
 19860201 1200 169.43 2
 19860202 1200 167.89 2
 19860203 1200 165.38 2
 19860204 1200 167.14 2
 19860205 1200 167.61 2
 19860206 1200 169.21 2
 19860207 1200 172.71 2
 19860208 1200 171.08 2
 19860209 1200 170.66 2
 19860210 1200 173.49 2
 19860211 1200 172.34 2
 19860212 1200 171.52 2
 19860213 1200 172.33 2
 19860214 1200 172.67 2
 19860215 1200 169.66 2
 19860216 1200 168.66 2
 19860217 1200 171.27 2
 19860218 1200 173.13 2
 19860219 1200 173.18 2
 19860220 1200 167.42 2
 19860221 1200 171.77 2
 19860222 1200 173.84 2
 19860223 1200 174.30 2
 19860224 1200 172.49 2
 19860225 1200 169.72 2
 19860226 1200 171.02 2
 19860227 1200 171.36 2
 19860228 1200 170.07 2
 19860301 1200 169.83 2
 19860302 1200 170.30 2
 19860303 1200 169.52 2
 19860304 1200 170.96 2
 19860305 1200 174.29 2
 19860306 1200 176.99 2
 19860307 1200 181.86 2
 19860308 1200 184.70 2
 19860309 1200 178.29 2
 19860310 1200 181.20 2
 19860311 1200 179.62 2
 19860312 1200 176.32 2
 19860313 1200 172.63 2
 19860314 1200 171.72 2
 19860315 1200 178.22 2
 19860316 1200 176.72 2
 19860317 1200 181.90 2
 19860318 1200 179.90 2
 19860319 1200 181.21 2
 19860320 1200 180.78 2
 19860321 1200 180.46 2
 19860322 1200 186.40 2
 19860323 1200 185.71 2
 19860324 1200 187.78 2
 19860325 1200 186.71 2
 19860326 1200 182.33 2
 19860327 1200 177.31 2
 19860328 1200 176.55 2
 19860329 1200 178.64 2
 19860330 1200 179.40 2
 19860331 1200 178.69 2
 19860401 1200 188.48 2
 19860402 1200 186.36 2
 19860403 1200 187.42 2
 19860404 1200 191.62 2
 19860405 1200 195.92 2
 19860406 1200 194.71 2
 19860407 1200 194.00 2
 19860408 1200 192.13 2
 19860409 1200 195.02 2
 19860410 1200 200.00 2
 19860411 1200 195.97 2
 19860412 1200 201.85 2
 19860413 1200 204.93 2
 19860414 1200 205.84 2
 19860415 1200 208.21 2
 19860416 1200 208.17 2
 19860417 1200 207.48 2
 19860418 1200 203.11 2
 19860419 1200 189.63 2
 19860420 1200 187.37 2
 19860421 1200 190.22 2
 19860422 1200 189.28 2
 19860423 1200 195.85 2
 19860424 1200 202.11 2
 19860425 1200 189.77 2
 19860426 1200 186.90 2
 19860427 1200 190.21 2
 19860428 1200 182.86 2
 19860429 1200 176.91 2
 19860430 1200 186.65 2
 19860501 1200 191.06 2
 19860502 1200 179.36 2
 19860503 1200 178.51 2
 19860504 1200 184.81 2
 19860505 1200 175.62 2
