 Location:  2N 147E  18 Feb 1990 to 29 Nov 2013 ( 8686 times, 10 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 18 Feb 1990 to 1200  6 Jul 1990 (index     1 to   139,  139 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19900218 1200 164.64 2
 19900219 1200 164.47 2
 19900220 1200 164.32 2
 19900221 1200 165.01 2
 19900222 1200 166.36 2
 19900223 1200 169.03 2
 19900224 1200 168.21 2
 19900225 1200 164.93 2
 19900226 1200 164.13 2
 19900227 1200 162.81 2
 19900228 1200 161.60 2
 19900301 1200 163.51 2
 19900302 1200 165.54 2
 19900303 1200 163.88 2
 19900304 1200 166.48 2
 19900305 1200 167.93 2
 19900306 1200 165.99 2
 19900307 1200 163.78 2
 19900308 1200 163.85 2
 19900309 1200 164.81 2
 19900310 1200 164.03 2
 19900311 1200 165.11 2
 19900312 1200 167.89 2
 19900313 1200 169.07 2
 19900314 1200 170.22 2
 19900315 1200 169.78 2
 19900316 1200 169.92 2
 19900317 1200 171.51 2
 19900318 1200 170.15 2
 19900319 1200 164.98 2
 19900320 1200 165.71 2
 19900321 1200 164.37 2
 19900322 1200 164.50 2
 19900323 1200 163.47 2
 19900324 1200 165.64 2
 19900325 1200 167.32 2
 19900326 1200 163.89 2
 19900327 1200 162.91 2
 19900328 1200 167.07 2
 19900329 1200 173.79 2
 19900330 1200 169.77 2
 19900331 1200 168.58 2
 19900401 1200 165.57 2
 19900402 1200 169.14 2
 19900403 1200 165.68 2
 19900404 1200 165.10 2
 19900405 1200 169.65 2
 19900406 1200 170.18 2
 19900407 1200 172.22 2
 19900408 1200 171.95 2
 19900409 1200 165.79 2
 19900410 1200 163.95 2
 19900411 1200 166.38 2
 19900412 1200 168.37 2
 19900413 1200 168.04 2
 19900414 1200 166.72 2
 19900415 1200 163.79 2
 19900416 1200 165.62 2
 19900417 1200 164.61 2
 19900418 1200 163.56 2
 19900419 1200 165.16 2
 19900420 1200 164.75 2
 19900421 1200 167.63 2
 19900422 1200 166.29 2
 19900423 1200 165.72 2
 19900424 1200 163.96 2
 19900425 1200 167.88 2
 19900426 1200 172.80 2
 19900427 1200 171.67 2
 19900428 1200 170.72 2
 19900429 1200 168.47 2
 19900430 1200 170.48 2
 19900501 1200 172.97 2
