 Location:  5N 170W   5 Mar 1992 to 31 Jul 2013 ( 7819 times, 28 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  5 Mar 1992 to 1200 21 Apr 1992 (index     1 to    48,   48 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19920305 1200 152.24 2
 19920306 1200 151.45 2
 19920307 1200 154.85 2
 19920308 1200 156.07 2
 19920309 1200 142.19 2
 19920310 1200 154.36 2
 19920311 1200 156.64 2
 19920312 1200 151.93 2
 19920313 1200 150.22 2
 19920314 1200 148.25 2
 19920315 1200 149.75 2
 19920316 1200 150.15 2
 19920317 1200 141.04 2
 19920318 1200 138.77 2
 19920319 1200 139.14 2
 19920320 1200 133.43 2
 19920321 1200 134.69 2
 19920322 1200 133.49 2
 19920323 1200 127.96 2
 19920324 1200 131.05 2
 19920325 1200 131.76 2
 19920326 1200 127.03 2
 19920327 1200 121.33 2
 19920328 1200 116.58 2
 19920329 1200 121.46 2
 19920330 1200 126.00 2
 19920331 1200 130.16 2
 19920401 1200 127.86 2
 19920402 1200 132.74 2
 19920403 1200 122.01 2
 19920404 1200 126.54 2
 19920405 1200 128.03 2
 19920406 1200 121.16 2
 19920407 1200 125.57 2
 19920408 1200 128.74 2
 19920409 1200 136.88 2
 19920410 1200 130.77 2
 19920411 1200 130.35 2
 19920412 1200 124.42 2
 19920413 1200 130.49 2
 19920414 1200 129.60 2
 19920415 1200 129.90 2
 19920416 1200 122.63 2
 19920417 1200 126.70 2
 19920418 1200 126.64 2
 19920419 1200 128.70 2
 19920420 1200 126.53 2
 19920421 1200 127.66 2
 Time: 1200  5 Apr 1993 to 1200 25 Aug 1993 (index   397 to   539,  143 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19930405 1200 138.26 2
 19930406 1200 136.10 2
 19930407 1200 135.64 2
 19930408 1200 138.51 2
 19930409 1200 138.85 2
 19930410 1200 138.54 2
 19930411 1200 138.88 2
 19930412 1200 144.22 2
 19930413 1200 139.50 2
 19930414 1200 135.80 2
 19930415 1200 135.48 2
 19930416 1200 136.32 2
 19930417 1200 135.56 2
 19930418 1200 135.73 2
 19930419 1200 135.25 2
 19930420 1200 138.86 2
 19930421 1200 136.14 2
 19930422 1200 136.97 2
 19930423 1200 142.08 2
 19930424 1200 138.24 2
 19930425 1200 139.27 2
 19930426 1200 135.03 2
 19930427 1200 138.29 2
 19930428 1200 142.70 2
 19930429 1200 142.62 2
 19930430 1200 140.07 2
 19930501 1200 141.02 2
 19930502 1200 139.65 2
 19930503 1200 140.04 2
 19930504 1200 141.75 2
 19930505 1200 141.51 2
 19930506 1200 141.17 2
 19930507 1200 140.30 2
 19930508 1200 137.77 2
 19930509 1200 137.71 2
 19930510 1200 137.23 2
 19930511 1200 143.60 2
 19930512 1200 138.55 2
 19930513 1200 139.29 2
 19930514 1200 139.47 2
 19930515 1200 137.08 2
 19930516 1200 137.22 2
 19930517 1200 138.77 2
 19930518 1200 139.51 2
 19930519 1200 139.88 2
 19930520 1200 135.04 2
 19930521 1200 135.73 2
 19930522 1200 138.38 2
 19930523 1200 143.00 2
 19930524 1200 137.88 2
 19930525 1200 136.00 2
 19930526 1200 137.59 2
 19930527 1200 137.06 2
 19930528 1200 133.97 2
 19930529 1200 138.79 2
 19930530 1200 139.74 2
 19930531 1200 140.50 2
 19930601 1200 139.49 2
 19930602 1200 141.09 2
 19930603 1200 137.85 2
 19930604 1200 132.48 2
 19930605 1200 133.65 2
 19930606 1200 137.66 2
 19930607 1200 133.64 2
 19930608 1200 124.35 2
 19930609 1200 122.04 2
 19930610 1200 126.65 2
 19930611 1200 130.96 2
 19930612 1200 129.15 2
 19930613 1200 131.51 2
 19930614 1200 127.73 2
 19930615 1200 124.31 2
 19930616 1200 125.43 2
 19930617 1200 124.43 2
