 Location:  5N 125W   7 Dec 1991 to  2 Jun 2013 ( 7849 times, 17 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  7 Dec 1991 to 1200 11 Jul 1992 (index     1 to   218,  218 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19911207 1200 131.28 2
 19911208 1200 135.63 2
 19911209 1200 143.40 2
 19911210 1200 141.68 2
 19911211 1200 136.65 2
 19911212 1200 133.23 2
 19911213 1200 128.76 2
 19911214 1200 131.85 2
 19911215 1200 145.01 2
 19911216 1200 146.66 2
 19911217 1200 125.95 2
 19911218 1200 138.29 2
 19911219 1200 128.74 2
 19911220 1200 121.19 2
 19911221 1200 121.95 2
 19911222 1200 124.49 2
 19911223 1200 123.88 2
 19911224 1200 124.96 2
 19911225 1200 129.84 2
 19911226 1200 121.60 2
 19911227 1200 126.50 2
 19911228 1200 125.91 2
 19911229 1200 132.83 2
 19911230 1200 131.70 2
 19911231 1200 121.53 2
 19920101 1200 124.61 2
 19920102 1200 130.00 2
 19920103 1200 124.55 2
 19920104 1200 125.11 2
 19920105 1200 126.93 2
 19920106 1200 122.45 2
 19920107 1200 126.78 2
 19920108 1200 125.25 2
 19920109 1200 128.92 2
 19920110 1200 132.06 2
 19920111 1200 122.91 2
 19920112 1200 131.86 2
 19920113 1200 127.94 2
 19920114 1200 123.35 2
 19920115 1200 121.32 2
 19920116 1200 115.00 2
 19920117 1200 119.55 2
 19920118 1200 123.56 2
 19920119 1200 116.62 2
 19920120 1200 114.27 2
 19920121 1200 113.31 2
 19920122 1200 120.43 2
 19920123 1200 125.56 2
 19920124 1200 115.60 2
 19920125 1200 112.60 2
 19920126 1200 106.76 2
 19920127 1200 106.30 2
 19920128 1200 106.87 2
 19920129 1200 111.09 2
 19920130 1200 104.45 2
 19920131 1200 102.95 2
 19920201 1200 106.00 2
 19920202 1200 104.28 2
 19920203 1200 104.31 2
 19920204 1200 106.63 2
 19920205 1200 115.18 2
 19920206 1200 109.49 2
 19920207 1200 107.04 2
 19920208 1200 109.98 2
 19920209 1200 107.71 2
 19920210 1200 106.85 2
 19920211 1200 106.16 2
 19920212 1200 105.76 2
 19920213 1200 109.59 2
 19920214 1200 111.38 2
 19920215 1200 122.51 2
 19920216 1200 113.87 2
 19920217 1200 112.35 2
 19920218 1200 115.11 2
 19920219 1200 120.41 2
 19920220 1200 112.56 2
 19920221 1200 104.56 2
 19920222 1200 112.88 2
 19920223 1200 114.05 2
 19920224 1200 114.68 2
 19920225 1200 108.66 2
 19920226 1200 115.32 2
 19920227 1200 108.57 2
 19920228 1200 103.29 2
 19920229 1200 105.70 2
 19920301 1200 114.33 2
 19920302 1200 107.73 2
 19920303 1200 112.22 2
 19920304 1200 116.60 2
 19920305 1200 109.62 2
 19920306 1200 109.69 2
 19920307 1200 108.12 2
 19920308 1200 109.31 2
 19920309 1200 105.79 2
 19920310 1200 112.66 2
 19920311 1200 114.21 2
 19920312 1200 116.29 2
 19920313 1200 119.17 2
 19920314 1200 119.48 2
 19920315 1200 124.39 2
 19920316 1200  -9.99 0
