 Location:  8N 156E  18 Dec 1994 to 29 Nov 2013 ( 6922 times,  4 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 18 Dec 1994 to 1200 27 Oct 1995 (index     1 to   314,  314 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19941218 1200  88.65 2
 19941219 1200  87.00 2
 19941220 1200  89.74 2
 19941221 1200  88.89 2
 19941222 1200  89.81 2
 19941223 1200  89.38 2
 19941224 1200  88.28 2
 19941225 1200  87.60 2
 19941226 1200  89.03 2
 19941227 1200  86.89 2
 19941228 1200  89.17 2
 19941229 1200  86.99 2
 19941230 1200  83.26 2
 19941231 1200  85.47 2
 19950101 1200  87.61 2
 19950102 1200  86.13 2
 19950103 1200  84.19 2
 19950104 1200  85.55 2
 19950105 1200  83.22 2
 19950106 1200  88.80 2
 19950107 1200  85.60 2
 19950108 1200  87.98 2
 19950109 1200  86.31 2
 19950110 1200  86.98 2
 19950111 1200  87.52 2
 19950112 1200  84.82 2
 19950113 1200  87.98 2
 19950114 1200  88.09 2
 19950115 1200  86.68 2
 19950116 1200  86.91 2
 19950117 1200  88.06 2
 19950118 1200  85.88 2
 19950119 1200  87.92 2
 19950120 1200  88.03 2
 19950121 1200  87.01 2
 19950122 1200  91.27 2
 19950123 1200  87.32 2
 19950124 1200  90.92 2
 19950125 1200  90.91 2
 19950126 1200  90.52 2
 19950127 1200  92.79 2
 19950128 1200  85.67 2
 19950129 1200  93.98 2
 19950130 1200  94.18 2
 19950131 1200  94.78 2
 19950201 1200  98.96 2
 19950202 1200  93.69 2
 19950203 1200 102.61 2
 19950204 1200 102.49 2
 19950205 1200 107.13 2
 19950206 1200 107.60 2
 19950207 1200 112.18 2
 19950208 1200 112.19 2
 19950209 1200 109.82 2
 19950210 1200 110.30 2
 19950211 1200 116.82 2
 19950212 1200 116.72 2
 19950213 1200 125.13 2
 19950214 1200 128.04 2
 19950215 1200 126.63 2
 19950216 1200 124.21 2
 19950217 1200 125.36 2
 19950218 1200 119.88 2
 19950219 1200 112.25 2
 19950220 1200 111.62 2
 19950221 1200 110.86 2
 19950222 1200 111.73 2
 19950223 1200 109.13 2
 19950224 1200 114.23 2
 19950225 1200 112.02 2
 19950226 1200 109.49 2
 19950227 1200 114.89 2
 19950228 1200 109.75 2
 19950301 1200 111.28 2
 19950302 1200 111.26 2
 19950303 1200 111.94 2
 19950304 1200 115.10 2
 19950305 1200 114.47 2
 19950306 1200 121.88 2
 19950307 1200 121.36 2
 19950308 1200 123.52 2
 19950309 1200 125.91 2
 19950310 1200 127.59 2
 19950311 1200 124.82 2
 19950312 1200 129.76 2
 19950313 1200 125.49 2
 19950314 1200 127.36 2
 19950315 1200 131.75 2
 19950316 1200 128.17 2
 19950317 1200 127.57 2
 19950318 1200 128.37 2
 19950319 1200 129.30 2
 19950320 1200 125.48 2
 19950321 1200 125.07 2
 19950322 1200 121.73 2
 19950323 1200 122.58 2
 19950324 1200 122.10 2
 19950325 1200 122.52 2
 19950326 1200 120.61 2
 19950327 1200 122.73 2
 19950328 1200 122.31 2
 19950329 1200 121.08 2
 19950330 1200 121.40 2
 19950331 1200 122.79 2
 19950401 1200 120.21 2
 19950402 1200 124.00 2
 19950403 1200 124.82 2
 19950404 1200 124.59 2
 19950405 1200 128.58 2
 19950406 1200 126.67 2
 19950407 1200 128.10 2
 19950408 1200 126.31 2
 19950409 1200 124.68 2
 19950410 1200 123.28 2
 19950411 1200 123.99 2
 19950412 1200 122.07 2
 19950413 1200 124.21 2
 19950414 1200 121.89 2
 19950415 1200 121.33 2
 19950416 1200 121.79 2
 19950417 1200 121.04 2
 19950418 1200 121.37 2
 19950419 1200 121.07 2
 19950420 1200 119.46 2
 19950421 1200 121.21 2
 19950422 1200 123.26 2
 19950423 1200 119.20 2
 19950424 1200 123.03 2
 19950425 1200 121.81 2
 19950426 1200 123.28 2
 19950427 1200 120.79 2
 19950428 1200 123.15 2
 19950429 1200 121.13 2
 19950430 1200 120.70 2
 19950501 1200 122.02 2
 19950502 1200 120.19 2
 19950503 1200 118.25 2
 19950504 1200 118.86 2
 19950505 1200 117.94 2
 19950506 1200 116.86 2
 19950507 1200 119.54 2
 19950508 1200 120.16 2
 19950509 1200 119.40 2
 19950510 1200 118.85 2
 19950511 1200 118.63 2
 19950512 1200 118.23 2
 19950513 1200 117.48 2
 19950514 1200 116.33 2
 19950515 1200 118.94 2
 19950516 1200 119.65 2
 19950517 1200 117.74 2
 19950518 1200 119.00 2
 19950519 1200 121.25 2
 19950520 1200 119.88 2
 19950521 1200 118.01 2
 19950522 1200 121.50 2
 19950523 1200 120.88 2
 19950524 1200 122.26 2
 19950525 1200 121.37 2
 19950526 1200 119.12 2
 19950527 1200 120.68 2
 19950528 1200 120.36 2
 19950529 1200 119.14 2
 19950530 1200 118.60 2
 19950531 1200 118.62 2
 19950601 1200 119.26 2
 19950602 1200 118.42 2
 19950603 1200 118.04 2
 19950604 1200 119.33 2
 19950605 1200 118.33 2
 19950606 1200 117.45 2
 19950607 1200 118.98 2
 19950608 1200 117.51 2
 19950609 1200 119.45 2
 19950610 1200 117.03 2
 19950611 1200 118.41 2
 19950612 1200 118.76 2
 19950613 1200 116.94 2
 19950614 1200 119.52 2
 19950615 1200 118.41 2
 19950616 1200 123.28 2
 19950617 1200 121.72 2
 19950618 1200 123.41 2
 19950619 1200 120.89 2
 19950620 1200 123.20 2
 19950621 1200 123.07 2
 19950622 1200 121.45 2
 19950623 1200 123.91 2
 19950624 1200 120.80 2
