 Location:  8N 165E  27 Mar 1991 to 29 Nov 2013 ( 8284 times, 15 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 27 Mar 1991 to 1200  2 Feb 1992 (index     1 to   313,  313 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19910327 1200 118.14 2
 19910328 1200 115.11 2
 19910329 1200 121.23 2
 19910330 1200 117.70 2
 19910331 1200 121.47 2
 19910401 1200 118.83 2
 19910402 1200 120.85 2
 19910403 1200 122.40 2
 19910404 1200 116.84 2
 19910405 1200 118.61 2
 19910406 1200 116.04 2
 19910407 1200 119.10 2
 19910408 1200 114.85 2
 19910409 1200 115.56 2
 19910410 1200 117.09 2
 19910411 1200 116.09 2
 19910412 1200 113.83 2
 19910413 1200 115.31 2
 19910414 1200 112.85 2
 19910415 1200 113.82 2
 19910416 1200 113.51 2
 19910417 1200 114.98 2
 19910418 1200 115.60 2
 19910419 1200 114.47 2
 19910420 1200 114.03 2
 19910421 1200 113.61 2
 19910422 1200 116.16 2
 19910423 1200 111.84 2
 19910424 1200 116.59 2
 19910425 1200 114.83 2
 19910426 1200 113.30 2
 19910427 1200 115.94 2
 19910428 1200 114.39 2
 19910429 1200 113.34 2
 19910430 1200 113.26 2
 19910501 1200 111.01 2
 19910502 1200 115.38 2
 19910503 1200 113.24 2
 19910504 1200 113.33 2
 19910505 1200 114.73 2
 19910506 1200 113.19 2
 19910507 1200 116.88 2
 19910508 1200 113.64 2
 19910509 1200 114.82 2
 19910510 1200 118.79 2
 19910511 1200 114.52 2
 19910512 1200 116.64 2
 19910513 1200 116.36 2
 19910514 1200 115.59 2
 19910515 1200 113.63 2
 19910516 1200 117.58 2
 19910517 1200 114.32 2
 19910518 1200 113.62 2
 19910519 1200 115.08 2
 19910520 1200 113.51 2
 19910521 1200 114.61 2
 19910522 1200 114.55 2
 19910523 1200 113.47 2
 19910524 1200 112.16 2
 19910525 1200 112.65 2
 19910526 1200 112.72 2
 19910527 1200 110.91 2
 19910528 1200 111.81 2
 19910529 1200 110.95 2
 19910530 1200 112.75 2
 19910531 1200 109.71 2
 19910601 1200 113.28 2
 19910602 1200 113.68 2
 19910603 1200 110.11 2
 19910604 1200 112.91 2
 19910605 1200 110.52 2
 19910606 1200 111.97 2
 19910607 1200 111.37 2
 19910608 1200 111.75 2
 19910609 1200 106.37 2
 19910610 1200 111.68 2
 19910611 1200 110.71 2
 19910612 1200 111.57 2
 19910613 1200 110.98 2
 19910614 1200 113.89 2
 19910615 1200 112.46 2
 19910616 1200 112.41 2
 19910617 1200 113.46 2
 19910618 1200 111.91 2
 19910619 1200 112.16 2
 19910620 1200 113.00 2
 19910621 1200 112.78 2
 19910622 1200 110.48 2
 19910623 1200 114.21 2
 19910624 1200 112.28 2
 19910625 1200 111.98 2
 19910626 1200 111.88 2
 19910627 1200 110.82 2
 19910628 1200 110.11 2
 19910629 1200 111.67 2
 19910630 1200 112.55 2
 19910701 1200 110.30 2
 19910702 1200 108.13 2
 19910703 1200 109.16 2
 19910704 1200 112.65 2
 19910705 1200 108.77 2
 19910706 1200 108.29 2
 19910707 1200 106.76 2
 19910708 1200 107.11 2
 19910709 1200 100.00 2
 19910710 1200 105.19 2
 19910711 1200 101.40 2
 19910712 1200  99.18 2
 19910713 1200 100.73 2
 19910714 1200  97.82 2
 19910715 1200 100.88 2
 19910716 1200  97.49 2
 19910717 1200 100.88 2
 19910718 1200  99.86 2
 19910719 1200 101.40 2
 19910720 1200 101.68 2
 19910721 1200 101.57 2
 19910722 1200 103.42 2
 19910723 1200  99.13 2
 19910724 1200 102.57 2
 19910725 1200 100.51 2
 19910726 1200 101.98 2
 19910727 1200 101.09 2
 19910728 1200 102.11 2
 19910729 1200 102.47 2
 19910730 1200  98.75 2
 19910731 1200  99.66 2
 19910801 1200 100.19 2
 19910802 1200  97.01 2
 19910803 1200  99.05 2
 19910804 1200 101.14 2
 19910805 1200  99.65 2
 19910806 1200  98.69 2
 19910807 1200 101.34 2
 19910808 1200 101.91 2
 19910809 1200 100.00 2
 19910810 1200 100.41 2
 19910811 1200 100.53 2
 19910812 1200  99.71 2
 19910813 1200  98.93 2
 19910814 1200 103.46 2
 19910815 1200  96.84 2
 19910816 1200  95.47 2
 19910817 1200  95.77 2
 19910818 1200  95.58 2
 19910819 1200  93.78 2
 19910820 1200  94.98 2
 19910821 1200  97.68 2
 19910822 1200  95.55 2
 19910823 1200  95.28 2
 19910824 1200  95.79 2
 19910825 1200  95.26 2
 19910826 1200  97.20 2
 19910827 1200  95.44 2
 19910828 1200  94.86 2
 19910829 1200  99.01 2
 19910830 1200  95.67 2
 19910831 1200  95.90 2
 19910901 1200  97.10 2
 19910902 1200  97.02 2
 19910903 1200  98.51 2
 19910904 1200  97.23 2
 19910905 1200  98.18 2
 19910906 1200  97.26 2
 19910907 1200 101.65 2
 19910908 1200  96.71 2
 19910909 1200  98.66 2
 19910910 1200  95.41 2
 19910911 1200  96.60 2
 19910912 1200  95.17 2
 19910913 1200  98.18 2
 19910914 1200  93.29 2
 19910915 1200  94.90 2
 19910916 1200  96.80 2
 19910917 1200  94.88 2
 19910918 1200  93.40 2
 19910919 1200  96.61 2
 19910920 1200  93.74 2
 19910921 1200  91.97 2
 19910922 1200  94.48 2
 19910923 1200  93.11 2
 19910924 1200  88.01 2
 19910925 1200  88.10 2
 19910926 1200  86.81 2
 19910927 1200  86.05 2
 19910928 1200  80.96 2
 19910929 1200  85.57 2
 19910930 1200  84.98 2
 19911001 1200  83.83 2
 19911002 1200  88.74 2
 19911003 1200  87.38 2
 19911004 1200  87.64 2
 19911005 1200  91.31 2
 19911006 1200  90.62 2
 19911007 1200  91.90 2
 19911008 1200  90.60 2
 19911009 1200  91.98 2
 19911010 1200  91.13 2
 19911011 1200  91.04 2
 19911012 1200  91.14 2
 19911013 1200  91.11 2
 19911014 1200  90.32 2
 19911015 1200  91.57 2
 19911016 1200  89.51 2
 19911017 1200  92.29 2
 19911018 1200  91.35 2
 19911019 1200  92.67 2
 19911020 1200  91.31 2
 19911021 1200  91.40 2
 19911022 1200  91.64 2
 19911023 1200  91.58 2
 19911024 1200  91.08 2
 19911025 1200  93.14 2
 19911026 1200  90.62 2
 19911027 1200  95.14 2
 19911028 1200  90.08 2
 19911029 1200  92.77 2
 19911030 1200  90.73 2
 19911031 1200  87.19 2
 19911101 1200  86.08 2
 19911102 1200  90.30 2
 19911103 1200  84.48 2
 19911104 1200  87.71 2
 19911105 1200  91.00 2
 19911106 1200  83.22 2
 19911107 1200  89.18 2
 19911108 1200  90.96 2
 19911109 1200  86.80 2
 19911110 1200  91.88 2
 19911111 1200  90.47 2
 19911112 1200  88.55 2
 19911113 1200  90.77 2
 19911114 1200  90.93 2
 19911115 1200  88.12 2
 19911116 1200  87.58 2
 19911117 1200  90.51 2
 19911118 1200  92.02 2
 19911119 1200  85.57 2
 19911120 1200  87.19 2
 19911121 1200  88.80 2
 19911122 1200  89.68 2
 19911123 1200  86.90 2
 19911124 1200  93.93 2
 19911125 1200  88.65 2
 19911126 1200  91.21 2
 19911127 1200  89.79 2
 19911128 1200  90.16 2
 19911129 1200  92.37 2
 19911130 1200  90.52 2
 19911201 1200  79.98 2
 19911202 1200  94.89 2
 19911203 1200  90.79 2
 19911204 1200  81.57 2
 19911205 1200  94.05 2
 19911206 1200  89.05 2
 19911207 1200  88.65 2
 19911208 1200  91.30 2
 19911209 1200  87.00 2
 19911210 1200  91.55 2
 19911211 1200  89.64 2
 19911212 1200  87.80 2
 19911213 1200  90.62 2
 19911214 1200  89.28 2
 19911215 1200  89.74 2
 19911216 1200  89.95 2
 19911217 1200  91.62 2
 19911218 1200  89.48 2
 19911219 1200  89.62 2
 19911220 1200  87.75 2
 19911221 1200  90.54 2
 19911222 1200  88.48 2
 19911223 1200  85.51 2
 19911224 1200  97.65 2
 19911225 1200  87.46 2
 19911226 1200  93.01 2
 19911227 1200  91.65 2
 19911228 1200  86.31 2
 19911229 1200  93.86 2
 19911230 1200  87.88 2
 19911231 1200  88.10 2
 19920101 1200  88.38 2
 19920102 1200  88.55 2
 19920103 1200  81.70 2
 19920104 1200  89.55 2
 19920105 1200  86.78 2
 19920106 1200  87.58 2
 19920107 1200  86.02 2
 19920108 1200  89.20 2
 19920109 1200  82.94 2
 19920110 1200  76.58 2
 19920111 1200  91.31 2
 19920112 1200  79.74 2
 19920113 1200  84.46 2
 19920114 1200  89.53 2
 19920115 1200  73.85 2
 19920116 1200  84.69 2
 19920117 1200  88.91 2
 19920118 1200  75.44 2
 19920119 1200  77.02 2
 19920120 1200  85.19 2
 19920121 1200  81.55 2
 19920122 1200  74.86 2
 19920123 1200  80.40 2
 19920124 1200  80.76 2
 19920125 1200  82.10 2
 19920126 1200  84.35 2
 19920127 1200  88.91 2
 19920128 1200  96.07 2
 19920129 1200  93.90 2
 19920130 1200  96.40 2
 19920131 1200  97.58 2
 19920201 1200  98.19 2
 19920202 1200  99.47 2
 Time: 1200  2 Dec 1993 to 1200  2 Jan 1994 (index   982 to  1013,   32 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19931202 1200  98.45 2
 19931203 1200  -9.99 0
 19931204 1200  -9.99 0
 19931205 1200  -9.99 0
 19931206 1200  98.19 2
 19931207 1200  98.67 2
 19931208 1200  96.36 2
 19931209 1200  99.68 2
 19931210 1200  97.00 2
 19931211 1200  99.24 2
 19931212 1200  96.60 2
 19931213 1200  95.64 2
 19931214 1200  93.42 2
