 Location:  5S 180W  25 Mar 1993 to  3 Jul 2012 ( 7041 times, 14 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 25 Mar 1993 to 1200  6 Apr 1995 (index     1 to   743,  743 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19930325 1200 35.921 2
 19930326 1200 35.919 2
 19930327 1200 35.901 2
 19930328 1200 35.899 2
 19930329 1200 35.882 2
 19930330 1200 35.885 2
 19930331 1200 35.843 2
 19930401 1200 35.828 2
 19930402 1200 35.823 2
 19930403 1200 35.803 2
 19930404 1200 35.788 2
 19930405 1200 35.808 2
 19930406 1200 35.785 2
 19930407 1200 35.790 2
 19930408 1200 35.781 2
 19930409 1200 35.734 2
 19930410 1200 35.760 2
 19930411 1200 35.746 2
 19930412 1200 35.704 2
 19930413 1200 35.690 2
 19930414 1200 35.706 2
 19930415 1200 35.689 2
 19930416 1200 35.682 2
 19930417 1200 35.704 2
 19930418 1200 35.730 2
 19930419 1200 35.688 2
 19930420 1200 35.714 2
 19930421 1200 35.722 2
 19930422 1200 35.703 2
 19930423 1200 35.713 2
 19930424 1200 35.729 2
 19930425 1200 35.670 2
 19930426 1200 35.701 2
 19930427 1200 35.700 2
 19930428 1200 35.709 2
 19930429 1200 35.715 2
 19930430 1200 35.706 2
 19930501 1200 35.710 2
 19930502 1200 35.718 2
 19930503 1200 35.705 2
 19930504 1200 35.732 2
 19930505 1200 35.696 2
 19930506 1200 35.712 2
 19930507 1200 35.717 2
 19930508 1200 35.693 2
 19930509 1200 35.673 2
 19930510 1200 35.723 2
 19930511 1200 35.707 2
 19930512 1200 35.684 2
 19930513 1200 35.640 2
 19930514 1200 35.677 2
 19930515 1200 35.668 2
 19930516 1200 35.635 2
 19930517 1200 35.700 2
 19930518 1200 35.721 2
 19930519 1200 35.649 2
 19930520 1200 35.618 2
 19930521 1200 35.641 2
 19930522 1200 35.620 2
 19930523 1200 35.586 2
 19930524 1200 35.559 2
 19930525 1200 35.567 2
 19930526 1200 35.602 2
 19930527 1200 35.608 2
 19930528 1200 35.623 2
 19930529 1200 35.643 2
 19930530 1200 35.643 2
 19930531 1200 35.621 2
 19930601 1200 35.599 2
 19930602 1200 35.571 2
 19930603 1200 35.553 2
 19930604 1200 35.550 2
 19930605 1200 35.555 2
 19930606 1200 35.577 2
 19930607 1200 35.558 2
 19930608 1200 35.557 2
 19930609 1200 35.562 2
 19930610 1200 35.549 2
 19930611 1200 35.552 2
 19930612 1200 35.526 2
 19930613 1200 35.564 2
 19930614 1200 35.544 2
 19930615 1200 35.533 2
 19930616 1200 35.544 2
 19930617 1200 35.566 2
 19930618 1200 35.535 2
 19930619 1200 35.537 2
 19930620 1200 35.550 2
 19930621 1200 35.548 2
 19930622 1200 35.548 2
 19930623 1200 35.552 2
 19930624 1200 35.557 2
 19930625 1200 35.564 2
 19930626 1200 35.559 2
 19930627 1200 35.564 2
 19930628 1200 35.587 2
 19930629 1200 35.576 2
 19930630 1200 35.565 2
 19930701 1200 35.565 2
 19930702 1200 35.538 2
 19930703 1200 35.532 2
 19930704 1200 35.551 2
 19930705 1200 35.557 2
 19930706 1200 35.563 2
 19930707 1200 35.569 2
 19930708 1200 35.552 2
 19930709 1200 35.576 2
 19930710 1200 35.530 2
 19930711 1200 35.529 2
 19930712 1200 35.562 2
 19930713 1200 35.537 2
 19930714 1200 35.488 2
 19930715 1200 35.539 2
 19930716 1200 35.523 2
 19930717 1200 35.525 2
 19930718 1200 35.520 2
 19930719 1200 35.537 2
 19930720 1200 35.532 2
 19930721 1200 35.522 2
 19930722 1200 35.519 2
 19930723 1200 35.536 2
 19930724 1200 35.557 2
 19930725 1200 35.561 2
 19930726 1200 35.548 2
 19930727 1200 35.557 2
 19930728 1200 35.577 2
 19930729 1200 35.578 2
 19930730 1200 35.584 2
 19930731 1200 35.581 2
 19930801 1200 35.585 2
 19930802 1200 35.581 2
 19930803 1200 35.586 2
 19930804 1200 35.593 2
 19930805 1200 35.614 2
 19930806 1200 35.623 2
 19930807 1200 35.631 2
 19930808 1200 35.666 2
 19930809 1200 35.651 2
 19930810 1200 35.663 2
 19930811 1200 35.672 2
 19930812 1200 35.656 2
 19930813 1200 35.689 2
 19930814 1200 35.662 2
 19930815 1200 35.660 2
 19930816 1200 35.669 2
 19930817 1200 35.694 2
 19930818 1200 35.679 2
 19930819 1200 35.623 2
 19930820 1200 35.627 2
 19930821 1200 35.677 2
 19930822 1200 35.675 2
 19930823 1200 35.696 2
 19930824 1200 35.739 2
 19930825 1200 35.698 2
 19930826 1200 35.646 2
 19930827 1200 35.646 2
 19930828 1200 35.624 2
 19930829 1200 35.686 2
 19930830 1200 35.621 2
 19930831 1200 35.653 2
 19930901 1200 35.686 2
 19930902 1200 35.661 2
 19930903 1200 35.653 2
 19930904 1200 35.643 2
 19930905 1200 35.657 2
 19930906 1200 35.654 2
 19930907 1200 35.644 2
 19930908 1200 35.652 2
 19930909 1200 35.676 2
 19930910 1200 35.647 2
 19930911 1200 35.676 2
 19930912 1200 35.673 2
 19930913 1200 35.656 2
 19930914 1200 35.660 2
 19930915 1200 35.683 2
 19930916 1200 35.665 2
 19930917 1200 35.632 2
 19930918 1200 35.678 2
 19930919 1200 35.695 2
 19930920 1200 35.634 2
 19930921 1200 35.639 2
 19930922 1200 35.694 2
 19930923 1200 35.686 2
 19930924 1200 35.668 2
 19930925 1200 35.658 2
 19930926 1200 35.719 2
 19930927 1200 35.709 2
 19930928 1200 35.703 2
 19930929 1200 35.679 2
 19930930 1200 35.692 2
 19931001 1200 35.704 2
 19931002 1200 35.722 2
 19931003 1200 35.745 2
 19931004 1200 35.704 2
 19931005 1200 35.764 2
 19931006 1200 35.744 2
 19931007 1200 35.756 2
 19931008 1200 35.762 2
 19931009 1200 35.780 2
 19931010 1200 35.762 2
 19931011 1200 35.805 2
 19931012 1200 35.776 2
 19931013 1200 35.759 2
 19931014 1200 35.759 2
 19931015 1200 35.791 2
 19931016 1200 35.754 2
 19931017 1200 35.744 2
 19931018 1200 35.763 2
 19931019 1200 35.777 2
 19931020 1200 35.731 2
