 Location:  0N 165E  20 Jan 1986 to 23 Aug 2013 (10078 times, 21 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 20 Jan 1986 to 1200  2 Jul 1986 (index     1 to   164,  164 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19860120 1200 35.658 2
 19860121 1200 35.670 2
 19860122 1200 35.714 2
 19860123 1200 35.707 2
 19860124 1200 35.693 2
 19860125 1200 35.724 2
 19860126 1200 35.716 2
 19860127 1200 35.720 2
 19860128 1200 35.742 2
 19860129 1200 35.756 2
 19860130 1200 35.770 2
 19860131 1200 35.742 2
 19860201 1200 35.763 2
 19860202 1200 35.714 2
 19860203 1200 35.679 2
 19860204 1200 35.701 2
 19860205 1200 35.691 2
 19860206 1200 35.694 2
 19860207 1200 35.715 2
 19860208 1200 35.703 2
 19860209 1200 35.704 2
 19860210 1200 35.742 2
 19860211 1200 35.739 2
 19860212 1200 35.732 2
 19860213 1200 35.733 2
 19860214 1200 35.745 2
 19860215 1200 35.720 2
 19860216 1200 35.721 2
 19860217 1200 35.759 2
 19860218 1200 35.773 2
 19860219 1200 35.770 2
 19860220 1200 35.720 2
 19860221 1200 35.735 2
 19860222 1200 35.759 2
 19860223 1200 35.745 2
 19860224 1200 35.728 2
 19860225 1200 35.718 2
 19860226 1200 35.741 2
 19860227 1200 35.752 2
 19860228 1200 35.748 2
 19860301 1200 35.759 2
 19860302 1200 35.758 2
 19860303 1200 35.741 2
 19860304 1200 35.740 2
 19860305 1200 35.731 2
 19860306 1200 35.761 2
 19860307 1200 35.757 2
 19860308 1200 35.758 2
 19860309 1200 35.743 2
 19860310 1200 35.757 2
 19860311 1200 35.760 2
 19860312 1200 35.747 2
 19860313 1200 35.701 2
 19860314 1200 35.730 2
 19860315 1200 35.772 2
 19860316 1200 35.756 2
 19860317 1200 35.754 2
 19860318 1200 35.731 2
 19860319 1200 35.709 2
 19860320 1200 35.722 2
 19860321 1200 35.717 2
 19860322 1200 35.735 2
 19860323 1200 35.703 2
 19860324 1200 35.708 2
 19860325 1200 35.689 2
 19860326 1200 35.681 2
 19860327 1200 35.663 2
 19860328 1200 35.680 2
 19860329 1200 35.675 2
 19860330 1200 35.683 2
 19860331 1200 35.697 2
 19860401 1200 35.715 2
 19860402 1200 35.700 2
 19860403 1200 35.709 2
 19860404 1200 35.727 2
 19860405 1200 35.736 2
 19860406 1200 35.741 2
 19860407 1200 35.739 2
 19860408 1200 35.719 2
 19860409 1200 35.724 2
 19860410 1200 35.759 2
 19860411 1200 35.740 2
 19860412 1200 35.752 2
 19860413 1200 35.776 2
 19860414 1200 35.783 2
 19860415 1200 35.800 2
 19860416 1200 35.811 2
 19860417 1200 35.812 2
 19860418 1200 35.798 2
 19860419 1200 35.775 2
 19860420 1200 35.770 2
 19860421 1200 35.780 2
 19860422 1200 35.777 2
 19860423 1200 35.792 2
 19860424 1200 35.792 2
 19860425 1200 35.740 2
 19860426 1200 35.735 2
 19860427 1200 35.752 2
 19860428 1200 35.704 2
 19860429 1200 35.683 2
 19860430 1200 35.733 2
 19860501 1200 35.754 2
 19860502 1200 35.730 2
 19860503 1200 35.709 2
 19860504 1200 35.718 2
 19860505 1200 35.675 2
 19860506 1200 35.705 2
 19860507 1200 35.719 2
 19860508 1200 35.707 2
 19860509 1200 35.713 2
 19860510 1200 35.732 2
 19860511 1200 35.736 2
 19860512 1200 35.726 2
 19860513 1200 35.725 2
 19860514 1200 35.721 2
 19860515 1200 35.750 2
 19860516 1200 35.763 2
 19860517 1200 35.816 2
 19860518 1200 35.878 2
 19860519 1200 35.898 2
 19860520 1200 35.876 2
 19860521 1200 35.871 2
 19860522 1200 35.760 2
 19860523 1200 35.756 2
 19860524 1200 35.793 2
 19860525 1200 35.806 2
 19860526 1200 35.807 2
 19860527 1200 35.804 2
 19860528 1200 35.762 2
 19860529 1200 35.768 2
 19860530 1200 35.751 2
 19860531 1200 35.748 2
 19860601 1200 35.749 2
 19860602 1200 35.774 2
 19860603 1200 35.745 2
 19860604 1200 35.723 2
 19860605 1200 35.710 2
 19860606 1200 35.734 2
 19860607 1200 35.741 2
 19860608 1200 35.726 2
 19860609 1200 35.688 2
 19860610 1200 35.668 2
 19860611 1200 35.652 2
 19860612 1200 35.680 2
 19860613 1200 35.674 2
 19860614 1200 35.668 2
 19860615 1200 35.621 2
 19860616 1200 35.576 2
 19860617 1200 35.619 2
 19860618 1200 35.654 2
 19860619 1200 35.631 2
 19860620 1200 35.622 2
 19860621 1200 35.632 2
 19860622 1200 35.603 2
 19860623 1200 35.608 2
 19860624 1200 35.618 2
 19860625 1200 35.640 2
 19860626 1200 35.667 2
 19860627 1200 35.685 2
 19860628 1200 35.674 2
 19860629 1200 35.692 2
 19860630 1200 35.672 2
 19860701 1200 35.675 2
 19860702 1200 35.712 2
 Time: 1200 13 Dec 1986 to 1200 28 Jan 1992 (index   328 to  2200, 1873 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19861213 1200 35.590 2
 19861214 1200 35.634 2
 19861215 1200 35.631 2
 19861216 1200 35.622 2
 19861217 1200 35.631 2
 19861218 1200 35.597 2
 19861219 1200 35.624 2
 19861220 1200 35.583 2
 19861221 1200 35.597 2
 19861222 1200 35.588 2
 19861223 1200 35.593 2
 19861224 1200 35.570 2
 19861225 1200 35.562 2
 19861226 1200 35.561 2
 19861227 1200 35.560 2
 19861228 1200 35.470 2
 19861229 1200 35.495 2
 19861230 1200 35.584 2
 19861231 1200 35.530 2
 19870101 1200 35.516 2
 19870102 1200 35.549 2
 19870103 1200 35.473 2
 19870104 1200 35.490 2
 19870105 1200 35.480 2
 19870106 1200 35.477 2
 19870107 1200 35.445 2
 19870108 1200 35.444 2
 19870109 1200 35.446 2
 19870110 1200 35.458 2
 19870111 1200 35.416 2
 19870112 1200 35.426 2
 19870113 1200 35.408 2
 19870114 1200 35.407 2
 19870115 1200 35.422 2
 19870116 1200 35.430 2
 19870117 1200 35.465 2
 19870118 1200 35.406 2
 19870119 1200 35.421 2
 19870120 1200 35.435 2
 19870121 1200 35.432 2
 19870122 1200 35.427 2
 19870123 1200 35.414 2
 19870124 1200 35.456 2
 19870125 1200 35.441 2
 19870126 1200 35.447 2
 19870127 1200 35.455 2
 19870128 1200 35.464 2
 19870129 1200 35.492 2
 19870130 1200 35.499 2
 19870131 1200 35.479 2
 19870201 1200 35.513 2
 19870202 1200 35.502 2
 19870203 1200 35.480 2
 19870204 1200 35.473 2
 19870205 1200 35.466 2
 19870206 1200 35.504 2
 19870207 1200 35.498 2
 19870208 1200 35.472 2
 19870209 1200 35.487 2
 19870210 1200 35.489 2
 19870211 1200 35.512 2
 19870212 1200 35.533 2
 19870213 1200 35.508 2
 19870214 1200 35.526 2
 19870215 1200 35.538 2
 19870216 1200 35.535 2
 19870217 1200 35.577 2
 19870218 1200 35.589 2
