 Location:  0N  95W  15 Nov 1992 to 21 Sep 2013 ( 7616 times, 35 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 15 Nov 1992 to 1200 30 Nov 1992 (index     1 to    16,   16 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19921115 1200 34.729 2
 19921116 1200 34.737 2
 19921117 1200 34.730 2
 19921118 1200 34.755 2
 19921119 1200 34.762 2
 19921120 1200 34.749 2
 19921121 1200 34.733 2
 19921122 1200 34.750 2
 19921123 1200 34.775 2
 19921124 1200 34.760 2
 19921125 1200 34.732 2
 19921126 1200 34.720 2
 19921127 1200 34.825 2
 19921128 1200 34.800 2
 19921129 1200 34.766 2
 19921130 1200 34.730 2
 Time: 1200  3 Sep 1993 to 1200  6 Feb 1994 (index   293 to   449,  157 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19930903 1200 34.731 2
 19930904 1200 34.712 2
 19930905 1200 34.716 2
 19930906 1200 34.719 2
 19930907 1200 34.713 2
 19930908 1200 34.753 2
 19930909 1200 34.717 2
 19930910 1200 34.732 2
 19930911 1200 34.771 2
 19930912 1200 34.759 2
 19930913 1200 34.725 2
 19930914 1200 34.685 2
 19930915 1200 34.668 2
 19930916 1200 34.669 2
 19930917 1200 34.737 2
 19930918 1200 34.743 2
 19930919 1200 34.770 2
 19930920 1200 34.772 2
 19930921 1200 34.738 2
 19930922 1200 34.719 2
 19930923 1200 34.735 2
 19930924 1200 34.747 2
 19930925 1200 34.758 2
 19930926 1200 34.734 2
 19930927 1200 34.743 2
 19930928 1200 34.749 2
 19930929 1200 34.762 2
 19930930 1200 34.771 2
 19931001 1200 34.790 2
 19931002 1200 34.797 2
 19931003 1200 34.775 2
 19931004 1200 34.774 2
 19931005 1200 34.792 2
 19931006 1200 34.790 2
 19931007 1200 34.781 2
 19931008 1200 34.775 2
 19931009 1200 34.785 2
 19931010 1200 34.821 2
 19931011 1200 34.831 2
 19931012 1200 34.792 2
 19931013 1200 34.803 2
 19931014 1200 34.824 2
 19931015 1200 34.850 2
 19931016 1200 34.853 2
 19931017 1200 34.835 2
 19931018 1200 34.808 2
 19931019 1200 34.862 2
 19931020 1200 34.864 2
 19931021 1200 34.878 2
 19931022 1200 34.880 2
 19931023 1200 34.854 2
 19931024 1200 34.871 2
 19931025 1200 34.831 2
 19931026 1200 34.842 2
 19931027 1200 34.862 2
 19931028 1200 34.833 2
 19931029 1200 34.819 2
 19931030 1200 34.879 2
 19931031 1200 34.897 2
 19931101 1200 34.870 2
 19931102 1200 34.850 2
 19931103 1200 34.881 2
 19931104 1200 34.851 2
 19931105 1200 34.859 2
 19931106 1200 34.861 2
 19931107 1200 34.800 2
 19931108 1200 34.777 2
 19931109 1200 34.783 2
 19931110 1200 34.778 2
 19931111 1200 34.793 2
 19931112 1200 34.821 2
 19931113 1200 34.807 2
 19931114 1200 34.782 2
 19931115 1200 34.779 2
 19931116 1200 34.788 2
 19931117 1200 34.787 2
 19931118 1200 34.774 2
 19931119 1200 34.776 2
 19931120 1200 34.799 2
 19931121 1200 34.793 2
 19931122 1200 34.752 2
 19931123 1200 34.731 2
 19931124 1200 34.761 2
 19931125 1200 34.794 2
 19931126 1200 34.802 2
 19931127 1200 34.785 2
 19931128 1200 34.771 2
 19931129 1200 34.783 2
 19931130 1200 34.771 2
 19931201 1200 34.794 2
 19931202 1200 34.835 2
 19931203 1200 34.815 2
 19931204 1200 34.771 2
 19931205 1200 34.801 2
 19931206 1200 34.806 2
 19931207 1200 34.810 2
 19931208 1200 34.825 2
 19931209 1200 34.832 2
 19931210 1200 34.835 2
 19931211 1200 34.763 2
 19931212 1200 34.753 2
 19931213 1200 34.768 2
 19931214 1200 34.798 2
 19931215 1200 34.824 2
 19931216 1200 34.854 2
 19931217 1200 34.834 2
 19931218 1200 34.815 2
 19931219 1200 34.832 2
 19931220 1200 34.836 2
 19931221 1200 34.827 2
 19931222 1200 34.839 2
 19931223 1200 34.867 2
 19931224 1200 34.851 2
 19931225 1200 34.871 2
 19931226 1200 34.845 2
