 Location:  5N 110W   9 Nov 1985 to  7 Aug 2013 (10134 times, 24 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200  9 Nov 1985 to 1200 28 Aug 1986 (index     1 to   293,  293 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19851109 1200 34.963 2
 19851110 1200 34.962 2
 19851111 1200 34.959 2
 19851112 1200 34.956 2
 19851113 1200 34.977 2
 19851114 1200 34.967 2
 19851115 1200 34.946 2
 19851116 1200 34.962 2
 19851117 1200 34.998 2
 19851118 1200 34.974 2
 19851119 1200 34.972 2
 19851120 1200 35.020 2
 19851121 1200 34.957 2
 19851122 1200 34.991 2
 19851123 1200 35.029 2
 19851124 1200 35.068 2
 19851125 1200 35.048 2
 19851126 1200 35.049 2
 19851127 1200 35.042 2
 19851128 1200 35.070 2
 19851129 1200 35.043 2
 19851130 1200 35.031 2
 19851201 1200 35.077 2
 19851202 1200 35.022 2
 19851203 1200 35.040 2
 19851204 1200 35.024 2
 19851205 1200 35.020 2
 19851206 1200 34.971 2
 19851207 1200 34.978 2
 19851208 1200 34.964 2
 19851209 1200 34.929 2
 19851210 1200 34.926 2
 19851211 1200 34.916 2
 19851212 1200 34.921 2
 19851213 1200 34.896 2
 19851214 1200 34.892 2
 19851215 1200 34.945 2
 19851216 1200 34.975 2
 19851217 1200 34.949 2
 19851218 1200 34.991 2
 19851219 1200 35.013 2
 19851220 1200 35.022 2
 19851221 1200 35.010 2
 19851222 1200 35.037 2
 19851223 1200 35.041 2
 19851224 1200 35.045 2
 19851225 1200 35.020 2
 19851226 1200 35.018 2
 19851227 1200 35.048 2
 19851228 1200 35.071 2
 19851229 1200 35.044 2
 19851230 1200 35.097 2
 19851231 1200 35.098 2
 19860101 1200 35.099 2
 19860102 1200 35.111 2
 19860103 1200 35.149 2
 19860104 1200 35.119 2
 19860105 1200 35.042 2
 19860106 1200 35.073 2
 19860107 1200 35.085 2
 19860108 1200 35.036 2
 19860109 1200 35.001 2
 19860110 1200 35.001 2
 19860111 1200 34.996 2
 19860112 1200 34.981 2
 19860113 1200 34.967 2
 19860114 1200 34.996 2
 19860115 1200 34.895 2
 19860116 1200 34.867 2
 19860117 1200 34.876 2
 19860118 1200 34.871 2
 19860119 1200 34.841 2
 19860120 1200 34.822 2
 19860121 1200 34.836 2
 19860122 1200 34.864 2
 19860123 1200 34.846 2
 19860124 1200 34.848 2
 19860125 1200 34.847 2
 19860126 1200 34.818 2
 19860127 1200 34.823 2
 19860128 1200 34.904 2
 19860129 1200 34.890 2
 19860130 1200 34.877 2
 19860131 1200 34.917 2
 19860201 1200 34.956 2
