 Location:  5S  95W  24 Apr 1994 to 23 May 2012 ( 6605 times,  6 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 24 Apr 1994 to 1200 15 Sep 1995 (index     1 to   510,  510 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19940424 1200 26.69 1 5
 19940425 1200 26.67 1 5
 19940426 1200 26.77 1 5
 19940427 1200 26.83 1 5
 19940428 1200 26.90 1 5
 19940429 1200 26.64 1 5
 19940430 1200 26.36 1 5
 19940501 1200 26.34 1 5
 19940502 1200 26.11 1 5
 19940503 1200 25.99 1 5
 19940504 1200 25.85 1 5
 19940505 1200 25.87 1 5
 19940506 1200 25.86 1 5
 19940507 1200 25.90 1 5
 19940508 1200 25.92 1 5
 19940509 1200 25.99 1 5
 19940510 1200 25.92 1 5
 19940511 1200 25.90 1 5
 19940512 1200 25.95 1 5
 19940513 1200 25.92 1 5
 19940514 1200 25.88 1 5
 19940515 1200 26.11 1 5
 19940516 1200 25.98 1 5
 19940517 1200 25.74 1 5
 19940518 1200 25.58 1 5
 19940519 1200 25.35 1 5
 19940520 1200 25.19 1 5
 19940521 1200 25.17 1 5
 19940522 1200 25.25 1 5
 19940523 1200 25.34 1 5
 19940524 1200 25.30 1 5
 19940525 1200 25.31 1 5
 19940526 1200 25.62 1 5
 19940527 1200 25.88 1 5
 19940528 1200 25.81 1 5
 19940529 1200 25.08 1 5
 19940530 1200 25.16 1 5
 19940531 1200 25.71 1 5
 19940601 1200 25.58 1 5
 19940602 1200 25.59 1 5
 19940603 1200 25.17 1 5
 19940604 1200 24.99 1 5
 19940605 1200 24.95 1 5
 19940606 1200 24.97 1 5
 19940607 1200 24.92 1 5
 19940608 1200 24.89 1 5
 19940609 1200 24.83 1 5
 19940610 1200 24.48 1 5
 19940611 1200 24.39 1 5
 19940612 1200 24.41 1 5
 19940613 1200 24.32 1 5
 19940614 1200 24.18 1 5
 19940615 1200 24.16 1 5
 19940616 1200 23.99 1 5
 19940617 1200 23.33 1 5
 19940618 1200 23.22 1 5
 19940619 1200 23.17 1 5
 19940620 1200 23.21 1 5
 19940621 1200 23.25 1 5
 19940622 1200 23.31 1 5
 19940623 1200 23.16 1 5
 19940624 1200 23.16 1 5
 19940625 1200 23.09 1 5
 19940626 1200 23.14 1 5
 19940627 1200 23.25 1 5
 19940628 1200 23.18 1 5
 19940629 1200 23.15 1 5
 19940630 1200 23.09 1 5
 19940701 1200 22.98 1 5
 19940702 1200 22.88 1 5
 19940703 1200 22.88 1 5
 19940704 1200 22.92 1 5
 19940705 1200 23.04 1 5
 19940706 1200 23.06 1 5
 19940707 1200 23.00 1 5
 19940708 1200 22.88 1 5
 19940709 1200 22.83 1 5
 19940710 1200 22.90 1 5
 19940711 1200 23.17 1 5
 19940712 1200 23.33 1 5
 19940713 1200 23.22 1 5
 19940714 1200 23.21 1 5
 19940715 1200 23.23 1 5
 19940716 1200 23.24 1 5
 19940717 1200 23.27 1 5
 19940718 1200 23.28 1 5
 19940719 1200 23.28 1 5
 19940720 1200 23.29 1 5
 19940721 1200 23.31 1 5
 19940722 1200 23.28 1 5
 19940723 1200 23.27 1 5
 19940724 1200 23.30 1 5
 19940725 1200 23.33 1 5
 19940726 1200 23.34 1 5
 19940727 1200 23.28 1 5
 19940728 1200 23.28 1 5
 19940729 1200 23.24 1 5
 19940730 1200 23.18 1 5
 19940731 1200 23.10 1 5
 19940801 1200 23.03 1 5
