 Location:  0N 125W  23 Apr 1984 to  4 Jun 2012 (10270 times, 16 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 23 Apr 1984 to 1200  4 Oct 1985 (index     1 to   530,  530 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19840423 1200 25.66 2 5
 19840424 1200 25.79 2 5
 19840425 1200 26.01 2 5
 19840426 1200 25.88 2 5
 19840427 1200 25.90 2 5
 19840428 1200 26.09 2 5
 19840429 1200 26.20 2 5
 19840430 1200 26.34 2 5
 19840501 1200 26.25 2 5
 19840502 1200 26.07 2 5
 19840503 1200 25.87 2 5
 19840504 1200 25.94 2 5
 19840505 1200 26.45 2 5
 19840506 1200 26.68 2 5
 19840507 1200 26.77 2 5
 19840508 1200 26.36 2 5
 19840509 1200 25.84 2 5
 19840510 1200 25.32 2 5
 19840511 1200 25.36 2 5
 19840512 1200 25.72 2 5
 19840513 1200 25.47 2 5
 19840514 1200 25.30 2 5
 19840515 1200 24.68 2 5
 19840516 1200 24.74 2 5
 19840517 1200 25.00 2 5
 19840518 1200 24.84 2 5
 19840519 1200 24.79 2 5
 19840520 1200 24.90 2 5
 19840521 1200 25.10 2 5
 19840522 1200 25.04 2 5
 19840523 1200 24.34 2 5
 19840524 1200 24.41 2 5
 19840525 1200 24.99 2 5
 19840526 1200 25.24 2 5
 19840527 1200 25.03 2 5
 19840528 1200 24.72 2 5
 19840529 1200 24.18 2 5
 19840530 1200 24.00 2 5
 19840531 1200 24.06 2 5
 19840601 1200 23.61 2 5
 19840602 1200 22.80 2 5
 19840603 1200 22.61 2 5
 19840604 1200 22.57 2 5
 19840605 1200 22.55 2 5
 19840606 1200 22.52 2 5
 19840607 1200 22.62 2 5
 19840608 1200 22.50 2 5
 19840609 1200 22.38 2 5
 19840610 1200 22.61 2 5
 19840611 1200 22.79 2 5
 19840612 1200 22.91 2 5
 19840613 1200 23.19 2 5
 19840614 1200 23.30 2 5
 19840615 1200 23.08 2 5
 19840616 1200 22.93 2 5
 19840617 1200 22.79 2 5
 19840618 1200 22.65 2 5
 19840619 1200 22.74 2 5
 19840620 1200 22.82 2 5
 19840621 1200 22.85 2 5
 19840622 1200 22.56 2 5
