 Location:  0N 110W   7 Mar 1980 to 29 Jul 2013 (12198 times, 21 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200  7 Mar 1980 to 1200 21 Mar 1980 (index     1 to    15,   15 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19800307 1200 26.24 2 5
 19800308 1200 25.97 2 5
 19800309 1200 25.28 2 5
 19800310 1200 24.31 2 5
 19800311 1200 23.19 2 5
 19800312 1200 23.64 2 5
 19800313 1200 24.34 2 5
 19800314 1200 24.14 2 5
 19800315 1200 24.24 2 5
 19800316 1200 25.94 2 5
 19800317 1200 26.65 2 5
 19800318 1200 27.13 2 5
 19800319 1200 26.35 2 5
 19800320 1200 25.87 2 5
 19800321 1200 25.38 2 5
 Time: 1200 11 Aug 1980 to 1200 29 Mar 1981 (index   158 to   388,  231 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19800811 1200 21.81 2 5
 19800812 1200 21.58 2 5
 19800813 1200 21.32 2 5
 19800814 1200 21.19 2 5
 19800815 1200 21.47 2 5
 19800816 1200 21.89 2 5
 19800817 1200 21.85 2 5
 19800818 1200 21.74 2 5
 19800819 1200 21.70 2 5
 19800820 1200 21.75 2 5
 19800821 1200 21.70 2 5
 19800822 1200 22.07 2 5
 19800823 1200 22.32 2 5
 19800824 1200 21.91 2 5
 19800825 1200 21.96 2 5
 19800826 1200 22.25 2 5
 19800827 1200 22.61 2 5
 19800828 1200 22.69 2 5
 19800829 1200 23.08 2 5
 19800830 1200 24.55 2 5
 19800831 1200 24.79 2 5
 19800901 1200 24.04 2 5
 19800902 1200 23.00 2 5
 19800903 1200 22.16 2 5
 19800904 1200 21.85 2 5
 19800905 1200 21.61 2 5
 19800906 1200 21.52 2 5
 19800907 1200 21.69 2 5
 19800908 1200 21.80 2 5
 19800909 1200 21.88 2 5
 19800910 1200 22.09 2 5
 19800911 1200 22.11 2 5
 19800912 1200 22.00 2 5
 19800913 1200 21.88 2 5
 19800914 1200 21.93 2 5
 19800915 1200 22.24 2 5
 19800916 1200 22.59 2 5
 19800917 1200 23.32 2 5
 19800918 1200 23.13 2 5
 19800919 1200 23.36 2 5
 19800920 1200 23.69 2 5
 19800921 1200 23.60 2 5
 19800922 1200 24.11 2 5
 19800923 1200 24.28 2 5
 19800924 1200 23.77 2 5
 19800925 1200 22.87 2 5
 19800926 1200 22.05 2 5
 19800927 1200 21.81 2 5
 19800928 1200 21.71 2 5
 19800929 1200 22.07 2 5
 19800930 1200 22.38 2 5
 19801001 1200 22.44 2 5
 19801002 1200 22.16 2 5
 19801003 1200 21.88 2 5
 19801004 1200 21.66 2 5
 19801005 1200 21.42 2 5
 19801006 1200 21.17 2 5
 19801007 1200 21.20 2 5
 19801008 1200 20.97 2 5
 19801009 1200 20.71 2 5
 19801010 1200 20.74 2 5
 19801011 1200 20.72 2 5
 19801012 1200 20.51 2 5
 19801013 1200 20.71 2 5
 19801014 1200 20.52 2 5
 19801015 1200 20.62 2 5
 19801016 1200 20.47 2 5
 19801017 1200 20.59 2 5
 19801018 1200 20.73 2 5
 19801019 1200 21.07 2 5
 19801020 1200 21.08 2 5
 19801021 1200 21.18 2 5
 19801022 1200 21.36 2 5
 19801023 1200 21.46 2 5
 19801024 1200 21.60 2 5
 19801025 1200 21.78 2 5
 19801026 1200 21.84 2 5
 19801027 1200 21.73 2 5
 19801028 1200 21.75 2 5
 19801029 1200 21.74 2 5
 19801030 1200 21.80 2 5
 19801031 1200 22.26 2 5
 19801101 1200 22.92 2 5
 19801102 1200 23.24 2 5
 19801103 1200 23.62 2 5
 19801104 1200 23.88 2 5
 19801105 1200 24.22 2 5
 19801106 1200 24.53 2 5
 19801107 1200 24.58 2 5
 19801108 1200 24.59 2 5
 19801109 1200 24.50 2 5
 19801110 1200 24.23 2 5
 19801111 1200 23.11 2 5
 19801112 1200 22.08 2 5
 19801113 1200 22.40 2 5
 19801114 1200 22.60 2 5
 19801115 1200 22.80 2 5
 19801116 1200 22.91 2 5
 19801117 1200 22.73 2 5
 19801118 1200 22.57 2 5
 19801119 1200 22.56 2 5
 19801120 1200 22.41 2 5
 19801121 1200 22.53 2 5
 19801122 1200 22.70 2 5
 19801123 1200 22.81 2 5
 19801124 1200 23.09 2 5
 19801125 1200 23.62 2 5
 19801126 1200 24.54 2 5
 19801127 1200 25.09 2 5
 19801128 1200 24.70 2 5
 19801129 1200 23.64 2 5
 19801130 1200 22.17 2 5
 19801201 1200 22.02 2 5
 19801202 1200 22.20 2 5
 19801203 1200 22.39 2 5
 19801204 1200 22.55 2 5
 19801205 1200 22.66 2 5
 19801206 1200 22.69 2 5
 19801207 1200 22.81 2 5
 19801208 1200 23.00 2 5
 19801209 1200 22.90 2 5
 19801210 1200 22.86 2 5
 19801211 1200 23.16 2 5
 19801212 1200 23.16 2 5
 19801213 1200 23.32 2 5
 19801214 1200 23.86 2 5
 19801215 1200 24.86 2 5
 19801216 1200 25.72 2 5
 19801217 1200 25.25 2 5
 19801218 1200 25.16 2 5
 19801219 1200 24.65 2 5
 19801220 1200 23.52 2 5
 19801221 1200 23.03 2 5
 19801222 1200 23.13 2 5
 19801223 1200 23.35 2 5
 19801224 1200 23.43 2 5
 19801225 1200 23.26 2 5
 19801226 1200 23.15 2 5
 19801227 1200 22.92 2 5
 19801228 1200 22.87 2 5
 19801229 1200 22.78 2 5
 19801230 1200 22.69 2 5
 19801231 1200 22.68 2 5
 19810101 1200 22.58 2 5
 19810102 1200 22.47 2 5
 19810103 1200 22.39 2 5
 19810104 1200 22.52 2 5
 19810105 1200 22.69 2 5
 19810106 1200 22.60 2 5
 19810107 1200 22.42 2 5
 19810108 1200 22.27 2 5
 19810109 1200 22.39 2 5
 19810110 1200 22.56 2 5
 19810111 1200 22.47 2 5
 19810112 1200 22.44 2 5
 19810113 1200 22.41 2 5
 19810114 1200 22.28 2 5
 19810115 1200 22.58 2 5
 19810116 1200 23.00 2 5
 19810117 1200 22.92 2 5
 19810118 1200 22.92 2 5
 19810119 1200 22.88 2 5
 19810120 1200 22.81 2 5
 19810121 1200 22.83 2 5
 19810122 1200 22.95 2 5
 19810123 1200 23.05 2 5
 19810124 1200 23.12 2 5
 19810125 1200 23.02 2 5
 19810126 1200 22.57 2 5
 19810127 1200 22.96 2 5
 19810128 1200 23.13 2 5
 19810129 1200 23.12 2 5
 19810130 1200 22.97 2 5
 19810131 1200 23.15 2 5
 19810201 1200 23.07 2 5
 19810202 1200 23.09 2 5
 19810203 1200 23.11 2 5
 19810204 1200 23.12 2 5
 19810205 1200 23.20 2 5
 19810206 1200 24.19 2 5
 19810207 1200 25.33 2 5
 19810208 1200 25.73 2 5
 19810209 1200 25.81 2 5
 19810210 1200 25.69 2 5
 19810211 1200 25.59 2 5
 19810212 1200 25.32 2 5
 19810213 1200 24.65 2 5
 19810214 1200 23.83 2 5
 19810215 1200 23.69 2 5
 19810216 1200 23.37 2 5
 19810217 1200 23.38 2 5
 19810218 1200 23.67 2 5
 19810219 1200 23.61 2 5
 19810220 1200 23.65 2 5
 19810221 1200 23.87 2 5
 19810222 1200 23.95 2 5
 19810223 1200 23.96 2 5
 19810224 1200 24.14 2 5
 19810225 1200 23.87 2 5
 19810226 1200 24.00 2 5
 19810227 1200 24.10 2 5
 19810228 1200 24.00 2 5
 19810301 1200 24.38 2 5
 19810302 1200 24.65 2 5
 19810303 1200 23.78 2 5
 19810304 1200 23.83 2 5
 19810305 1200 23.43 2 5
 19810306 1200 24.32 2 5
 19810307 1200 24.59 2 5
 19810308 1200 25.05 2 5
 19810309 1200 24.37 2 5
 19810310 1200 24.38 2 5
 19810311 1200 24.40 2 5
 19810312 1200 24.37 2 5
 19810313 1200 24.54 2 5
 19810314 1200 24.80 2 5
 19810315 1200 25.16 2 5
 19810316 1200 26.29 2 5
 19810317 1200 27.28 2 5
 19810318 1200 26.97 2 5
 19810319 1200 26.86 2 5
 19810320 1200 27.53 2 5
 19810321 1200 27.71 2 5
 19810322 1200 27.64 2 5
 19810323 1200 27.54 2 5
 19810324 1200 27.45 2 5
 19810325 1200 27.46 2 5
 19810326 1200 27.41 2 5
 19810327 1200 27.08 2 5
 19810328 1200 26.91 2 5
 19810329 1200 26.62 2 5
 Time: 1200 12 Jul 1981 to 1200 19 Aug 1981 (index   493 to   531,   39 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19810712 1200 23.86 2 5
 19810713 1200 23.59 2 5
 19810714 1200 23.55 2 5
 19810715 1200 23.83 2 5
 19810716 1200 23.45 2 5
 19810717 1200 22.63 2 5
 19810718 1200 22.41 2 5
 19810719 1200 22.51 2 5
 19810720 1200 22.39 2 5
 19810721 1200 22.35 2 5
 19810722 1200 22.60 2 5
 19810723 1200 22.88 2 5
 19810724 1200 22.87 2 5
 19810725 1200 22.33 2 5
 19810726 1200 21.68 2 5
 19810727 1200 21.54 2 5
 19810728 1200 21.51 2 5
 19810729 1200 20.95 2 5
 19810730 1200 20.56 2 5
 19810731 1200 20.41 2 5
 19810801 1200 20.08 2 5
 19810802 1200 19.98 2 5
 19810803 1200 20.12 2 5
 19810804 1200 20.32 2 5
 19810805 1200 20.35 2 5
 19810806 1200 20.48 2 5
 19810807 1200 20.38 2 5
 19810808 1200 20.28 2 5
 19810809 1200 20.31 2 5
 19810810 1200 19.70 2 5
 19810811 1200 19.67 2 5
 19810812 1200 20.36 2 5
 19810813 1200 20.81 2 5
 19810814 1200 21.12 2 5
 19810815 1200 21.10 2 5
 19810816 1200 21.11 2 5
 19810817 1200 20.89 2 5
 19810818 1200 20.66 2 5
 19810819 1200 21.36 2 5
 Time: 1200  1 Nov 1981 to 1200 16 Nov 1981 (index   605 to   620,   16 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19811101 1200 21.52 2 5
 19811102 1200 21.57 2 5
 19811103 1200 21.86 2 5
 19811104 1200 21.86 2 5
 19811105 1200 21.69 2 5
 19811106 1200 21.61 2 5
 19811107 1200 21.53 2 5
 19811108 1200 21.30 2 5
 19811109 1200 21.65 2 5
 19811110 1200 22.56 2 5
 19811111 1200 23.13 2 5
 19811112 1200 23.21 2 5
 19811113 1200 23.59 2 5
 19811114 1200 24.08 2 5
 19811115 1200 23.34 2 5
 19811116 1200 23.47 2 5
 Time: 1200 27 Oct 1982 to 1200 22 Apr 1983 (index   965 to  1142,  178 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19821027 1200 26.46 2 5
 19821028 1200 26.48 2 5
 19821029 1200 26.48 2 5
 19821030 1200 26.48 2 5
 19821031 1200 26.38 2 5
 19821101 1200 26.26 2 5
 19821102 1200 26.26 2 5
 19821103 1200 26.33 2 5
 19821104 1200 26.40 2 5
 19821105 1200 26.47 2 5
 19821106 1200 26.46 2 5
 19821107 1200 26.41 2 5
 19821108 1200 26.37 2 5
 19821109 1200 26.44 2 5
 19821110 1200 26.45 2 5
 19821111 1200 26.43 2 5
 19821112 1200 26.39 2 5
 19821113 1200 26.42 2 5
 19821114 1200 26.48 2 5
 19821115 1200 26.51 2 5
 19821116 1200 26.53 2 5
 19821117 1200 26.55 2 5
 19821118 1200 26.56 2 5
 19821119 1200 26.68 2 5
 19821120 1200 26.77 2 5
 19821121 1200 26.74 2 5
