 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19921116 1200 25.33 2 5
 19921117 1200 25.60 2 5
 19921118 1200 25.42 2 5
 19921119 1200 25.36 2 5
 19921120 1200 25.32 2 5
 19921121 1200 24.91 2 5
 19921122 1200 24.39 2 5
 19921123 1200 24.58 2 5
 19921124 1200 24.75 2 5
 19921125 1200 25.08 2 5
 19921126 1200 25.60 2 5
 19921127 1200 25.80 2 5
 19921128 1200 25.77 2 5
 19921129 1200 25.53 2 5
 19921130 1200 25.49 2 5
 19921201 1200 25.54 2 5
 19921202 1200 25.55 2 5
 19921203 1200 25.54 2 5
 19921204 1200 25.51 2 5
 19921205 1200 25.54 2 5
 19921206 1200 25.63 2 5
 19921207 1200 25.80 2 5
 19921208 1200 25.93 2 5
 19921209 1200 26.15 2 5
 19921210 1200 25.97 2 5
 19921211 1200 26.04 2 5
 19921212 1200 26.19 2 5
 19921213 1200 26.10 2 5
 19921214 1200 25.97 2 5
 19921215 1200 25.73 2 5
 19921216 1200 25.68 2 5
 19921217 1200 26.01 2 5
 19921218 1200 26.14 2 5
 19921219 1200 26.23 2 5
 19921220 1200 26.19 2 5
 19921221 1200 26.16 2 5
 19921222 1200 26.11 2 5
 19921223 1200 26.11 2 5
 19921224 1200 25.99 2 5
 19921225 1200 25.64 2 5
 19921226 1200 25.55 2 5
 19921227 1200 25.54 2 5
 19921228 1200 25.56 2 5
 19921229 1200 25.92 2 5
 19921230 1200 25.74 2 5
 19921231 1200 25.73 2 5
 19930101 1200 25.98 2 5
 19930102 1200 26.19 2 5
 19930103 1200 26.16 2 5
 19930104 1200 25.50 2 5
 19930105 1200 24.37 2 5
 19930106 1200 24.65 2 5
 19930107 1200 24.76 2 5
 19930108 1200 24.71 2 5
 19930109 1200 23.90 2 5
 19930110 1200 24.07 2 5
 19930111 1200 24.20 2 5
 19930112 1200 24.43 2 5
 19930113 1200 24.79 2 5
 19930114 1200 24.32 2 5
 19930115 1200 23.92 2 5
 19930116 1200 23.92 2 5
 19930117 1200 24.05 2 5
 19930118 1200 23.81 2 5
 19930119 1200 23.76 2 5
 19930120 1200 23.70 2 5
 19930121 1200 23.79 2 5
 19930122 1200 24.11 2 5
 19930123 1200 24.73 2 5
 19930124 1200 25.72 2 5
 19930125 1200 25.91 2 5
 19930126 1200 25.78 2 5
 19930127 1200 25.72 2 5
 19930128 1200 25.64 2 5
 19930129 1200 26.03 2 5
 19930130 1200 26.49 2 5
 19930131 1200 26.61 2 5
 19930201 1200 26.71 2 5
 19930202 1200 26.72 2 5
 19930203 1200 26.86 2 5
 19930204 1200 27.01 2 5
 19930205 1200 27.05 2 5
 19930206 1200 27.19 2 5
 19930207 1200 27.35 2 5
 19930208 1200 27.53 2 5
 19930209 1200 27.35 2 5
 19930210 1200 27.36 2 5
 19930211 1200 27.60 2 5
 19930212 1200 27.87 2 5
 19930213 1200 27.53 2 5
 19930214 1200 27.24 2 5
 19930215 1200 27.21 2 5
 19930216 1200 27.31 2 5
 19930217 1200 27.77 2 5
 19930218 1200 27.61 2 5
 19930219 1200 27.38 2 5
 19930220 1200 27.62 2 5
 19930221 1200 27.62 2 5
 19930222 1200 27.46 2 5
 19930223 1200 26.98 2 5
 19930224 1200 27.26 2 5
 19930225 1200 27.34 2 5
 19930226 1200 27.36 2 5
 19930227 1200 26.69 2 5
 19930228 1200 26.61 2 5
 19930301 1200 -9.99 0 0
 19930302 1200 -9.99 0 0
 19930303 1200 27.21 2 1
 19930304 1200 27.84 2 1
 19930305 1200 28.11 2 1
 19930306 1200 28.24 2 1
 19930307 1200 28.36 2 1
 19930308 1200 28.55 2 1
 19930309 1200 28.41 2 1
 19930310 1200 28.31 2 1
 19930311 1200 27.69 2 1
 19930312 1200 27.26 2 1
 19930313 1200 27.09 2 1
 19930314 1200 27.47 2 1
 19930315 1200 27.69 2 1
 19930316 1200 27.53 2 1
 19930317 1200 27.96 2 1
 19930318 1200 -9.99 0 0
 19930319 1200 28.34 2 1
 19930320 1200 28.60 2 1
 19930321 1200 28.09 2 1
 19930322 1200 28.20 2 1
 19930323 1200 27.96 2 1
 19930324 1200 28.78 2 1
 19930325 1200 28.86 2 1
 19930326 1200 29.21 2 1
 19930327 1200 29.17 2 1
 19930328 1200 29.12 2 1
 19930329 1200 29.28 2 1
 19930330 1200 29.35 2 1
 19930331 1200 29.36 2 1
 19930401 1200 29.80 2 1
 19930402 1200 29.77 2 1
 19930403 1200 29.63 2 1
 19930404 1200 29.55 2 1
 19930405 1200 29.39 2 1
 19930406 1200 29.24 2 1
 19930407 1200 29.06 2 1
 19930408 1200 28.99 2 1
 19930409 1200 29.29 2 1
 19930410 1200 29.61 2 1
 19930411 1200 29.37 2 1
 19930412 1200 29.29 2 1
 19930413 1200 29.35 2 1
 19930414 1200 29.25 2 1
 19930415 1200 29.09 2 1
 19930416 1200 29.03 2 1
 19930417 1200 29.07 2 1
 19930418 1200 29.17 2 1
 19930419 1200 29.23 2 1
 19930420 1200 29.50 2 1
 19930421 1200 29.61 2 1
 19930422 1200 29.49 2 1
 19930423 1200 29.46 2 1
 19930424 1200 29.53 2 1
 19930425 1200 29.29 2 1
 19930426 1200 29.05 2 1
 19930427 1200 29.17 2 1
 19930428 1200 29.33 2 1
 19930429 1200 29.42 2 1
 19930430 1200 29.40 2 1
 19930501 1200 29.32 2 1
 19930502 1200 29.29 2 1
 19930503 1200 29.14 2 1
 19930504 1200 28.64 2 1
 19930505 1200 28.04 2 1
 19930506 1200 27.65 2 1
 19930507 1200 27.51 2 1
 19930508 1200 27.35 2 1
 19930509 1200 27.23 2 1
 19930510 1200 27.27 2 1
 19930511 1200 27.07 2 1
 19930512 1200 27.19 2 1
 19930513 1200 27.28 2 1
 19930514 1200 27.45 2 1
 19930515 1200 27.55 2 1
 19930516 1200 27.85 2 1
 19930517 1200 27.97 2 1
 19930518 1200 27.99 2 1
