 Location:  8N  95W   9 Aug 1994 to 19 Sep 2013 ( 6982 times,  5 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200  9 Aug 1994 to 1200 15 Mar 1995 (index     1 to   219,  219 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19940809 1200 26.06 2 1
 19940810 1200 26.09 2 1
 19940811 1200 26.16 2 1
 19940812 1200 26.49 2 1
 19940813 1200 26.32 2 1
 19940814 1200 26.95 2 1
 19940815 1200 27.15 2 1
 19940816 1200 27.59 2 1
 19940817 1200 27.80 2 1
 19940818 1200 28.57 2 1
 19940819 1200 28.39 2 1
 19940820 1200 27.80 2 1
 19940821 1200 27.93 2 1
 19940822 1200 27.68 2 1
 19940823 1200 27.49 2 1
 19940824 1200 27.56 2 1
 19940825 1200 27.82 2 1
 19940826 1200 28.21 2 1
 19940827 1200 28.33 2 1
 19940828 1200 27.96 2 1
 19940829 1200 27.71 2 1
 19940830 1200 27.70 2 1
 19940831 1200 27.94 2 1
 19940901 1200 28.06 2 1
 19940902 1200 28.26 2 1
 19940903 1200 28.18 2 1
 19940904 1200 27.83 2 1
 19940905 1200 28.07 2 1
 19940906 1200 28.17 2 1
 19940907 1200 28.21 2 1
 19940908 1200 28.13 2 1
 19940909 1200 27.92 2 1
 19940910 1200 27.95 2 1
 19940911 1200 27.94 2 1
 19940912 1200 27.94 2 1
 19940913 1200 27.72 2 1
 19940914 1200 28.04 2 1
 19940915 1200 28.08 2 1
 19940916 1200 27.81 2 1
 19940917 1200 27.86 2 1
 19940918 1200 27.59 2 1
 19940919 1200 27.84 2 1
 19940920 1200 28.04 2 1
 19940921 1200 28.27 2 1
 19940922 1200 28.25 2 1
 19940923 1200 28.04 2 1
 19940924 1200 27.76 2 1
 19940925 1200 27.44 2 1
 19940926 1200 27.22 2 1
 19940927 1200 27.48 2 1
 19940928 1200 26.75 2 1
 19940929 1200 26.06 2 1
 19940930 1200 26.21 2 1
 19941001 1200 26.57 2 1
 19941002 1200 26.48 2 1
 19941003 1200 26.45 2 1
 19941004 1200 26.72 2 1
 19941005 1200 26.63 2 1
 19941006 1200 26.79 2 1
 19941007 1200 26.92 2 1
 19941008 1200 26.86 2 1
 19941009 1200 26.82 2 1
 19941010 1200 26.75 2 1
 19941011 1200 26.76 2 1
 19941012 1200 26.63 2 1
 19941013 1200 26.67 2 1
 19941014 1200 26.79 2 1
 19941015 1200 27.31 2 1
 19941016 1200 27.55 2 1
 19941017 1200 27.59 2 1
 19941018 1200 27.73 2 1
 19941019 1200 27.70 2 1
 19941020 1200 27.40 2 1
 19941021 1200 27.39 2 1
 19941022 1200 27.39 2 1
 19941023 1200 27.33 2 1
 19941024 1200 27.27 2 1
 19941025 1200 26.97 2 1
 19941026 1200 27.02 2 1
 19941027 1200 27.16 2 1
 19941028 1200 27.45 2 1
 19941029 1200 27.67 2 1
 19941030 1200 27.61 2 1
 19941031 1200 27.75 2 1
 19941101 1200 27.62 2 1
 19941102 1200 27.70 2 1
 19941103 1200 27.63 2 1
 19941104 1200 27.50 2 1
 19941105 1200 27.40 2 1
 19941106 1200 -9.99 0 0
 19941107 1200 27.45 2 1
 19941108 1200 27.61 2 1
 19941109 1200 27.62 2 1
 19941110 1200 27.45 2 1
 19941111 1200 27.50 2 1
 19941112 1200 27.57 2 1
 19941113 1200 27.76 2 1
 19941114 1200 27.77 2 1
 19941115 1200 27.48 2 1
 19941116 1200 27.39 2 1
 19941117 1200 27.51 2 1
 19941118 1200 27.91 2 1
 19941119 1200 27.51 2 1
 19941120 1200 27.35 2 1
 19941121 1200 27.26 2 1
 19941122 1200 27.36 2 1
 19941123 1200 27.41 2 1
 19941124 1200 27.26 2 1
 19941125 1200 27.32 2 1
 19941126 1200 27.56 2 1
 19941127 1200 27.57 2 1
 19941128 1200 27.38 2 1
 19941129 1200 27.25 2 1
 19941130 1200 27.19 2 1
 19941201 1200 27.24 2 1
 19941202 1200 27.34 2 1
 19941203 1200 27.51 2 1
 19941204 1200 27.59 2 1
 19941205 1200 27.43 2 1
 19941206 1200 27.29 2 1
 19941207 1200 27.48 2 1
 19941208 1200 27.55 2 1
 19941209 1200 27.57 2 1
 19941210 1200 27.38 2 1
 19941211 1200 27.29 2 1
 19941212 1200 27.33 2 1
 19941213 1200 27.36 2 1
 19941214 1200 27.37 2 1
 19941215 1200 27.36 2 1
 19941216 1200 27.27 2 1
 19941217 1200 27.36 2 1
 19941218 1200 27.34 2 1
 19941219 1200 27.39 2 1
 19941220 1200 27.37 2 1
 19941221 1200 27.34 2 1
 19941222 1200 27.37 2 1
 19941223 1200 27.46 2 1
 19941224 1200 27.41 2 1
 19941225 1200 27.62 2 1
 19941226 1200 27.77 2 1
 19941227 1200 27.79 2 1
 19941228 1200 27.81 2 1
 19941229 1200 27.83 2 1
 19941230 1200 27.68 2 1
 19941231 1200 27.65 2 1
 19950101 1200 27.65 2 1
