 Location:  2S 140W  13 Jun 1986 to 13 Nov 2013 (10016 times, 15 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 13 Jun 1986 to 1200  8 Jul 1987 (index     1 to   391,  391 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860613 1200  -7.7   1.9   8.0 284.0 22 11
 19860614 1200  -7.7   3.2   8.4 292.5 22 11
 19860615 1200  -7.9   3.0   8.4 290.6 22 11
 19860616 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19860617 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19860618 1200  -6.6   4.2   7.8 302.3 22 11
 19860619 1200  -5.9   5.1   7.8 310.9 22 11
 19860620 1200  -6.8   4.3   8.0 302.0 22 11
 19860621 1200  -7.7   4.0   8.7 297.1 22 11
 19860622 1200  -7.1   5.6   9.0 308.5 22 11
 19860623 1200  -6.4   5.4   8.4 310.4 22 11
 19860624 1200  -6.5   4.1   7.6 302.2 22 11
 19860625 1200  -5.6   3.3   6.5 300.4 22 11
 19860626 1200  -5.1   3.9   6.4 307.0 22 11
 19860627 1200  -5.5   5.0   7.4 312.3 22 11
 19860628 1200  -5.2   5.2   7.4 314.7 22 11
 19860629 1200  -4.6   4.6   6.5 315.0 22 11
 19860630 1200  -5.3   3.2   6.2 301.2 22 11
 19860701 1200  -5.8   2.6   6.4 293.8 22 11
 19860702 1200  -5.6   2.7   6.2 296.1 22 11
 19860703 1200  -5.9   3.1   6.6 297.6 22 11
 19860704 1200  -6.1   3.1   6.8 296.6 22 11
 19860705 1200  -5.3   3.5   6.4 303.3 22 11
 19860706 1200  -5.0   3.2   6.0 302.9 22 11
 19860707 1200  -6.4   2.3   6.8 290.0 22 11
 19860708 1200  -7.4   3.0   8.0 292.0 22 11
 19860709 1200  -7.5   3.5   8.3 295.3 22 11
 19860710 1200  -7.5   4.0   8.5 298.5 22 11
 19860711 1200  -6.8   4.5   8.2 303.2 22 11
 19860712 1200  -6.2   3.9   7.3 302.0 22 11
 19860713 1200  -6.1   3.3   6.9 298.6 22 11
 19860714 1200  -6.5   2.5   7.0 290.5 22 11
 19860715 1200  -6.9   1.0   7.0 278.2 22 11
 19860716 1200  -6.6   0.7   6.6 275.8 22 11
 19860717 1200  -5.5   2.9   6.2 297.6 22 11
 19860718 1200  -4.8   5.1   7.0 316.8 22 11
 19860719 1200  -5.7   4.9   7.5 310.5 22 11
 19860720 1200  -6.8   4.3   8.0 302.1 22 11
 19860721 1200  -6.8   4.1   7.9 301.4 22 11
 19860722 1200  -5.8   4.1   7.1 305.1 22 11
 19860723 1200  -5.0   4.7   6.9 313.5 22 11
 19860724 1200  -5.2   4.2   6.6 308.9 22 11
 19860725 1200  -5.2   3.4   6.2 303.2 22 11
 19860726 1200  -5.7   3.7   6.8 302.8 22 11
 19860727 1200  -6.9   2.8   7.5 291.8 22 11
 19860728 1200  -7.3   1.1   7.4 278.3 22 11
 19860729 1200  -6.9   1.1   7.0 278.7 22 11
 19860730 1200  -6.4   2.1   6.8 287.7 22 11
 19860731 1200  -6.3   1.8   6.6 285.8 22 11
 19860801 1200  -5.5   1.0   5.6 280.4 22 11
 19860802 1200  -5.2   1.2   5.3 283.6 22 11
 19860803 1200  -6.2   0.7   6.3 276.8 22 11
 19860804 1200  -6.9  -1.1   7.0 261.4 22 11
 19860805 1200  -7.5  -0.2   7.5 268.8 22 11
 19860806 1200  -8.0   1.3   8.1 279.4 22 11
 19860807 1200  -7.1   2.0   7.4 285.8 22 11
 19860808 1200  -5.5   2.5   6.0 294.0 22 11
 19860809 1200  -4.4   1.4   4.6 287.9 22 11
 19860810 1200  -4.6   1.3   4.8 285.6 22 11
 19860811 1200  -5.8   1.7   6.0 286.7 22 11
 19860812 1200  -6.4   1.7   6.7 284.5 22 11
 19860813 1200  -6.9   1.9   7.2 285.5 22 11
 19860814 1200  -6.8   2.2   7.2 288.1 22 11
 19860815 1200  -6.6   2.2   7.0 288.7 22 11
 19860816 1200  -6.2   2.3   6.6 289.9 22 11
 19860817 1200  -6.0   1.9   6.3 287.3 22 11
 19860818 1200  -5.9   0.5   5.9 274.8 22 11
 19860819 1200  -5.0  -0.8   5.1 261.5 22 11
 19860820 1200  -3.8  -0.3   3.8 266.1 22 11
 19860821 1200  -3.8   0.5   3.8 278.1 22 11
 19860822 1200  -5.2   0.2   5.2 272.2 22 11
 19860823 1200  -5.8   0.5   5.9 274.8 22 11
 19860824 1200  -5.7   2.0   6.1 289.5 22 11
 19860825 1200  -6.1   2.2   6.5 290.1 22 11
 19860826 1200  -6.4   1.5   6.5 283.1 22 11
