 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19911105 1200  -5.6   0.0   5.6 269.9 12 55
 19911106 1200  -5.8   3.1   6.6 298.4 12 55
 19911107 1200  -6.3   4.4   7.7 305.2 12 55
 19911108 1200  -6.5   2.0   6.8 286.8 12 55
 19911109 1200  -5.9   1.9   6.2 288.0 12 55
 19911110 1200  -5.7   2.7   6.3 295.6 12 55
 19911111 1200  -6.0   2.5   6.5 292.8 12 55
 19911112 1200  -5.2   3.1   6.1 300.5 12 55
 19911113 1200  -5.8   2.9   6.5 296.4 12 55
 19911114 1200  -6.3   0.0   6.3 270.3 12 55
 19911115 1200  -6.4  -1.6   6.6 255.9 12 55
 19911116 1200  -6.5  -1.9   6.8 253.9 12 55
 19911117 1200  -7.1   0.1   7.1 270.5 12 55
 19911118 1200  -6.4   3.4   7.2 297.9 12 55
 19911119 1200  -6.8   1.1   6.8 279.3 12 55
 19911120 1200  -6.1   1.3   6.2 282.5 12 55
 19911121 1200  -6.8   2.3   7.2 288.8 12 55
 19911122 1200  -7.6   1.6   7.8 282.0 12 55
 19911123 1200  -7.5   2.8   8.0 290.3 12 55
 19911124 1200  -7.5   2.0   7.8 284.9 12 55
 19911125 1200  -7.5   1.8   7.7 283.2 12 55
 19911126 1200  -6.6   1.6   6.8 283.5 12 55
 19911127 1200  -6.1   3.3   7.0 298.3 12 55
 19911128 1200  -6.5   2.1   6.8 287.6 12 55
 19911129 1200  -6.9   3.1   7.5 294.2 12 55
 19911130 1200  -5.8   2.7   6.4 295.2 12 55
 19911201 1200  -5.8   3.8   6.9 303.0 12 55
 19911202 1200  -6.9   2.8   7.4 292.3 12 55
 19911203 1200  -7.6   0.8   7.6 275.7 12 55
 19911204 1200  -6.9   2.4   7.3 289.4 12 55
 19911205 1200  -7.0   3.8   8.0 298.1 12 55
 19911206 1200  -6.0   4.3   7.4 305.4 12 55
 19911207 1200  -5.1   3.2   6.0 302.1 12 55
 19911208 1200  -4.4   2.2   4.9 296.6 12 55
 19911209 1200  -5.4   2.6   6.0 296.3 12 55
 19911210 1200  -4.8   2.9   5.6 301.4 12 55
 19911211 1200  -4.2   1.5   4.5 289.2 12 55
 19911212 1200  -5.9   0.9   5.9 278.5 12 55
 19911213 1200  -5.7   0.2   5.7 272.3 12 55
 19911214 1200  -5.9  -0.1   5.9 269.0 12 55
 19911215 1200  -5.9  -1.7   6.2 253.5 12 55
 19911216 1200  -6.0  -3.2   6.8 241.9 12 55
 19911217 1200  -6.5  -1.4   6.6 257.8 12 55
 19911218 1200  -6.2   0.1   6.2 270.9 12 55
 19911219 1200  -6.5  -0.3   6.5 267.5 12 55
 19911220 1200  -6.5   0.5   6.6 273.9 12 55
 19911221 1200  -5.5  -1.9   5.8 251.2 12 55
