 Location:  2S 110W  30 May 1986 to  7 May 2012 ( 9475 times, 22 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 May 1986 to 1200 13 Oct 1986 (index     1 to   137,  137 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860530 1200  -5.0   1.5   5.2 286.8 22 11
 19860531 1200  -4.5   0.3   4.5 274.5 22 11
 19860601 1200  -2.6   1.1   2.9 292.2 22 11
 19860602 1200  -3.3   2.7   4.2 309.4 22 11
 19860603 1200  -4.6   2.1   5.1 294.4 22 11
 19860604 1200  -5.7   1.6   5.9 285.9 22 11
 19860605 1200  -5.2   1.6   5.5 287.0 22 11
 19860606 1200  -5.0   1.4   5.2 285.3 22 11
 19860607 1200  -4.6   0.6   4.7 277.9 22 11
 19860608 1200  -4.4   1.0   4.5 283.1 22 11
 19860609 1200  -4.2   2.5   4.9 301.0 22 11
 19860610 1200  -4.1   3.9   5.6 313.3 22 11
 19860611 1200  -4.8   3.2   5.8 303.2 22 11
 19860612 1200  -5.5   2.7   6.1 296.3 22 11
 19860613 1200  -5.8   3.3   6.6 300.0 22 11
 19860614 1200  -6.5   2.7   7.0 292.7 22 11
 19860615 1200  -5.9   4.3   7.3 306.4 22 11
 19860616 1200  -5.5   4.0   6.8 306.0 22 11
 19860617 1200  -6.0   2.7   6.6 294.0 22 11
 19860618 1200  -5.5   3.2   6.4 300.0 22 11
 19860619 1200  -5.2   3.5   6.3 303.7 22 11
 19860620 1200  -3.9   4.7   6.1 320.5 22 11
 19860621 1200  -4.7   3.2   5.6 304.5 22 11
 19860622 1200  -4.2   3.0   5.2 305.7 22 11
 19860623 1200  -5.7   3.7   6.8 303.1 22 11
 19860624 1200  -5.3   5.3   7.5 314.8 22 11
 19860625 1200  -5.7   4.9   7.5 310.9 22 11
 19860626 1200  -7.0   5.5   8.9 308.2 22 11
 19860627 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19860628 1200  -7.6   3.5   8.4 295.0 22 11
 19860629 1200  -6.6   2.7   7.1 292.1 22 11
 19860630 1200  -5.4   4.0   6.7 306.3 22 11
 19860701 1200  -6.1   4.3   7.4 305.2 22 11
 19860702 1200  -5.3   4.4   6.8 309.7 22 11
 19860703 1200  -5.4   2.8   6.1 297.6 22 11
 19860704 1200  -4.7   2.9   5.5 302.0 22 11
 19860705 1200  -3.6   3.9   5.3 316.8 22 11
 19860706 1200  -5.2   4.1   6.6 307.8 22 11
 19860707 1200  -4.5   4.7   6.5 316.0 22 11
