 Location:  2S  95W  14 Nov 1992 to 23 Nov 2013 ( 7680 times, 27 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 14 Nov 1992 to 1200 16 Jan 1997 (index     1 to  1525, 1525 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19921114 1200  -3.5   4.4   5.6 322.0 12 11
 19921115 1200  -4.1   3.9   5.7 313.7 12 55
 19921116 1200  -2.8   4.0   4.9 325.0 12 55
 19921117 1200  -2.1   2.9   3.6 324.1 12 55
 19921118 1200  -2.8   3.4   4.4 320.9 12 55
 19921119 1200  -3.7   4.0   5.5 316.8 12 55
 19921120 1200  -3.5   3.9   5.2 317.8 12 55
 19921121 1200  -3.5   4.5   5.7 322.1 12 55
 19921122 1200  -2.4   4.8   5.3 333.5 12 55
 19921123 1200  -1.0   2.8   2.9 340.6 12 55
 19921124 1200  -0.6   3.5   3.6 349.9 12 55
 19921125 1200  -3.2   3.2   4.5 315.3 12 55
 19921126 1200  -2.2   2.9   3.6 322.1 12 55
 19921127 1200  -2.7   4.2   5.0 327.1 12 55
 19921128 1200  -2.4   3.9   4.6 329.2 12 55
 19921129 1200  -3.0   2.2   3.7 306.3 12 55
 19921130 1200  -4.6   0.4   4.7 275.3 12 55
 19921201 1200  -4.5   2.8   5.3 302.3 12 55
 19921202 1200  -3.2   3.3   4.6 315.3 12 55
 19921203 1200  -2.6   3.2   4.1 321.2 12 55
 19921204 1200  -3.6   4.9   6.1 323.2 12 55
 19921205 1200  -3.9   4.8   6.2 320.4 12 55
 19921206 1200  -3.9   3.5   5.2 311.5 12 55
 19921207 1200  -3.9   1.8   4.3 294.3 12 55
 19921208 1200  -4.0   1.1   4.2 284.9 12 55
 19921209 1200  -3.3   2.8   4.4 310.6 12 55
 19921210 1200  -3.5   3.5   5.0 315.2 12 55
 19921211 1200  -3.4   3.1   4.6 312.7 12 55
 19921212 1200  -3.7   3.2   4.9 311.2 12 55
 19921213 1200  -3.9   2.5   4.7 303.2 12 55
 19921214 1200  -4.2   2.0   4.6 295.1 12 55
 19921215 1200  -3.2   4.6   5.6 325.2 12 55
 19921216 1200  -3.7   4.3   5.6 319.4 12 55
 19921217 1200  -3.5   1.5   3.8 293.1 12 55
 19921218 1200  -3.8   1.9   4.2 297.3 12 55
 19921219 1200  -4.5   4.7   6.5 315.9 12 55
 19921220 1200  -3.9   5.0   6.3 322.5 12 55
 19921221 1200  -3.2   4.3   5.4 323.2 12 55
 19921222 1200  -4.1   3.6   5.4 311.4 12 55
 19921223 1200  -3.5   2.5   4.3 305.2 12 55
 19921224 1200  -3.5   2.7   4.4 307.6 12 55
 19921225 1200  -2.2   3.1   3.8 325.2 12 55
 19921226 1200  -1.8   3.3   3.8 331.7 12 55
 19921227 1200  -2.9   2.5   3.8 310.9 12 55
 19921228 1200  -2.1   3.2   3.8 326.8 12 55
 19921229 1200  -2.0   4.0   4.5 333.9 12 55
 19921230 1200  -2.3   3.7   4.3 328.6 12 55
 19921231 1200  -3.3   3.3   4.7 315.4 12 55
 19930101 1200  -3.9   2.0   4.4 297.6 12 55
 19930102 1200  -3.0   1.5   3.4 296.4 12 55
 19930103 1200  -3.6   4.1   5.4 318.9 12 55
 19930104 1200  -2.0   2.9   3.5 325.7 12 55
 19930105 1200  -2.2   2.9   3.7 323.1 12 55
 19930106 1200  -1.6   3.7   4.0 336.0 12 55
 19930107 1200  -2.0   3.1   3.7 327.8 12 55
 19930108 1200  -1.0   3.5   3.6 343.6 12 55
 19930109 1200  -2.4   2.6   3.5 317.6 12 55
 19930110 1200  -1.8   2.9   3.4 328.9 12 55
 19930111 1200  -3.0   2.4   3.9 308.6 12 55
 19930112 1200  -2.9   3.1   4.2 316.4 12 55
 19930113 1200  -1.7   4.0   4.3 337.3 12 55
 19930114 1200  -1.1   4.7   4.8 346.6 12 55
 19930115 1200  -4.3   3.8   5.8 311.4 12 55
 19930116 1200  -4.8   3.6   6.0 306.7 12 55
 19930117 1200  -5.4   2.1   5.8 291.6 12 55
 19930118 1200  -4.1   1.2   4.3 286.9 12 55
 19930119 1200  -1.3   3.6   3.8 340.5 12 55
 19930120 1200  -1.9   4.6   5.0 337.0 12 55
 19930121 1200  -3.9   5.1   6.4 322.4 12 55
 19930122 1200  -4.2   4.7   6.3 317.8 12 55
 19930123 1200  -4.3   4.0   5.9 313.5 12 55
 19930124 1200  -3.9   3.3   5.1 310.4 12 55
 19930125 1200  -2.0   2.3   3.0 319.9 12 55
 19930126 1200  -1.1   3.1   3.3 341.2 12 55
 19930127 1200  -1.9   3.8   4.2 333.8 12 55
 19930128 1200  -3.0   3.2   4.4 316.3 12 55
 19930129 1200  -3.3   2.9   4.4 311.8 12 55
 19930130 1200  -2.7   3.2   4.2 319.1 12 55
 19930131 1200  -2.1   3.3   3.9 326.8 12 55
 19930201 1200  -2.4   2.8   3.7 318.6 12 55
 19930202 1200  -3.1   2.9   4.2 312.4 12 55
 19930203 1200  -2.8   2.2   3.6 308.2 12 55
 19930204 1200  -3.6   0.4   3.6 275.9 12 55
