 Location:  5S 156E  26 Aug 1991 to 22 Nov 2013 ( 8125 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 26 Aug 1991 to 1200 21 Oct 1991 (index     1 to    57,   57 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910826 1200  -4.1   1.1   4.2 285.6 22 11
 19910827 1200   0.2  -0.5   0.5 159.0 22 11
 19910828 1200  -2.5   3.0   3.9 319.9 22 11
 19910829 1200  -5.4   5.0   7.3 312.6 22 11
 19910830 1200  -4.2   4.2   5.9 315.0 22 11
 19910831 1200  -5.1   5.5   7.5 317.6 22 11
 19910901 1200  -2.2   5.5   5.9 337.9 22 11
 19910902 1200  -2.5   8.5   8.8 343.9 22 11
 19910903 1200  -1.9  11.0  11.2 350.0 22 11
 19910904 1200  -2.3   9.3   9.6 346.2 22 11
 19910905 1200  -2.8   4.2   5.1 326.5 22 11
 19910906 1200   3.1   2.8   4.2  47.7 22 11
 19910907 1200  -1.5  10.8  10.9 352.3 22 11
 19910908 1200  -2.1  10.4  10.6 348.5 22 11
 19910909 1200  -2.1   7.9   8.2 345.3 22 11
 19910910 1200  -0.7   5.6   5.7 352.5 22 11
 19910911 1200  -0.8   3.6   3.7 348.0 22 11
 19910912 1200  -1.2   2.9   3.1 337.6 22 11
 19910913 1200  -1.9   5.6   5.9 341.1 22 11
 19910914 1200  -2.5   4.6   5.3 331.8 22 11
 19910915 1200  -1.6   5.0   5.3 342.4 22 11
 19910916 1200  -3.2   3.0   4.4 313.7 22 11
 19910917 1200   0.5   2.2   2.2  13.9 22 11
 19910918 1200  -3.0   3.7   4.8 321.1 22 11
 19910919 1200  -3.8   4.4   5.8 318.9 22 11
 19910920 1200  -1.8   3.5   3.9 333.4 22 11
 19910921 1200  -3.1   4.8   5.7 327.5 22 11
 19910922 1200  -3.6   5.5   6.5 326.6 22 11
 19910923 1200  -4.0   5.3   6.7 322.6 22 11
 19910924 1200  -2.7   6.0   6.6 335.7 22 11
 19910925 1200  -1.7   5.8   6.1 343.9 22 11
 19910926 1200  -1.3   3.4   3.7 339.3 22 11
 19910927 1200   1.4  -0.5   1.5 109.0 22 11
 19910928 1200   3.2   2.6   4.1  51.0 22 11
 19910929 1200   3.7  -1.2   3.9 108.6 22 11
 19910930 1200  -1.5   1.7   2.3 318.4 22 11
 19911001 1200  -1.3   2.2   2.6 328.6 22 11
 19911002 1200  -2.3   3.0   3.8 322.0 22 11
 19911003 1200  -0.5   1.1   1.2 336.3 22 11
 19911004 1200   0.0   0.3   0.4 353.9 22 11
 19911005 1200   6.2   0.2   6.2  88.2 22 11
 19911006 1200  -5.4   1.2   5.5 282.4 22 11
 19911007 1200  -1.6   1.7   2.3 317.2 22 11
 19911008 1200   0.0   0.2   0.2 349.8 22 11
 19911009 1200   1.3   0.1   1.3  87.6 22 11
 19911010 1200  -0.2   1.4   1.5 352.0 22 11
 19911011 1200  -2.1   2.9   3.5 323.9 22 11
 19911012 1200  -2.7   4.3   5.1 327.4 22 11
 19911013 1200  -4.7   2.8   5.5 301.2 22 11
 19911014 1200  -1.5   0.3   1.5 283.3 22 11
 19911015 1200   1.4  -1.0   1.8 125.6 22 11
 19911016 1200   2.1  -0.5   2.2 103.9 22 11
 19911017 1200  -1.3   3.1   3.4 337.1 22 11
 19911018 1200  -1.9   1.1   2.2 300.4 22 11
 19911019 1200  -1.0   2.1   2.3 334.3 22 11
 19911020 1200  -1.1   0.6   1.2 297.5 22 11
 19911021 1200  -1.0  -0.1   1.0 265.9 22 11
 Time: 1200 28 Mar 1992 to 1200 10 Apr 1993 (index   216 to   594,  379 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920328 1200  -1.0  -0.8   1.3 233.3 22 11
 19920329 1200   0.8  -1.8   2.0 154.8 22 11
 19920330 1200  -0.7  -0.2   0.7 256.7 22 11
 19920331 1200   0.5   0.4   0.7  53.9 22 11
 19920401 1200   0.0  -0.5   0.5 185.5 22 11
 19920402 1200  -1.7   0.5   1.8 286.5 22 11
 19920403 1200  -0.7   2.3   2.4 343.9 22 11
 19920404 1200  -0.7   1.3   1.5 330.4 22 11
 19920405 1200  -1.2  -0.4   1.2 250.5 22 11
 19920406 1200  -0.9  -0.9   1.3 224.9 22 11
 19920407 1200   0.0  -2.5   2.5 179.2 22 11
 19920408 1200   1.0  -4.2   4.3 166.3 22 11
 19920409 1200   1.3  -0.9   1.6 124.7 22 11
 19920410 1200   1.9   0.8   2.1  66.0 22 11
 19920411 1200   0.1  -0.3   0.3 162.5 22 11
 19920412 1200   0.3  -3.6   3.7 175.3 22 11
 19920413 1200   0.8  -4.8   4.9 171.2 22 11
 19920414 1200  -0.9  -5.8   5.8 189.3 22 11
 19920415 1200  -1.1  -4.1   4.2 194.4 22 11
 19920416 1200  -0.6  -5.7   5.7 186.2 22 11
 19920417 1200  -1.1  -7.3   7.3 188.7 22 11
 19920418 1200  -0.1  -6.8   6.8 180.6 22 11
 19920419 1200   1.0  -3.2   3.3 161.9 22 11
 19920420 1200   1.6  -0.8   1.8 115.1 22 11
 19920421 1200   0.0   0.8   0.8   2.5 22 11
 19920422 1200   1.7   1.9   2.5  41.1 22 11
 19920423 1200   2.2   2.0   3.0  47.7 22 11
 19920424 1200   1.7   1.9   2.6  41.3 22 11
 19920425 1200   1.5   3.8   4.0  21.9 22 11
 19920426 1200   1.4   4.3   4.5  18.4 22 11
