 Location:  5S 165E  30 Jan 1987 to 23 Nov 2013 ( 9795 times, 23 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 Jan 1987 to 1200 16 Apr 1987 (index     1 to    77,   77 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19870130 1200   6.1  -2.9   6.7 115.8 22 11
 19870131 1200   3.1  -4.5   5.5 145.0 22 11
 19870201 1200   2.3  -5.6   6.1 158.1 22 11
 19870202 1200   3.3  -4.2   5.3 141.8 22 11
 19870203 1200   2.8  -4.5   5.3 148.2 22 11
 19870204 1200   4.3  -2.5   5.0 120.3 22 11
 19870205 1200   5.7  -3.0   6.4 117.3 22 11
 19870206 1200   5.2  -4.7   7.1 132.0 22 11
 19870207 1200   8.8  -2.4   9.1 105.5 22 11
 19870208 1200   9.6  -3.3  10.1 108.8 22 11
 19870209 1200   9.0  -4.8  10.2 117.9 22 11
 19870210 1200   7.8  -1.7   8.0 102.0 22 11
 19870211 1200   6.3  -4.4   7.7 124.9 22 11
 19870212 1200   4.2  -4.4   6.1 136.2 22 11
 19870213 1200   6.2  -7.5   9.7 140.4 22 11
 19870214 1200   7.1  -5.8   9.2 128.9 22 11
 19870215 1200   7.5  -6.2   9.7 129.7 22 11
 19870216 1200   7.7  -3.9   8.7 117.0 22 11
 19870217 1200   5.4  -2.7   6.0 116.4 22 11
 19870218 1200   8.4  -0.7   8.5  94.7 22 11
 19870219 1200   8.1  -1.8   8.3 102.3 22 11
 19870220 1200   7.7  -2.5   8.1 107.9 22 11
 19870221 1200   7.7  -3.5   8.4 114.2 22 11
 19870222 1200   6.8  -1.7   7.0 103.6 22 11
 19870223 1200   8.1  -3.2   8.7 111.6 22 11
 19870224 1200   8.3  -3.0   8.8 109.8 22 11
 19870225 1200   8.8  -2.9   9.2 108.4 22 11
 19870226 1200   8.2  -4.3   9.3 117.5 22 11
 19870227 1200   7.5  -5.5   9.2 126.2 22 11
 19870228 1200   3.2  -6.9   7.6 154.9 22 11
 19870301 1200   4.6  -4.4   6.4 133.6 22 11
 19870302 1200   5.0  -5.6   7.5 137.9 22 11
 19870303 1200   4.7  -7.0   8.4 146.4 22 11
 19870304 1200   4.4  -3.7   5.7 130.2 22 11
 19870305 1200   3.1  -4.9   5.8 147.4 22 11
 19870306 1200   1.0  -4.5   4.6 167.3 22 11
 19870307 1200   2.5  -3.5   4.3 144.2 22 11
 19870308 1200   5.2  -2.2   5.7 112.8 22 11
 19870309 1200   2.4  -2.8   3.7 139.7 22 11
 19870310 1200   0.1  -2.7   2.7 178.5 22 11
 19870311 1200  -0.4  -3.7   3.7 186.7 22 11
 19870312 1200  -1.2  -1.3   1.8 223.0 22 11
 19870313 1200  -1.2   0.5   1.3 293.9 22 11
 19870314 1200  -0.8   0.5   0.9 305.2 22 11
 19870315 1200   0.4  -1.0   1.1 156.1 22 11
 19870316 1200   0.7  -0.9   1.1 144.6 22 11
 19870317 1200   4.1  -3.2   5.2 128.2 22 11
 19870318 1200   1.6  -5.0   5.2 162.5 22 11
 19870319 1200   2.1  -4.4   4.9 154.5 22 11
 19870320 1200   0.2  -3.5   3.5 177.2 22 11
 19870321 1200   5.1  -0.9   5.2  99.7 22 11
 19870322 1200   2.6  -2.0   3.2 127.5 22 11
 19870323 1200   3.8   0.6   3.8  80.7 22 11
 19870324 1200   3.0   0.9   3.1  73.7 22 11
 19870325 1200   3.0  -3.9   4.9 142.5 22 11
 19870326 1200   4.4  -0.8   4.5  99.9 22 11
 19870327 1200   5.4   0.6   5.5  83.6 22 11
 19870328 1200   5.5  -1.3   5.7 103.2 22 11
 19870329 1200   6.1  -2.8   6.7 114.4 22 11
 19870330 1200   4.9  -2.0   5.3 112.3 22 11
 19870331 1200   2.9  -0.5   2.9  99.7 22 11
 19870401 1200   0.8  -3.1   3.2 166.3 22 11
 19870402 1200   3.4  -5.2   6.2 147.2 22 11
 19870403 1200   1.7  -3.0   3.4 149.7 22 11
 19870404 1200   0.1  -2.6   2.6 178.2 22 11
