 Location:  5S 180W  25 Mar 1993 to 14 Mar 2013 ( 7295 times,  9 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 25 Mar 1993 to 1200  6 Jun 1994 (index     1 to   439,  439 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19930325 1200  -1.7  -0.8   1.9 243.7 12 55
 19930326 1200  -3.2   2.0   3.8 302.8 12 55
 19930327 1200  -0.3  -1.4   1.4 193.8 12 55
 19930328 1200   2.2  -1.4   2.6 122.4 12 55
 19930329 1200  -2.8   0.9   2.9 287.5 12 55
 19930330 1200  -4.0   0.3   4.0 274.4 12 55
 19930331 1200  -0.9  -0.7   1.1 229.2 12 55
 19930401 1200   1.4   0.6   1.5  67.4 12 55
 19930402 1200   0.8   0.9   1.2  40.3 12 55
 19930403 1200  -2.3   1.9   3.0 309.6 12 55
 19930404 1200   1.9  -0.4   1.9 102.8 12 55
 19930405 1200   3.7  -3.6   5.2 133.6 12 55
 19930406 1200   1.8  -1.2   2.1 124.6 12 55
 19930407 1200   3.5  -2.5   4.2 125.3 12 55
 19930408 1200  -2.9   0.3   2.9 276.5 12 55
 19930409 1200   3.2   1.3   3.4  67.5 12 55
 19930410 1200  -1.8  -1.4   2.2 232.8 12 55
 19930411 1200  -2.7   0.9   2.8 288.3 12 55
 19930412 1200  -2.2   1.1   2.5 296.6 12 55
 19930413 1200  -1.4   0.2   1.4 278.3 12 55
 19930414 1200  -0.9   1.4   1.6 327.3 12 55
 19930415 1200  -2.8   2.1   3.5 307.6 12 55
 19930416 1200   0.6  -2.9   3.0 169.0 12 55
 19930417 1200   4.5  -0.9   4.5 101.2 12 55
 19930418 1200   3.7  -1.8   4.1 115.9 12 55
 19930419 1200   5.7   0.1   5.7  89.5 12 55
 19930420 1200   3.5  -0.8   3.5 102.3 12 55
 19930421 1200   5.8  -0.8   5.9  97.8 12 55
 19930422 1200   7.8  -4.2   8.8 118.3 12 55
 19930423 1200   4.2  -2.5   4.9 120.6 12 55
 19930424 1200  -1.6  -1.5   2.2 228.2 12 55
 19930425 1200  -3.3   0.3   3.4 275.1 12 55
 19930426 1200  -0.1   0.7   0.7 351.3 12 55
 19930427 1200   2.1  -0.5   2.2 104.6 12 55
 19930428 1200  -0.8   0.5   1.0 302.6 12 55
 19930429 1200  -4.0   2.3   4.6 300.1 12 55
 19930430 1200  -2.4  -1.6   2.9 235.7 12 55
 19930501 1200  -1.5  -2.5   2.9 210.1 12 55
 19930502 1200  -2.5   1.5   2.9 301.2 12 55
 19930503 1200  -2.8  -0.4   2.8 262.6 12 55
 19930504 1200  -3.0   1.1   3.2 289.9 12 55
 19930505 1200   0.3  -1.2   1.2 164.5 12 55
 19930506 1200   0.4   1.0   1.1  22.4 12 55
 19930507 1200  -1.5   0.6   1.6 292.7 12 55
 19930508 1200  -0.3  -3.0   3.0 186.0 12 55
 19930509 1200   1.3  -3.3   3.5 158.9 12 55
 19930510 1200   2.2   1.0   2.5  65.2 12 55
 19930511 1200   4.3  -0.4   4.4  94.8 12 55
 19930512 1200   4.1  -1.0   4.2 103.5 12 55
 19930513 1200   3.0   0.6   3.0  79.4 12 55
 19930514 1200  -1.6  -2.0   2.5 218.5 12 55
 19930515 1200   2.0  -4.9   5.3 158.0 12 55
