 Location:  5S 110W  22 Nov 1986 to 24 Jul 2012 ( 9377 times, 18 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 22 Nov 1986 to 1200 23 Jan 1987 (index     1 to    63,   63 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19861122 1200  -7.2   3.9   8.1 298.5 22 11
 19861123 1200  -6.5   4.7   8.0 306.0 22 11
 19861124 1200  -6.4   4.2   7.7 302.8 22 11
 19861125 1200  -6.2   3.9   7.3 301.8 22 11
 19861126 1200  -7.1   2.2   7.5 287.4 22 11
 19861127 1200  -5.8   2.1   6.2 290.0 22 11
 19861128 1200  -6.1   4.2   7.4 304.5 22 11
 19861129 1200  -5.6   3.3   6.5 300.6 22 11
 19861130 1200  -6.6   3.3   7.4 296.7 22 11
 19861201 1200  -5.4   3.4   6.4 301.9 22 11
 19861202 1200  -5.1   4.5   6.8 310.9 22 11
 19861203 1200  -5.8   3.5   6.8 301.5 22 11
 19861204 1200  -5.5   3.5   6.6 302.7 22 11
 19861205 1200  -4.5   3.7   5.8 309.5 22 11
 19861206 1200  -4.6   3.9   6.0 310.3 22 11
 19861207 1200  -4.8   2.4   5.4 296.3 22 11
 19861208 1200  -6.1   1.8   6.3 286.5 22 11
 19861209 1200  -6.7   3.0   7.3 293.8 22 11
 19861210 1200  -7.0   4.3   8.2 301.4 22 11
 19861211 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19861212 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19861213 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19861214 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19861215 1200  -5.0   4.6   6.8 312.6 22 11
 19861216 1200  -5.4   5.3   7.6 314.9 22 11
 19861217 1200  -5.9   4.3   7.3 305.7 22 11
 19861218 1200  -5.8   4.1   7.1 305.2 22 11
 19861219 1200  -5.8   4.7   7.5 308.5 22 11
 19861220 1200  -4.8   5.3   7.1 317.9 22 11
 19861221 1200  -5.3   4.3   6.8 309.3 22 11
 19861222 1200  -5.7   4.2   7.1 306.9 22 11
 19861223 1200  -5.2   4.8   7.1 313.3 22 11
 19861224 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19861225 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19861226 1200  -3.5   2.3   4.2 302.9 22 11
 19861227 1200  -3.3   3.8   5.0 319.0 22 11
 19861228 1200  -4.0   4.6   6.1 319.0 22 11
 19861229 1200  -4.2   5.0   6.6 319.6 22 11
 19861230 1200  -4.2   3.0   5.2 305.1 22 11
 19861231 1200  -5.0   3.4   6.0 304.1 22 11
 19870101 1200  -5.1   3.8   6.4 307.0 22 11
 19870102 1200  -5.2   3.2   6.2 301.8 22 11
 19870103 1200  -4.9   5.6   7.4 318.8 22 11
 19870104 1200  -6.7   5.2   8.5 307.9 22 11
 19870105 1200  -6.0   3.9   7.2 302.6 22 11
 19870106 1200  -4.8   3.9   6.2 308.5 22 11
 19870107 1200  -3.6   5.2   6.3 325.0 22 11
 19870108 1200  -4.9   4.6   6.7 313.6 22 11
 19870109 1200  -4.2   4.9   6.4 319.7 22 11
 19870110 1200  -5.0   3.8   6.3 307.5 22 11
 19870111 1200  -5.0   4.1   6.5 309.6 22 11
 19870112 1200  -4.8   4.8   6.8 314.8 22 11
 19870113 1200  -4.0   5.4   6.7 323.5 22 11
 19870114 1200  -4.8   4.7   6.7 314.2 22 11
 19870115 1200  -5.6   5.8   8.1 316.1 22 11
 19870116 1200  -6.7   4.0   7.8 300.5 22 11
 19870117 1200  -5.1   4.7   6.9 313.0 22 11
 19870118 1200  -5.0   4.7   6.9 313.2 22 11
 19870119 1200  -5.4   5.3   7.5 314.2 22 11
 19870120 1200  -6.3   4.3   7.7 304.3 22 11
 19870121 1200  -6.2   4.0   7.4 302.5 22 11
 19870122 1200  -5.5   4.9   7.4 311.6 22 11
 19870123 1200  -5.9   3.9   7.1 303.9 22 11
 Time: 1200  3 May 1987 to 1200 17 Jul 1987 (index   163 to   238,   76 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19870503 1200  -4.1   3.3   5.3 308.7 22 11
 19870504 1200  -5.7   5.2   7.7 312.6 22 11
 19870505 1200  -6.7   6.3   9.2 313.2 22 11
 19870506 1200  -6.5   6.0   8.9 313.0 22 11
 19870507 1200  -5.2   6.7   8.5 321.7 22 11
 19870508 1200  -6.0   6.0   8.5 315.2 22 11
 19870509 1200  -5.9   5.1   7.8 310.8 22 11
 19870510 1200  -5.4   5.3   7.6 314.6 22 11
 19870511 1200  -5.3   5.6   7.7 316.7 22 11
 19870512 1200  -5.2   6.3   8.2 320.4 22 11
 19870513 1200  -4.0   6.2   7.4 327.2 22 11
 19870514 1200  -3.3   6.5   7.3 333.4 22 11
 19870515 1200  -5.0   4.2   6.6 310.0 22 11
 19870516 1200  -5.3   4.4   6.9 309.4 22 11
 19870517 1200  -7.1   4.4   8.3 301.7 22 11
 19870518 1200  -6.0   6.1   8.6 315.2 22 11
 19870519 1200  -5.1   6.3   8.2 321.0 22 11
 19870520 1200  -4.4   5.5   7.1 321.5 22 11
 19870521 1200  -5.0   4.2   6.5 310.2 22 11
 19870522 1200  -4.2   4.2   5.9 314.7 22 11
 19870523 1200  -5.0   4.4   6.7 311.6 22 11
 19870524 1200  -4.1   5.1   6.5 321.0 22 11
 19870525 1200  -3.4   5.1   6.2 326.2 22 11
 19870526 1200  -6.1   4.4   7.5 305.6 22 11
 19870527 1200  -6.5   4.3   7.8 303.6 22 11
 19870528 1200  -6.9   3.8   7.9 298.7 22 11
 19870529 1200  -6.2   6.3   8.8 315.2 22 11
 19870530 1200  -5.4   4.3   6.9 308.5 22 11
 19870531 1200  -4.1   3.3   5.3 308.7 22 11
 19870601 1200  -5.5   4.2   6.9 307.4 22 11
 19870602 1200  -6.0   5.5   8.1 312.4 22 11
 19870603 1200  -5.8   5.9   8.3 315.6 22 11
 19870604 1200  -4.3   4.6   6.3 316.6 22 11
 19870605 1200  -4.7   5.4   7.2 318.9 22 11
 19870606 1200  -4.8   5.0   7.0 316.3 22 11
 19870607 1200  -4.8   5.5   7.3 318.5 22 11
 19870608 1200  -4.1   4.7   6.2 318.9 22 11
 19870609 1200  -4.6   3.0   5.5 303.0 22 11
 19870610 1200  -4.5   2.3   5.0 296.6 22 11
 19870611 1200  -3.6   4.5   5.8 321.2 22 11
 19870612 1200  -5.3   1.9   5.7 289.9 22 11
 19870613 1200  -5.9   3.9   7.0 303.2 22 11
 19870614 1200  -5.5   4.9   7.4 311.6 22 11
 19870615 1200  -4.0   4.1   5.7 315.4 22 11
 19870616 1200  -6.1   3.8   7.2 301.8 22 11
 19870617 1200  -5.8   4.3   7.2 306.9 22 11
 19870618 1200  -8.1   0.9   8.2 276.5 22 11
 19870619 1200  -5.7   0.6   5.8 275.9 22 11
 19870620 1200  -6.7   2.8   7.2 292.4 22 11
 19870621 1200  -7.3   0.1   7.3 270.9 22 11
 19870622 1200  -5.5   0.0   5.5 269.7 22 11
 19870623 1200  -5.2   1.9   5.5 290.4 22 11
 19870624 1200  -5.3   4.8   7.1 312.2 22 11
 19870625 1200  -6.2   4.7   7.8 307.2 22 11
 19870626 1200  -6.6   3.5   7.5 297.9 22 11
 19870627 1200  -5.5   3.0   6.3 298.0 22 11
 19870628 1200  -4.3   6.5   7.8 326.2 22 11
 19870629 1200  -5.0   6.2   8.0 321.2 22 11
 19870630 1200  -5.0   5.6   7.5 318.4 22 11
 19870701 1200  -5.3   3.5   6.4 303.3 22 11
 19870702 1200  -4.2   2.5   4.9 301.5 22 11
 19870703 1200  -5.4   2.8   6.0 297.2 22 11
 19870704 1200  -6.3   2.5   6.8 291.8 22 11
 19870705 1200  -5.0   1.6   5.2 288.1 22 11
 19870706 1200  -5.4   2.5   5.9 295.2 22 11
 19870707 1200  -4.4   5.2   6.8 320.2 22 11
 19870708 1200  -5.9   5.1   7.8 310.9 22 11
 19870709 1200  -5.5   3.7   6.6 304.1 22 11
 19870710 1200  -3.4   4.0   5.2 319.4 22 11
 19870711 1200  -1.9   7.5   7.8 345.9 22 11
 19870712 1200  -4.3   6.0   7.3 324.1 22 11
 19870713 1200  -5.0   5.0   7.1 314.8 22 11
 19870714 1200  -5.3   4.1   6.7 307.9 22 11
 19870715 1200  -4.8   3.7   6.1 307.7 22 11
 19870716 1200  -7.5   3.5   8.2 295.2 22 11
 19870717 1200  -7.9   4.7   9.2 300.4 22 11
 Time: 1200 25 Oct 1987 to 1200 18 May 1988 (index   338 to   544,  207 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19871025 1200  -7.3  -0.4   7.3 266.5 22 11
 19871026 1200  -6.7   2.7   7.2 291.8 22 11
 19871027 1200  -3.5   5.7   6.7 328.4 22 11
 19871028 1200  -3.7   5.8   6.9 327.7 22 11
 19871029 1200  -5.4   4.0   6.7 306.5 22 11
 19871030 1200  -4.6   4.3   6.3 312.8 22 11
 19871031 1200  -3.5   6.1   7.1 329.8 22 11
 19871101 1200  -5.3   4.8   7.2 311.9 22 11
 19871102 1200  -5.3   4.1   6.8 307.7 22 11
 19871103 1200  -5.6   2.2   6.0 291.3 22 11
 19871104 1200  -6.2   4.7   7.8 307.6 22 11
 19871105 1200  -6.5   2.9   7.1 293.9 22 11
 19871106 1200  -7.1   3.2   7.8 294.6 22 11
 19871107 1200  -6.0   4.3   7.4 305.8 22 11
 19871108 1200  -7.0   2.9   7.6 292.8 22 11
 19871109 1200  -5.8   3.8   7.0 303.0 22 11
 19871110 1200  -5.4   5.5   7.7 315.4 22 11
 19871111 1200  -6.4   5.6   8.5 311.3 22 11
 19871112 1200  -6.9   3.5   7.8 296.5 22 11
 19871113 1200  -6.7   3.2   7.4 296.0 22 11
 19871114 1200  -4.4   5.6   7.1 321.8 22 11
 19871115 1200  -3.6   6.8   7.7 331.7 22 11
 19871116 1200  -5.0   4.3   6.6 310.7 22 11
 19871117 1200  -5.5   3.2   6.4 300.1 22 11
 19871118 1200  -5.8   1.4   6.0 283.5 22 11
 19871119 1200  -4.7   4.2   6.3 312.0 22 11
 19871120 1200  -6.2   0.1   6.2 270.6 22 11
 19871121 1200  -6.7   0.9   6.8 277.8 22 11
 19871122 1200  -6.7   3.4   7.5 296.5 22 11
 19871123 1200  -7.1   2.2   7.4 287.5 22 11
 19871124 1200  -5.9   3.7   6.9 302.3 22 11
 19871125 1200  -4.1   3.8   5.5 312.6 22 11
 19871126 1200  -4.7   4.4   6.5 313.2 22 11
 19871127 1200  -5.7   3.8   6.8 303.4 22 11
 19871128 1200  -6.1   3.6   7.1 300.4 22 11
 19871129 1200  -6.1   3.5   7.0 299.7 22 11
 19871130 1200  -5.3   3.1   6.1 300.5 22 11
 19871201 1200  -4.8   2.7   5.5 299.1 22 11
 19871202 1200  -5.5   4.0   6.8 306.0 22 11
 19871203 1200  -5.1   4.7   7.0 312.3 22 11
 19871204 1200  -5.8   3.9   7.0 303.8 22 11
 19871205 1200  -4.8   3.6   6.0 307.1 22 11
 19871206 1200  -3.3   6.2   7.0 331.6 22 11
 19871207 1200  -2.9   7.3   7.8 338.3 22 11
 19871208 1200  -3.5   5.5   6.5 327.6 22 11
 19871209 1200  -3.8   5.9   7.0 326.9 22 11
 19871210 1200  -1.4   7.2   7.3 349.2 22 11
 19871211 1200  -1.3   6.3   6.4 348.6 22 11
 19871212 1200  -3.3   6.4   7.2 333.0 22 11
 19871213 1200  -3.6   5.9   6.9 328.9 22 11
 19871214 1200  -2.9   6.9   7.5 337.3 22 11
 19871215 1200  -2.7   7.4   7.8 339.9 22 11
 19871216 1200  -4.3   6.5   7.8 326.5 22 11
 19871217 1200  -6.3   4.1   7.5 302.6 22 11
 19871218 1200  -5.7   3.6   6.8 302.4 22 11
 19871219 1200  -4.9   3.2   5.8 302.9 22 11
 19871220 1200  -5.4   3.5   6.5 303.1 22 11
 19871221 1200  -5.2   3.7   6.4 305.3 22 11
 19871222 1200  -4.9   4.7   6.8 314.1 22 11
 19871223 1200  -5.5   5.2   7.6 313.4 22 11
 19871224 1200  -5.6   3.5   6.6 301.8 22 11
 19871225 1200  -5.6   1.8   5.9 288.1 22 11
 19871226 1200  -6.4   1.1   6.5 279.6 22 11
 19871227 1200  -5.9   2.4   6.4 292.3 22 11
 19871228 1200  -6.2   2.8   6.8 294.4 22 11
 19871229 1200  -5.9   4.1   7.2 304.7 22 11
 19871230 1200  -5.8   0.9   5.9 278.8 22 11
 19871231 1200  -6.0   3.0   6.7 296.4 22 11
 19880101 1200  -4.8   6.2   7.8 322.4 22 11
 19880102 1200  -5.2   5.2   7.3 315.4 22 11
 19880103 1200  -6.2   5.8   8.5 313.1 22 11
 19880104 1200  -5.4   6.0   8.0 317.9 22 11
 19880105 1200  -5.1   6.1   7.9 320.3 22 11
 19880106 1200  -6.2   4.1   7.4 303.5 22 11
 19880107 1200  -7.1   2.5   7.5 289.8 22 11
 19880108 1200  -6.3   4.1   7.5 302.9 22 11
 19880109 1200  -4.6   5.2   6.9 318.4 22 11
 19880110 1200  -4.8   4.9   6.8 315.8 22 11
 19880111 1200  -4.6   5.2   7.0 318.8 22 11
 19880112 1200  -5.5   4.5   7.1 309.6 22 11
 19880113 1200  -6.0   4.7   7.6 308.1 22 11
 19880114 1200  -5.3   5.1   7.3 313.6 22 11
 19880115 1200  -5.1   3.2   6.0 302.0 22 11
 19880116 1200  -3.9   4.2   5.8 317.6 22 11
 19880117 1200  -3.3   6.2   7.0 332.0 22 11
 19880118 1200  -3.6   4.1   5.5 319.1 22 11
 19880119 1200  -4.2   2.5   4.8 300.5 22 11
 19880120 1200  -5.0   4.8   6.9 313.7 22 11
 19880121 1200  -4.9   4.8   6.8 314.4 22 11
 19880122 1200  -5.1   3.6   6.3 304.8 22 11
 19880123 1200  -5.8   3.6   6.9 301.8 22 11
 19880124 1200  -4.9   5.8   7.6 320.0 22 11
 19880125 1200  -4.7   5.6   7.3 319.8 22 11
 19880126 1200  -5.8   5.3   7.8 312.3 22 11
 19880127 1200  -6.4   3.1   7.1 296.1 22 11
 19880128 1200  -6.1   5.3   8.1 311.1 22 11
 19880129 1200  -3.9   7.0   8.0 330.9 22 11
 19880130 1200  -4.2   5.8   7.2 324.6 22 11
 19880131 1200  -5.5   5.5   7.8 315.5 22 11
 19880201 1200  -3.6   5.7   6.8 327.4 22 11
 19880202 1200  -1.9   6.7   7.0 344.2 22 11
 19880203 1200  -3.1   5.5   6.4 330.4 22 11
 19880204 1200  -4.6   4.3   6.3 313.1 22 11
 19880205 1200  -4.8   2.1   5.2 294.0 22 11
 19880206 1200  -2.4   5.2   5.7 335.2 22 11
 19880207 1200  -2.7   6.4   7.0 336.9 22 11
 19880208 1200  -2.8   6.7   7.2 337.4 22 11
 19880209 1200  -3.6   6.8   7.6 332.2 22 11
 19880210 1200  -5.5   4.0   6.8 306.4 22 11
 19880211 1200  -4.7   3.7   5.9 308.1 22 11
 19880212 1200  -4.2   3.0   5.2 304.9 22 11
 19880213 1200  -4.3   6.6   7.9 326.7 22 11
 19880214 1200  -6.0   4.3   7.4 306.2 22 11
 19880215 1200  -5.5   2.3   6.0 292.7 22 11
 19880216 1200  -5.6   1.6   5.8 286.5 22 11
 19880217 1200  -4.9   2.6   5.5 297.6 22 11
 19880218 1200  -4.0   3.4   5.3 310.1 22 11
 19880219 1200  -3.4   5.4   6.4 328.2 22 11
 19880220 1200  -3.0   6.3   7.0 334.6 22 11
 19880221 1200  -4.1   5.3   6.7 322.4 22 11
 19880222 1200  -5.0   4.3   6.6 310.5 22 11
 19880223 1200  -4.8   5.4   7.2 317.9 22 11
 19880224 1200  -3.9   4.2   5.7 317.0 22 11
 19880225 1200  -3.1   3.2   4.5 316.1 22 11
 19880226 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19880227 1200  -3.0   4.0   5.0 323.0 22 11
 19880228 1200  -4.7   3.7   6.0 308.0 22 11
 19880229 1200  -4.6   1.7   4.9 289.6 22 11
 19880301 1200  -4.0   2.2   4.6 298.7 22 11
 19880302 1200  -2.7   4.6   5.3 330.0 22 11
 19880303 1200  -2.5   1.3   2.8 297.5 22 11
 19880304 1200  -3.7   1.4   4.0 291.0 22 11
 19880305 1200  -2.5  -0.1   2.5 266.9 22 11
 19880306 1200  -2.3   1.7   2.8 306.3 22 11
 19880307 1200  -2.8   2.8   4.0 314.9 22 11
 19880308 1200  -4.4   4.9   6.6 318.3 22 11
 19880309 1200  -6.0   2.5   6.5 292.6 22 11
 19880310 1200  -5.1   1.6   5.4 287.7 22 11
 19880311 1200  -5.7   3.8   6.9 303.5 22 11
