 Location:  8S 165E  11 Aug 1991 to 23 Nov 2013 ( 8141 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 11 Aug 1991 to 1200 26 Mar 1992 (index     1 to   229,  229 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910811 1200  -6.1  -2.4   6.6 248.7 22 11
 19910812 1200  -2.6  -0.4   2.7 261.6 22 11
 19910813 1200  -3.3  -1.9   3.8 239.4 22 11
 19910814 1200  -1.1   2.3   2.6 335.0 22 11
 19910815 1200  -3.3   1.4   3.6 293.2 22 11
 19910816 1200  -1.8  -0.3   1.9 259.4 22 11
 19910817 1200  -1.2   1.1   1.6 313.7 22 11
 19910818 1200   2.0  -0.1   2.0  93.7 22 11
 19910819 1200  -4.5   1.6   4.7 289.9 22 11
 19910820 1200  -4.7  -3.5   5.8 233.6 22 11
 19910821 1200  -7.0   1.4   7.2 281.6 22 11
 19910822 1200  -8.1   0.8   8.2 275.8 22 11
 19910823 1200  -7.4  -0.7   7.5 264.5 22 11
 19910824 1200  -7.4   0.5   7.4 273.8 22 11
 19910825 1200  -6.1   3.3   7.0 298.4 22 11
 19910826 1200  -6.5   0.9   6.6 278.3 22 11
 19910827 1200  -6.1   1.3   6.2 281.9 22 11
 19910828 1200  -6.8   0.4   6.8 273.3 22 11
 19910829 1200  -7.3   2.1   7.6 286.0 22 11
 19910830 1200  -6.5   4.2   7.8 302.6 22 11
 19910831 1200  -8.6   2.9   9.0 288.8 22 11
 19910901 1200  -6.3   0.9   6.4 278.2 22 11
 19910902 1200  -5.8   0.8   5.8 278.0 22 11
 19910903 1200  -2.9  -0.6   2.9 259.0 22 11
 19910904 1200  -4.0  -0.5   4.1 262.5 22 11
 19910905 1200  -3.6  -0.4   3.6 263.6 22 11
 19910906 1200  -0.6   1.9   1.9 343.4 22 11
 19910907 1200   0.9   0.8   1.2  46.9 22 11
 19910908 1200   1.1   0.5   1.2  63.1 22 11
 19910909 1200   2.4  -1.9   3.1 128.3 22 11
 19910910 1200  -2.2  -1.5   2.7 235.0 22 11
 19910911 1200   1.3  -3.2   3.4 157.3 22 11
 19910912 1200   5.1  -2.3   5.6 114.5 22 11
 19910913 1200   5.0   1.4   5.2  74.4 22 11
 19910914 1200   1.5  -0.3   1.6 100.0 22 11
 19910915 1200  -1.6  -3.5   3.8 205.5 22 11
 19910916 1200  -4.6  -4.1   6.2 228.4 22 11
 19910917 1200  -5.6  -1.9   5.9 251.7 22 11
 19910918 1200  -3.2  -4.3   5.4 216.6 22 11
 19910919 1200  -5.5  -3.3   6.4 238.8 22 11
 19910920 1200  -7.5  -2.5   7.9 251.5 22 11
 19910921 1200  -6.1  -3.6   7.1 239.6 22 11
 19910922 1200  -7.9  -3.5   8.6 246.3 22 11
 19910923 1200  -5.9  -2.4   6.4 247.8 22 11
 19910924 1200  -4.8   0.8   4.9 280.0 22 11
 19910925 1200  -7.7   1.1   7.8 278.5 22 11
 19910926 1200  -6.4  -3.1   7.2 244.1 22 11
 19910927 1200  -4.4  -3.9   5.9 228.1 22 11
 19910928 1200  -3.0  -2.8   4.1 226.9 22 11
 19910929 1200  -2.5  -2.3   3.4 227.6 22 11
 19910930 1200  -2.9   0.3   2.9 275.9 22 11
 19911001 1200  -3.6   0.8   3.7 283.2 22 11
 19911002 1200  -4.4   0.6   4.5 277.4 22 11
 19911003 1200  -2.4  -2.7   3.6 221.0 22 11
 19911004 1200  -0.1  -2.0   2.0 183.7 22 11
 19911005 1200  -1.4  -1.7   2.2 219.1 22 11
 19911006 1200  -2.2  -0.5   2.3 258.2 22 11
 19911007 1200  -3.6   0.0   3.6 270.0 22 11
 19911008 1200  -0.4  -0.3   0.5 235.0 22 11
 19911009 1200  -0.8   1.9   2.0 338.0 22 11
 19911010 1200  -3.1   0.5   3.1 280.0 22 11
 19911011 1200  -3.3   1.6   3.6 296.4 22 11
 19911012 1200  -1.4   0.9   1.7 303.2 22 11
 19911013 1200  -5.0   0.5   5.1 275.4 22 11
 19911014 1200  -4.6  -1.5   4.8 252.3 22 11
 19911015 1200   0.1  -1.0   1.0 176.0 22 11
 19911016 1200  -1.7   2.2   2.8 322.0 22 11
 19911017 1200  -5.5  -1.3   5.7 257.1 22 11
 19911018 1200  -5.3  -0.1   5.3 269.1 22 11
 19911019 1200   0.2  -3.8   3.8 177.5 22 11
 19911020 1200  -3.4   0.8   3.5 283.4 22 11
 19911021 1200  -0.3  -1.9   2.0 190.0 22 11
 19911022 1200  -0.8   1.7   1.9 334.5 22 11
 19911023 1200  -0.6   2.9   2.9 349.0 22 11
 19911024 1200  -2.7   1.5   3.1 299.6 22 11
 19911025 1200  -5.9   1.4   6.0 283.8 22 11
 19911026 1200  -4.2  -0.5   4.3 263.3 22 11
 19911027 1200  -2.3  -0.7   2.4 253.4 22 11
 19911028 1200  -4.7   1.4   4.9 287.1 22 11
 19911029 1200  -3.9  -0.8   4.0 258.8 22 11
 19911030 1200  -2.6  -1.2   2.9 244.0 22 11
 19911031 1200  -4.5  -1.3   4.7 254.5 22 11
 19911101 1200  -3.5   0.6   3.5 280.0 22 11
 19911102 1200  -1.8   1.2   2.1 304.0 22 11
 19911103 1200  -3.0   0.9   3.1 287.6 22 11
 19911104 1200  -4.1   1.6   4.4 290.8 22 11
 19911105 1200  -2.8   0.7   2.9 284.1 22 11
 19911106 1200  -6.0   1.7   6.2 285.5 22 11
 19911107 1200  -4.9   1.3   5.1 284.6 22 11
 19911108 1200  -1.9  -0.8   2.0 248.0 22 11
 19911109 1200  -2.0  -4.2   4.6 205.3 22 11
 19911110 1200   2.1   0.5   2.1  76.0 22 11
 19911111 1200  -1.1  -1.0   1.4 228.7 22 11
 19911112 1200   4.4  -1.0   4.5 102.6 22 11
