 Location:  8S 155W  15 Mar 1992 to 22 Nov 2013 ( 7923 times,  5 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 15 Mar 1992 to 1200 18 Jun 1997 (index     1 to  1922, 1922 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920315 1200  -6.0  -0.8   6.1 262.0 14 55
 19920316 1200  -3.6  -4.7   5.9 217.4 14 55
 19920317 1200   2.8  -4.5   5.3 148.5 14 55
 19920318 1200   4.5  -5.7   7.2 141.8 14 55
 19920319 1200   7.5  -4.5   8.8 121.0 14 55
 19920320 1200   6.6  -3.0   7.2 114.2 14 55
 19920321 1200   4.8   0.3   4.8  86.8 14 55
 19920322 1200   3.5  -1.4   3.7 112.0 14 55
 19920323 1200   3.5  -2.2   4.2 121.7 14 55
 19920324 1200   2.7  -3.4   4.3 141.9 14 55
 19920325 1200   1.1  -3.2   3.4 160.3 14 55
 19920326 1200  -2.3  -3.3   4.0 215.2 14 55
 19920327 1200  -4.6  -2.2   5.1 244.8 14 55
 19920328 1200  -4.8   1.9   5.1 292.2 14 55
 19920329 1200  -5.2   3.1   6.0 301.0 14 55
 19920330 1200  -4.7   4.9   6.8 316.2 14 55
 19920331 1200  -4.7   0.5   4.7 275.9 14 55
 19920401 1200  -3.0   2.2   3.7 306.0 14 55
 19920402 1200  -3.6   1.5   3.9 292.9 14 55
 19920403 1200  -5.1   0.8   5.2 279.2 14 55
 19920404 1200  -5.3   2.0   5.7 290.2 14 55
 19920405 1200  -3.9   2.4   4.6 301.8 14 55
 19920406 1200  -4.4   4.1   6.0 312.9 14 55
 19920407 1200  -3.5   1.6   3.8 294.9 14 55
 19920408 1200  -2.1  -2.1   3.0 224.5 14 55
 19920409 1200  -4.2  -2.1   4.7 243.2 14 55
 19920410 1200  -4.3  -0.6   4.3 262.4 14 55
 19920411 1200  -3.3   1.8   3.7 298.6 14 55
 19920412 1200  -3.0   1.7   3.4 300.0 14 55
 19920413 1200   0.6  -0.2   0.7 108.1 14 55
 19920414 1200  -2.1   2.5   3.3 319.8 14 55
 19920415 1200  -3.3   0.9   3.4 285.5 14 55
 19920416 1200  -4.1   2.7   4.9 303.3 14 55
 19920417 1200  -5.2  -0.5   5.2 264.6 14 55
