 Location:  0N 147E  28 Apr 1994 to 12 Nov 2013 ( 7139 times, 18 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 28 Apr 1994 to 1200  6 Jul 1994 (index     1 to    70,   70 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940428 1200  -3.7   1.0   3.8 285.2 22 55
 19940429 1200  -2.1  -0.8   2.2 249.5 22 55
 19940430 1200  -1.5   1.6   2.2 315.5 22 55
 19940501 1200  -1.1  -1.7   2.0 213.0 22 55
 19940502 1200  -1.0  -0.2   1.0 259.2 22 55
 19940503 1200  -0.1   0.0   0.1 259.9 22 55
 19940504 1200   0.0  -0.7   0.7 179.4 22 55
 19940505 1200   1.1   1.2   1.6  41.9 22 55
 19940506 1200   2.6   2.6   3.7  44.2 22 55
 19940507 1200   7.6   1.2   7.7  81.0 22 55
 19940508 1200   8.0   0.2   8.0  88.8 22 55
 19940509 1200   8.8  -1.9   8.9 102.1 22 55
 19940510 1200   8.3   0.4   8.3  87.3 22 55
 19940511 1200   5.5  -1.8   5.8 107.8 22 55
 19940512 1200   2.9  -1.8   3.4 121.9 22 55
 19940513 1200   0.5  -0.1   0.5 105.3 22 55
 19940514 1200  -0.7   0.1   0.7 274.2 22 55
 19940515 1200   0.5  -0.3   0.6 123.5 22 55
 19940516 1200   2.6  -2.3   3.5 131.7 22 55
 19940517 1200   2.8   1.9   3.4  55.3 22 55
 19940518 1200   2.6   0.6   2.7  78.2 22 55
 19940519 1200   3.0   1.2   3.2  68.7 22 55
 19940520 1200   1.7   0.5   1.8  73.1 22 55
 19940521 1200   1.7   1.5   2.2  48.9 22 55
 19940522 1200   0.4  -1.2   1.3 163.9 22 55
 19940523 1200  -0.1  -0.5   0.5 191.8 22 55
 19940524 1200  -0.6   2.0   2.1 344.2 22 55
 19940525 1200   0.5   1.4   1.5  18.2 22 55
 19940526 1200  -3.4  -1.0   3.5 254.3 22 55
 19940527 1200  -1.6  -0.2   1.6 262.1 22 55
 19940528 1200  -4.6   0.3   4.6 274.1 22 55
 19940529 1200  -4.2  -1.6   4.5 248.7 22 55
 19940530 1200  -2.6  -0.2   2.7 266.5 22 55
 19940531 1200  -3.7   2.2   4.3 301.2 22 55
 19940601 1200  -4.5   1.0   4.6 282.9 22 55
 19940602 1200  -4.1  -0.9   4.2 258.0 22 55
 19940603 1200  -2.4   1.3   2.7 299.3 22 55
 19940604 1200  -3.8   2.7   4.7 304.8 22 55
 19940605 1200  -5.0   2.3   5.5 294.9 22 55
 19940606 1200  -5.8   1.4   6.0 283.3 22 55
 19940607 1200  -6.3  -0.2   6.3 267.9 22 55
 19940608 1200  -5.3   0.7   5.3 277.4 22 55
 19940609 1200  -4.9   2.8   5.6 299.6 22 55
 19940610 1200  -4.7   0.8   4.7 280.0 22 55
 19940611 1200  -1.4  -1.5   2.1 222.9 22 55
 19940612 1200   0.1   1.9   1.9   3.2 22 55
 19940613 1200   0.7   4.2   4.2   9.6 22 55
 19940614 1200  -0.8   4.4   4.5 349.2 22 55
 19940615 1200  -3.7   0.7   3.8 280.1 22 55
 19940616 1200   4.0  -0.3   4.0  94.1 22 55
 19940617 1200   6.4   0.2   6.4  88.3 22 55
 19940618 1200   4.3   0.1   4.3  88.0 22 55
 19940619 1200   2.9  -0.7   3.0 103.6 22 55
 19940620 1200   0.9   0.6   1.1  53.8 22 55
 19940621 1200   1.2   1.6   2.0  38.1 22 55
 19940622 1200   3.2   1.6   3.6  62.7 22 55
 19940623 1200   4.8   1.0   4.9  78.0 22 55
 19940624 1200   2.2  -1.6   2.7 124.9 22 55
 19940625 1200   3.0   0.2   3.0  85.2 22 55
 19940626 1200   0.2  -0.7   0.7 162.2 22 55
 19940627 1200  -0.6  -1.5   1.6 201.6 22 55
 19940628 1200  -0.9  -0.2   0.9 254.8 22 55
 19940629 1200  -1.7  -0.5   1.7 253.2 22 55
 19940630 1200  -2.4  -2.2   3.3 226.5 22 55
 19940701 1200  -2.5  -0.5   2.5 259.0 22 55
 19940702 1200  -0.1   1.9   2.0 356.5 22 55
 19940703 1200  -1.4   1.8   2.3 322.6 22 55
 19940704 1200  -2.7   5.0   5.7 331.5 22 55
 19940705 1200  -5.2   6.1   8.0 319.6 22 55
 19940706 1200  -4.6   0.7   4.6 278.6 22 55
 Time: 1200  4 Jan 1995 to 1200 13 Feb 1995 (index   252 to   292,   41 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19950104 1200  -0.2  -0.2   0.3 227.8 22 55
 19950105 1200   1.3   1.1   1.7  50.0 22 55
 19950106 1200   4.2   0.1   4.2  88.3 22 55
 19950107 1200   4.0  -0.8   4.1 101.0 22 55
 19950108 1200   0.3  -4.2   4.2 176.0 22 55
 19950109 1200   3.4  -1.3   3.6 111.4 22 55
 19950110 1200   0.7  -0.7   0.9 134.3 22 55
 19950111 1200   1.9  -0.9   2.1 115.7 22 55
 19950112 1200  -0.6  -1.8   1.9 197.3 22 55
 19950113 1200  -1.4  -0.2   1.4 262.6 22 55
 19950114 1200   0.0  -1.3   1.3 180.7 22 55
 19950115 1200   2.5  -3.8   4.5 146.3 22 55
 19950116 1200   1.7  -2.6   3.1 147.6 22 55
 19950117 1200   2.1   0.1   2.1  86.8 22 55
 19950118 1200   1.2  -2.0   2.4 149.1 22 55
 19950119 1200  -0.5  -2.0   2.1 194.9 22 55
 19950120 1200  -0.4  -3.0   3.0 187.8 22 55
 19950121 1200   1.0  -0.8   1.3 129.2 22 55
 19950122 1200  -3.2  -3.0   4.4 226.4 22 55
 19950123 1200  -2.0  -2.2   3.0 221.6 22 55
 19950124 1200  -3.0  -1.3   3.3 247.1 22 55
 19950125 1200   0.5  -3.6   3.6 172.6 22 55
 19950126 1200  -2.2  -3.4   4.1 212.4 22 55
 19950127 1200  -1.0  -4.7   4.8 191.8 22 55
 19950128 1200  -1.0  -3.9   4.1 194.3 22 55
 19950129 1200  -1.8  -4.5   4.8 202.2 22 55
 19950130 1200  -2.6  -3.6   4.5 216.3 22 55
 19950131 1200  -0.4  -4.2   4.2 185.4 22 55
 19950201 1200   1.7  -2.5   3.0 145.7 22 55
 19950202 1200   2.8  -1.2   3.1 112.8 22 55
 19950203 1200  -0.2  -1.0   1.0 194.2 22 55
 19950204 1200  -0.1   3.3   3.3 357.9 22 55
 19950205 1200   2.4   4.0   4.6  31.2 22 55
 19950206 1200  -2.9   1.3   3.1 294.5 22 55
 19950207 1200  -0.5  -4.0   4.0 186.8 22 55
 19950208 1200   1.2  -5.6   5.7 168.3 22 55
 19950209 1200  -1.1  -4.3   4.4 195.0 22 55
 19950210 1200  -0.6  -4.2   4.3 187.9 22 55
 19950211 1200  -0.2  -2.7   2.7 184.8 22 55
 19950212 1200  -0.6  -0.1   0.6 262.8 22 55
 19950213 1200   0.7  -3.0   3.0 167.3 22 55
 Time: 1200 14 Jul 1995 to 1200 21 Aug 1995 (index   443 to   481,   39 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19950714 1200  -0.1  -0.9   0.9 184.0 22 11
 19950715 1200  -1.7  -1.3   2.1 233.4 22 11
 19950716 1200  -1.6   1.1   1.9 303.7 22 11
 19950717 1200  -0.7   2.3   2.4 342.2 22 11
 19950718 1200  -2.5  -0.7   2.6 254.0 22 11
 19950719 1200  -3.8   0.1   3.8 270.8 22 11
 19950720 1200  -4.5   1.1   4.6 284.3 22 11
 19950721 1200  -4.1   0.9   4.2 282.5 22 11
 19950722 1200  -0.6  -1.4   1.6 202.4 22 11
 19950723 1200   1.9   3.4   3.9  29.2 22 11
