 Location:  0N 165E  21 Apr 1986 to 23 Aug 2013 ( 9987 times, 28 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 21 Apr 1986 to 1200 11 Jun 1986 (index     1 to    52,   52 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860421 1200  -6.9  -1.5   7.1 257.9 22 55
 19860422 1200  -6.2  -0.6   6.3 264.4 22 55
 19860423 1200  -4.1  -2.5   4.8 238.5 22 55
 19860424 1200  -4.7  -3.2   5.7 236.0 22 55
 19860425 1200  -4.4  -0.7   4.5 261.2 22 55
 19860426 1200  -5.9   1.0   6.0 279.6 22 55
 19860427 1200  -5.4   1.1   5.5 281.4 22 55
 19860428 1200  -3.6  -2.8   4.6 232.1 22 55
 19860429 1200  -2.1  -2.5   3.2 219.8 22 55
 19860430 1200  -3.5   0.5   3.5 277.9 22 55
 19860501 1200  -5.7   1.4   5.8 284.0 22 55
 19860502 1200  -7.1  -1.3   7.3 260.1 22 55
 19860503 1200  -5.1  -1.3   5.3 255.7 22 55
 19860504 1200  -5.1  -1.5   5.3 253.9 22 55
 19860505 1200  -5.2   1.7   5.5 288.2 22 55
 19860506 1200  -4.1   2.8   5.0 303.9 22 55
 19860507 1200  -1.7  -0.6   1.8 252.4 22 55
 19860508 1200   0.4  -0.7   0.8 150.8 22 55
 19860509 1200   3.7   1.2   3.9  72.0 22 55
 19860510 1200   4.4   1.6   4.7  70.2 22 55
 19860511 1200   1.2   0.5   1.3  67.8 22 55
 19860512 1200   4.9  -3.4   6.0 124.7 22 55
 19860513 1200   7.7  -3.7   8.5 115.5 22 55
 19860514 1200   9.0  -7.7  11.8 130.6 22 55
 19860515 1200   7.9  -3.3   8.6 112.5 22 55
 19860516 1200   6.3  -2.5   6.8 111.4 22 55
 19860517 1200   5.6  -0.8   5.6  98.3 22 55
 19860518 1200   0.2  -0.9   0.9 169.5 22 55
 19860519 1200  -6.5  -2.9   7.1 246.1 22 55
 19860520 1200  -5.0  -4.9   7.0 225.9 22 55
 19860521 1200  -4.9  -3.0   5.7 239.0 22 55
 19860522 1200  -4.3   1.6   4.6 290.2 22 55
 19860523 1200  -0.2   2.8   2.8 356.0 22 55
 19860524 1200   0.4   0.9   1.0  23.3 22 55
 19860525 1200   1.1  -1.1   1.6 133.4 22 55
 19860526 1200  -1.1  -1.3   1.7 219.7 22 55
 19860527 1200  -1.2  -0.7   1.3 239.4 22 55
 19860528 1200  -1.4   0.5   1.5 289.3 22 55
 19860529 1200  -2.6  -0.6   2.7 257.5 22 55
 19860530 1200  -4.5  -0.1   4.5 268.5 22 55
 19860531 1200  -3.6   2.4   4.3 303.7 22 55
 19860601 1200  -3.0   1.2   3.2 291.5 22 55
 19860602 1200  -4.5  -1.4   4.7 252.8 22 55
 19860603 1200  -5.2  -1.4   5.4 255.2 22 55
 19860604 1200  -3.6  -0.9   3.7 255.7 22 55
 19860605 1200  -3.1  -2.8   4.2 227.5 22 55
 19860606 1200  -1.9  -0.8   2.0 247.4 22 55
 19860607 1200  -2.4   1.0   2.6 292.8 22 55
 19860608 1200  -3.6  -1.7   4.0 244.9 22 55
 19860609 1200  -3.6  -2.8   4.5 232.3 22 55
 19860610 1200  -1.3   1.4   1.9 318.1 22 55
 19860611 1200  -3.8   0.8   3.9 281.4 22 55
 Time: 1200 13 Dec 1986 to 1200 15 Oct 1987 (index   237 to   543,  307 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19861213 1200  10.3   0.8  10.3  85.5 22 55
 19861214 1200   9.1   1.9   9.3  78.4 22 55
 19861215 1200   4.7  -4.7   6.7 135.1 22 55
 19861216 1200   6.3  -5.1   8.1 128.9 22 55
 19861217 1200   9.3  -4.8  10.4 117.2 22 55
 19861218 1200   9.5  -1.9   9.7 101.0 22 55
 19861219 1200   7.4  -3.4   8.1 115.0 22 55
 19861220 1200   6.7  -0.5   6.7  94.3 22 55
 19861221 1200   8.5   0.6   8.5  85.7 22 55
 19861222 1200   7.4   4.3   8.6  59.6 22 55
 19861223 1200   6.7   2.0   7.0  73.3 22 55
 19861224 1200   6.9  -2.0   7.2 106.4 22 55
 19861225 1200   4.0  -5.6   6.9 144.7 22 55
 19861226 1200   1.2  -4.3   4.5 164.9 22 55
 19861227 1200   0.7  -1.2   1.4 151.6 22 55
 19861228 1200   2.4   0.8   2.6  72.9 22 55
 19861229 1200   3.9  -1.7   4.2 114.1 22 55
 19861230 1200   2.9  -4.7   5.5 148.6 22 55
 19861231 1200   1.3  -2.3   2.6 150.9 22 55
 19870101 1200  -1.0  -1.0   1.4 223.3 22 55
 19870102 1200   2.6   1.8   3.2  55.7 22 55
 19870103 1200   4.1  -1.0   4.3 103.5 22 55
 19870104 1200   4.8  -1.3   5.0 105.3 22 55
 19870105 1200   3.2  -0.2   3.2  93.0 22 55
 19870106 1200   3.8   2.2   4.4  59.8 22 55
 19870107 1200   2.6   1.6   3.1  58.5 22 55
 19870108 1200   2.2  -3.2   3.8 145.5 22 55
 19870109 1200   2.0  -1.7   2.6 130.1 22 55
 19870110 1200   0.7  -0.4   0.8 118.8 22 55
 19870111 1200  -2.6   1.7   3.1 303.9 22 55
 19870112 1200   1.6  -5.7   5.9 164.3 22 55
 19870113 1200  -0.3  -5.5   5.6 182.9 22 55
 19870114 1200  -2.7  -2.5   3.7 226.7 22 55
 19870115 1200  -3.4  -1.9   3.9 240.5 22 55
 19870116 1200  -2.2  -2.3   3.2 223.5 22 55
 19870117 1200  -2.6  -5.3   5.9 206.0 22 55
 19870118 1200  -2.9  -6.6   7.2 203.8 22 55
 19870119 1200  -2.7  -5.6   6.2 205.3 22 55
 19870120 1200  -3.8  -3.8   5.4 225.2 22 55
 19870121 1200  -4.3  -2.5   4.9 239.8 22 55
 19870122 1200  -5.1  -3.1   6.0 238.7 22 55
 19870123 1200  -2.7  -0.2   2.7 266.8 22 55
 19870124 1200   0.1  -2.9   2.9 179.0 22 55
 19870125 1200  -1.3  -2.7   3.0 206.2 22 55
 19870126 1200  -2.8  -2.0   3.5 234.3 22 55
 19870127 1200  -2.9   0.0   2.9 269.4 22 55
 19870128 1200  -0.3  -3.9   3.9 184.5 22 55
 19870129 1200  -3.6  -5.7   6.7 211.9 22 55
 19870130 1200  -1.1  -5.3   5.4 191.8 22 55
 19870131 1200  -2.1  -5.7   6.1 200.3 22 55
 19870201 1200  -2.5  -5.4   6.0 204.9 22 55
 19870202 1200  -2.3  -4.0   4.6 209.9 22 55
 19870203 1200  -2.2  -2.4   3.3 221.9 22 55
 19870204 1200  -1.4  -1.2   1.9 229.6 22 55
 19870205 1200  -2.1  -1.5   2.6 234.0 22 55
 19870206 1200  -2.6  -2.5   3.6 226.4 22 55
 19870207 1200   1.1  -4.3   4.4 165.6 22 55
 19870208 1200   1.0  -4.0   4.2 165.6 22 55
 19870209 1200  -1.1  -3.3   3.5 198.8 22 55
 19870210 1200   4.1  -1.3   4.3 107.7 22 55
 19870211 1200   2.7  -4.6   5.3 149.5 22 55
 19870212 1200  -2.0  -6.6   6.9 196.8 22 55
 19870213 1200   2.7  -4.5   5.3 149.4 22 55
