 Location:  0N 140W  16 Apr 1983 to 10 Jun 2013 (11014 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 16 Apr 1983 to 1200 25 Apr 1983 (index     1 to    10,   10 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19830416 1200  -1.2  -1.0   1.5 230.6 22 55
 19830417 1200   0.5  -0.9   1.1 150.3 22 55
 19830418 1200  -0.6  -3.6   3.6 188.8 22 55
 19830419 1200  -0.3  -2.5   2.5 186.3 22 55
 19830420 1200  -1.0  -3.1   3.3 198.2 22 55
 19830421 1200  -4.2  -5.0   6.6 220.1 22 55
 19830422 1200  -3.1  -3.3   4.5 223.7 22 55
 19830423 1200  -0.9  -3.2   3.3 195.4 22 55
 19830424 1200   0.7   0.8   1.1  41.9 22 55
 19830425 1200  -0.9   1.7   1.9 333.7 22 55
 Time: 1200 21 Oct 1983 to 1200 13 Dec 1983 (index   189 to   242,   54 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19831021 1200  -6.2  -0.4   6.2 266.7 22 55
 19831022 1200  -6.6   1.1   6.6 279.5 22 55
 19831023 1200  -6.4  -0.5   6.4 265.6 22 55
 19831024 1200  -7.6   0.7   7.6 274.9 22 55
 19831025 1200  -8.0   1.3   8.1 279.0 22 55
 19831026 1200  -6.9  -0.3   6.9 267.8 22 55
 19831027 1200  -5.5  -0.1   5.5 269.3 22 55
 19831028 1200  -5.2  -0.2   5.2 268.1 22 55
 19831029 1200  -4.6  -0.8   4.7 260.3 22 55
 19831030 1200  -4.3   0.6   4.3 277.7 22 55
 19831031 1200  -4.0   0.5   4.0 276.5 22 55
 19831101 1200  -3.3  -0.1   3.3 267.8 22 55
 19831102 1200  -4.3  -0.2   4.3 268.0 22 55
 19831103 1200  -3.7   0.8   3.8 282.1 22 55
 19831104 1200  -2.3   1.5   2.7 304.0 22 55
 19831105 1200  -2.9   2.4   3.8 309.5 22 55
 19831106 1200  -3.9   2.2   4.5 299.6 22 55
 19831107 1200  -5.8   2.3   6.3 291.8 22 55
 19831108 1200  -6.0   1.5   6.2 283.7 22 55
 19831109 1200  -6.4   0.7   6.5 276.5 22 55
 19831110 1200  -6.3   0.7   6.3 276.7 22 55
 19831111 1200  -6.6  -0.8   6.6 263.4 22 55
 19831112 1200  -7.4  -1.0   7.4 262.1 22 55
 19831113 1200  -8.1  -0.8   8.1 264.1 22 55
 19831114 1200  -8.0  -0.6   8.0 265.6 22 55
 19831115 1200  -7.8  -1.1   7.9 261.9 22 55
 19831116 1200  -6.8  -1.4   7.0 258.3 22 55
 19831117 1200  -7.0  -1.5   7.2 257.6 22 55
 19831118 1200  -6.6  -0.7   6.7 264.4 22 55
 19831119 1200  -4.8  -0.3   4.8 266.1 22 55
 19831120 1200  -6.6  -0.1   6.6 269.6 22 55
 19831121 1200  -6.1  -0.6   6.2 264.5 22 55
 19831122 1200  -7.9  -0.6   7.9 265.9 22 55
 19831123 1200  -6.9  -0.3   6.9 267.7 22 55
 19831124 1200  -8.0   0.3   8.0 272.3 22 55
 19831125 1200  -7.2  -0.3   7.2 267.7 22 55
 19831126 1200  -6.2   0.1   6.2 270.6 22 55
 19831127 1200  -6.6  -0.4   6.6 266.2 22 55
 19831128 1200  -4.4  -1.0   4.5 257.2 22 55
 19831129 1200  -4.2   2.2   4.7 297.5 22 55
 19831130 1200  -4.5   0.7   4.6 278.4 22 55
 19831201 1200  -5.0  -1.0   5.1 259.1 22 55
 19831202 1200  -4.5  -0.6   4.5 262.9 22 55
 19831203 1200  -6.4   0.2   6.4 272.0 22 55
 19831204 1200  -6.0   0.5   6.1 274.7 22 55
 19831205 1200  -4.8   0.0   4.8 269.9 22 55
 19831206 1200  -3.9  -0.4   3.9 264.3 22 55
