 Location:  0N 125W  30 Oct 1983 to 24 May 2012 (10435 times, 18 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 Oct 1983 to 1200 30 Oct 1984 (index     1 to   367,  367 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19831030 1200  -1.9   0.9   2.1 296.3 22 55
 19831031 1200  -1.5   1.0   1.8 304.8 22 55
 19831101 1200  -1.9  -0.1   1.9 268.5 22 55
 19831102 1200  -0.9  -0.4   0.9 243.7 22 55
 19831103 1200  -1.6   0.8   1.8 296.6 22 55
 19831104 1200  -2.0   0.6   2.1 285.4 22 55
 19831105 1200  -3.5   0.4   3.5 277.1 22 55
 19831106 1200  -3.7   1.0   3.8 284.7 22 55
 19831107 1200  -4.2   1.2   4.4 286.1 22 55
 19831108 1200  -4.7   0.6   4.7 276.7 22 55
 19831109 1200  -4.8   0.4   4.9 274.9 22 55
 19831110 1200  -5.9   0.8   5.9 277.6 22 55
 19831111 1200  -4.8   1.2   4.9 283.7 22 55
 19831112 1200  -4.4   0.0   4.4 270.1 22 55
 19831113 1200  -5.1   0.4   5.1 274.2 22 55
 19831114 1200  -4.7  -0.2   4.7 268.0 22 55
 19831115 1200  -5.1   0.4   5.1 274.8 22 55
 19831116 1200  -5.3   0.1   5.3 271.3 22 55
 19831117 1200  -5.0  -0.9   5.1 259.9 22 55
 19831118 1200  -4.2   0.7   4.3 278.8 22 55
 19831119 1200  -2.6   0.6   2.7 283.0 22 55
 19831120 1200  -2.0  -0.6   2.1 253.0 22 55
 19831121 1200  -1.7  -0.5   1.8 253.7 22 55
 19831122 1200  -1.6  -0.5   1.7 251.8 22 55
 19831123 1200  -2.7  -0.2   2.7 264.7 22 55
 19831124 1200  -0.8   0.8   1.2 316.4 22 55
 19831125 1200  -0.6   0.4   0.7 301.8 22 55
 19831126 1200  -0.2  -0.3   0.4 214.4 22 55
 19831127 1200  -1.3   0.1   1.3 273.1 22 55
 19831128 1200  -1.7   1.2   2.0 305.5 22 55
 19831129 1200  -1.7   1.5   2.3 311.3 22 55
 19831130 1200  -2.5   0.8   2.6 287.0 22 55
 19831201 1200  -3.7  -0.1   3.7 268.3 22 55
 19831202 1200  -2.7   0.6   2.8 283.0 22 55
 19831203 1200  -1.6   1.5   2.2 313.1 22 55
 19831204 1200  -1.2   0.3   1.2 282.3 22 55
 19831205 1200  -2.5   0.7   2.6 285.5 22 55
 19831206 1200  -2.6   0.2   2.6 274.0 22 55
 19831207 1200  -3.0  -0.4   3.0 261.5 22 55
 19831208 1200  -3.9   0.6   3.9 279.4 22 55
 19831209 1200  -3.2   1.2   3.4 290.7 22 55
 19831210 1200  -3.0   1.4   3.3 294.5 22 55
 19831211 1200  -4.6   1.1   4.8 283.2 22 55
 19831212 1200  -5.3   1.4   5.5 284.7 22 55
 19831213 1200  -5.1   0.9   5.2 280.4 22 55
 19831214 1200  -4.3  -0.3   4.3 266.3 22 55
 19831215 1200  -3.8  -0.1   3.8 269.1 22 55
 19831216 1200  -4.9   0.5   4.9 275.4 22 55
 19831217 1200  -5.5   0.8   5.5 278.7 22 55
 19831218 1200  -6.1   0.2   6.1 272.3 22 55
 19831219 1200  -4.6   0.2   4.6 272.3 22 55
 19831220 1200  -5.3  -0.7   5.3 262.1 22 55
 19831221 1200  -4.8  -1.2   5.0 255.6 22 55
 19831222 1200  -6.2  -0.3   6.2 267.4 22 55
 19831223 1200  -5.5   0.2   5.5 271.7 22 55
 19831224 1200  -5.5   0.0   5.5 269.8 22 55
 19831225 1200  -4.0  -0.5   4.0 263.1 22 55
 19831226 1200  -3.7   0.7   3.8 281.0 22 55
 19831227 1200  -2.5   0.4   2.5 279.9 22 55
 19831228 1200  -4.8   1.1   4.9 283.2 22 55
 19831229 1200  -4.1   0.7   4.2 280.0 22 55
 19831230 1200  -2.9   1.3   3.2 294.4 22 55
 19831231 1200  -2.4   1.2   2.7 296.9 22 55
 19840101 1200  -2.2   1.5   2.6 304.8 22 55
 19840102 1200  -2.6   0.8   2.7 287.8 22 55
 19840103 1200  -2.5   1.0   2.7 292.7 22 55
 19840104 1200  -3.3   1.1   3.5 288.3 22 55
 19840105 1200  -3.4   1.2   3.6 290.2 22 55
 19840106 1200  -3.3   0.8   3.4 283.1 22 55
 19840107 1200  -4.5   2.2   5.0 296.3 22 55
 19840108 1200  -4.7   2.0   5.1 292.8 22 55
 19840109 1200  -4.9   1.8   5.2 290.0 22 55
 19840110 1200  -2.8   1.0   3.0 290.3 22 55
 19840111 1200  -2.8   0.9   3.0 287.9 22 55
 19840112 1200  -3.7   1.1   3.9 286.3 22 55
 19840113 1200  -3.1   0.0   3.1 270.7 22 55
 19840114 1200  -3.6  -1.0   3.7 254.2 22 55
 19840115 1200  -4.1   0.4   4.1 275.8 22 55
 19840116 1200  -2.7   1.7   3.2 302.0 22 55
 19840117 1200  -3.4   0.7   3.5 282.1 22 55
 19840118 1200  -4.8  -0.4   4.8 265.3 22 55
 19840119 1200  -5.8   0.1   5.8 271.2 22 55
 19840120 1200  -4.4   0.4   4.4 274.6 22 55
 19840121 1200  -3.7  -0.7   3.8 260.0 22 55
 19840122 1200  -3.5  -1.0   3.6 254.3 22 55
 19840123 1200  -3.3   1.5   3.6 295.0 22 55
 19840124 1200  -2.3   1.5   2.8 302.1 22 55
 19840125 1200  -0.9   1.0   1.3 318.4 22 55
 19840126 1200  -2.1   1.3   2.5 301.3 22 55
 19840127 1200  -3.0   0.5   3.1 280.2 22 55
 19840128 1200  -4.1   0.2   4.2 273.5 22 55
 19840129 1200  -3.9   0.8   4.0 281.8 22 55
 19840130 1200  -3.3   0.7   3.4 281.3 22 55
 19840131 1200  -4.3   1.5   4.5 289.4 22 55
 19840201 1200  -4.1   0.9   4.2 281.9 22 55
 19840202 1200  -3.1   0.2   3.1 273.7 22 55
 19840203 1200  -3.9   0.5   3.9 277.5 22 55
 19840204 1200  -3.5  -0.1   3.5 269.0 22 55
 19840205 1200  -4.3  -0.1   4.3 268.1 22 55
 19840206 1200  -3.5   0.6   3.5 280.5 22 55
 19840207 1200  -3.7   0.7   3.7 281.0 22 55
 19840208 1200  -2.3   0.5   2.4 283.2 22 55
 19840209 1200  -3.0   0.3   3.0 276.6 22 55
 19840210 1200  -2.4   0.9   2.5 291.8 22 55
 19840211 1200  -0.7   1.4   1.5 333.4 22 55
 19840212 1200   1.5   0.1   1.5  87.0 22 55
 19840213 1200   1.3  -1.3   1.8 135.4 22 55
 19840214 1200   0.9  -0.9   1.3 137.5 22 55
 19840215 1200   0.2   1.1   1.1   8.9 22 55
 19840216 1200  -1.1   2.1   2.4 331.2 22 55
 19840217 1200  -2.2   0.8   2.3 290.2 22 55
 19840218 1200  -1.8  -0.2   1.8 263.1 22 55
 19840219 1200   0.0   0.1   0.1 346.0 22 55
 19840220 1200   0.9   1.9   2.1  24.2 22 55
 19840221 1200  -0.1   1.3   1.3 355.0 22 55
 19840222 1200  -0.6  -0.8   1.0 217.5 22 55
 19840223 1200  -1.0  -2.0   2.3 207.2 22 55
 19840224 1200  -1.6   0.9   1.8 298.7 22 55
 19840225 1200  -0.6   2.5   2.5 347.2 22 55
 19840226 1200   1.3   1.5   2.0  41.4 22 55
 19840227 1200   0.9  -1.7   2.0 151.2 22 55
 19840228 1200   0.2  -1.9   1.9 172.8 22 55
 19840229 1200  -1.4   1.3   1.9 311.8 22 55
 19840301 1200  -2.3   1.0   2.5 292.7 22 55
 19840302 1200   0.8   0.7   1.0  46.6 22 55
 19840303 1200   0.6  -1.1   1.2 148.5 22 55
 19840304 1200  -1.4  -1.5   2.0 223.6 22 55
 19840305 1200  -0.2   1.7   1.7 352.2 22 55
 19840306 1200  -1.2   0.9   1.5 306.0 22 55
 19840307 1200  -1.3   0.4   1.4 289.0 22 55
 19840308 1200  -3.3  -0.7   3.4 258.7 22 55
 19840309 1200  -4.2  -0.4   4.2 264.0 22 55
 19840310 1200  -3.7   0.9   3.8 284.4 22 55
 19840311 1200  -2.8   0.8   2.9 286.3 22 55
 19840312 1200  -1.1  -1.2   1.6 221.7 22 55
 19840313 1200  -1.0   0.6   1.2 300.2 22 55
 19840314 1200  -1.7   0.6   1.8 290.1 22 55
 19840315 1200  -2.8  -0.5   2.9 260.2 22 55
 19840316 1200  -2.6  -0.8   2.7 252.4 22 55
 19840317 1200  -2.4  -0.5   2.4 258.5 22 55
 19840318 1200  -3.3   0.3   3.3 274.5 22 55
 19840319 1200  -2.4  -0.1   2.4 267.6 22 55
 19840320 1200  -2.6  -1.5   3.0 239.0 22 55
 19840321 1200  -2.1  -1.1   2.4 242.3 22 55
 19840322 1200  -3.2   0.4   3.3 277.0 22 55
 19840323 1200  -3.6   0.0   3.6 270.5 22 55
 19840324 1200  -2.8  -0.9   2.9 252.2 22 55
 19840325 1200  -1.4  -1.3   1.9 226.5 22 55
 19840326 1200  -0.4  -1.1   1.2 201.0 22 55
 19840327 1200  -0.5  -0.1   0.5 262.5 22 55
 19840328 1200  -1.5   0.9   1.8 302.7 22 55
 19840329 1200   0.2   1.5   1.5   7.1 22 55
 19840330 1200  -1.0  -0.1   1.0 266.5 22 55
 19840331 1200  -0.9  -0.9   1.3 223.7 22 55
 19840401 1200   0.1  -0.9   1.0 171.6 22 55
 19840402 1200  -0.8  -1.4   1.6 209.5 22 55
 19840403 1200   0.1  -0.9   0.9 176.7 22 55
 19840404 1200   1.6   2.1   2.6  36.6 22 55
 19840405 1200   1.2   0.0   1.2  89.0 22 55
 19840406 1200   0.6  -1.6   1.8 158.9 22 55
 19840407 1200  -0.5   0.4   0.7 306.3 22 55
 19840408 1200  -1.9   1.4   2.3 307.6 22 55
 19840409 1200  -1.4  -0.6   1.5 246.0 22 55
 19840410 1200  -1.8  -2.0   2.7 221.2 22 55
 19840411 1200   0.0   2.0   2.0   0.0 22 55
 19840412 1200   0.2   0.9   1.0  13.6 22 55
 19840413 1200  -1.6  -0.1   1.6 268.3 22 55
 19840414 1200  -2.6   0.0   2.6 270.4 22 55
 19840415 1200  -3.1   0.9   3.2 286.0 22 55
 19840416 1200  -1.8  -0.1   1.8 267.2 22 55
 19840417 1200  -0.6   0.9   1.1 328.8 22 55
 19840418 1200  -1.6  -0.7   1.8 245.5 22 55
 19840419 1200  -3.7   0.8   3.8 281.4 22 55
 19840420 1200  -2.3   0.4   2.3 279.3 22 55
 19840421 1200   0.1   0.2   0.2  25.2 22 55
 19840422 1200  -0.6  -0.8   1.0 216.2 22 55
 19840423 1200  -2.0   0.4   2.0 280.7 22 55
 19840424 1200  -0.7   2.0   2.1 341.0 22 55
 19840425 1200  -1.5  -0.3   1.5 258.0 22 55
 19840426 1200  -2.8  -0.7   2.8 255.8 22 55
 19840427 1200  -2.3  -1.0   2.5 247.2 22 55
 19840428 1200  -3.0  -0.8   3.1 254.2 22 55
 19840429 1200  -2.9   1.4   3.2 295.6 22 55
 19840430 1200  -1.9  -0.6   2.0 252.6 22 55
 19840501 1200  -3.8  -0.4   3.8 264.2 22 55
 19840502 1200  -4.2   0.7   4.2 279.0 22 55
 19840503 1200  -4.6   1.0   4.7 282.8 22 55
 19840504 1200  -2.2   1.4   2.7 302.3 22 55
 19840505 1200  -1.3   0.8   1.5 300.1 22 55
 19840506 1200  -0.9   0.8   1.2 314.0 22 55
 19840507 1200  -1.9   0.7   2.0 291.2 22 55
 19840508 1200  -4.8  -0.9   4.9 259.0 22 55
 19840509 1200  -5.6  -0.3   5.6 266.4 22 55
 19840510 1200  -3.5   0.7   3.6 281.2 22 55
 19840511 1200  -1.3   1.0   1.6 306.1 22 55
 19840512 1200  -1.9   1.2   2.3 301.8 22 55
 19840513 1200  -4.8   1.2   4.9 283.7 22 55
 19840514 1200  -4.8   0.3   4.8 274.2 22 55
 19840515 1200  -2.9   0.5   2.9 280.0 22 55
 19840516 1200  -2.0   0.6   2.1 287.6 22 55
 19840517 1200  -1.5   0.6   1.7 290.8 22 55
 19840518 1200  -3.2   0.0   3.2 270.4 22 55
 19840519 1200  -3.7   0.4   3.7 276.9 22 55
 19840520 1200  -2.2   0.7   2.3 288.8 22 55
 19840521 1200   0.6  -0.3   0.6 118.6 22 55
 19840522 1200  -2.7   0.2   2.7 274.6 22 55
 19840523 1200  -4.1   2.1   4.6 297.2 22 55
 19840524 1200  -2.8   2.0   3.4 306.2 22 55
 19840525 1200  -1.9   0.3   1.9 280.6 22 55
 19840526 1200  -5.0   0.7   5.0 277.5 22 55
 19840527 1200  -4.8   1.4   5.0 286.5 22 55
 19840528 1200  -4.9   0.9   5.0 280.8 22 55
 19840529 1200  -4.7  -0.2   4.7 267.2 22 55
 19840530 1200  -4.0  -1.1   4.1 254.9 22 55
 19840531 1200  -2.9  -1.1   3.1 248.1 22 55
 19840601 1200  -3.7   0.2   3.7 272.5 22 55
 19840602 1200  -3.6   0.6   3.7 280.1 22 55
 19840603 1200  -3.6   0.1   3.6 271.4 22 55
 19840604 1200  -3.6  -1.5   3.9 246.6 22 55
 19840605 1200  -3.1  -2.0   3.7 237.9 22 55
 19840606 1200  -2.3  -0.2   2.3 264.5 22 55
 19840607 1200  -2.0  -0.9   2.2 245.7 22 55
 19840608 1200  -2.6  -1.6   3.0 238.3 22 55
 19840609 1200  -1.6   0.1   1.6 274.2 22 55
 19840610 1200  -1.1  -0.8   1.3 234.4 22 55
 19840611 1200  -1.0   0.1   1.0 272.8 22 55
 19840612 1200  -2.3   1.2   2.6 298.4 22 55
 19840613 1200  -2.7   1.5   3.1 299.6 22 55
 19840614 1200  -3.3   2.0   3.8 300.5 22 55
 19840615 1200  -3.1   0.9   3.2 285.1 22 55
 19840616 1200  -4.7  -0.5   4.7 263.7 22 55
 19840617 1200  -4.6   0.0   4.6 269.9 22 55
 19840618 1200  -3.9   1.4   4.2 289.9 22 55
 19840619 1200  -2.3  -0.4   2.3 260.2 22 55
 19840620 1200  -1.9  -0.4   2.0 259.2 22 55
 19840621 1200  -4.5  -0.6   4.6 262.8 22 55
 19840622 1200  -4.8   0.5   4.8 275.6 22 55
 19840623 1200  -3.8   0.2   3.8 273.3 22 55
 19840624 1200  -3.5   0.4   3.5 277.2 22 55
 19840625 1200  -3.0   1.1   3.2 290.2 22 55
 19840626 1200  -3.5   1.0   3.6 286.6 22 55
 19840627 1200  -3.9   0.9   4.0 283.4 22 55
 19840628 1200  -4.8   2.6   5.4 298.4 22 55
 19840629 1200  -6.3   1.6   6.5 284.1 22 55
 19840630 1200  -6.6   0.8   6.6 276.9 22 55
 19840701 1200  -4.8  -0.2   4.8 267.0 22 55
 19840702 1200  -4.5   0.2   4.5 272.0 22 55
 19840703 1200  -5.4   1.7   5.7 287.5 22 55
 19840704 1200  -5.2   0.8   5.2 278.4 22 55
 19840705 1200  -3.8   0.9   3.9 283.4 22 55
 19840706 1200  -3.9   0.8   4.0 282.2 22 55
 19840707 1200  -4.9   2.5   5.5 296.6 22 55
 19840708 1200  -4.5   1.9   4.9 293.3 22 55
 19840709 1200  -5.2   1.5   5.4 285.4 22 55
 19840710 1200  -5.6   1.4   5.7 283.6 22 55
 19840711 1200  -5.9   2.1   6.3 289.2 22 55
 19840712 1200  -6.0   0.8   6.0 278.0 22 55
 19840713 1200  -4.8   0.4   4.9 274.5 22 55
 19840714 1200  -5.1   0.1   5.1 270.9 22 55
 19840715 1200  -6.0   0.4   6.0 273.5 22 55
 19840716 1200  -4.7   1.1   4.8 283.5 22 55
 19840717 1200  -2.5   0.5   2.6 281.2 22 55
 19840718 1200  -4.5   0.5   4.5 276.4 22 55
 19840719 1200  -5.1   1.8   5.4 289.5 22 55
 19840720 1200  -5.4   0.3   5.4 273.7 22 55
 19840721 1200  -4.9   1.1   5.1 282.4 22 55
 19840722 1200  -4.9   2.3   5.4 294.7 22 55
 19840723 1200  -5.2   2.2   5.7 292.7 22 55
 19840724 1200  -4.0   2.2   4.6 299.5 22 55
 19840725 1200  -3.7   2.6   4.5 305.2 22 55
 19840726 1200  -3.1   2.0   3.7 303.0 22 55
 19840727 1200  -3.5   2.2   4.1 302.2 22 55
 19840728 1200  -3.5   1.2   3.7 288.5 22 55
 19840729 1200  -4.1   0.1   4.1 271.0 22 55
 19840730 1200  -4.4   2.0   4.8 294.3 22 55
 19840731 1200  -3.1   0.9   3.2 287.1 22 55
 19840801 1200  -4.6   1.1   4.7 283.3 22 55
 19840802 1200  -6.6   0.8   6.7 277.0 22 55
 19840803 1200  -6.9   2.0   7.2 286.6 22 55
 19840804 1200  -7.3   1.5   7.5 281.3 22 55
 19840805 1200  -6.9   1.2   7.1 280.0 22 55
 19840806 1200  -6.3   2.8   6.9 293.8 22 55
 19840807 1200  -4.2   1.5   4.5 289.4 22 55
 19840808 1200  -4.8   2.4   5.4 296.5 22 55
 19840809 1200  -4.8   3.5   5.9 305.7 22 55
 19840810 1200  -6.4   2.3   6.8 290.0 22 55
 19840811 1200  -5.3   2.6   5.9 295.9 22 55
 19840812 1200  -4.8   5.1   7.0 316.6 22 55
 19840813 1200  -6.3   2.9   6.9 294.6 22 55
 19840814 1200  -5.9   0.5   5.9 274.9 22 55
 19840815 1200  -5.4   1.5   5.6 285.4 22 55
 19840816 1200  -5.8   1.2   5.9 281.8 22 55
 19840817 1200  -4.9   1.9   5.3 291.6 22 55
 19840818 1200  -3.3   1.4   3.6 292.8 22 55
 19840819 1200  -3.8   1.4   4.0 289.8 22 55
 19840820 1200  -3.1   1.3   3.4 293.1 22 55
 19840821 1200  -3.6   3.2   4.8 311.7 22 55
 19840822 1200  -5.1   2.9   5.8 299.5 22 55
 19840823 1200  -6.3   3.8   7.3 300.8 22 55
 19840824 1200  -6.3   3.5   7.2 299.4 22 55
 19840825 1200  -6.0   3.0   6.7 296.3 22 55
 19840826 1200  -3.5   3.0   4.7 310.7 22 55
 19840827 1200  -4.3   3.1   5.3 305.2 22 55
 19840828 1200  -5.6   1.9   5.9 288.7 22 55
 19840829 1200  -6.2   1.1   6.3 279.8 22 55
 19840830 1200  -6.4   1.5   6.6 283.3 22 55
 19840831 1200  -3.7   2.7   4.6 305.8 22 55
 19840901 1200  -2.9   2.9   4.1 314.8 22 55
 19840902 1200  -5.4   1.2   5.6 283.0 22 55
 19840903 1200  -6.1   1.0   6.1 279.1 22 55
