 Location:  2N 137E  22 Apr 1992 to 21 Jul 2013 ( 7761 times, 27 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 22 Apr 1992 to 1200  4 Dec 1992 (index     1 to   227,  227 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920422 1200   1.5  -3.0   3.4 154.2 22 55
 19920423 1200   0.0  -3.4   3.4 180.4 22 55
 19920424 1200   0.9  -1.0   1.4 137.8 22 55
 19920425 1200   3.1   2.0   3.7  56.3 22 55
 19920426 1200  -2.9  -0.4   2.9 262.9 22 55
 19920427 1200  -1.8  -3.3   3.8 208.9 22 55
 19920428 1200   0.2  -1.3   1.3 172.0 22 55
 19920429 1200   0.1  -2.0   2.0 178.4 22 55
 19920430 1200   0.2  -0.4   0.4 149.6 22 55
 19920501 1200   0.0   0.0   0.1 208.2 22 55
 19920502 1200  -0.2  -1.2   1.3 190.0 22 55
 19920503 1200   0.1  -2.2   2.2 177.2 22 55
 19920504 1200  -1.7  -3.3   3.7 207.7 22 55
 19920505 1200  -0.6  -4.7   4.7 187.5 22 55
 19920506 1200  -0.3  -2.4   2.4 187.8 22 55
 19920507 1200  -0.2  -0.2   0.3 227.7 22 55
 19920508 1200  -0.2   0.0   0.2 267.1 22 55
 19920509 1200  -0.3  -0.1   0.3 250.0 22 55
 19920510 1200   0.0   0.2   0.2   3.0 22 55
 19920511 1200  -0.9  -1.1   1.4 219.6 22 55
 19920512 1200   0.0   0.2   0.2   5.2 22 55
 19920513 1200  -1.5  -0.5   1.5 251.7 22 55
 19920514 1200  -0.6   0.1   0.6 275.6 22 55
 19920515 1200  -0.9  -0.9   1.3 223.7 22 55
 19920516 1200  -0.8  -0.6   1.0 234.4 22 55
 19920517 1200  -0.4   0.1   0.4 284.1 22 55
 19920518 1200  -0.1   0.1   0.1 309.4 22 55
 19920519 1200  -0.1   0.6   0.6 353.1 22 55
 19920520 1200  -0.1   0.0   0.1 274.1 22 55
 19920521 1200  -0.1  -2.1   2.1 181.3 22 55
 19920522 1200   0.7  -1.4   1.6 152.5 22 55
 19920523 1200  -0.7  -1.0   1.2 215.7 22 55
 19920524 1200   0.1   0.1   0.2  44.6 22 55
 19920525 1200   1.1   1.6   2.0  34.7 22 55
 19920526 1200  -2.6   1.3   2.9 296.6 22 55
 19920527 1200   1.2   2.1   2.4  30.5 22 55
 19920528 1200   0.9  -0.4   1.0 116.3 22 55
 19920529 1200  -0.9  -1.1   1.4 219.6 22 55
 19920530 1200  -0.1   1.1   1.1 353.2 22 55
 19920531 1200   0.4   0.4   0.6  45.8 22 55
 19920601 1200   0.1   0.2   0.2  40.4 22 55
 19920602 1200   0.0   0.2   0.2   3.0 22 55
 19920603 1200   0.0   0.2   0.2   3.0 22 55
 19920604 1200   0.0   0.2   0.2   3.0 22 55
 19920605 1200   0.0   0.2   0.2   3.0 22 55
 19920606 1200   0.0   0.2   0.2   3.0 22 55
 19920607 1200   1.0  -2.7   2.9 160.0 22 55
 19920608 1200   1.4   0.2   1.4  81.6 22 55
 19920609 1200   0.4  -0.2   0.4 114.3 22 55
 19920610 1200   0.1   0.5   0.5  11.9 22 55
 19920611 1200   0.1   0.9   0.9   7.8 22 55
 19920612 1200   0.2   0.3   0.3  38.1 22 55
 19920613 1200   1.8  -1.1   2.1 120.8 22 55
 19920614 1200   1.9   0.9   2.1  64.5 22 55
 19920615 1200   0.3  -2.7   2.7 172.5 22 55
 19920616 1200  -2.0   2.2   3.0 318.5 22 55
 19920617 1200  -2.0  -3.4   3.9 210.9 22 55
 19920618 1200  -4.5  -0.7   4.6 260.8 22 55
 19920619 1200  -3.5  -0.1   3.5 268.0 22 55
 19920620 1200  -0.6   0.5   0.7 310.4 22 55
 19920621 1200  -0.9   0.0   0.9 272.9 22 55
 19920622 1200  -0.1   0.2   0.2 332.8 22 55
