 Location:  2N 165E   4 Jul 1986 to 22 Nov 2013 (10004 times, 24 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  4 Jul 1986 to 1200 18 Apr 1987 (index     1 to   289,  289 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860704 1200   3.9  -2.4   4.5 121.4 22 11
 19860705 1200   0.3  -0.8   0.8 155.4 22 11
 19860706 1200   2.6   0.6   2.6  76.5 22 11
 19860707 1200   2.6  -1.8   3.2 124.9 22 11
 19860708 1200   0.4  -1.6   1.7 166.5 22 11
 19860709 1200  -0.1   0.2   0.2 322.7 22 11
 19860710 1200  -1.4   1.1   1.7 308.8 22 11
 19860711 1200  -1.1   1.5   1.9 322.8 22 11
 19860712 1200   0.0  -0.8   0.8 178.1 22 11
 19860713 1200  -1.8   0.9   2.0 297.0 22 11
 19860714 1200  -4.2   0.4   4.2 276.1 22 11
 19860715 1200  -2.1   1.2   2.4 298.6 22 11
 19860716 1200  -0.6   1.8   1.9 340.6 22 11
 19860717 1200   0.1   1.4   1.4   5.2 22 11
 19860718 1200  -1.4  -0.3   1.5 259.8 22 11
 19860719 1200   1.5  -3.3   3.6 155.4 22 11
 19860720 1200   0.4  -2.2   2.2 169.4 22 11
 19860721 1200   6.3  -1.3   6.4 101.8 22 11
 19860722 1200   5.1  -0.1   5.1  91.6 22 11
 19860723 1200   6.1  -0.4   6.1  93.6 22 11
 19860724 1200   5.5   0.2   5.5  88.1 22 11
 19860725 1200   3.8   0.8   3.9  78.0 22 11
 19860726 1200   3.2  -0.7   3.2 102.5 22 11
 19860727 1200  -0.4  -6.1   6.2 183.4 22 11
 19860728 1200   1.0  -3.8   3.9 165.2 22 11
 19860729 1200   2.3   2.4   3.3  42.9 22 11
 19860730 1200   1.7  -0.2   1.7  95.9 22 11
 19860731 1200   0.3  -0.8   0.9 160.1 22 11
 19860801 1200   0.8   3.4   3.5  14.0 22 11
 19860802 1200   2.6   0.2   2.6  86.1 22 11
 19860803 1200   3.0  -2.1   3.7 125.1 22 11
 19860804 1200   3.0  -3.2   4.4 137.5 22 11
 19860805 1200   5.0  -0.2   5.0  92.4 22 11
 19860806 1200   6.0   0.2   6.0  88.2 22 11
 19860807 1200   1.5  -0.9   1.8 121.9 22 11
 19860808 1200   0.9   0.6   1.1  59.1 22 11
 19860809 1200  -1.8   0.6   1.9 289.7 22 11
 19860810 1200  -1.9   0.8   2.1 293.4 22 11
 19860811 1200  -0.5   1.1   1.2 338.2 22 11
 19860812 1200   2.6   0.6   2.7  77.4 22 11
 19860813 1200   0.3  -1.8   1.9 170.2 22 11
 19860814 1200   0.1  -1.8   1.8 176.6 22 11
 19860815 1200  -1.9   0.6   2.0 287.6 22 11
 19860816 1200  -3.5   3.1   4.7 311.2 22 11
 19860817 1200  -1.8   6.1   6.4 343.2 22 11
 19860818 1200   0.2   5.2   5.3   2.0 22 11
 19860819 1200   3.6   3.2   4.8  48.1 22 11
 19860820 1200   4.1  -0.5   4.1  96.6 22 11
 19860821 1200   4.7   0.4   4.7  85.2 22 11
 19860822 1200   6.1  -0.5   6.2  94.8 22 11
 19860823 1200   4.6   0.0   4.6  90.3 22 11
 19860824 1200   1.9  -2.1   2.8 137.2 22 11
 19860825 1200  -3.0  -2.5   3.9 230.4 22 11
 19860826 1200  -3.5  -2.6   4.3 233.6 22 11
 19860827 1200  -2.3   2.0   3.1 312.0 22 11
 19860828 1200  -1.7   2.9   3.4 329.3 22 11
 19860829 1200  -1.1   0.2   1.1 280.6 22 11
 19860830 1200  -3.4  -2.4   4.2 234.0 22 11
 19860831 1200  -2.7  -2.4   3.6 228.0 22 11
 19860901 1200   0.3   0.5   0.6  25.7 22 11
 19860902 1200   3.3   3.5   4.8  43.4 22 11
 19860903 1200   1.6   2.1   2.6  36.6 22 11
 19860904 1200   2.8  -2.8   3.9 135.3 22 11
 19860905 1200   4.9  -2.1   5.3 113.3 22 11
 19860906 1200   4.3   0.8   4.3  80.1 22 11
 19860907 1200   2.6   3.1   4.0  39.5 22 11
 19860908 1200   1.4   3.6   3.8  20.9 22 11
 19860909 1200  -1.5   3.0   3.4 332.8 22 11
 19860910 1200  -2.6   2.5   3.7 314.1 22 11
 19860911 1200  -2.3  -0.4   2.4 260.5 22 11
 19860912 1200  -1.5  -0.8   1.7 241.8 22 11
 19860913 1200   0.0   0.0   0.0 311.6 22 11
