 Location:  2N 140W  14 May 1987 to 28 Jun 2013 ( 9543 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 14 May 1987 to 1200 24 May 1988 (index     1 to   377,  377 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19870514 1200   0.9  -2.6   2.8 161.1 24 11
 19870515 1200  -3.0  -0.2   3.0 266.0 24 11
 19870516 1200   0.8   1.5   1.7  27.4 24 11
 19870517 1200  -1.2  -0.1   1.2 264.9 24 11
 19870518 1200  -0.3  -1.7   1.7 191.8 24 11
 19870519 1200  -1.1  -0.5   1.1 246.5 24 11
 19870520 1200  -1.7   0.5   1.8 285.9 24 11
 19870521 1200  -1.9   0.2   1.9 276.3 24 11
 19870522 1200  -3.5   0.5   3.5 277.5 24 11
 19870523 1200  -4.4   0.3   4.4 273.8 24 11
 19870524 1200  -4.7   0.0   4.7 270.0 24 11
 19870525 1200  -4.4   0.2   4.4 273.2 24 11
 19870526 1200  -3.6   0.2   3.6 273.2 24 11
 19870527 1200  -3.1   0.0   3.1 269.2 24 11
 19870528 1200  -3.7   0.5   3.7 277.7 24 11
 19870529 1200  -1.1   0.6   1.2 299.9 24 11
 19870530 1200  -0.5  -0.3   0.7 237.3 24 11
 19870531 1200   0.8  -1.7   1.9 154.5 24 11
 19870601 1200  -0.9   0.8   1.2 310.2 24 11
 19870602 1200  -2.9   1.1   3.1 291.4 24 11
 19870603 1200  -4.3   1.0   4.5 282.7 24 11
 19870604 1200  -5.4   1.1   5.5 281.6 24 11
 19870605 1200  -4.8   0.3   4.8 273.7 24 11
 19870606 1200  -5.6   1.8   5.9 287.6 24 11
 19870607 1200  -4.4   2.7   5.2 301.9 24 11
 19870608 1200  -5.0   4.6   6.8 312.6 24 11
 19870609 1200  -3.9   3.4   5.2 310.6 24 11
 19870610 1200  -2.0   5.5   5.9 339.7 24 11
 19870611 1200  -1.3   4.7   4.9 344.8 24 11
 19870612 1200  -1.2   4.9   5.1 346.7 24 11
 19870613 1200  -1.3   2.8   3.1 334.7 24 11
 19870614 1200  -5.8  -2.9   6.5 243.7 24 11
 19870615 1200  -6.8   0.5   6.8 274.3 24 11
 19870616 1200  -7.5   1.3   7.6 279.5 24 11
 19870617 1200  -6.0   1.2   6.1 281.3 24 11
 19870618 1200  -4.7   0.6   4.7 276.9 24 11
 19870619 1200  -3.4   5.2   6.2 326.8 24 11
 19870620 1200   3.2   1.3   3.4  68.3 24 11
 19870621 1200  -1.6  -1.5   2.2 227.3 24 11
 19870622 1200  -2.5  -1.1   2.7 245.8 24 11
 19870623 1200  -4.3   1.6   4.5 290.4 24 11
 19870624 1200  -5.8   3.5   6.8 301.5 24 11
 19870625 1200  -6.1   2.9   6.8 295.4 24 11
 19870626 1200  -7.2   4.7   8.6 303.1 24 11
 19870627 1200  -5.7   0.3   5.7 273.4 24 11
 19870628 1200  -6.2  -1.8   6.5 253.7 24 11
 19870629 1200  -4.6   2.6   5.3 299.2 24 11
 19870630 1200  -2.1   5.1   5.5 337.6 24 11
 19870701 1200  -2.9   3.9   4.9 323.6 24 11
 19870702 1200  -3.6   4.1   5.4 319.0 24 11
 19870703 1200  -1.5   2.1   2.5 324.8 24 11
 19870704 1200   0.1   2.2   2.2   3.6 24 11
 19870705 1200  -0.7   4.7   4.8 351.2 24 11
 19870706 1200  -4.1   0.2   4.1 273.0 24 11
 19870707 1200  -4.3   3.0   5.3 305.0 24 11
 19870708 1200  -6.1   2.8   6.7 294.4 24 11
 19870709 1200  -7.6   1.9   7.8 284.0 24 11
 19870710 1200  -5.9   4.0   7.2 304.1 24 11
 19870711 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19870712 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19870713 1200  -6.3   4.0   7.5 302.6 24 11
 19870714 1200  -5.3   4.0   6.6 307.0 24 11
 19870715 1200  -5.7   4.0   7.0 304.9 24 11
 19870716 1200  -6.2   5.6   8.4 312.1 24 11
 19870717 1200  -8.6   3.6   9.3 293.0 24 11
 19870718 1200  -6.1   1.7   6.3 285.5 24 11
 19870719 1200  -3.3   1.2   3.5 289.7 24 11
 19870720 1200  -4.5   1.6   4.8 289.9 24 11
 19870721 1200  -6.0   2.1   6.3 289.8 24 11
 19870722 1200  -4.1   3.1   5.1 307.3 24 11
 19870723 1200  -3.3   4.3   5.4 322.7 24 11
 19870724 1200  -3.0   4.2   5.1 324.3 24 11
 19870725 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19870726 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19870727 1200  -4.3   3.2   5.3 307.0 24 11
 19870728 1200  -3.5   4.3   5.6 320.8 24 11
 19870729 1200  -2.5   5.0   5.7 333.1 24 11
 19870730 1200  -2.0   4.8   5.2 337.2 24 11
 19870731 1200  -0.8   4.7   4.8 350.0 24 11
 19870801 1200  -1.4   3.0   3.3 336.0 24 11
 19870802 1200  -1.9   0.6   2.0 286.8 24 11
 19870803 1200  -1.2   3.3   3.5 340.1 24 11
 19870804 1200  -2.2   4.5   5.0 333.9 24 11
 19870805 1200  -4.9   3.5   6.0 305.6 24 11
 19870806 1200  -6.1   4.1   7.3 303.9 24 11
 19870807 1200  -3.3   2.4   4.0 306.0 24 11
 19870808 1200  -4.1   1.6   4.4 291.8 24 11
 19870809 1200  -4.8   5.0   6.9 316.3 24 11
 19870810 1200  -5.1   5.3   7.4 316.1 24 11
 19870811 1200  -5.0   6.3   8.0 321.7 24 11
 19870812 1200  -4.5   4.8   6.6 316.9 24 11
 19870813 1200  -3.0   6.2   6.9 334.5 24 11
 19870814 1200  -3.8   3.7   5.3 314.7 24 11
 19870815 1200  -4.3   3.1   5.3 306.2 24 11
 19870816 1200  -4.4   3.8   5.8 311.1 24 11
 19870817 1200  -5.8   3.2   6.7 299.1 24 11
 19870818 1200  -6.6   3.9   7.7 300.2 24 11
 19870819 1200  -4.7   3.5   5.9 306.3 24 11
 19870820 1200  -2.8   4.2   5.1 326.0 24 11
 19870821 1200  -2.4   5.2   5.8 335.0 24 11
 19870822 1200  -4.2   5.5   6.9 322.9 24 11
 19870823 1200  -1.3   4.7   4.9 344.1 24 11
 19870824 1200  -1.1   3.4   3.6 343.0 24 11
 19870825 1200  -4.5   4.6   6.4 316.1 24 11
 19870826 1200  -6.7   4.9   8.3 306.3 24 11
 19870827 1200  -5.1   5.3   7.3 316.4 24 11
 19870828 1200  -3.6   7.9   8.7 335.7 24 11
 19870829 1200  -3.0   7.8   8.3 338.8 24 11
 19870830 1200  -2.7   6.8   7.3 338.1 24 11
 19870831 1200  -5.2   4.5   6.9 310.8 24 11
 19870901 1200  -5.7   5.6   8.0 314.3 24 11
 19870902 1200  -6.5   4.9   8.1 307.2 24 11
 19870903 1200  -6.2   6.2   8.8 315.2 24 11
 19870904 1200  -5.6   5.7   8.0 315.2 24 11
 19870905 1200  -5.5   6.1   8.2 318.0 24 11
 19870906 1200  -3.2   6.2   7.0 332.6 24 11
 19870907 1200  -2.4   6.9   7.3 340.8 24 11
 19870908 1200  -1.2   4.7   4.9 345.9 24 11
 19870909 1200  -2.7   5.3   6.0 332.9 24 11
 19870910 1200  -4.8   5.4   7.2 318.8 24 11
 19870911 1200  -4.7   3.8   6.0 308.7 24 11
 19870912 1200  -0.6   5.9   5.9 354.2 24 11
 19870913 1200  -2.4   7.9   8.2 342.9 24 11
 19870914 1200  -3.6   5.7   6.7 327.1 24 11
 19870915 1200  -2.7   4.6   5.3 329.8 24 11
 19870916 1200  -1.0   4.3   4.4 347.2 24 11
 19870917 1200  -0.5   4.8   4.8 354.4 24 11
 19870918 1200  -3.5   2.2   4.2 302.1 24 11
 19870919 1200  -3.7   2.8   4.7 306.5 24 11
 19870920 1200  -2.3   4.9   5.4 334.9 24 11
 19870921 1200  -0.3   6.1   6.1 356.8 24 11
 19870922 1200  -0.1   4.5   4.5 358.6 24 11
 19870923 1200  -0.9   5.8   5.9 351.3 24 11
 19870924 1200  -1.1   5.8   5.9 349.4 24 11
 19870925 1200  -2.5   5.0   5.5 333.7 24 11
 19870926 1200  -2.5   3.3   4.2 322.3 24 11
 19870927 1200  -4.5   4.7   6.5 315.9 24 11
 19870928 1200  -4.0   3.8   5.5 313.2 24 11
 19870929 1200  -4.2   5.2   6.7 320.7 24 11
 19870930 1200  -3.0   3.7   4.8 320.9 24 11
 19871001 1200  -3.8   2.9   4.8 307.4 24 11
 19871002 1200  -2.6   4.6   5.3 330.1 24 11
 19871003 1200  -3.6   4.5   5.8 321.7 24 11
 19871004 1200  -2.5   6.8   7.2 339.7 24 11
 19871005 1200  -1.9   4.0   4.4 334.1 24 11
 19871006 1200   0.0   4.7   4.7   0.3 24 11
 19871007 1200  -1.7   4.6   4.9 340.2 24 11
 19871008 1200  -3.6   5.0   6.2 324.3 24 11
 19871009 1200  -1.7   6.9   7.1 346.2 24 11
 19871010 1200  -2.2   5.4   5.9 337.6 24 11
 19871011 1200  -2.7   5.6   6.2 334.3 24 11
 19871012 1200  -6.4  10.0  11.9 327.3 24 11
 19871013 1200  -4.3   6.0   7.4 324.6 24 11
