 Location:  2N  95W  16 Nov 1992 to  7 Apr 2013 ( 7448 times, 28 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19921116 1200  -1.1   5.4   5.5 348.5 22 55
 19921117 1200  -1.1   4.8   4.9 347.6 22 55
 19921118 1200  -2.2   5.0   5.4 335.8 22 55
 19921119 1200  -2.6   7.0   7.5 339.3 22 55
 19921120 1200  -2.7   7.0   7.5 338.8 22 55
 19921121 1200  -1.5   6.8   7.0 347.2 22 55
 19921122 1200   0.3   6.2   6.2   3.0 22 55
 19921123 1200   1.1   4.5   4.6  13.8 22 55
 19921124 1200   1.6   6.9   7.1  12.7 22 55
 19921125 1200   0.1   6.0   6.0   0.9 22 55
 19921126 1200  -1.1   5.4   5.5 348.6 22 55
 19921127 1200  -1.2   6.9   7.0 350.1 22 55
 19921128 1200  -1.6   8.0   8.2 348.8 22 55
 19921129 1200  -4.0   5.3   6.7 323.2 22 55
 19921130 1200  -4.0   3.4   5.2 310.6 22 55
 19921201 1200  -2.2   6.3   6.7 340.7 22 55
 19921202 1200  -2.3   6.0   6.4 339.0 22 55
 19921203 1200  -0.6   5.2   5.2 353.6 22 55
 19921204 1200  -0.1   7.2   7.2 359.1 22 55
 19921205 1200  -1.7   7.8   7.9 347.3 22 55
 19921206 1200  -2.5   5.8   6.3 336.4 22 55
 19921207 1200  -1.5   3.5   3.8 336.3 22 55
 19921208 1200  -0.8   4.5   4.5 349.6 22 55
 19921209 1200  -0.7   4.9   5.0 352.2 22 55
 19921210 1200  -1.8   5.4   5.7 341.8 22 55
 19921211 1200  -2.0   5.9   6.2 341.4 22 55
 19921212 1200  -1.9   4.8   5.2 339.2 22 55
 19921213 1200  -2.5   6.1   6.6 338.1 22 55
 19921214 1200  -2.6   5.9   6.4 336.2 22 55
 19921215 1200  -2.0   7.1   7.4 344.0 22 55
 19921216 1200  -2.5   6.7   7.2 339.5 22 55
 19921217 1200  -1.9   5.6   5.9 340.7 22 55
 19921218 1200  -0.8   6.4   6.5 352.5 22 55
 19921219 1200  -2.7   7.1   7.6 339.3 22 55
 19921220 1200  -2.3   7.3   7.7 342.3 22 55
 19921221 1200  -1.0   6.9   7.0 351.7 22 55
 19921222 1200  -3.1   6.3   7.0 333.8 22 55
 19921223 1200  -3.5   6.0   6.9 329.5 22 55
 19921224 1200  -2.7   4.9   5.6 331.0 22 55
 19921225 1200  -1.4   6.3   6.4 347.2 22 55
 19921226 1200  -0.5   6.1   6.1 355.6 22 55
 19921227 1200  -2.8   6.3   6.8 336.1 22 55
 19921228 1200  -2.5   6.0   6.5 337.1 22 55
 19921229 1200  -1.9   5.7   6.0 341.3 22 55
 19921230 1200  -2.1   6.7   7.0 342.6 22 55
 19921231 1200  -2.9   5.9   6.5 334.1 22 55
 19930101 1200  -3.1   4.5   5.5 325.9 22 55
 19930102 1200  -1.2   3.3   3.5 340.5 22 55
 19930103 1200  -2.1   5.5   5.9 338.6 22 55
 19930104 1200  -1.8   6.1   6.3 343.4 22 55
 19930105 1200  -1.6   5.4   5.7 343.2 22 55
 19930106 1200  -1.3   5.4   5.6 346.1 22 55
 19930107 1200  -1.0   5.4   5.5 349.6 22 55
 19930108 1200  -1.9   4.9   5.3 339.2 22 55
 19930109 1200  -1.5   7.5   7.6 348.7 22 55
 19930110 1200  -0.7   6.2   6.3 353.9 22 55
 19930111 1200  -0.8   4.9   5.0 350.8 22 55
 19930112 1200  -1.1   4.3   4.5 345.9 22 55
 19930113 1200  -1.6   6.2   6.4 345.4 22 55
 19930114 1200  -1.0   5.9   6.0 350.7 22 55
 19930115 1200  -1.1   4.8   4.9 347.4 22 55
 19930116 1200  -2.0   5.6   6.0 340.2 22 55
 19930117 1200  -1.9   3.0   3.5 328.4 22 55
 19930118 1200  -0.3   4.6   4.7 356.0 22 55
 19930119 1200   1.0   4.1   4.2  13.6 22 55
 19930120 1200   1.3   4.3   4.5  16.7 22 55
 19930121 1200   0.0   4.1   4.1   0.6 22 55
 19930122 1200  -1.6   4.6   4.9 340.9 22 55
 19930123 1200  -0.6   4.2   4.2 351.6 22 55
 19930124 1200  -1.8   4.4   4.8 338.2 22 55
 19930125 1200   0.6   4.8   4.8   7.4 22 55
 19930126 1200   2.0   4.4   4.8  24.6 22 55
 19930127 1200  -0.2   4.3   4.3 357.3 22 55
 19930128 1200  -1.5   5.3   5.5 343.9 22 55
 19930129 1200  -1.5   4.9   5.1 342.8 22 55
 19930130 1200   0.6   2.4   2.5  13.8 22 55
 19930131 1200   2.1   1.4   2.5  57.1 22 55
 19930201 1200   3.2   0.8   3.3  75.0 22 55
 19930202 1200   0.9   3.6   3.7  13.9 22 55
 19930203 1200  -1.9   3.1   3.6 329.1 22 55
 19930204 1200  -1.7   1.0   1.9 299.8 22 55
 19930205 1200  -2.0  -1.1   2.2 242.0 22 55
 19930206 1200  -0.6   1.4   1.6 337.9 22 55
 19930207 1200  -1.9  -2.4   3.0 217.9 22 55
 19930208 1200  -2.2   2.2   3.1 315.8 22 55
 19930209 1200  -1.2   5.6   5.7 348.2 22 55
 19930210 1200  -1.0   4.2   4.3 346.1 22 55
 19930211 1200   1.2   0.5   1.3  66.9 22 55
 19930212 1200   0.1   1.5   1.5   3.9 22 55
 19930213 1200   0.0   3.0   3.0 359.4 22 55
 19930214 1200   2.4   1.3   2.8  61.0 22 55
 19930215 1200   1.6   4.3   4.6  20.3 22 55
 19930216 1200   0.5   2.0   2.1  13.0 22 55
 19930217 1200   0.2  -1.4   1.4 169.6 22 55
 19930218 1200  -2.6  -2.3   3.4 228.6 22 55
 19930219 1200  -2.9  -1.5   3.3 243.0 22 55
 19930220 1200  -4.2  -0.7   4.3 261.2 22 55
 19930221 1200  -5.3  -1.9   5.6 249.8 22 55
 19930222 1200  -5.9   2.0   6.2 288.8 22 55
 19930223 1200  -3.3   3.1   4.6 313.4 22 55
 19930224 1200  -1.2   0.4   1.2 287.4 22 55
 19930225 1200  -0.6   0.7   1.0 318.6 22 55
 19930226 1200  -1.1   0.9   1.4 308.0 22 55
 19930227 1200  -0.6   2.9   3.0 348.7 22 55
 19930228 1200   0.9   2.4   2.6  21.4 22 55
 19930301 1200   4.3   1.2   4.4  74.7 22 11
 19930302 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19930303 1200   2.6   1.1   2.8  67.5 22 11
 19930304 1200   2.4  -0.4   2.4 100.0 22 11
 19930305 1200   0.7   0.9   1.1  36.6 22 11
 19930306 1200  -1.9   0.8   2.1 292.5 22 11
 19930307 1200  -2.9   0.1   2.9 271.2 22 11
 19930308 1200  -3.3   1.2   3.5 290.6 22 11
 19930309 1200  -4.1   2.0   4.6 295.9 22 11
 19930310 1200  -5.5   0.3   5.5 273.4 22 11
 19930311 1200  -5.0   1.7   5.3 289.1 22 11
 19930312 1200  -4.3   1.2   4.5 285.4 22 11
 19930313 1200  -3.3   2.1   3.9 302.4 22 11
 19930314 1200  -0.6  -0.2   0.7 253.4 22 11
 19930315 1200  -0.7  -1.5   1.7 205.9 22 11
 19930316 1200  -4.2  -0.8   4.3 259.8 22 11
 19930317 1200  -1.6  -1.5   2.2 226.9 22 11
 19930318 1200  -1.7  -0.2   1.7 264.1 22 11
 19930319 1200  -1.6   0.3   1.6 280.0 22 11
 19930320 1200  -1.2   3.0   3.3 338.4 22 11
 19930321 1200  -1.4   0.5   1.4 289.5 22 11
 19930322 1200  -0.8   2.2   2.3 340.9 22 11
 19930323 1200  -1.2   2.2   2.5 332.1 22 11
 19930324 1200   0.7   0.9   1.1  36.6 22 11
 19930325 1200   0.2   1.2   1.2  10.0 22 11
 19930326 1200   0.6  -1.1   1.2 153.1 22 11
 19930327 1200  -1.1  -0.1   1.1 266.0 22 11
 19930328 1200   0.3  -0.4   0.5 145.0 22 11
 19930329 1200  -0.4   0.1   0.4 280.0 22 11
 19930330 1200  -2.1   1.9   2.8 312.5 22 11
 19930331 1200  -1.6   1.2   2.0 306.6 22 11
 19930401 1200  -2.0   0.3   2.0 280.0 22 11
 19930402 1200  -3.5   1.3   3.7 290.0 22 11
 19930403 1200  -5.0   1.5   5.3 286.8 22 11
 19930404 1200   0.0   2.7   2.7   0.5 22 11
 19930405 1200   0.9   2.7   2.9  18.8 22 11
 19930406 1200   1.0  -0.4   1.1 114.0 22 11
 19930407 1200   2.4   3.7   4.4  32.8 22 11
 19930408 1200   0.8   4.6   4.6  10.0 22 11
 19930409 1200  -0.9   1.6   1.8 330.2 22 11
 19930410 1200  -2.1   0.6   2.2 285.7 22 11
 19930411 1200  -4.4   2.7   5.2 301.4 22 11
