 Location:  5N 137E  30 Apr 1993 to 22 Nov 2013 ( 7512 times, 17 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 Apr 1993 to 1200  1 Aug 1993 (index     1 to    94,   94 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19930430 1200  -0.9   2.2   2.4 336.4 22 11
 19930501 1200  -3.1   4.1   5.1 322.9 22 11
 19930502 1200  -2.7   0.3   2.8 277.4 22 11
 19930503 1200  -3.4  -1.7   3.8 243.6 22 11
 19930504 1200  -3.4  -1.5   3.7 246.4 22 11
 19930505 1200  -2.8  -1.7   3.3 238.3 22 11
 19930506 1200   1.4   0.1   1.4  83.5 22 11
 19930507 1200   1.6   1.2   2.0  52.4 22 11
 19930508 1200  -0.1   2.1   2.1 357.3 22 11
 19930509 1200  -2.1   1.2   2.4 299.6 22 11
 19930510 1200  -2.8  -1.3   3.1 244.7 22 11
 19930511 1200  -4.5  -3.3   5.6 234.0 22 11
 19930512 1200  -2.2  -2.0   3.0 228.0 22 11
 19930513 1200  -0.5  -0.7   0.9 216.7 22 11
 19930514 1200   2.1  -0.8   2.2 109.7 22 11
 19930515 1200   3.0  -2.9   4.1 133.9 22 11
 19930516 1200   1.4  -4.2   4.5 161.2 22 11
 19930517 1200  -1.7  -4.1   4.4 202.3 22 11
 19930518 1200  -0.6  -2.7   2.8 191.8 22 11
 19930519 1200  -0.4  -3.7   3.8 186.2 22 11
 19930520 1200  -3.1  -3.0   4.2 226.0 22 11
 19930521 1200  -2.0  -1.4   2.4 235.1 22 11
 19930522 1200  -2.6  -0.3   2.6 263.5 22 11
 19930523 1200  -4.2  -0.4   4.2 264.5 22 11
 19930524 1200  -2.7   1.0   2.9 290.1 22 11
 19930525 1200  -2.4  -0.1   2.4 267.8 22 11
 19930526 1200  -2.7   1.0   2.9 290.1 22 11
 19930527 1200  -2.1   1.2   2.4 299.6 22 11
 19930528 1200  -3.8  -0.4   3.8 263.5 22 11
 19930529 1200  -4.0  -1.0   4.1 255.5 22 11
 19930530 1200  -3.4   0.0   3.4 269.4 22 11
 19930531 1200  -3.1   0.0   3.1 269.2 22 11
 19930601 1200  -5.0  -1.0   5.1 259.0 22 11
 19930602 1200  -4.9   0.7   5.0 277.8 22 11
 19930603 1200  -0.7  -1.7   1.9 203.6 22 11
 19930604 1200  -0.3  -0.5   0.6 209.6 22 11
 19930605 1200  -0.5  -2.1   2.2 194.3 22 11
 19930606 1200  -1.6  -0.4   1.6 257.1 22 11
 19930607 1200  -2.2  -1.8   2.8 231.0 22 11
 19930608 1200  -3.4  -0.2   3.4 265.9 22 11
 19930609 1200  -2.9  -3.0   4.1 223.9 22 11
 19930610 1200  -1.1   0.7   1.3 304.0 22 11
 19930611 1200  -1.0   1.2   1.6 318.0 22 11
 19930612 1200   2.0   1.8   2.7  48.0 22 11
 19930613 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19930614 1200   6.6   1.1   6.7  80.7 22 11
 19930615 1200   5.0   1.8   5.3  70.4 22 11
 19930616 1200   4.8   1.8   5.2  69.5 22 11
 19930617 1200   2.0   2.0   2.8  45.0 22 11
 19930618 1200   3.6   0.4   3.6  83.0 22 11
 19930619 1200   2.6  -2.0   3.3 127.7 22 11
 19930620 1200   4.3  -0.6   4.4  98.4 22 11
 19930621 1200   6.5  -0.3   6.6  93.0 22 11
 19930622 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19930623 1200   2.5   5.0   5.6  26.8 22 11
