 Location:  5N 147E   7 Oct 1991 to 25 Jul 2013 ( 7963 times, 27 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  7 Oct 1991 to 1200 11 Nov 1991 (index     1 to    36,   36 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19911007 1200  -2.0   1.2   2.3 300.6 42 11
 19911008 1200  -2.7   0.7   2.8 284.0 42 55
 19911009 1200  -1.8  -0.1   1.8 265.7 42 55
 19911010 1200  -3.0  -0.6   3.0 258.1 42 55
 19911011 1200  -1.7  -0.4   1.8 258.0 42 55
 19911012 1200  -1.8   0.9   2.0 296.4 42 55
 19911013 1200  -0.3   0.0   0.4 276.4 42 55
 19911014 1200   2.9   1.3   3.2  66.0 42 55
 19911015 1200   2.9  -3.5   4.5 139.9 42 55
 19911016 1200   5.7  -3.7   6.8 123.2 42 55
 19911017 1200   4.0  -2.9   4.9 125.7 42 55
 19911018 1200   6.3  -1.3   6.5 101.8 42 55
 19911019 1200   8.4   0.9   8.4  84.0 42 55
 19911020 1200   7.1   1.1   7.2  81.1 42 55
 19911021 1200   5.8   3.0   6.6  62.5 42 55
 19911022 1200   4.7   1.2   4.8  75.0 42 55
 19911023 1200   3.8  -0.1   3.8  91.0 42 55
 19911024 1200   0.3  -4.6   4.6 176.1 42 55
 19911025 1200  -1.7  -6.7   6.9 194.2 42 55
 19911026 1200  -1.3  -5.9   6.1 192.2 42 55
 19911027 1200  -0.8  -0.7   1.1 230.5 42 55
 19911028 1200   5.9   1.3   6.0  77.2 42 55
 19911029 1200   3.8   3.2   5.0  50.4 42 55
 19911030 1200   3.3   2.7   4.2  50.8 42 55
 19911031 1200   2.6   0.9   2.8  72.0 42 55
 19911101 1200   3.9   0.4   3.9  84.0 42 55
 19911102 1200   6.0   0.9   6.0  81.8 42 55
 19911103 1200   4.3   1.2   4.4  73.8 42 55
 19911104 1200   1.2   1.3   1.8  42.9 42 55
 19911105 1200   1.6  -0.9   1.8 120.6 42 55
 19911106 1200   4.0  -1.8   4.3 114.3 42 55
 19911107 1200   4.7   0.0   4.7  90.3 42 55
 19911108 1200   3.8  -0.1   3.8  91.2 42 55
 19911109 1200   2.9   2.0   3.5  55.7 42 55
 19911110 1200   0.7   0.8   1.1  39.6 42 55
 19911111 1200   2.3  -0.4   2.3 100.6 42 55
 Time: 1200 30 Apr 1992 to 1200 18 Apr 1993 (index   207 to   560,  354 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
