 Location:  5N 165E   3 Feb 1988 to 22 Nov 2013 ( 9425 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  3 Feb 1988 to 1200 21 Mar 1988 (index     1 to    48,   48 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19880203 1200  -7.8  -5.8   9.7 233.6 22 11
 19880204 1200  -3.6  -3.4   4.9 227.3 22 11
 19880205 1200  -3.2  -2.8   4.3 228.8 22 11
 19880206 1200  -4.5  -5.3   7.0 220.2 22 11
 19880207 1200  -6.3  -4.0   7.4 237.7 22 11
 19880208 1200  -5.7  -5.7   8.0 225.0 22 11
 19880209 1200  -3.6  -4.9   6.1 215.8 22 11
 19880210 1200  -5.3  -5.0   7.2 226.8 22 11
 19880211 1200  -5.5  -5.2   7.5 226.7 22 11
 19880212 1200  -3.9  -5.5   6.7 215.6 22 11
 19880213 1200  -6.2  -4.5   7.7 233.9 22 11
 19880214 1200  -6.7  -4.2   7.9 238.4 22 11
 19880215 1200  -6.3  -4.3   7.6 235.6 22 11
 19880216 1200  -4.3  -3.1   5.3 234.3 22 11
 19880217 1200  -3.7  -6.2   7.2 210.5 22 11
 19880218 1200  -3.2  -5.2   6.1 211.6 22 11
 19880219 1200  -5.2  -5.8   7.8 222.1 22 11
 19880220 1200  -3.5  -6.4   7.3 208.6 22 11
 19880221 1200  -3.4  -7.1   7.8 205.8 22 11
 19880222 1200  -2.8  -5.7   6.3 205.8 22 11
 19880223 1200  -5.2  -5.2   7.3 224.9 22 11
 19880224 1200  -6.6  -4.0   7.7 239.1 22 11
 19880225 1200  -5.4  -3.8   6.6 234.6 22 11
 19880226 1200  -5.0  -1.6   5.2 252.4 22 11
 19880227 1200  -7.8  -2.4   8.1 253.1 22 11
 19880228 1200  -7.9  -2.2   8.2 254.5 22 11
 19880229 1200  -7.0  -4.0   8.0 240.3 22 11
 19880301 1200  -6.8  -5.0   8.4 233.6 22 11
 19880302 1200  -7.9  -4.2   8.9 242.1 22 11
 19880303 1200  -7.7  -4.4   8.9 240.3 22 11
 19880304 1200  -7.3  -5.0   8.9 235.7 22 11
 19880305 1200  -7.7  -2.5   8.1 251.9 22 11
 19880306 1200  -7.7  -4.3   8.9 240.6 22 11
 19880307 1200  -7.1  -1.9   7.3 255.3 22 11
 19880308 1200  -6.6  -1.3   6.7 258.5 22 11
 19880309 1200  -5.9  -4.0   7.2 235.8 22 11
 19880310 1200  -3.9  -5.4   6.6 215.7 22 11
 19880311 1200  -7.1  -3.6   8.0 242.8 22 11
 19880312 1200  -6.2  -2.5   6.7 248.2 22 11
 19880313 1200  -7.1  -1.9   7.3 255.4 22 11
 19880314 1200  -7.8  -3.0   8.4 248.8 22 11
 19880315 1200  -6.0  -3.5   6.9 240.0 22 11
 19880316 1200  -6.4  -1.1   6.5 260.0 22 11
 19880317 1200  -6.6  -3.8   7.7 240.3 22 11
 19880318 1200  -6.9  -2.3   7.3 251.3 22 11
 19880319 1200  -8.4  -3.3   9.0 248.4 22 11
 19880320 1200  -6.8  -2.9   7.4 247.1 22 11
 19880321 1200  -6.3  -3.7   7.3 239.6 22 11
 Time: 1200  2 Jul 1988 to 1200  1 Aug 1990 (index   151 to   911,  761 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19880702 1200  -3.9   0.9   4.0 283.0 22 11
 19880703 1200  -5.5  -3.2   6.3 239.5 22 11
 19880704 1200  -5.6  -2.6   6.2 245.6 22 11
 19880705 1200  -4.0   0.5   4.1 276.9 22 11
 19880706 1200  -4.3   3.5   5.5 308.8 22 11
 19880707 1200  -0.6   0.7   0.9 316.6 22 11
 19880708 1200   0.7  -0.5   0.9 125.9 22 11
 19880709 1200  -5.6   0.9   5.6 279.3 22 11
 19880710 1200  -4.9  -0.8   5.0 260.3 22 11
 19880711 1200  -4.1  -0.5   4.1 262.8 22 11
 19880712 1200  -2.2   4.0   4.5 331.1 22 11
 19880713 1200  -3.6   0.4   3.6 275.8 22 11
 19880714 1200  -4.5  -3.1   5.5 235.7 22 11
 19880715 1200  -6.5  -2.0   6.8 253.1 22 11
 19880716 1200  -5.3   1.3   5.4 284.0 22 11
 19880717 1200  -7.5  -0.8   7.6 264.3 22 11
 19880718 1200  -5.7   0.1   5.7 271.1 22 11
 19880719 1200  -6.3   1.8   6.5 285.8 22 11
 19880720 1200  -4.6  -0.9   4.7 258.9 22 11
 19880721 1200  -5.5   0.1   5.5 271.6 22 11
 19880722 1200   0.6   2.4   2.5  13.6 22 11
 19880723 1200   1.9   3.5   4.0  28.1 22 11
 19880724 1200   0.3   2.0   2.1   9.3 22 11
 19880725 1200  -2.2  -1.8   2.8 231.0 22 11
 19880726 1200  -1.9  -2.3   3.0 219.2 22 11
 19880727 1200  -4.1   1.1   4.2 284.5 22 11
 19880728 1200  -2.0   3.0   3.6 326.7 22 11
 19880729 1200  -3.3  -2.3   4.0 235.4 22 11
 19880730 1200  -5.4  -0.9   5.5 260.4 22 11
 19880731 1200  -2.0   2.2   2.9 317.9 22 11
 19880801 1200  -1.9  -2.7   3.3 214.6 22 11
 19880802 1200  -2.1   0.2   2.1 274.9 22 11
 19880803 1200   0.4   1.0   1.1  20.5 22 11
 19880804 1200  -0.5   0.5   0.6 314.4 22 11
 19880805 1200  -5.4   0.9   5.5 279.8 22 11
 19880806 1200  -6.0  -0.8   6.1 262.1 22 11
 19880807 1200  -6.7   2.0   7.0 286.8 22 11
 19880808 1200  -4.8   2.3   5.3 295.6 22 11
 19880809 1200  -5.3  -0.4   5.3 265.3 22 11
 19880810 1200  -5.5   0.3   5.5 273.4 22 11
 19880811 1200  -4.3  -1.1   4.4 255.4 22 11
 19880812 1200  -3.7   1.0   3.9 285.7 22 11
 19880813 1200  -1.1   0.0   1.1 268.0 22 11
 19880814 1200  -3.5  -0.5   3.5 261.1 22 11
 19880815 1200  -4.3  -0.6   4.3 261.6 22 11
 19880816 1200  -6.0   2.6   6.5 293.4 22 11
 19880817 1200  -5.6  -0.4   5.6 266.2 22 11
 19880818 1200  -3.9  -0.4   4.0 264.2 22 11
 19880819 1200  -5.2   3.1   6.0 300.9 22 11
 19880820 1200  -3.0   1.1   3.2 291.1 22 11
 19880821 1200  -4.1   0.5   4.2 277.4 22 11
 19880822 1200  -3.3   1.1   3.5 288.9 22 11
 19880823 1200  -3.0   0.8   3.1 284.9 22 11
 19880824 1200  -3.4   0.5   3.5 278.0 22 11
 19880825 1200  -3.0   3.0   4.2 315.7 22 11
 19880826 1200  -4.6   3.0   5.5 303.2 22 11
 19880827 1200  -5.9  -1.0   6.0 260.4 22 11
 19880828 1200  -5.1   1.6   5.3 287.2 22 11
 19880829 1200  -3.8   3.4   5.1 312.2 22 11
 19880830 1200  -1.2   0.7   1.4 301.8 22 11
 19880831 1200  -2.2  -1.0   2.4 244.5 22 11
 19880901 1200  -2.6   2.9   3.9 317.5 22 11
 19880902 1200  -3.7   1.2   3.9 288.4 22 11
 19880903 1200  -4.5   2.1   5.0 295.0 22 11
 19880904 1200  -3.4   2.7   4.3 308.2 22 11
 19880905 1200  -1.2   5.4   5.6 347.3 22 11
 19880906 1200   0.5   5.0   5.0   5.7 22 11
 19880907 1200  -1.2   4.6   4.8 345.1 22 11
 19880908 1200  -5.2   0.6   5.2 276.7 22 11
 19880909 1200  -4.3  -1.6   4.6 249.2 22 11
 19880910 1200  -4.7   0.5   4.8 275.9 22 11
 19880911 1200  -5.5   2.9   6.2 297.9 22 11
 19880912 1200  -8.0   1.7   8.2 282.1 22 11
 19880913 1200  -3.4   1.1   3.6 287.9 22 11
 19880914 1200   0.0  -0.3   0.3 173.8 22 11
 19880915 1200  -4.3   2.2   4.8 297.4 22 11
 19880916 1200  -7.0   1.5   7.1 282.3 22 11
 19880917 1200  -6.3  -1.1   6.4 260.4 22 11
 19880918 1200  -5.6   0.8   5.7 278.5 22 11
 19880919 1200  -7.6   2.9   8.1 290.9 22 11
 19880920 1200  -6.8   3.2   7.5 295.3 22 11
 19880921 1200  -3.6   2.6   4.5 306.0 22 11
 19880922 1200  -4.8   3.1   5.7 303.3 22 11
 19880923 1200  -4.1   2.9   5.0 305.5 22 11
 19880924 1200  -4.3   2.0   4.7 294.8 22 11
 19880925 1200  -4.5   2.2   5.1 296.1 22 11
 19880926 1200  -2.9   1.7   3.4 300.4 22 11
 19880927 1200  -3.3   0.4   3.3 276.6 22 11
 19880928 1200  -6.2   2.7   6.8 293.5 22 11
 19880929 1200  -6.2   1.6   6.3 284.6 22 11
 19880930 1200  -6.6   1.9   6.9 286.5 22 11
 19881001 1200  -6.8   3.5   7.6 297.2 22 11
 19881002 1200  -6.6   3.8   7.6 299.8 22 11
 19881003 1200  -5.6   3.1   6.4 298.6 22 11
 19881004 1200  -4.2   2.3   4.8 299.0 22 11
 19881005 1200  -3.0   0.4   3.0 278.2 22 11
 19881006 1200  -3.6  -0.9   3.7 256.4 22 11
 19881007 1200  -3.1  -0.4   3.1 263.0 22 11
 19881008 1200  -1.8   1.5   2.4 309.9 22 11
 19881009 1200  -0.5   3.2   3.3 351.0 22 11
 19881010 1200  -3.6   1.6   3.9 294.1 22 11
 19881011 1200  -5.5   1.8   5.8 287.6 22 11
 19881012 1200  -6.2   0.5   6.2 274.1 22 11
 19881013 1200  -4.6   2.6   5.3 299.2 22 11
 19881014 1200  -4.5   1.8   4.9 291.9 22 11
 19881015 1200  -2.0  -0.5   2.1 255.1 22 11
 19881016 1200  -2.6  -1.2   2.9 244.9 22 11
 19881017 1200  -5.2   5.2   7.3 314.8 22 11
 19881018 1200  -1.4   4.0   4.3 340.2 22 11
 19881019 1200  -2.5   0.6   2.5 283.2 22 11
 19881020 1200  -1.2  -2.9   3.1 203.1 22 11
 19881021 1200  -4.3   0.8   4.4 280.6 22 11
 19881022 1200  -4.0   3.1   5.1 307.3 22 11
 19881023 1200  -4.5   0.4   4.5 275.1 22 11
 19881024 1200  -6.4   1.2   6.5 280.7 22 11
 19881025 1200  -7.2   2.9   7.7 291.8 22 11
 19881026 1200  -6.0   2.6   6.6 292.9 22 11
 19881027 1200  -1.3   1.2   1.8 313.1 22 11
 19881028 1200  -0.8   1.0   1.3 321.2 22 11
 19881029 1200  -2.0   0.8   2.2 292.6 22 11
 19881030 1200  -5.5   3.1   6.3 299.9 22 11
 19881031 1200  -6.9   1.5   7.1 282.2 22 11
 19881101 1200  -6.2   1.4   6.3 282.8 22 11
 19881102 1200  -5.2   3.4   6.2 303.4 22 11
 19881103 1200  -7.7   2.6   8.1 288.3 22 11
 19881104 1200  -7.2   1.6   7.3 282.6 22 11
 19881105 1200  -6.2  -0.8   6.2 262.9 22 11
 19881106 1200  -6.0   1.2   6.1 281.7 22 11
 19881107 1200  -5.1   4.2   6.6 309.7 22 11
 19881108 1200  -5.4   2.7   6.0 296.5 22 11
 19881109 1200  -6.5   1.9   6.7 286.0 22 11
 19881110 1200  -4.7   1.6   4.9 288.9 22 11
 19881111 1200  -5.0   0.1   5.0 271.1 22 11
 19881112 1200  -3.1   1.9   3.6 301.8 22 11
 19881113 1200  -2.5  -0.3   2.5 262.9 22 11
 19881114 1200  -4.7  -1.8   5.1 249.3 22 11
 19881115 1200  -5.1  -2.5   5.7 244.2 22 11
 19881116 1200  -7.2   0.3   7.2 272.5 22 11
 19881117 1200  -8.2   1.6   8.3 280.9 22 11
 19881118 1200  -7.4  -1.5   7.6 258.7 22 11
 19881119 1200  -5.8  -1.1   5.9 259.6 22 11
 19881120 1200  -7.1   1.5   7.2 281.8 22 11
 19881121 1200  -6.8   2.5   7.3 290.3 22 11
 19881122 1200  -7.7   0.2   7.7 271.3 22 11
 19881123 1200  -7.5  -0.9   7.5 263.5 22 11
 19881124 1200  -8.6   2.2   8.8 284.4 22 11
 19881125 1200  -6.7   1.1   6.8 279.5 22 11
 19881126 1200  -4.9  -1.3   5.1 254.7 22 11
 19881127 1200  -3.4   2.1   4.0 302.2 22 11
 19881128 1200  -3.3   1.6   3.7 296.0 22 11
 19881129 1200  -3.7   1.1   3.9 286.2 22 11
 19881130 1200  -2.0   3.3   3.9 328.4 22 11
 19881201 1200  -4.6   2.9   5.5 302.3 22 11
 19881202 1200  -7.7   0.7   7.7 274.9 22 11
 19881203 1200  -4.8   0.8   4.9 279.8 22 11
 19881204 1200  -3.0   0.9   3.2 286.4 22 11
 19881205 1200  -5.8   2.3   6.3 291.3 22 11
 19881206 1200  -5.9   3.2   6.7 298.9 22 11
 19881207 1200  -3.5   1.6   3.8 295.4 22 11
 19881208 1200  -5.7  -1.1   5.8 258.9 22 11
 19881209 1200  -5.9   0.6   5.9 275.4 22 11
 19881210 1200  -6.6   1.4   6.7 282.1 22 11
 19881211 1200  -4.6   2.9   5.4 302.7 22 11
 19881212 1200  -1.2   1.6   2.0 323.3 22 11
 19881213 1200  -1.4   3.8   4.0 340.0 22 11
 19881214 1200  -1.9   0.0   1.9 269.2 22 11
 19881215 1200  -5.0  -1.9   5.3 249.5 22 11
 19881216 1200  -6.2  -0.7   6.3 264.0 22 11
 19881217 1200  -9.1   1.8   9.2 281.0 22 11
 19881218 1200  -6.8   0.8   6.8 276.4 22 11
 19881219 1200  -3.2   0.3   3.3 276.2 22 11
 19881220 1200  -5.4   1.6   5.7 286.5 22 11
 19881221 1200  -3.7   1.8   4.2 295.9 22 11
 19881222 1200  -2.8   2.8   4.0 314.6 22 11
 19881223 1200  -4.2   0.8   4.3 281.4 22 11
 19881224 1200  -6.6   1.1   6.7 279.9 22 11
 19881225 1200  -6.4  -0.6   6.5 264.6 22 11
 19881226 1200  -2.9  -3.2   4.3 222.1 22 11
 19881227 1200  -3.7  -3.2   4.9 229.0 22 11
 19881228 1200  -6.9  -0.5   6.9 266.1 22 11
 19881229 1200  -7.0   3.5   7.8 296.3 22 11
 19881230 1200  -4.2   2.5   4.9 301.0 22 11
 19881231 1200  -1.5  -1.4   2.0 226.5 22 11
 19890101 1200  -6.5  -3.9   7.6 239.3 22 11
 19890102 1200  -7.0  -2.2   7.3 252.5 22 11
 19890103 1200  -6.1  -1.6   6.3 255.6 22 11
 19890104 1200  -6.2  -3.0   6.9 244.1 22 11
 19890105 1200  -6.6  -1.1   6.7 260.5 22 11
 19890106 1200  -6.1  -0.6   6.1 264.4 22 11
 19890107 1200  -6.6  -0.8   6.7 262.7 22 11
 19890108 1200  -6.3  -1.3   6.4 258.5 22 11
 19890109 1200  -7.3  -1.8   7.5 256.0 22 11
 19890110 1200  -5.8   1.8   6.1 287.4 22 11
 19890111 1200  -6.2   1.3   6.3 281.9 22 11
 19890112 1200  -6.4   1.5   6.5 283.5 22 11
 19890113 1200  -3.8  -2.2   4.5 239.8 22 11
 19890114 1200  -6.1  -1.9   6.4 252.2 22 11
 19890115 1200  -5.7  -1.4   5.8 255.7 22 11
 19890116 1200  -6.4  -1.5   6.6 256.6 22 11
 19890117 1200  -7.3   0.3   7.3 272.2 22 11
 19890118 1200  -7.2  -2.0   7.5 254.2 22 11
 19890119 1200  -7.8   1.0   7.8 277.3 22 11
 19890120 1200  -7.1   1.9   7.4 285.3 22 11
 19890121 1200  -6.5  -1.4   6.6 257.7 22 11
 19890122 1200  -7.1  -1.3   7.2 259.9 22 11
 19890123 1200  -5.7   2.4   6.2 293.2 22 11
 19890124 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19890125 1200  -7.8   0.8   7.9 275.8 22 11
 19890126 1200  -8.6  -1.6   8.7 259.4 22 11
 19890127 1200  -7.8  -0.5   7.8 266.2 22 11
 19890128 1200  -7.6   0.0   7.6 270.2 22 11
 19890129 1200  -8.4   1.6   8.6 280.8 22 11
 19890130 1200  -6.5   1.2   6.6 280.4 22 11
 19890131 1200  -0.2   1.7   1.7 353.9 22 11
 19890201 1200  -3.7  -2.8   4.6 233.1 22 11
 19890202 1200  -6.1   1.8   6.4 286.6 22 11
 19890203 1200  -6.2   2.8   6.8 294.6 22 11
 19890204 1200  -1.7   2.1   2.7 322.1 22 11
