 Location:  5N 170W   5 Mar 1992 to 23 Nov 2013 ( 7934 times, 13 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Mar 1992 to 1200 28 Sep 1996 (index     1 to  1669, 1669 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920305 1200  -5.5  -5.8   8.1 223.5 12 55
 19920306 1200  -5.0  -5.9   7.8 220.3 12 55
 19920307 1200  -3.7  -1.4   4.0 248.5 12 55
 19920308 1200  -4.8  -0.5   4.8 264.5 12 55
 19920309 1200  -4.5   1.9   4.8 293.2 12 55
 19920310 1200  -6.1   1.4   6.3 283.1 12 55
 19920311 1200  -4.4   5.7   7.2 322.4 12 55
 19920312 1200  -1.4   6.3   6.5 347.8 12 55
 19920313 1200   2.5  -3.3   4.1 142.8 12 55
 19920314 1200   5.6   2.8   6.2  63.6 12 55
 19920315 1200   0.9  -1.6   1.9 151.8 12 55
 19920316 1200   3.4  -2.8   4.4 129.2 12 55
 19920317 1200  -2.7  -7.5   7.9 199.7 12 55
 19920318 1200  -9.8  -4.8  10.9 243.6 12 55
 19920319 1200  -7.4  -1.0   7.4 262.3 12 55
 19920320 1200  -4.2  -5.7   7.1 216.1 12 55
 19920321 1200  -6.0  -5.4   8.0 227.8 12 55
 19920322 1200  -6.8  -3.3   7.6 244.5 12 55
 19920323 1200  -7.8   1.2   8.0 279.0 12 55
 19920324 1200  -5.4   1.0   5.5 280.6 12 55
 19920325 1200  -8.4   0.1   8.4 270.6 12 55
 19920326 1200  -5.7  -0.8   5.7 262.0 12 55
 19920327 1200  -6.2   1.9   6.5 287.5 12 55
 19920328 1200  -3.1   0.9   3.2 286.0 12 55
 19920329 1200  -3.7   1.1   3.9 286.4 12 55
 19920330 1200  -2.4  -2.2   3.3 227.1 12 55
 19920331 1200  -6.0  -3.2   6.8 242.4 12 55
 19920401 1200  -6.0  -4.8   7.7 231.5 12 55
 19920402 1200  -5.0  -5.8   7.6 221.1 12 55
 19920403 1200  -2.8  -4.6   5.4 211.3 12 55
 19920404 1200  -5.4  -3.2   6.2 239.2 12 55
 19920405 1200  -5.0  -3.9   6.3 232.1 12 55
 19920406 1200  -4.9  -3.1   5.8 237.6 12 55
 19920407 1200  -1.9  -6.0   6.3 197.4 12 55
 19920408 1200  -3.2  -6.2   7.0 207.3 12 55
 19920409 1200  -2.8  -5.5   6.2 206.9 12 55
 19920410 1200  -3.6  -6.9   7.8 207.7 12 55
 19920411 1200  -5.8  -2.1   6.2 250.0 12 55
 19920412 1200  -4.7  -3.3   5.7 234.6 12 55
 19920413 1200  -6.0  -3.2   6.8 241.6 12 55
 19920414 1200  -6.1  -6.5   8.9 223.2 12 55
 19920415 1200  -5.8  -4.1   7.1 234.7 12 55
 19920416 1200  -6.2  -5.8   8.5 227.1 12 55
 19920417 1200  -7.1  -5.4   8.9 232.7 12 55
 19920418 1200  -5.7  -4.5   7.3 231.6 12 55
 19920419 1200  -5.0  -6.9   8.5 215.7 12 55
 19920420 1200  -6.0  -5.0   7.8 229.9 12 55
 19920421 1200  -4.2  -2.9   5.1 235.7 12 55
