 Location:  5N 140W   1 Jun 1988 to 22 Nov 2013 ( 9306 times, 14 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  1 Jun 1988 to 1200 29 Mar 1989 (index     1 to   302,  302 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19880601 1200  -4.6   4.8   6.7 316.4 22 11
 19880602 1200  -4.7   4.9   6.7 316.3 22 11
 19880603 1200  -3.7   4.0   5.4 316.9 22 11
 19880604 1200  -5.0   4.2   6.5 310.6 22 11
 19880605 1200  -4.2   5.4   6.8 322.1 22 11
 19880606 1200  -3.1   2.9   4.3 312.6 22 11
 19880607 1200  -3.9   3.8   5.4 313.8 22 11
 19880608 1200  -3.4   5.4   6.4 327.4 22 11
 19880609 1200  -3.3   4.2   5.4 321.6 22 11
 19880610 1200  -2.4   3.8   4.5 327.0 22 11
 19880611 1200  -3.9   3.5   5.3 312.2 22 11
 19880612 1200  -5.5   4.7   7.2 310.4 22 11
 19880613 1200  -5.2   4.5   6.9 310.9 22 11
 19880614 1200  -4.1   5.8   7.1 325.1 22 11
 19880615 1200  -3.9   4.5   6.0 319.2 22 11
 19880616 1200  -4.0   5.3   6.6 323.2 22 11
 19880617 1200  -4.1   5.7   7.0 324.6 22 11
 19880618 1200  -4.2   6.7   7.9 327.8 22 11
 19880619 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19880620 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19880621 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19880622 1200  -2.2   3.4   4.1 326.9 22 11
 19880623 1200  -2.1   3.4   4.0 328.1 22 11
 19880624 1200  -2.6   3.5   4.3 322.7 22 11
 19880625 1200  -2.1   3.6   4.2 329.4 22 11
 19880626 1200  -1.6   3.3   3.6 334.2 22 11
 19880627 1200  -2.5   3.1   4.0 321.0 22 11
 19880628 1200  -2.1   2.4   3.2 318.1 22 11
 19880629 1200  -1.0   2.1   2.3 334.7 22 11
 19880630 1200  -0.4   2.8   2.8 351.5 22 11
 19880701 1200  -1.3   3.4   3.7 339.8 22 11
 19880702 1200  -2.8   3.6   4.5 322.0 22 11
 19880703 1200  -2.5   3.3   4.2 322.8 22 11
 19880704 1200  -2.5   3.1   4.0 320.3 22 11
 19880705 1200  -2.8   2.4   3.6 310.4 22 11
 19880706 1200  -2.1   2.4   3.2 317.7 22 11
 19880707 1200  -1.9   3.6   4.0 332.0 22 11
 19880708 1200  -2.4   2.9   3.8 320.7 22 11
 19880709 1200  -2.5   3.7   4.5 326.0 22 11
 19880710 1200  -3.5   3.9   5.2 317.3 22 11
 19880711 1200  -2.4   4.4   5.0 331.6 22 11
 19880712 1200  -4.5   4.2   6.1 313.1 22 11
 19880713 1200  -5.0   4.2   6.5 309.9 22 11
 19880714 1200  -2.6   3.8   4.6 325.9 22 11
 19880715 1200  -2.4   3.9   4.6 327.6 22 11
 19880716 1200  -2.1   6.1   6.4 341.0 22 11
 19880717 1200  -2.4   3.5   4.3 325.5 22 11
 19880718 1200  -2.5   3.3   4.2 322.7 22 11
 19880719 1200  -2.4   4.1   4.8 329.7 22 11
 19880720 1200  -2.5   3.4   4.2 324.1 22 11
 19880721 1200  -4.4   3.8   5.8 310.6 22 11
 19880722 1200  -4.1   2.4   4.7 300.2 22 11
 19880723 1200  -1.5   3.2   3.6 334.9 22 11
 19880724 1200  -1.6   3.6   4.0 335.6 22 11
 19880725 1200  -1.1   4.6   4.7 346.6 22 11
 19880726 1200  -2.1   4.0   4.5 331.6 22 11
 19880727 1200  -2.4   3.5   4.3 325.8 22 11
 19880728 1200  -2.2   2.4   3.3 318.0 22 11
 19880729 1200  -2.8   1.3   3.1 295.6 22 11
 19880730 1200  -3.1   1.3   3.4 293.5 22 11
 19880731 1200  -2.4   4.4   5.0 331.7 22 11
 19880801 1200  -1.7   6.2   6.5 344.4 22 11
 19880802 1200  -2.5   3.3   4.2 323.4 22 11
 19880803 1200  -5.2   3.5   6.2 303.5 22 11
 19880804 1200  -2.7   3.6   4.5 322.8 22 11
 19880805 1200  -2.0   3.1   3.7 327.4 22 11
 19880806 1200  -1.6   3.6   4.0 336.7 22 11
 19880807 1200  -1.2   3.6   3.8 341.1 22 11
 19880808 1200  -1.4   3.5   3.8 337.6 22 11
 19880809 1200  -2.8   3.1   4.1 318.4 22 11
 19880810 1200  -0.9   3.1   3.2 342.8 22 11
 19880811 1200  -1.7   4.7   5.0 340.6 22 11
 19880812 1200  -2.4   3.5   4.3 325.4 22 11
 19880813 1200  -2.5   3.5   4.3 324.9 22 11
 19880814 1200  -2.4   3.5   4.2 325.3 22 11
 19880815 1200  -2.8   3.6   4.5 322.2 22 11
 19880816 1200  -2.5   3.3   4.1 323.5 22 11
 19880817 1200  -2.2   3.8   4.4 329.5 22 11
 19880818 1200  -2.0   4.3   4.8 335.2 22 11
 19880819 1200  -1.4   5.6   5.8 346.4 22 11
 19880820 1200  -1.9   3.8   4.2 333.4 22 11
 19880821 1200  -1.6   3.9   4.2 337.4 22 11
 19880822 1200  -2.5   3.4   4.2 323.5 22 11
 19880823 1200  -1.1   3.6   3.8 342.4 22 11
 19880824 1200   0.2   2.8   2.8   4.7 22 11
 19880825 1200  -0.4   1.8   1.8 348.6 22 11
 19880826 1200  -0.5   3.5   3.5 351.4 22 11
 19880827 1200  -0.1   6.6   6.6 359.0 22 11
 19880828 1200  -2.2   5.8   6.2 339.5 22 11
 19880829 1200  -2.1   3.9   4.5 332.0 22 11
 19880830 1200  -0.7   3.2   3.3 347.0 22 11
 19880831 1200  -0.9   3.1   3.3 343.8 22 11
 19880901 1200  -0.9   4.0   4.0 347.3 22 11
 19880902 1200  -2.8   3.7   4.6 322.6 22 11
 19880903 1200  -0.9   3.1   3.3 344.6 22 11
 19880904 1200  -0.5   3.3   3.4 352.1 22 11
 19880905 1200  -0.4   3.0   3.0 351.8 22 11
 19880906 1200  -1.9   3.6   4.0 332.2 22 11
 19880907 1200  -2.6   3.5   4.3 323.1 22 11
 19880908 1200  -2.4   4.8   5.3 332.9 22 11
 19880909 1200  -2.7   4.5   5.2 329.4 22 11
 19880910 1200  -2.4   3.0   3.9 321.2 22 11
 19880911 1200  -2.6   2.7   3.7 316.5 22 11
 19880912 1200  -2.5   4.2   4.8 329.4 22 11
 19880913 1200  -1.5   3.6   3.9 337.4 22 11
 19880914 1200  -1.6   3.5   3.9 335.1 22 11
 19880915 1200  -1.9   3.3   3.8 329.6 22 11
 19880916 1200  -2.6   3.1   4.0 319.7 22 11
 19880917 1200  -1.5   6.6   6.8 347.4 22 11
 19880918 1200  -0.6   5.1   5.1 353.3 22 11
 19880919 1200  -0.3   3.7   3.7 355.0 22 11
 19880920 1200  -0.9   3.2   3.3 344.0 22 11
 19880921 1200  -1.1   4.3   4.4 346.1 22 11
 19880922 1200  -1.9   4.1   4.5 334.7 22 11
 19880923 1200  -2.6   3.6   4.5 324.2 22 11
 19880924 1200  -2.0   2.8   3.5 325.1 22 11
 19880925 1200  -2.0   4.7   5.1 337.2 22 11
 19880926 1200  -1.8   6.1   6.4 343.6 22 11
