 Location:  5N 110W   6 Jun 1986 to 29 Mar 2013 ( 9794 times, 23 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  6 Jun 1986 to 1200  4 Aug 1986 (index     1 to    60,   60 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860606 1200  -3.5   5.5   6.5 327.6 22 11
 19860607 1200  -3.5   5.1   6.2 325.1 22 11
 19860608 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19860609 1200  -2.2   6.7   7.0 342.0 22 11
 19860610 1200  -1.5   5.7   5.9 345.1 22 11
 19860611 1200  -0.7   2.7   2.8 344.9 22 11
 19860612 1200   0.7   0.5   0.9  51.9 22 11
 19860613 1200   2.2   2.8   3.6  37.9 22 11
 19860614 1200  -1.6   6.5   6.7 345.8 22 11
 19860615 1200   0.2   6.2   6.2   2.1 22 11
 19860616 1200   4.6   5.6   7.2  39.8 22 11
 19860617 1200  -1.7   5.5   5.8 343.0 22 11
 19860618 1200  -0.8   3.8   3.8 348.1 22 11
 19860619 1200   0.3   5.2   5.2   3.5 22 11
 19860620 1200   2.6   6.9   7.4  21.0 22 11
 19860621 1200   2.6   5.1   5.7  26.8 22 11
 19860622 1200   0.3   3.6   3.6   5.5 22 11
 19860623 1200  -1.9   5.3   5.6 339.8 22 11
 19860624 1200  -0.4   5.4   5.4 356.2 22 11
 19860625 1200   1.1   3.9   4.1  15.4 22 11
 19860626 1200   0.4   6.5   6.5   3.6 22 11
 19860627 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19860628 1200  -3.9   6.1   7.2 327.5 22 11
 19860629 1200  -2.3   4.2   4.8 331.3 22 11
 19860630 1200   0.8   1.8   2.0  22.4 22 11
 19860701 1200   1.2   4.0   4.2  16.2 22 11
 19860702 1200  -1.9   7.3   7.6 345.2 22 11
 19860703 1200  -1.6   7.6   7.7 348.4 22 11
 19860704 1200  -1.5   6.1   6.3 346.6 22 11
 19860705 1200   1.1   5.5   5.6  11.0 22 11
 19860706 1200  -0.2   5.5   5.5 358.2 22 11
 19860707 1200   1.8   5.8   6.1  17.1 22 11
 19860708 1200   2.0   6.9   7.2  15.9 22 11
 19860709 1200   0.9   8.2   8.3   6.1 22 11
 19860710 1200  -1.4   7.3   7.5 348.9 22 11
 19860711 1200  -1.0   6.0   6.1 350.6 22 11
 19860712 1200  -0.8   6.0   6.0 352.5 22 11
 19860713 1200   1.5   6.1   6.3  13.7 22 11
 19860714 1200   1.7   7.9   8.1  11.8 22 11
 19860715 1200   0.8   7.8   7.9   5.5 22 11
 19860716 1200   0.2   7.8   7.8   1.8 22 11
 19860717 1200  -0.3   6.7   6.7 357.2 22 11
 19860718 1200  -2.0   8.1   8.3 346.4 22 11
 19860719 1200  -3.3   5.7   6.6 329.9 22 11
 19860720 1200  -2.3   3.3   4.1 324.9 22 11
 19860721 1200  -0.2   3.9   3.9 356.7 22 11
 19860722 1200   0.1   6.6   6.6   1.2 22 11
 19860723 1200   0.3   2.9   2.9   5.1 22 11
 19860724 1200   0.2   5.3   5.3   2.3 22 11
 19860725 1200  -1.1   4.5   4.7 346.8 22 11
 19860726 1200   1.9   4.7   5.1  22.0 22 11
 19860727 1200  -0.3   8.6   8.6 357.8 22 11
 19860728 1200  -1.3   8.3   8.4 351.4 22 11
 19860729 1200  -4.4   5.4   7.0 321.0 22 11
 19860730 1200  -3.5   4.5   5.7 322.0 22 11
 19860731 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19860801 1200  -1.9   7.2   7.5 345.3 22 11
 19860802 1200  -0.6   8.3   8.3 355.6 22 11
 19860803 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19860804 1200  -1.4   6.5   6.7 348.0 22 11
 Time: 1200 14 Nov 1986 to 1200 29 Mar 1988 (index   162 to   663,  502 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19861114 1200  -0.3   3.5   3.5 354.3 22 11
 19861115 1200  -1.4   2.5   2.8 331.0 22 11
