 Location:  5N  95W  20 Apr 1994 to 28 May 2013 ( 6979 times, 19 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 20 Apr 1994 to 1200 28 Apr 1994 (index     1 to     9,    9 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940420 1200   3.9   0.8   4.0  77.6 42 11
 19940421 1200   2.2   2.3   3.2  43.7 42 11
 19940422 1200  -0.7   4.6   4.7 351.6 42 11
 19940423 1200  -1.2   4.3   4.5 344.6 42 11
 19940424 1200  -0.6   4.2   4.3 352.5 42 11
 19940425 1200   2.4  -1.4   2.7 120.0 42 11
 19940426 1200   2.5  -1.6   3.0 122.6 42 11
 19940427 1200   4.0   1.5   4.2  69.5 42 11
 19940428 1200   2.8   3.6   4.5  37.8 42 11
 Time: 1200 13 Jun 1994 to 1200 11 Sep 1994 (index    55 to   145,   91 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940613 1200   0.6   7.8   7.8   4.1 12 11
 19940614 1200   0.4   6.8   6.9   3.3 12 11
 19940615 1200   0.8   5.8   5.9   8.0 12 11
 19940616 1200   0.5   7.2   7.2   3.7 12 11
 19940617 1200   0.8   6.6   6.6   6.5 12 11
 19940618 1200   1.3   5.1   5.3  14.4 12 11
 19940619 1200   1.0   5.8   5.9  10.0 12 11
 19940620 1200   0.9   6.4   6.4   8.2 12 11
 19940621 1200   1.4   6.9   7.0  11.6 12 11
 19940622 1200   1.3   7.3   7.4  10.0 12 11
 19940623 1200   1.3   6.1   6.2  11.8 12 11
 19940624 1200   1.8   5.6   5.9  17.9 12 11
 19940625 1200   1.3   6.1   6.2  11.8 12 11
 19940626 1200   1.4   6.9   7.0  11.6 12 11
 19940627 1200   1.7   6.4   6.7  15.2 12 11
 19940628 1200   1.7   6.0   6.3  15.5 12 11
 19940629 1200   1.7   7.4   7.6  13.0 12 11
 19940630 1200   1.2   6.7   6.8  10.0 12 11
 19940701 1200   1.4   6.7   6.8  11.7 12 11
 19940702 1200   3.0   5.4   6.2  29.0 12 11
 19940703 1200   3.4   5.1   6.1  33.2 12 11
 19940704 1200   1.0   8.1   8.2   7.2 12 11
 19940705 1200   0.1   5.2   5.2   0.9 12 11
 19940706 1200   3.0   1.2   3.2  68.4 12 11
 19940707 1200   3.7   1.9   4.1  63.1 12 11
 19940708 1200   1.1   8.3   8.4   7.3 12 11
 19940709 1200  -1.6   6.0   6.2 345.1 12 11
 19940710 1200   0.5   6.2   6.3   4.5 12 11
 19940711 1200   1.8   5.6   5.9  17.9 12 11
 19940712 1200   2.3   5.0   5.5  25.1 12 11
 19940713 1200   0.7   3.9   3.9  10.0 12 11
 19940714 1200   1.1   7.1   7.2   8.4 12 11
 19940715 1200   1.9   6.4   6.7  16.9 12 11
 19940716 1200   2.1   6.3   6.7  18.6 12 11
 19940717 1200   1.6   6.6   6.8  13.4 12 11
 19940718 1200   1.2   5.5   5.7  12.1 12 11
 19940719 1200   2.2   5.4   5.8  22.1 12 11
 19940720 1200   1.6   5.5   5.7  16.1 12 11
 19940721 1200   0.7   6.4   6.5   6.4 12 11
 19940722 1200  -0.3   6.6   6.6 357.7 12 11
 19940723 1200   0.6   7.0   7.0   5.1 12 11
 19940724 1200   0.5   6.4   6.5   4.6 12 11
 19940725 1200  -0.6   5.1   5.1 353.7 12 11
 19940726 1200   1.8   5.4   5.7  18.1 12 11
 19940727 1200   1.4   7.8   8.0  10.0 12 11
 19940728 1200   0.6   5.8   5.9   6.0 12 11
 19940729 1200   1.4   5.5   5.7  14.1 12 11
 19940730 1200   2.8   6.6   7.2  22.9 12 11
 19940731 1200   1.2   8.1   8.2   8.6 12 11
 19940801 1200   1.4   6.7   6.8  11.7 12 11
 19940802 1200   2.7   6.2   6.8  23.6 12 11
 19940803 1200   2.4   6.5   6.9  20.0 12 11
 19940804 1200   3.6   5.1   6.2  34.9 12 11
 19940805 1200   4.9   4.8   6.9  45.5 12 11
 19940806 1200   3.7   7.4   8.3  26.7 12 11
 19940807 1200   2.4   8.1   8.4  16.8 12 11
 19940808 1200   2.5   6.3   6.8  22.0 12 11
 19940809 1200   3.6   6.5   7.4  28.9 12 11
 19940810 1200   3.8   6.8   7.8  29.4 12 11
 19940811 1200   3.0   6.6   7.2  24.4 12 11
 19940812 1200   3.6   5.5   6.6  33.4 12 11
 19940813 1200   4.4   2.7   5.2  58.2 12 11
 19940814 1200   3.2   2.6   4.1  50.9 12 11
 19940815 1200   1.6   5.3   5.5  16.3 12 11
 19940816 1200   0.3   6.3   6.3   2.6 12 11
 19940817 1200   2.2   3.0   3.7  36.6 12 11
 19940818 1200   2.0   5.6   5.9  19.8 12 11
 19940819 1200   2.6   6.5   7.0  21.6 12 11
 19940820 1200   3.1   5.8   6.5  27.9 12 11
 19940821 1200   3.3   5.9   6.8  29.0 12 11
 19940822 1200   4.9   4.8   6.9  45.5 12 11
 19940823 1200   3.4   3.8   5.0  41.8 12 11
 19940824 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19940825 1200   2.0   4.0   4.5  25.9 12 11
 19940826 1200   2.3   4.8   5.3  25.6 12 11
 19940827 1200   2.7   6.0   6.6  24.0 12 11
 19940828 1200   3.5   5.9   6.8  30.6 12 11
 19940829 1200   4.0   5.4   6.7  36.6 12 11
 19940830 1200   4.2   5.6   7.0  37.3 12 11
 19940831 1200   1.5   6.1   6.3  13.7 12 11
 19940901 1200   1.4   6.5   6.6  11.7 12 11
 19940902 1200   1.3   6.3   6.4  11.8 12 11
 19940903 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19940904 1200   0.5   5.1   5.1   5.4 12 11
 19940905 1200   1.1   4.0   4.2  15.7 12 11
 19940906 1200   0.3   4.0   4.0   4.0 12 11
 19940907 1200   2.0   7.0   7.2  16.3 12 11
 19940908 1200   1.8   6.6   6.8  15.0 12 11
 19940909 1200   2.4   5.7   6.2  23.1 12 11
 19940910 1200   2.1   6.0   6.3  19.2 12 11
 19940911 1200   1.8   7.0   7.2  14.8 12 11
 Time: 1200 23 Sep 1994 to 1200 16 Mar 1996 (index   157 to   697,  541 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940923 1200   4.0   6.8   7.9  30.6 12 55
 19940924 1200   4.5   5.6   7.2  39.0 12 55
 19940925 1200   4.0   5.8   7.1  34.6 12 55
 19940926 1200   3.4   7.1   7.9  25.3 12 55
 19940927 1200   2.4   8.3   8.6  16.2 12 55
 19940928 1200   3.0   6.8   7.4  24.2 12 55
 19940929 1200   2.5   5.8   6.3  23.1 12 55
 19940930 1200   1.6   6.0   6.2  14.8 12 55
 19941001 1200   1.8   4.6   5.0  21.2 12 55
 19941002 1200   3.4   2.3   4.1  55.5 12 55
 19941003 1200   2.4   4.4   5.0  28.6 12 55
 19941004 1200   2.4   6.2   6.6  21.0 12 55
 19941005 1200   1.7   5.4   5.7  17.2 12 55
 19941006 1200   0.0   6.5   6.5   0.3 12 55
 19941007 1200   1.9   5.8   6.1  17.8 12 55
 19941008 1200   2.3   6.4   6.8  19.9 12 55
 19941009 1200   3.1   5.8   6.6  27.9 12 55
 19941010 1200   3.1   7.0   7.7  23.5 12 55
 19941011 1200   3.6   7.0   7.9  27.3 12 55
 19941012 1200   2.4   5.6   6.1  22.9 12 55
 19941013 1200   0.2   6.1   6.1   2.4 12 55
 19941014 1200   2.1   5.4   5.8  21.7 12 55
 19941015 1200   2.7   3.2   4.2  39.8 12 55
 19941016 1200   2.6   3.2   4.2  39.6 12 55
 19941017 1200   2.2   4.4   4.9  26.4 12 55
 19941018 1200   3.8   5.5   6.7  35.2 12 55
 19941019 1200   1.4   6.0   6.2  12.7 12 55
 19941020 1200  -0.5   7.3   7.3 356.4 12 55
 19941021 1200   0.8   7.3   7.4   6.2 12 55
 19941022 1200   0.7   7.0   7.1   5.5 12 55
 19941023 1200   0.6   6.3   6.3   5.4 12 55
 19941024 1200   0.6   6.6   6.6   4.9 12 55
 19941025 1200   0.3   6.9   6.9   2.2 12 55
 19941026 1200   0.2   5.0   5.0   2.4 12 55
 19941027 1200   0.7   3.4   3.5  11.9 12 55
 19941028 1200   1.5   4.5   4.8  18.6 12 55
 19941029 1200  -0.2   5.5   5.6 358.1 12 55
 19941030 1200  -0.4   4.3   4.3 355.2 12 55
 19941031 1200   0.8   4.7   4.8  10.1 12 55
 19941101 1200   2.8   6.5   7.1  23.3 12 55
 19941102 1200   2.2   5.7   6.1  21.1 12 55
 19941103 1200   3.4   5.1   6.2  33.4 12 55
 19941104 1200   4.3   6.1   7.4  35.2 12 55
 19941105 1200   5.2   6.0   7.9  40.7 12 55
 19941106 1200   2.7   6.3   6.9  23.0 12 55
 19941107 1200   1.6   6.5   6.7  13.9 12 55
 19941108 1200   2.1   6.9   7.2  16.6 12 55
 19941109 1200   3.7   6.3   7.3  30.5 12 55
 19941110 1200   2.9   6.1   6.7  25.2 12 55
 19941111 1200   1.6   4.9   5.2  18.3 12 55
 19941112 1200   0.6   3.4   3.5  10.2 12 55
 19941113 1200   1.9   3.5   4.0  28.5 12 55
 19941114 1200   0.6   7.4   7.4   5.0 12 55
 19941115 1200  -0.2   7.7   7.7 358.6 12 55
 19941116 1200   0.9   4.6   4.7  10.7 12 55
 19941117 1200   1.1  -0.5   1.2 112.9 12 55
 19941118 1200   2.7  -1.3   3.0 115.6 12 55
 19941119 1200  -0.3   4.8   4.9 356.6 12 55
 19941120 1200  -0.2   7.5   7.5 358.3 12 55
 19941121 1200   1.6   4.7   4.9  18.3 12 55
 19941122 1200   2.5   2.4   3.5  45.3 12 55
 19941123 1200   1.1   1.9   2.2  30.7 12 55
 19941124 1200  -0.7   6.4   6.4 353.5 12 55
 19941125 1200   1.4   6.1   6.2  12.6 12 55
 19941126 1200   1.8   2.8   3.3  32.7 12 55
 19941127 1200   1.6   1.7   2.3  42.9 12 55
 19941128 1200   2.6   6.0   6.6  23.4 12 55
 19941129 1200   0.2   7.8   7.8   1.7 12 55
 19941130 1200   2.3   4.8   5.3  25.6 12 55
 19941201 1200   1.9   4.8   5.2  21.2 12 55
 19941202 1200   0.2   6.4   6.4   2.1 12 55
 19941203 1200  -0.6   4.4   4.5 352.2 12 55
 19941204 1200  -1.9   2.6   3.3 323.5 12 55
 19941205 1200  -2.2   2.0   3.0 312.3 12 55
 19941206 1200   0.8   2.1   2.2  20.2 12 55
 19941207 1200   1.6   3.8   4.1  23.2 12 55
 19941208 1200   0.5   5.8   5.8   5.2 12 55
 19941209 1200   1.1   4.1   4.3  14.4 12 55
 19941210 1200   2.1   4.9   5.3  23.1 12 55
 19941211 1200   0.9   2.7   2.9  18.4 12 55
 19941212 1200  -0.2   3.3   3.3 357.2 12 55
 19941213 1200   2.3   2.3   3.3  44.4 12 55
 19941214 1200  -1.0   1.6   1.9 326.8 12 55
 19941215 1200  -0.2   4.1   4.1 357.1 12 55
 19941216 1200  -0.2   1.4   1.4 352.5 12 55
 19941217 1200  -2.5  -0.2   2.5 266.0 12 55
 19941218 1200   0.3   0.7   0.7  23.5 12 55
 19941219 1200  -0.8  -0.4   0.9 242.1 12 55
 19941220 1200   1.1  -1.1   1.5 135.0 12 55
 19941221 1200  -1.5  -0.9   1.8 237.6 12 55
 19941222 1200   0.3  -0.1   0.3 112.7 12 55
 19941223 1200  -4.1  -2.6   4.8 237.7 12 55
 19941224 1200  -3.1  -2.1   3.8 236.1 12 55
 19941225 1200  -0.3   0.0   0.3 267.0 12 55
 19941226 1200  -1.1  -2.2   2.5 207.4 12 55
 19941227 1200   0.5  -0.1   0.5 101.1 12 55
 19941228 1200   2.3  -1.3   2.6 119.2 12 55
 19941229 1200  -0.9  -2.4   2.5 201.5 12 55
 19941230 1200  -1.4   1.8   2.3 321.9 12 55
 19941231 1200  -1.0   1.3   1.6 321.3 12 55
 19950101 1200  -2.4   1.5   2.8 302.7 12 55
 19950102 1200  -4.4  -3.0   5.3 235.3 12 55
 19950103 1200  -3.0  -3.2   4.4 223.2 12 55
 19950104 1200  -1.5  -3.2   3.6 205.2 12 55
 19950105 1200  -2.8  -4.0   4.8 215.0 12 55
 19950106 1200  -2.4  -2.5   3.5 223.4 12 55
 19950107 1200  -2.6  -2.2   3.5 229.6 12 55
 19950108 1200  -2.2  -1.1   2.5 243.3 12 55
 19950109 1200  -3.0  -2.8   4.1 227.3 12 55
 19950110 1200  -2.4  -2.0   3.1 229.8 12 55
 19950111 1200  -3.0  -1.5   3.4 243.5 12 55
 19950112 1200  -0.6  -1.2   1.4 207.0 12 55
 19950113 1200  -1.6  -1.6   2.2 225.6 12 55
 19950114 1200  -0.1   3.0   3.0 358.1 12 55
 19950115 1200   0.0  -1.5   1.6 181.6 12 55
 19950116 1200  -4.3  -0.8   4.4 258.9 12 55
 19950117 1200  -3.1  -1.4   3.4 245.5 12 55
 19950118 1200  -1.5  -0.7   1.6 245.9 12 55
 19950119 1200  -1.3  -4.8   4.9 195.2 12 55
 19950120 1200  -2.5  -4.7   5.3 208.2 12 55
 19950121 1200  -1.9  -3.0   3.6 211.8 12 55
 19950122 1200  -3.5  -2.9   4.5 229.7 12 55
 19950123 1200  -2.7  -3.2   4.2 220.1 12 55
 19950124 1200  -3.2  -5.5   6.4 210.2 12 55
 19950125 1200  -3.6  -2.5   4.4 234.6 12 55
 19950126 1200  -1.3  -0.2   1.4 259.6 12 55
 19950127 1200  -0.1  -1.3   1.3 186.4 12 55
