 Location:  8N 165E  17 Jul 1989 to 22 Nov 2013 ( 8895 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 17 Jul 1989 to 1200 28 Oct 1990 (index     1 to   469,  469 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19890717 1200  -5.6   1.3   5.7 283.1 22 11
 19890718 1200  -5.9  -1.4   6.1 256.6 22 11
 19890719 1200  -5.2  -0.6   5.2 263.0 22 11
 19890720 1200  -5.5  -0.9   5.5 260.7 22 11
 19890721 1200  -1.9   2.2   2.9 318.4 22 11
 19890722 1200   0.7   1.0   1.2  32.3 22 11
 19890723 1200  -1.1  -0.7   1.3 239.1 22 11
 19890724 1200  -3.9   0.6   3.9 278.4 22 11
 19890725 1200   0.3   1.5   1.6  10.2 22 11
 19890726 1200   0.9   0.4   1.0  66.9 22 11
 19890727 1200  -2.5   0.6   2.6 282.7 22 11
 19890728 1200  -2.3  -2.4   3.3 223.8 22 11
 19890729 1200   1.4   3.3   3.6  22.9 22 11
 19890730 1200  -0.3   3.2   3.2 353.9 22 11
 19890731 1200  -2.6  -0.1   2.6 267.0 22 11
 19890801 1200  -2.9  -2.3   3.7 231.3 22 11
 19890802 1200  -3.8   1.1   3.9 285.8 22 11
 19890803 1200  -1.8  -1.0   2.0 240.8 22 11
 19890804 1200   0.1   2.3   2.3   3.3 22 11
 19890805 1200   1.4  -2.1   2.5 146.9 22 11
 19890806 1200  -2.5   3.4   4.2 323.9 22 11
 19890807 1200   0.9   2.7   2.9  19.0 22 11
 19890808 1200  -1.2   1.5   1.9 320.3 22 11
 19890809 1200  -0.3  -1.1   1.2 196.2 22 11
 19890810 1200  -1.6  -3.8   4.1 202.7 22 11
 19890811 1200  -2.4   2.1   3.2 311.7 22 11
 19890812 1200  -2.1   2.4   3.2 318.0 22 11
 19890813 1200  -2.6   1.4   3.0 297.9 22 11
