 Location:  9N 140W  31 May 1988 to 22 Nov 2013 ( 9307 times, 16 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 31 May 1988 to 1200 20 May 1989 (index     1 to   355,  355 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19880531 1200  -5.4  -4.7   7.1 228.8 22 11
 19880601 1200  -2.1   0.9   2.3 292.0 22 11
 19880602 1200   0.0   3.1   3.1   0.3 22 11
 19880603 1200  -4.2  -1.0   4.3 257.3 22 11
 19880604 1200  -7.3  -1.4   7.4 259.2 22 11
 19880605 1200  -1.4   1.9   2.4 323.3 22 11
 19880606 1200  -0.9  -0.5   1.0 243.4 22 11
 19880607 1200  -2.4   1.6   2.9 302.9 22 11
 19880608 1200  -0.1   2.8   2.8 358.6 22 11
 19880609 1200   2.4   1.7   3.0  54.5 22 11
 19880610 1200  -2.6   1.7   3.1 302.5 22 11
 19880611 1200  -2.0   1.2   2.3 301.2 22 11
 19880612 1200   0.8  -0.3   0.9 110.1 22 11
 19880613 1200   3.1   2.5   4.0  51.3 22 11
 19880614 1200  -0.6   1.6   1.7 340.4 22 11
 19880615 1200  -3.5  -0.2   3.5 266.9 22 11
 19880616 1200  -6.2  -2.2   6.6 250.8 22 11
 19880617 1200  -3.5   1.3   3.7 291.2 22 11
 19880618 1200  -0.6   0.5   0.8 308.5 22 11
 19880619 1200  -4.4  -0.8   4.5 260.4 22 11
 19880620 1200  -3.2   1.1   3.4 289.6 22 11
 19880621 1200   1.3   4.9   5.1  15.4 22 11
 19880622 1200   2.1   0.8   2.2  70.2 22 11
 19880623 1200   0.3   3.0   3.0   6.3 22 11
 19880624 1200   0.0   4.3   4.3   0.4 22 11
 19880625 1200  -0.5   1.3   1.4 340.0 22 11
 19880626 1200  -3.3  -0.5   3.3 261.9 22 11
 19880627 1200  -2.7   2.6   3.8 314.0 22 11
 19880628 1200   0.3   2.7   2.7   6.4 22 11
 19880629 1200   0.8  -1.0   1.3 141.1 22 11
 19880630 1200  -4.2  -3.0   5.2 234.0 22 11
 19880701 1200  -5.6  -0.1   5.6 268.8 22 11
 19880702 1200  -3.4   3.5   4.9 316.1 22 11
 19880703 1200   1.5   3.3   3.6  24.6 22 11
 19880704 1200  -1.3   3.7   3.9 340.5 22 11
 19880705 1200  -2.1   4.0   4.5 331.9 22 11
 19880706 1200  -2.5   1.2   2.8 296.0 22 11
 19880707 1200  -2.9  -3.5   4.6 220.1 22 11
 19880708 1200  -2.3   0.2   2.4 275.4 22 11
 19880709 1200   0.1   7.3   7.3   0.8 22 11
 19880710 1200   0.1   2.7   2.7   2.6 22 11
 19880711 1200  -0.4   0.7   0.8 330.1 22 11
 19880712 1200   0.7   6.3   6.3   5.9 22 11
 19880713 1200  -1.2   4.2   4.4 343.8 22 11
 19880714 1200  -3.1  -0.1   3.1 267.9 22 11
 19880715 1200  -2.5   2.1   3.3 310.4 22 11
 19880716 1200   0.7   6.0   6.0   6.7 22 11
 19880717 1200   0.7   6.8   6.9   5.4 22 11
 19880718 1200   1.4   6.5   6.6  11.9 22 11
 19880719 1200   0.7   5.8   5.9   6.5 22 11
 19880720 1200  -0.5   6.0   6.0 355.2 22 11
 19880721 1200   0.8   1.2   1.5  33.6 22 11
 19880722 1200  -0.5   2.4   2.5 347.6 22 11
 19880723 1200   2.1   1.2   2.5  60.7 22 11
 19880724 1200   0.7  -0.4   0.8 121.8 22 11
 19880725 1200  -0.1   1.6   1.6 357.0 22 11
 19880726 1200   1.2   4.9   5.1  13.8 22 11
 19880727 1200  -0.1   7.0   7.0 359.6 22 11
 19880728 1200   0.1   6.8   6.8   1.2 22 11
 19880729 1200  -1.6   5.7   5.9 343.9 22 11
 19880730 1200   1.0   5.2   5.3  11.1 22 11
 19880731 1200   2.7   2.6   3.7  46.0 22 11
 19880801 1200   3.2   5.6   6.4  29.7 22 11
 19880802 1200   1.9   7.7   7.9  13.7 22 11
 19880803 1200  -1.3   6.2   6.3 347.9 22 11
 19880804 1200  -3.2   2.1   3.9 303.6 22 11
 19880805 1200   2.9   4.2   5.1  34.5 22 11
