 Location:  8N 110W  19 Oct 1992 to 30 Sep 2013 ( 7652 times,  8 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 19 Oct 1992 to 1200 31 Jul 1993 (index     1 to   286,  286 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19921019 1200  -0.5   2.2   2.3 348.6 24 55
 19921020 1200   0.4   2.8   2.9   8.6 24 55
 19921021 1200  -0.2   1.2   1.2 349.0 24 55
 19921022 1200  -1.8   0.8   1.9 295.3 24 55
 19921023 1200  -1.2   0.9   1.5 305.7 24 55
 19921024 1200   2.9   2.1   3.6  53.3 24 55
 19921025 1200   1.0   6.7   6.7   8.6 24 55
 19921026 1200  -1.1   4.3   4.4 346.0 24 55
 19921027 1200  -1.1  -1.4   1.8 220.2 24 55
 19921028 1200  -0.7   3.3   3.4 348.6 24 55
 19921029 1200   0.0   4.0   4.0 359.8 24 55
 19921030 1200   0.6   1.9   2.0  17.1 24 55
 19921031 1200  -2.2   2.3   3.2 315.7 24 55
 19921101 1200  -1.3   1.5   2.0 318.8 24 55
 19921102 1200  -0.1   2.2   2.2 357.6 24 55
 19921103 1200   0.0   0.2   0.2   9.0 24 55
 19921104 1200  -1.2   2.0   2.3 327.8 24 11
 19921105 1200   0.3   1.8   1.8   9.0 24 11
 19921106 1200   2.1   2.5   3.2  40.6 24 11
 19921107 1200   1.8   1.9   2.6  44.0 24 11
 19921108 1200   2.2   1.8   2.9  51.0 24 11
 19921109 1200   0.0   5.5   5.5   0.2 24 11
 19921110 1200   0.7   4.5   4.6   9.0 24 11
 19921111 1200  -0.7   2.7   2.8 346.4 24 11
 19921112 1200   1.6   1.3   2.0  49.6 24 11
 19921113 1200   1.4   3.4   3.7  22.2 24 11
 19921114 1200  -0.4  -0.5   0.6 215.6 24 11
 19921115 1200  -4.3  -0.2   4.3 267.7 24 11
 19921116 1200  -1.1   1.7   2.0 328.4 24 11
 19921117 1200   0.0   2.6   2.6 359.5 24 11
 19921118 1200  -0.9   2.7   2.9 342.4 24 11
 19921119 1200  -1.2   2.0   2.3 327.8 24 11
 19921120 1200  -1.4   3.4   3.7 338.0 24 11
 19921121 1200   1.1   4.5   4.6  14.2 24 11
 19921122 1200   2.8   7.0   7.6  21.5 24 11
 19921123 1200   2.8   5.6   6.3  26.2 24 11
 19921124 1200   3.9   1.9   4.4  63.8 24 11
 19921125 1200   2.1   5.5   5.9  21.1 24 11
 19921126 1200   1.9   5.6   5.9  19.1 24 11
 19921127 1200   4.7  -1.2   4.8 104.0 24 11
 19921128 1200   0.9  -1.7   1.9 153.5 24 11
 19921129 1200   1.3   8.1   8.2   9.0 24 11
 19921130 1200   1.2   7.5   7.6   9.0 24 11
 19921201 1200  -1.0   7.0   7.1 352.1 24 11
