 Location:  8N  95W  10 Aug 1994 to 31 Oct 2013 ( 7023 times, 19 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 10 Aug 1994 to 1200 16 Mar 1995 (index     1 to   219,  219 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940810 1200   6.0   7.5   9.7  38.7 22 11
 19940811 1200   4.4   5.7   7.2  37.3 22 11
 19940812 1200   3.8   4.3   5.7  41.3 22 11
 19940813 1200   4.8   0.9   4.8  79.2 22 11
 19940814 1200   1.6  -0.6   1.7 109.5 22 11
 19940815 1200   1.1   1.9   2.2  30.6 22 11
 19940816 1200  -0.5   2.6   2.6 348.2 22 11
 19940817 1200   1.9   0.2   1.9  84.0 22 11
 19940818 1200  -0.1  -0.8   0.8 190.0 22 11
 19940819 1200   3.2   3.4   4.7  43.7 22 11
 19940820 1200   3.6   2.7   4.5  53.0 22 11
 19940821 1200   3.7   4.1   5.5  42.5 22 11
 19940822 1200   5.8   5.8   8.2  44.9 22 11
 19940823 1200   4.7   5.1   6.9  42.7 22 11
 19940824 1200   3.7   2.4   4.5  57.0 22 11
 19940825 1200   2.2  -1.6   2.7 126.6 22 11
 19940826 1200  -2.7   0.0   2.7 269.7 22 11
 19940827 1200  -1.1   2.4   2.6 336.3 22 11
 19940828 1200   4.6   3.0   5.5  56.5 22 11
 19940829 1200   5.5   1.8   5.8  71.6 22 11
 19940830 1200   1.6   1.8   2.4  42.0 22 11
 19940831 1200   2.0   3.5   4.0  29.4 22 11
 19940901 1200   3.9   2.2   4.5  60.9 22 11
 19940902 1200   1.8   1.2   2.2  55.0 22 11
 19940903 1200   0.7   4.1   4.2  10.0 22 11
 19940904 1200   1.9   2.7   3.3  34.8 22 11
 19940905 1200   2.0   0.9   2.2  64.5 22 11
 19940906 1200   0.8   1.8   1.9  25.9 22 11
 19940907 1200   0.8   1.4   1.6  31.8 22 11
 19940908 1200   1.5   3.0   3.3  25.9 22 11
 19940909 1200   4.8   2.6   5.4  61.3 22 11
 19940910 1200   3.2   3.0   4.4  46.9 22 11
 19940911 1200   4.1   3.8   5.6  47.3 22 11
 19940912 1200   4.1   3.6   5.4  48.7 22 11
 19940913 1200   3.7  -2.0   4.2 118.4 22 11
 19940914 1200   1.5  -2.4   2.9 148.4 22 11
 19940915 1200   3.1   5.6   6.4  29.0 22 11
 19940916 1200   3.9   5.4   6.7  35.8 22 11
 19940917 1200   4.6   1.4   4.8  73.4 22 11
 19940918 1200   2.2   2.0   3.0  48.7 22 11
 19940919 1200   2.9   0.4   3.0  81.6 22 11
 19940920 1200   2.6   1.0   2.8  69.0 22 11
 19940921 1200   3.2  -0.1   3.2  91.9 22 11
 19940922 1200   3.3   0.1   3.3  87.9 22 11
 19940923 1200   4.6   4.3   6.3  46.9 22 11
 19940924 1200   6.5   4.0   7.7  58.2 22 11
 19940925 1200   6.2   0.6   6.3  84.6 22 11
 19940926 1200   5.5   2.0   5.8  69.7 22 11
 19940927 1200   5.8   6.2   8.5  43.3 22 11
 19940928 1200   5.5   4.9   7.3  48.2 22 11
 19940929 1200   4.6   3.2   5.7  55.0 22 11
 19940930 1200   4.6   2.6   5.3  59.9 22 11
 19941001 1200   4.8   0.9   4.8  79.2 22 11
 19941002 1200   5.5  -1.4   5.7 104.2 22 11
 19941003 1200   4.1  -0.7   4.2 100.0 22 11
 19941004 1200   3.8  -1.3   4.0 109.5 22 11
 19941005 1200   2.8  -0.3   2.9  95.2 22 11
 19941006 1200   2.8   1.4   3.1  64.0 22 11
 19941007 1200   5.0   1.7   5.3  71.4 22 11
 19941008 1200   5.4   2.7   6.0  63.5 22 11
 19941009 1200   6.0   3.0   6.7  63.8 22 11
 19941010 1200   6.6   0.3   6.6  87.3 22 11
 19941011 1200   7.5   3.9   8.4  62.9 22 11
 19941012 1200   6.8   4.6   8.2  56.0 22 11
 19941013 1200   3.0   6.2   6.9  25.7 22 11
 19941014 1200   2.4   5.1   5.7  25.1 22 11
 19941015 1200   2.9   0.2   2.9  86.0 22 11
 19941016 1200   2.1  -2.5   3.3 139.3 22 11
 19941017 1200   2.2  -2.0   3.0 132.5 22 11
 19941018 1200   3.1  -0.8   3.2 104.1 22 11
 19941019 1200   4.2   2.9   5.1  55.0 22 11
 19941020 1200   1.3   3.2   3.5  21.3 22 11
 19941021 1200   2.9   2.4   3.8  50.2 22 11
 19941022 1200   5.4   4.1   6.8  52.5 22 11
 19941023 1200   4.6   4.3   6.3  46.9 22 11
 19941024 1200   4.7   4.0   6.2  49.6 22 11
 19941025 1200   2.6   6.3   6.8  22.3 22 11
 19941026 1200   1.8   5.5   5.8  18.4 22 11
 19941027 1200   2.6  -0.7   2.7 105.2 22 11
 19941028 1200  -0.6  -2.2   2.3 196.3 22 11
 19941029 1200  -1.9  -2.7   3.3 214.8 22 11
 19941030 1200  -3.0   1.5   3.3 295.9 22 11
 19941031 1200   2.2   1.1   2.5  63.1 22 11
 19941101 1200   4.7   1.8   5.0  69.0 22 11
 19941102 1200   4.1   0.6   4.2  81.6 22 11
 19941103 1200   1.9  -1.1   2.2 120.6 22 11
 19941104 1200   3.3   2.5   4.2  52.9 22 11
 19941105 1200   5.3   1.9   5.6  70.5 22 11
 19941106 1200   4.4   1.4   4.6  72.2 22 11
 19941107 1200   2.9   2.2   3.7  52.5 22 11
 19941108 1200   3.6   0.7   3.6  78.2 22 11
 19941109 1200   3.0   0.9   3.1  73.4 22 11
 19941110 1200   5.3   3.7   6.5  55.0 22 11
 19941111 1200   4.9   2.1   5.4  66.3 22 11
 19941112 1200   3.7   1.8   4.1  63.8 22 11
 19941113 1200   2.6  -1.6   3.0 122.6 22 11
 19941114 1200  -1.0   1.1   1.5 316.9 22 11
 19941115 1200  -1.4   2.0   2.5 325.0 22 11
 19941116 1200   2.6   1.0   2.8  69.0 22 11
 19941117 1200   2.1   0.4   2.2  79.4 22 11
 19941118 1200   2.0  -1.6   2.5 129.1 22 11
 19941119 1200  -3.5  -0.1   3.5 268.7 22 11
 19941120 1200  -0.9   1.3   1.6 325.0 22 11
 19941121 1200   2.0   3.9   4.3  27.5 22 11
 19941122 1200   1.0  -2.6   2.8 159.0 22 11
 19941123 1200  -7.4  -2.9   7.9 248.8 22 11
 19941124 1200  -7.0  -0.4   7.0 266.4 22 11
 19941125 1200   0.4   2.2   2.3  10.0 22 11
 19941126 1200   0.1  -2.3   2.3 177.5 22 11
 19941127 1200   0.2  -3.1   3.1 177.0 22 11
 19941128 1200  -4.5  -2.5   5.2 241.7 22 11
 19941129 1200  -0.1   4.4   4.4 358.7 22 11
 19941130 1200  -1.2   2.8   3.0 337.5 22 11
 19941201 1200  -3.6  -1.0   3.7 255.0 22 11
 19941202 1200  -3.1   0.8   3.2 284.1 22 11
 19941203 1200  -1.3   2.2   2.6 328.8 22 11
 19941204 1200  -3.1  -2.0   3.7 237.5 22 11
 19941205 1200  -6.3  -3.5   7.2 240.8 22 11
 19941206 1200  -4.6  -3.2   5.7 235.0 22 11
 19941207 1200  -2.9  -4.1   5.0 215.5 22 11
 19941208 1200  -5.1  -0.8   5.2 260.8 22 11
 19941209 1200  -6.0  -3.0   6.7 243.8 22 11
 19941210 1200  -7.4  -3.1   8.0 247.5 22 11
 19941211 1200  -7.4  -3.2   8.1 246.3 22 11
 19941212 1200  -6.8  -3.2   7.5 245.0 22 11
 19941213 1200  -5.7  -3.6   6.8 237.5 22 11
 19941214 1200  -4.5  -3.9   6.0 229.3 22 11
 19941215 1200  -7.8  -2.1   8.1 254.7 22 11
 19941216 1200  -7.2  -2.1   7.5 254.1 22 11
 19941217 1200  -7.3  -2.7   7.8 250.1 22 11
 19941218 1200  -6.8  -2.8   7.3 247.7 22 11
 19941219 1200  -5.9  -2.1   6.3 250.0 22 11
 19941220 1200  -5.1  -2.3   5.6 245.7 22 11
 19941221 1200  -5.2  -2.5   5.7 244.0 22 11
 19941222 1200  -5.0  -4.6   6.8 227.6 22 11
 19941223 1200  -3.1  -2.6   4.1 230.6 22 11
 19941224 1200  -1.5  -3.0   3.3 205.9 22 11
 19941225 1200  -1.1  -1.3   1.7 221.0 22 11
 19941226 1200  -1.8  -1.7   2.5 226.9 22 11
 19941227 1200  -2.2  -1.6   2.7 235.0 22 11
 19941228 1200  -1.8  -1.5   2.3 230.6 22 11
 19941229 1200  -3.3  -1.7   3.7 242.4 22 11
 19941230 1200  -5.0   0.0   5.0 270.1 22 11
 19941231 1200  -6.5  -2.2   6.9 251.1 22 11
 19950101 1200  -6.9  -2.1   7.2 252.7 22 11
 19950102 1200  -7.8  -3.2   8.4 247.8 22 11
 19950103 1200  -7.9  -2.3   8.2 253.4 22 11
 19950104 1200  -6.0  -3.1   6.8 242.4 22 11
 19950105 1200  -6.8  -3.4   7.6 243.8 22 11
 19950106 1200  -6.9  -2.1   7.2 252.7 22 11
 19950107 1200  -6.4  -1.8   6.7 254.2 22 11
 19950108 1200  -6.0  -3.3   6.9 241.1 22 11
 19950109 1200  -7.3  -3.9   8.3 242.0 22 11
 19950110 1200  -8.4  -2.0   8.7 256.4 22 11
