 Location:  2S 180W  26 Mar 1993 to 29 Nov 2013 ( 7554 times, 13 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 26 Mar 1993 to 1200  6 Feb 2004 (index     1 to  3970, 3970 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19930326 1200 184.83 2
 19930327 1200 186.06 2
 19930328 1200 185.25 2
 19930329 1200 187.40 2
 19930330 1200 187.66 2
 19930331 1200 186.89 2
 19930401 1200 181.44 2
 19930402 1200 179.37 2
 19930403 1200 178.89 2
 19930404 1200 178.52 2
 19930405 1200 178.75 2
 19930406 1200 180.83 2
 19930407 1200 181.21 2
 19930408 1200 178.66 2
 19930409 1200 177.30 2
 19930410 1200 165.64 2
 19930411 1200 165.65 2
 19930412 1200 169.94 2
 19930413 1200 170.11 2
 19930414 1200 162.03 2
 19930415 1200 161.35 2
 19930416 1200 168.20 2
 19930417 1200 162.94 2
 19930418 1200 167.41 2
 19930419 1200 172.72 2
 19930420 1200 173.02 2
 19930421 1200 172.72 2
 19930422 1200 173.62 2
 19930423 1200 174.59 2
 19930424 1200 177.81 2
 19930425 1200 171.78 2
 19930426 1200 172.78 2
 19930427 1200 173.79 2
 19930428 1200 172.12 2
 19930429 1200 166.12 2
 19930430 1200 167.50 2
 19930501 1200 168.91 2
 19930502 1200 163.88 2
 19930503 1200 161.18 2
 19930504 1200 162.22 2
 19930505 1200 165.99 2
 19930506 1200 165.91 2
 19930507 1200 164.48 2
 19930508 1200 167.08 2
 19930509 1200 167.01 2
 19930510 1200 160.64 2
 19930511 1200 161.51 2
 19930512 1200 163.69 2
 19930513 1200 162.22 2
 19930514 1200 158.15 2
 19930515 1200 160.31 2
 19930516 1200 161.98 2
 19930517 1200 161.96 2
 19930518 1200 170.20 2
 19930519 1200 178.32 2
 19930520 1200 169.02 2
 19930521 1200 153.65 2
 19930522 1200 153.98 2
 19930523 1200 153.52 2
 19930524 1200 154.03 2
 19930525 1200 150.16 2
 19930526 1200 147.26 2
 19930527 1200 147.27 2
 19930528 1200 147.00 2
 19930529 1200 149.01 2
 19930530 1200 155.56 2
 19930531 1200 157.93 2
 19930601 1200 149.14 2
 19930602 1200 146.77 2
 19930603 1200 144.88 2
 19930604 1200 145.46 2
 19930605 1200 147.86 2
 19930606 1200 148.27 2
 19930607 1200 149.71 2
 19930608 1200 151.41 2
 19930609 1200 142.66 2
 19930610 1200 140.89 2
 19930611 1200 143.11 2
 19930612 1200 140.03 2
 19930613 1200 146.68 2
 19930614 1200 141.39 2
 19930615 1200 142.10 2
 19930616 1200 144.36 2
 19930617 1200 146.04 2
 19930618 1200 153.82 2
 19930619 1200 153.05 2
 19930620 1200 148.68 2
 19930621 1200 155.04 2
 19930622 1200 151.54 2
 19930623 1200 155.15 2
 19930624 1200 155.52 2
 19930625 1200 152.59 2
 19930626 1200 160.33 2
 19930627 1200 163.25 2
 19930628 1200 158.50 2
 19930629 1200 159.60 2
 19930630 1200 162.37 2
 19930701 1200 156.70 2
 19930702 1200 155.13 2
 19930703 1200 150.11 2
 19930704 1200 146.88 2
 19930705 1200 153.18 2
 19930706 1200 151.00 2
 19930707 1200 148.06 2
 19930708 1200 155.16 2
 19930709 1200 145.99 2
 19930710 1200 146.23 2
 19930711 1200 145.08 2
 19930712 1200 145.84 2
