 Location:  2S 140W  13 Jun 1986 to  3 Jul 2013 ( 9883 times, 19 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 13 Jun 1986 to 1200 16 Jun 1986 (index     1 to     4,    4 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19860613 1200 117.28 2
 19860614 1200 114.41 2
 19860615 1200 115.53 2
 19860616 1200 118.92 2
 Time: 1200 31 Oct 1986 to 1200  8 Jul 1987 (index   141 to   391,  251 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19861031 1200 133.00 2
 19861101 1200 125.69 2
 19861102 1200 127.00 2
 19861103 1200 124.09 2
 19861104 1200 119.79 2
 19861105 1200 123.49 2
 19861106 1200 131.19 2
 19861107 1200 129.12 2
 19861108 1200 127.87 2
 19861109 1200 128.37 2
 19861110 1200 125.90 2
 19861111 1200 130.23 2
 19861112 1200 134.58 2
 19861113 1200 130.18 2
 19861114 1200 128.08 2
 19861115 1200 130.37 2
 19861116 1200 130.77 2
 19861117 1200 136.48 2
 19861118 1200 136.88 2
 19861119 1200 132.79 2
 19861120 1200 130.84 2
 19861121 1200 135.28 2
 19861122 1200 127.45 2
 19861123 1200 130.80 2
 19861124 1200 133.14 2
 19861125 1200 126.39 2
 19861126 1200 125.25 2
 19861127 1200 133.10 2
 19861128 1200 129.21 2
 19861129 1200 131.93 2
 19861130 1200 129.29 2
 19861201 1200 130.93 2
 19861202 1200 137.50 2
 19861203 1200 139.76 2
 19861204 1200 133.21 2
 19861205 1200 130.08 2
 19861206 1200 133.30 2
 19861207 1200 134.25 2
 19861208 1200 151.06 2
 19861209 1200 145.11 2
 19861210 1200 150.04 2
 19861211 1200 152.30 2
 19861212 1200 155.36 2
 19861213 1200 149.34 2
 19861214 1200 156.70 2
 19861215 1200 144.23 2
 19861216 1200 138.35 2
 19861217 1200 137.35 2
 19861218 1200 152.46 2
 19861219 1200 151.96 2
 19861220 1200 152.56 2
 19861221 1200 153.37 2
 19861222 1200 154.51 2
 19861223 1200 155.32 2
 19861224 1200  -9.99 0
 19861225 1200 156.10 2
 19861226 1200 156.44 2
 19861227 1200 166.79 2
 19861228 1200 169.42 2
 19861229 1200 166.73 2
 19861230 1200 170.23 2
 19861231 1200 168.36 2
 19870101 1200 164.66 2
 19870102 1200 167.72 2
 19870103 1200 166.89 2
 19870104 1200 172.84 2
 19870105 1200 167.32 2
 19870106 1200 163.99 2
 19870107 1200 172.42 2
 19870108 1200 167.35 2
 19870109 1200 162.98 2
 19870110 1200 161.56 2
 19870111 1200 165.58 2
 19870112 1200 165.75 2
 19870113 1200 162.03 2
 19870114 1200 146.51 2
 19870115 1200 138.41 2
 19870116 1200 150.58 2
 19870117 1200 161.53 2
 19870118 1200 161.58 2
 19870119 1200 160.25 2
 19870120 1200 162.17 2
 19870121 1200 161.35 2
 19870122 1200 160.88 2
 19870123 1200 155.63 2
 19870124 1200 148.64 2
 19870125 1200 138.13 2
 19870126 1200 137.57 2
 19870127 1200 149.46 2
 19870128 1200 153.91 2
 19870129 1200 136.56 2
 19870130 1200 138.18 2
 19870131 1200 134.93 2
 19870201 1200 130.26 2
 19870202 1200 125.78 2
 19870203 1200 125.32 2
 19870204 1200 121.14 2
 19870205 1200 114.71 2
 19870206 1200 117.49 2
 19870207 1200 114.96 2
 19870208 1200 124.77 2
 19870209 1200 121.74 2
 19870210 1200 111.71 2
 19870211 1200 120.97 2
 19870212 1200 127.50 2
 19870213 1200 116.73 2
 19870214 1200 107.57 2
 19870215 1200  99.25 2
 19870216 1200 112.61 2
 19870217 1200 113.53 2
 19870218 1200 110.43 2
 19870219 1200 112.71 2
 19870220 1200 110.71 2
 19870221 1200 108.08 2
 19870222 1200 111.70 2
 19870223 1200 108.17 2
 19870224 1200 107.92 2
 19870225 1200 109.39 2
 19870226 1200 109.91 2
 19870227 1200 110.82 2
 19870228 1200 115.14 2
 19870301 1200 107.10 2
 19870302 1200 109.21 2
 19870303 1200 116.77 2
 19870304 1200 108.10 2
 19870305 1200 111.29 2
 19870306 1200 107.89 2
 19870307 1200 102.30 2
 19870308 1200 113.54 2
 19870309 1200 115.55 2
 19870310 1200 127.88 2
 19870311 1200 115.58 2
 19870312 1200 119.21 2
 19870313 1200 116.58 2
 19870314 1200 122.11 2
 19870315 1200 128.44 2
 19870316 1200 129.18 2
 19870317 1200 126.74 2
 19870318 1200 126.72 2
 19870319 1200 122.96 2
 19870320 1200 118.84 2
 19870321 1200 116.31 2
 19870322 1200 112.69 2
 19870323 1200 117.71 2
 19870324 1200 124.18 2
 19870325 1200 121.90 2
 19870326 1200 116.86 2
 19870327 1200 114.33 2
 19870328 1200 119.17 2
 19870329 1200 115.19 2
 19870330 1200 113.79 2
 19870331 1200 115.41 2
 19870401 1200 116.74 2
 19870402 1200 113.07 2
 19870403 1200 117.34 2
 19870404 1200 121.07 2
 19870405 1200 119.32 2
 19870406 1200 116.99 2
 19870407 1200 109.33 2
 19870408 1200 110.67 2
 19870409 1200 109.59 2
 19870410 1200 107.47 2
 19870411 1200  99.42 2
 19870412 1200  96.31 2
 19870413 1200  93.52 2
 19870414 1200  99.64 2
 19870415 1200 100.98 2
 19870416 1200  90.62 2
 19870417 1200  89.80 2
 19870418 1200  99.50 2
 19870419 1200 102.82 2
 19870420 1200  99.28 2
 19870421 1200  98.98 2
 19870422 1200  98.71 2
 19870423 1200 100.34 2
 19870424 1200  97.53 2
 19870425 1200  99.60 2
 19870426 1200 108.46 2
 19870427 1200 100.19 2
 19870428 1200  97.25 2
 19870429 1200  95.73 2
 19870430 1200 105.98 2
 19870501 1200 110.12 2
 19870502 1200 100.22 2
 19870503 1200 103.77 2
 19870504 1200 112.68 2
 19870505 1200 110.05 2
 19870506 1200 107.48 2
 19870507 1200 109.03 2
 19870508 1200 105.21 2
 19870509 1200  94.89 2
 19870510 1200 107.94 2
 19870511 1200 108.97 2
 19870512 1200 106.59 2
 19870513 1200 106.98 2
 19870514 1200 102.96 2
 19870515 1200 104.72 2
 19870516 1200 104.06 2
 19870517 1200 104.22 2
 19870518 1200  96.31 2
 19870519 1200 102.33 2
 19870520 1200 103.59 2
 19870521 1200 109.01 2
 19870522 1200 100.59 2
 19870523 1200  95.51 2
 19870524 1200  96.36 2
 19870525 1200 101.50 2
 19870526 1200 101.79 2
 19870527 1200 101.05 2
 19870528 1200 107.32 2
 19870529 1200 103.01 2
 19870530 1200  98.45 2
 19870531 1200 103.73 2
