 Location:  5S 180W  25 Mar 1993 to 15 Mar 2013 ( 7296 times, 17 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 25 Mar 1993 to 1200  6 Apr 1995 (index     1 to   743,  743 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19930325 1200 217.61 2
 19930326 1200 215.38 2
 19930327 1200 213.10 2
 19930328 1200 211.58 2
 19930329 1200 209.55 2
 19930330 1200 210.48 2
 19930331 1200 202.02 2
 19930401 1200 197.99 2
 19930402 1200 198.72 2
 19930403 1200 199.42 2
 19930404 1200 193.03 2
 19930405 1200 199.00 2
 19930406 1200 196.61 2
 19930407 1200 196.18 2
 19930408 1200 193.30 2
 19930409 1200 186.10 2
 19930410 1200 188.63 2
 19930411 1200 188.24 2
 19930412 1200 180.58 2
 19930413 1200 180.13 2
 19930414 1200 181.94 2
 19930415 1200 181.39 2
 19930416 1200 178.78 2
 19930417 1200 180.11 2
 19930418 1200 184.69 2
 19930419 1200 180.25 2
 19930420 1200 182.35 2
 19930421 1200 184.75 2
 19930422 1200 183.43 2
 19930423 1200 184.65 2
 19930424 1200 189.57 2
 19930425 1200 179.06 2
 19930426 1200 181.07 2
 19930427 1200 182.79 2
 19930428 1200 181.44 2
 19930429 1200 182.33 2
 19930430 1200 182.64 2
 19930501 1200 182.85 2
 19930502 1200 182.61 2
 19930503 1200 181.60 2
 19930504 1200 185.26 2
 19930505 1200 181.49 2
 19930506 1200 183.96 2
 19930507 1200 183.85 2
 19930508 1200 181.75 2
 19930509 1200 179.35 2
 19930510 1200 185.75 2
 19930511 1200 184.37 2
 19930512 1200 181.72 2
 19930513 1200 175.54 2
 19930514 1200 181.92 2
 19930515 1200 180.28 2
 19930516 1200 175.55 2
 19930517 1200 183.49 2
 19930518 1200 188.93 2
 19930519 1200 177.88 2
 19930520 1200 174.66 2
 19930521 1200 178.16 2
 19930522 1200 176.34 2
 19930523 1200 170.70 2
 19930524 1200 166.51 2
 19930525 1200 167.80 2
 19930526 1200 173.89 2
 19930527 1200 173.78 2
 19930528 1200 173.57 2
 19930529 1200 175.47 2
 19930530 1200 178.73 2
 19930531 1200 175.66 2
 19930601 1200 171.69 2
 19930602 1200 167.27 2
 19930603 1200 166.36 2
 19930604 1200 167.01 2
 19930605 1200 165.28 2
 19930606 1200 167.24 2
 19930607 1200 166.17 2
 19930608 1200 165.83 2
 19930609 1200 166.06 2
 19930610 1200 164.19 2
 19930611 1200 165.03 2
 19930612 1200 161.17 2
 19930613 1200 167.56 2
 19930614 1200 162.48 2
 19930615 1200 161.96 2
 19930616 1200 162.37 2
 19930617 1200 166.28 2
 19930618 1200 161.79 2
 19930619 1200 162.50 2
 19930620 1200 163.36 2
 19930621 1200 165.40 2
 19930622 1200 165.54 2
 19930623 1200 163.43 2
 19930624 1200 164.98 2
 19930625 1200 164.73 2
 19930626 1200 164.60 2
 19930627 1200 166.59 2
 19930628 1200 167.26 2
 19930629 1200 167.77 2
 19930630 1200 165.97 2
 19930701 1200 165.60 2
 19930702 1200 162.54 2
 19930703 1200 161.29 2
 19930704 1200 164.48 2
 19930705 1200 164.52 2
 19930706 1200 165.65 2
 19930707 1200 164.85 2
 19930708 1200 162.33 2
 19930709 1200 166.47 2
 19930710 1200 161.62 2
 19930711 1200 158.05 2
 19930712 1200 164.98 2
 19930713 1200 160.29 2
 19930714 1200 156.37 2
 19930715 1200 159.10 2
 19930716 1200 157.82 2
 19930717 1200 156.62 2
 19930718 1200 155.60 2
 19930719 1200 161.17 2
 19930720 1200 157.81 2
 19930721 1200 155.54 2
 19930722 1200 152.66 2
 19930723 1200 157.12 2
 19930724 1200 164.95 2
 19930725 1200 162.56 2
 19930726 1200 159.75 2
 19930727 1200 163.29 2
 19930728 1200 164.29 2
 19930729 1200 166.67 2
 19930730 1200 166.17 2
 19930731 1200 163.67 2
 19930801 1200 164.61 2
 19930802 1200 165.08 2
 19930803 1200 164.66 2
 19930804 1200 164.36 2
 19930805 1200 167.88 2
 19930806 1200 171.34 2
 19930807 1200 171.18 2
 19930808 1200 174.49 2
 19930809 1200 172.31 2
 19930810 1200 175.29 2
 19930811 1200 175.69 2
 19930812 1200 174.23 2
 19930813 1200 178.09 2
 19930814 1200 175.82 2
 19930815 1200 176.02 2
 19930816 1200 174.02 2
 19930817 1200 178.67 2
 19930818 1200 178.69 2
 19930819 1200 171.93 2
 19930820 1200 171.02 2
 19930821 1200 176.48 2
 19930822 1200 177.59 2
 19930823 1200 180.73 2
 19930824 1200 183.96 2
 19930825 1200 178.79 2
 19930826 1200 173.27 2
 19930827 1200 173.62 2
 19930828 1200 172.78 2
 19930829 1200 179.05 2
 19930830 1200 169.16 2
 19930831 1200 172.62 2
 19930901 1200 179.24 2
 19930902 1200 175.95 2
 19930903 1200 173.94 2
 19930904 1200 172.84 2
 19930905 1200 176.03 2
 19930906 1200 174.33 2
 19930907 1200 173.99 2
 19930908 1200 174.82 2
 19930909 1200 176.99 2
 19930910 1200 173.68 2
 19930911 1200 180.23 2
 19930912 1200 177.36 2
 19930913 1200 174.82 2
 19930914 1200 174.93 2
 19930915 1200 178.28 2
 19930916 1200 176.47 2
 19930917 1200 171.67 2
 19930918 1200 177.52 2
