 Location:  8S 165E  28 Aug 1992 to 30 Nov 2013 ( 7765 times, 20 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 28 Aug 1992 to 1200 14 Sep 1995 (index     1 to  1113, 1113 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19920828 1200 155.60 2
 19920829 1200 156.13 2
 19920830 1200 152.88 2
 19920831 1200 155.93 2
 19920901 1200 160.10 2
 19920902 1200 163.62 2
 19920903 1200 159.71 2
 19920904 1200 158.66 2
 19920905 1200 161.11 2
 19920906 1200 169.07 2
 19920907 1200 167.77 2
 19920908 1200 170.60 2
 19920909 1200 173.08 2
 19920910 1200 176.42 2
 19920911 1200 173.24 2
 19920912 1200 176.34 2
 19920913 1200 185.27 2
 19920914 1200 182.67 2
 19920915 1200 182.96 2
 19920916 1200 184.22 2
 19920917 1200 190.46 2
 19920918 1200 200.43 2
 19920919 1200 195.13 2
 19920920 1200 189.11 2
 19920921 1200 188.63 2
 19920922 1200 201.72 2
 19920923 1200 186.81 2
 19920924 1200 186.51 2
 19920925 1200 197.85 2
 19920926 1200 192.68 2
 19920927 1200 189.59 2
 19920928 1200 183.64 2
 19920929 1200 183.24 2
 19920930 1200 189.82 2
 19921001 1200 182.49 2
 19921002 1200 178.66 2
 19921003 1200 180.90 2
 19921004 1200 180.41 2
 19921005 1200 175.00 2
 19921006 1200 180.03 2
 19921007 1200 177.31 2
 19921008 1200 176.41 2
 19921009 1200 177.31 2
 19921010 1200 175.30 2
 19921011 1200 175.07 2
 19921012 1200 177.08 2
 19921013 1200 170.79 2
 19921014 1200 174.69 2
 19921015 1200 171.29 2
 19921016 1200 172.67 2
 19921017 1200 174.71 2
 19921018 1200 175.29 2
 19921019 1200 171.79 2
 19921020 1200 179.24 2
 19921021 1200 174.28 2
 19921022 1200 175.27 2
 19921023 1200 178.16 2
 19921024 1200 176.59 2
 19921025 1200 180.61 2
 19921026 1200 179.67 2
 19921027 1200 180.36 2
 19921028 1200 183.92 2
 19921029 1200 179.61 2
 19921030 1200 184.16 2
 19921031 1200 182.13 2
 19921101 1200 184.18 2
 19921102 1200 187.96 2
 19921103 1200 184.10 2
 19921104 1200 192.09 2
 19921105 1200 189.78 2
 19921106 1200 188.89 2
 19921107 1200 196.86 2
 19921108 1200 186.83 2
 19921109 1200 196.49 2
 19921110 1200 195.90 2
 19921111 1200 193.51 2
 19921112 1200 200.46 2
 19921113 1200 198.61 2
 19921114 1200 198.34 2
 19921115 1200 202.45 2
 19921116 1200 200.57 2
 19921117 1200 198.03 2
 19921118 1200 199.85 2
 19921119 1200 200.84 2
 19921120 1200 200.49 2
 19921121 1200 193.80 2
 19921122 1200 202.69 2
 19921123 1200 201.44 2
 19921124 1200 195.48 2
 19921125 1200 206.52 2
 19921126 1200 199.87 2
 19921127 1200 196.50 2
 19921128 1200 203.56 2
 19921129 1200 197.60 2
 19921130 1200 202.92 2
 19921201 1200 200.80 2
 19921202 1200 200.38 2
 19921203 1200 203.44 2
 19921204 1200 208.08 2
 19921205 1200 202.84 2
 19921206 1200 198.85 2
 19921207 1200 201.57 2
 19921208 1200 197.57 2
 19921209 1200 205.12 2
 19921210 1200 203.82 2
 19921211 1200 201.29 2
 19921212 1200 202.12 2
 19921213 1200 204.38 2
 19921214 1200 197.60 2
 19921215 1200 198.33 2
 19921216 1200 195.70 2
 19921217 1200 189.52 2
 19921218 1200 188.24 2
 19921219 1200 193.83 2
 19921220 1200 185.38 2
 19921221 1200 188.29 2
 19921222 1200 186.78 2
 19921223 1200 188.84 2
 19921224 1200 186.77 2
 19921225 1200 183.65 2
 19921226 1200 185.25 2
 19921227 1200 176.83 2
 19921228 1200 176.04 2
 19921229 1200 179.79 2
 19921230 1200 174.25 2
 19921231 1200 176.20 2
 19930101 1200 176.58 2
 19930102 1200 173.97 2
 19930103 1200 172.26 2
 19930104 1200 163.54 2
 19930105 1200 174.43 2
 19930106 1200 168.36 2
 19930107 1200 159.52 2
 19930108 1200 168.25 2
 19930109 1200 167.49 2
 19930110 1200 163.76 2
 19930111 1200 169.16 2
 19930112 1200 163.05 2
 19930113 1200 165.94 2
 19930114 1200 163.45 2
 19930115 1200 157.67 2
 19930116 1200 162.41 2
 19930117 1200 159.69 2
 19930118 1200 155.38 2
 19930119 1200 158.49 2
 19930120 1200 157.01 2
 19930121 1200 159.85 2
 19930122 1200 155.35 2
 19930123 1200 159.54 2
 19930124 1200 157.26 2
 19930125 1200 160.00 2
 19930126 1200 159.98 2
 19930127 1200 159.77 2
 19930128 1200 164.30 2
 19930129 1200 159.16 2
 19930130 1200 161.15 2
 19930131 1200 166.51 2
 19930201 1200 164.63 2
 19930202 1200 161.15 2
 19930203 1200 160.18 2
 19930204 1200 162.21 2
 19930205 1200 155.71 2
 19930206 1200 162.12 2
 19930207 1200 162.53 2
 19930208 1200 160.47 2
 19930209 1200 161.08 2
 19930210 1200 162.31 2
 19930211 1200 161.22 2
 19930212 1200 163.13 2
 19930213 1200 162.06 2
 19930214 1200 157.01 2
 19930215 1200 156.85 2
 19930216 1200 161.24 2
