 Location:  8S 180W  24 Jun 1994 to 29 Nov 2013 ( 7099 times,  9 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 24 Jun 1994 to 1200  7 Jul 1994 (index     1 to    14,   14 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19940624 1200 200.00 2
 19940625 1200 195.79 2
 19940626 1200 197.73 2
 19940627 1200 196.42 2
 19940628 1200 194.34 2
 19940629 1200 192.69 2
 19940630 1200 194.30 2
 19940701 1200 195.40 2
 19940702 1200 194.02 2
 19940703 1200 198.63 2
 19940704 1200 197.02 2
 19940705 1200 197.96 2
 19940706 1200 199.23 2
 19940707 1200 197.55 2
 Time: 1200 17 Aug 1994 to 1200 20 Aug 1994 (index    55 to    58,    4 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19940817 1200 199.79 2
 19940818 1200  -9.99 0
 19940819 1200  -9.99 0
 19940820 1200 199.38 2
 Time: 1200 17 Sep 1994 to 1200 28 Sep 1994 (index    86 to    97,   12 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19940917 1200 198.18 2
 19940918 1200  -9.99 0
 19940919 1200 196.65 2
 19940920 1200  -9.99 0
 19940921 1200 198.45 2
 19940922 1200 200.00 2
 19940923 1200  -9.99 0
 19940924 1200  -9.99 0
 19940925 1200 197.56 2
 19940926 1200  -9.99 0
 19940927 1200  -9.99 0
 19940928 1200 196.13 2
 Time: 1200 15 Nov 1994 to 1200  1 Oct 1997 (index   145 to  1196, 1052 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19941115 1200 215.22 2
 19941116 1200 213.52 2
 19941117 1200 216.10 2
 19941118 1200 214.26 2
 19941119 1200 213.71 2
 19941120 1200 211.33 2
 19941121 1200 214.48 2
 19941122 1200 212.99 2
 19941123 1200 213.11 2
 19941124 1200 212.11 2
 19941125 1200 214.61 2
 19941126 1200 210.77 2
 19941127 1200 214.00 2
 19941128 1200 212.68 2
 19941129 1200 207.08 2
 19941130 1200 213.82 2
 19941201 1200 210.36 2
 19941202 1200 209.60 2
 19941203 1200 209.79 2
 19941204 1200 206.29 2
 19941205 1200 209.32 2
 19941206 1200 208.46 2
 19941207 1200 210.84 2
 19941208 1200 211.42 2
 19941209 1200 208.16 2
 19941210 1200 213.67 2
 19941211 1200 210.57 2
 19941212 1200 208.38 2
 19941213 1200 211.86 2
 19941214 1200 209.26 2
 19941215 1200 212.42 2
 19941216 1200 207.04 2
 19941217 1200 207.75 2
 19941218 1200 209.12 2
 19941219 1200 205.08 2
 19941220 1200 206.18 2
 19941221 1200 207.13 2
 19941222 1200 205.38 2
 19941223 1200 202.72 2
 19941224 1200 209.47 2
 19941225 1200 208.37 2
 19941226 1200 200.77 2
 19941227 1200 200.81 2
 19941228 1200 201.57 2
 19941229 1200 205.35 2
 19941230 1200 199.89 2
 19941231 1200 204.80 2
 19950101 1200 202.97 2
 19950102 1200 201.74 2
 19950103 1200 203.50 2
 19950104 1200 199.89 2
 19950105 1200 199.43 2
 19950106 1200 195.88 2
 19950107 1200 200.71 2
 19950108 1200 198.03 2
 19950109 1200 197.00 2
 19950110 1200 198.26 2
 19950111 1200 196.61 2
 19950112 1200 194.68 2
 19950113 1200 199.22 2
 19950114 1200 204.56 2
 19950115 1200 195.69 2
 19950116 1200 200.34 2
 19950117 1200 206.21 2
 19950118 1200 200.46 2
 19950119 1200 197.64 2
 19950120 1200 204.86 2
 19950121 1200 198.36 2
 19950122 1200 195.79 2
 19950123 1200 201.44 2
 19950124 1200 198.98 2
 19950125 1200 195.40 2
 19950126 1200 197.04 2
 19950127 1200 199.43 2
 19950128 1200 200.90 2
 19950129 1200 202.24 2
 19950130 1200 198.81 2
 19950131 1200 200.71 2
 19950201 1200 206.32 2
 19950202 1200 206.70 2
 19950203 1200 210.74 2
 19950204 1200 208.94 2
 19950205 1200 207.88 2
 19950206 1200 211.79 2
 19950207 1200 206.16 2
 19950208 1200 211.66 2
 19950209 1200 209.83 2
 19950210 1200 205.85 2
 19950211 1200 210.73 2
 19950212 1200 207.96 2
 19950213 1200 204.47 2
 19950214 1200 210.53 2
 19950215 1200 207.59 2
 19950216 1200 205.45 2
 19950217 1200 209.12 2
 19950218 1200 210.41 2
 19950219 1200 211.56 2
 19950220 1200 210.15 2
 19950221 1200 213.94 2
 19950222 1200 210.29 2
 19950223 1200 213.09 2
 19950224 1200 210.13 2
 19950225 1200 215.29 2
 19950226 1200 214.52 2
 19950227 1200 211.62 2
 19950228 1200 213.82 2
 19950301 1200 215.91 2
 19950302 1200 214.65 2
 19950303 1200 214.20 2
 19950304 1200 216.10 2
 19950305 1200 216.95 2
 19950306 1200 218.72 2
 19950307 1200 218.88 2
 19950308 1200 220.74 2
 19950309 1200 220.09 2
 19950310 1200 217.38 2
 19950311 1200 222.23 2
 19950312 1200 219.13 2
 19950313 1200 217.53 2
 19950314 1200 220.55 2
 19950315 1200 221.44 2
 19950316 1200 219.67 2
 19950317 1200 223.17 2
 19950318 1200 218.92 2
 19950319 1200 220.56 2
 19950320 1200 220.50 2
 19950321 1200 220.91 2
 19950322 1200 220.78 2
 19950323 1200 220.04 2
 19950324 1200 226.21 2
 19950325 1200 220.11 2
 19950326 1200 222.03 2
 19950327 1200 224.21 2
 19950328 1200 222.33 2
 19950329 1200 226.72 2
 19950330 1200 226.94 2
 19950331 1200 223.21 2
 19950401 1200 227.92 2
 19950402 1200 225.06 2
 19950403 1200 223.79 2
 19950404 1200 227.51 2
 19950405 1200 220.84 2
 19950406 1200 225.60 2
 19950407 1200 223.56 2
 19950408 1200 218.78 2
 19950409 1200 224.56 2
 19950410 1200 221.13 2
 19950411 1200 218.74 2
 19950412 1200 226.26 2
 19950413 1200 226.07 2
 19950414 1200 223.26 2
 19950415 1200 227.79 2
 19950416 1200 227.61 2
 19950417 1200 227.78 2
 19950418 1200 227.81 2
 19950419 1200 223.94 2
 19950420 1200 227.95 2
 19950421 1200 227.00 2
 19950422 1200 227.98 2
 19950423 1200 228.74 2
 19950424 1200 228.43 2
 19950425 1200 231.11 2
 19950426 1200 227.96 2
 19950427 1200 230.71 2
 19950428 1200 229.71 2
 19950429 1200 227.90 2
 19950430 1200 230.83 2
 19950501 1200 227.80 2
 19950502 1200 229.75 2
 19950503 1200 233.26 2
 19950504 1200 228.33 2
 19950505 1200 228.99 2
 19950506 1200 230.72 2
 19950507 1200 228.41 2
 19950508 1200 231.66 2
 19950509 1200 228.65 2
 19950510 1200 229.30 2
 19950511 1200 225.73 2
 19950512 1200 231.65 2
 19950513 1200 228.85 2
 19950514 1200 229.92 2
 19950515 1200 229.12 2
 19950516 1200 229.89 2
 19950517 1200 231.63 2
 19950518 1200 232.23 2
 19950519 1200 229.51 2
 19950520 1200 228.54 2
 19950521 1200 231.49 2
 19950522 1200 226.48 2
 19950523 1200 232.71 2
 19950524 1200 228.30 2
 19950525 1200 225.65 2
 19950526 1200 226.70 2
 19950527 1200 224.39 2
 19950528 1200 224.82 2
 19950529 1200 222.89 2
 19950530 1200 223.14 2
 19950531 1200 222.93 2
 19950601 1200 221.40 2
 19950602 1200 217.80 2
 19950603 1200 220.28 2
 19950604 1200 220.12 2
 19950605 1200 219.39 2
 19950606 1200 221.85 2
 19950607 1200 222.19 2
 19950608 1200 221.14 2
 19950609 1200 217.20 2
 19950610 1200 221.29 2
 19950611 1200 217.53 2
 19950612 1200 219.95 2
 19950613 1200 222.07 2
 19950614 1200 220.37 2
 19950615 1200 220.97 2
 19950616 1200 221.45 2
 19950617 1200 228.51 2
 19950618 1200 230.03 2
 19950619 1200 223.41 2
 19950620 1200 226.56 2
 19950621 1200 225.93 2
 19950622 1200 223.18 2
 19950623 1200 223.32 2
 19950624 1200 226.33 2
 19950625 1200 227.61 2
 19950626 1200 222.77 2
 19950627 1200 221.85 2
 19950628 1200 219.12 2
 19950629 1200 220.70 2
 19950630 1200 215.49 2
 19950701 1200 214.93 2
 19950702 1200 215.03 2
 19950703 1200 217.07 2
 19950704 1200 214.22 2
 19950705 1200 213.38 2
 19950706 1200 217.75 2
 19950707 1200 217.24 2
 19950708 1200 217.57 2
 19950709 1200 226.03 2
 19950710 1200 223.30 2
 19950711 1200 222.16 2
 19950712 1200 226.07 2
 19950713 1200 225.70 2
 19950714 1200 227.36 2
 19950715 1200 231.18 2
 19950716 1200 228.31 2
 19950717 1200 227.49 2
 19950718 1200 230.27 2
 19950719 1200 228.28 2
 19950720 1200 226.73 2
 19950721 1200 227.49 2
 19950722 1200 225.00 2
 19950723 1200 224.55 2
 19950724 1200 226.64 2
 19950725 1200 226.01 2
 19950726 1200 222.97 2
 19950727 1200 223.17 2
 19950728 1200 223.69 2
 19950729 1200 221.27 2
 19950730 1200 220.66 2
 19950731 1200 221.50 2
 19950801 1200 214.95 2
 19950802 1200 213.98 2
 19950803 1200 215.72 2
 19950804 1200 218.55 2
 19950805 1200 210.28 2
 19950806 1200 208.20 2
 19950807 1200 207.00 2
 19950808 1200 207.92 2
 19950809 1200 203.53 2
 19950810 1200 203.13 2
 19950811 1200 199.30 2
 19950812 1200 204.59 2
 19950813 1200 200.11 2
 19950814 1200 200.37 2
 19950815 1200 206.44 2
 19950816 1200 199.76 2
 19950817 1200 201.75 2
 19950818 1200 206.78 2
 19950819 1200 201.79 2
 19950820 1200 209.56 2
 19950821 1200 206.54 2
 19950822 1200 210.25 2
 19950823 1200 213.08 2
 19950824 1200 215.77 2
 19950825 1200 216.50 2
 19950826 1200 216.75 2
 19950827 1200 218.93 2
 19950828 1200 220.12 2
 19950829 1200 225.91 2
 19950830 1200 223.09 2
 19950831 1200 221.40 2
 19950901 1200 228.30 2
 19950902 1200 221.51 2
 19950903 1200 226.17 2
 19950904 1200 222.02 2
 19950905 1200 224.80 2
 19950906 1200 224.79 2
 19950907 1200 226.02 2
 19950908 1200 225.05 2
 19950909 1200 226.30 2
 19950910 1200 223.93 2
 19950911 1200 227.79 2
 19950912 1200 222.22 2
 19950913 1200 226.77 2
 19950914 1200 226.17 2
 19950915 1200 223.82 2
 19950916 1200 224.81 2
 19950917 1200 222.13 2
 19950918 1200 221.87 2
 19950919 1200 221.32 2
 19950920 1200 217.75 2
 19950921 1200 217.83 2
 19950922 1200 215.96 2
 19950923 1200 218.35 2
 19950924 1200 218.63 2
 19950925 1200 217.59 2
 19950926 1200 216.21 2
 19950927 1200 217.59 2
 19950928 1200 219.43 2
 19950929 1200 217.34 2
 19950930 1200 217.83 2
 19951001 1200 219.65 2
 19951002 1200 220.64 2
 19951003 1200 220.40 2
 19951004 1200 220.79 2
 19951005 1200 218.57 2
 19951006 1200 220.63 2
 19951007 1200 215.45 2
 19951008 1200 217.83 2
 19951009 1200 221.25 2
 19951010 1200 217.41 2
 19951011 1200 219.65 2
 19951012 1200 215.34 2
 19951013 1200 216.84 2
 19951014 1200 220.47 2
 19951015 1200 214.26 2
 19951016 1200 216.59 2
 19951017 1200 219.18 2
 19951018 1200 213.78 2
 19951019 1200 217.21 2
 19951020 1200 217.63 2
 19951021 1200 217.11 2
 19951022 1200 216.63 2
 19951023 1200 215.15 2
 19951024 1200 217.38 2
 19951025 1200 221.51 2
 19951026 1200 217.70 2
 19951027 1200 221.45 2
 19951028 1200 226.64 2
 19951029 1200 224.11 2
 19951030 1200 226.93 2
 19951031 1200 225.29 2
 19951101 1200 228.15 2
 19951102 1200 226.26 2
 19951103 1200 230.04 2
 19951104 1200 228.00 2
 19951105 1200 229.24 2
 19951106 1200 233.30 2
 19951107 1200 230.29 2
 19951108 1200 230.91 2
 19951109 1200 233.64 2
 19951110 1200 228.83 2
 19951111 1200 234.19 2
 19951112 1200 229.21 2
 19951113 1200 228.40 2
 19951114 1200 236.37 2
 19951115 1200 230.94 2
 19951116 1200 227.79 2
 19951117 1200 230.20 2
 19951118 1200 228.15 2
 19951119 1200 228.02 2
 19951120 1200 224.39 2
 19951121 1200 224.48 2
 19951122 1200 226.58 2
 19951123 1200 224.41 2
 19951124 1200 219.44 2
 19951125 1200 224.78 2
 19951126 1200 220.70 2
 19951127 1200 222.72 2
 19951128 1200 218.60 2
 19951129 1200 216.40 2
 19951130 1200 219.32 2
 19951201 1200  -9.99 0
 19951202 1200  -9.99 0
 19951203 1200 214.39 2
 19951204 1200 210.00 2
 19951205 1200 212.00 2
 19951206 1200 212.20 2
 19951207 1200 211.95 2
 19951208 1200 211.64 2
 19951209 1200 211.75 2
 19951210 1200 208.28 2
 19951211 1200 214.83 2
 19951212 1200 208.29 2
 19951213 1200 210.32 2
 19951214 1200 208.76 2
 19951215 1200 209.39 2
 19951216 1200 210.30 2
 19951217 1200 206.06 2
 19951218 1200 207.16 2
 19951219 1200 208.57 2
 19951220 1200 206.91 2
 19951221 1200 214.13 2
 19951222 1200 209.32 2
 19951223 1200 209.18 2
 19951224 1200 213.96 2
 19951225 1200 210.62 2
 19951226 1200 216.08 2
 19951227 1200 214.37 2
 19951228 1200 216.94 2
 19951229 1200 217.55 2
 19951230 1200 223.93 2
 19951231 1200 223.33 2
 19960101 1200 221.66 2
 19960102 1200 223.61 2
 19960103 1200 224.83 2
 19960104 1200 228.90 2
 19960105 1200 227.18 2
 19960106 1200 226.44 2
 19960107 1200 231.35 2
 19960108 1200 231.85 2
 19960109 1200 231.48 2
 19960110 1200 231.46 2
 19960111 1200 232.81 2
 19960112 1200 231.54 2
 19960113 1200 232.63 2
 19960114 1200 232.25 2
 19960115 1200 234.07 2
 19960116 1200 234.79 2
 19960117 1200 227.16 2
 19960118 1200 228.42 2
 19960119 1200 231.36 2
 19960120 1200 225.26 2
 19960121 1200 222.90 2
 19960122 1200 224.73 2
 19960123 1200 221.81 2
 19960124 1200 222.36 2
 19960125 1200 221.56 2
 19960126 1200 219.32 2
 19960127 1200 222.38 2
 19960128 1200 219.90 2
 19960129 1200 221.82 2
 19960130 1200 224.58 2
 19960131 1200 223.16 2
 19960201 1200 225.41 2
 19960202 1200 227.49 2
 19960203 1200 228.41 2
 19960204 1200 231.26 2
 19960205 1200 229.95 2
 19960206 1200 236.46 2
 19960207 1200 234.63 2
 19960208 1200 235.75 2
 19960209 1200 239.75 2
 19960210 1200 240.05 2
 19960211 1200 240.12 2
 19960212 1200 239.74 2
 19960213 1200 242.11 2
 19960214 1200 241.58 2
 19960215 1200 245.07 2
 19960216 1200 243.68 2
 19960217 1200 247.86 2
 19960218 1200 245.09 2
 19960219 1200 247.44 2
 19960220 1200 253.04 2
 19960221 1200 257.11 2
 19960222 1200 252.02 2
 19960223 1200 257.00 2
 19960224 1200 254.23 2
 19960225 1200 258.04 2
 19960226 1200 256.56 2
 19960227 1200 254.07 2
 19960228 1200 249.70 2
 19960229 1200 250.78 2
 19960301 1200 249.90 2
 19960302 1200 250.11 2
 19960303 1200 246.33 2
 19960304 1200 245.62 2
 19960305 1200 244.41 2
 19960306 1200 240.24 2
 19960307 1200 241.68 2
 19960308 1200 240.23 2
 19960309 1200 235.92 2
 19960310 1200 233.66 2
 19960311 1200 233.64 2
 19960312 1200 232.26 2
 19960313 1200 231.33 2
 19960314 1200 229.01 2
 19960315 1200 230.30 2
 19960316 1200 230.31 2
 19960317 1200 225.87 2
 19960318 1200 231.67 2
 19960319 1200 230.82 2
 19960320 1200 231.85 2
 19960321 1200 240.05 2
 19960322 1200 240.88 2
 19960323 1200 238.70 2
 19960324 1200 242.71 2
 19960325 1200 245.83 2
 19960326 1200 246.34 2
 19960327 1200 242.48 2
 19960328 1200 245.36 2
 19960329 1200 244.62 2
 19960330 1200 242.46 2
 19960331 1200 244.12 2
 19960401 1200 244.08 2
 19960402 1200 239.42 2
 19960403 1200 242.40 2
 19960404 1200 241.35 2
 19960405 1200 237.34 2
 19960406 1200 240.24 2
 19960407 1200 234.69 2
 19960408 1200 233.26 2
 19960409 1200 231.42 2
 19960410 1200 231.24 2
 19960411 1200 229.82 2
 19960412 1200 227.63 2
 19960413 1200 234.61 2
 19960414 1200 229.59 2
 19960415 1200 228.85 2
 19960416 1200 232.18 2
 19960417 1200 228.69 2
 19960418 1200 228.08 2
 19960419 1200 230.36 2
 19960420 1200 232.65 2
 19960421 1200 231.54 2
 19960422 1200 230.14 2
 19960423 1200 231.41 2
 19960424 1200 232.00 2
 19960425 1200 233.98 2
 19960426 1200 232.46 2
 19960427 1200 228.91 2
 19960428 1200 230.83 2
 19960429 1200 229.98 2
 19960430 1200 226.19 2
 19960501 1200 229.76 2
 19960502 1200 227.33 2
 19960503 1200 222.25 2
 19960504 1200 225.65 2
 19960505 1200 223.99 2
 19960506 1200 221.85 2
 19960507 1200 222.94 2
 19960508 1200 219.00 2
 19960509 1200 214.87 2
 19960510 1200 218.61 2
 19960511 1200 213.56 2
 19960512 1200 215.15 2
 19960513 1200 212.33 2
 19960514 1200 213.01 2
 19960515 1200 211.17 2
 19960516 1200 216.35 2
 19960517 1200 210.87 2
 19960518 1200 215.05 2
 19960519 1200 213.82 2
 19960520 1200 213.87 2
 19960521 1200 217.70 2
 19960522 1200 219.81 2
 19960523 1200 218.84 2
 19960524 1200 220.53 2
 19960525 1200 221.96 2
 19960526 1200 224.60 2
 19960527 1200 224.38 2
 19960528 1200 226.49 2
 19960529 1200 226.06 2
 19960530 1200 227.66 2
 19960531 1200 223.95 2
 19960601 1200 223.86 2
 19960602 1200 220.58 2
 19960603 1200 216.16 2
 19960604 1200 214.94 2
 19960605 1200 215.32 2
 19960606 1200 207.67 2
 19960607 1200 208.35 2
 19960608 1200 209.74 2
 19960609 1200 206.25 2
 19960610 1200 203.95 2
 19960611 1200 205.25 2
 19960612 1200 202.39 2
 19960613 1200 200.63 2
 19960614 1200 203.55 2
 19960615 1200 203.71 2
 19960616 1200 202.86 2
 19960617 1200 199.20 2
 19960618 1200 209.04 2
 19960619 1200 203.09 2
 19960620 1200 208.14 2
 19960621 1200 210.56 2
 19960622 1200 207.34 2
 19960623 1200 210.41 2
 19960624 1200 210.77 2
 19960625 1200 208.08 2
 19960626 1200 213.71 2
 19960627 1200 209.25 2
 19960628 1200 207.61 2
 19960629 1200 211.66 2
 19960630 1200 211.06 2
 19960701 1200 208.65 2
 19960702 1200  -9.99 0
 19960703 1200 211.74 2
 19960704 1200 210.34 2
 19960705 1200 213.04 2
 19960706 1200 208.96 2
 19960707 1200 213.37 2
 19960708 1200 216.14 2
 19960709 1200 214.25 2
 19960710 1200 217.15 2
 19960711 1200 216.33 2
 19960712 1200 217.84 2
 19960713 1200 214.37 2
 19960714 1200 218.59 2
 19960715 1200 221.27 2
 19960716 1200 217.62 2
 19960717 1200 216.29 2
 19960718 1200 218.09 2
 19960719 1200 216.00 2
 19960720 1200 217.30 2
 19960721 1200 213.62 2
 19960722 1200 216.77 2
 19960723 1200 214.89 2
 19960724 1200 213.39 2
 19960725 1200 215.31 2
 19960726 1200 216.74 2
 19960727 1200 215.24 2
 19960728 1200 214.61 2
 19960729 1200 211.30 2
 19960730 1200 218.98 2
 19960731 1200 218.86 2
 19960801 1200 217.67 2
 19960802 1200 219.48 2
 19960803 1200 223.88 2
 19960804 1200 221.65 2
 19960805 1200 226.50 2
 19960806 1200 222.09 2
 19960807 1200 225.67 2
 19960808 1200 222.55 2
 19960809 1200 227.21 2
 19960810 1200 224.07 2
 19960811 1200 223.44 2
 19960812 1200 223.52 2
 19960813 1200 224.70 2
 19960814 1200 219.12 2
 19960815 1200 222.72 2
 19960816 1200 223.58 2
 19960817 1200 218.05 2
 19960818 1200 220.14 2
 19960819 1200 214.49 2
 19960820 1200 218.99 2
 19960821 1200 217.91 2
 19960822 1200 213.92 2
 19960823 1200 218.20 2
 19960824 1200 216.71 2
 19960825 1200 216.56 2
 19960826 1200 213.90 2
 19960827 1200 215.63 2
 19960828 1200 216.19 2
 19960829 1200 217.08 2
 19960830 1200 214.14 2
 19960831 1200 212.56 2
 19960901 1200 216.52 2
 19960902 1200 216.06 2
 19960903 1200 214.59 2
 19960904 1200 215.69 2
 19960905 1200 217.17 2
 19960906 1200 216.46 2
 19960907 1200 211.98 2
 19960908 1200 215.03 2
 19960909 1200 214.05 2
 19960910 1200 216.57 2
 19960911 1200 215.82 2
 19960912 1200 214.13 2
 19960913 1200 214.78 2
 19960914 1200 215.89 2
 19960915 1200 211.53 2
 19960916 1200 215.88 2
 19960917 1200 216.42 2
 19960918 1200 215.01 2
 19960919 1200 216.20 2
 19960920 1200 216.25 2
 19960921 1200 218.64 2
 19960922 1200 219.16 2
 19960923 1200 213.02 2
 19960924 1200 218.98 2
 19960925 1200 219.66 2
 19960926 1200 213.39 2
 19960927 1200 217.10 2
 19960928 1200 216.24 2
 19960929 1200 214.90 2
 19960930 1200 214.87 2
 19961001 1200 211.32 2
 19961002 1200 215.31 2
 19961003 1200 213.33 2
 19961004 1200 210.50 2
 19961005 1200 208.90 2
 19961006 1200 213.23 2
 19961007 1200 212.27 2
 19961008 1200 206.67 2
 19961009 1200 211.22 2
 19961010 1200 211.25 2
 19961011 1200 211.97 2
 19961012 1200 209.75 2
 19961013 1200 211.64 2
 19961014 1200 211.51 2
 19961015 1200 216.59 2
 19961016 1200 211.96 2
 19961017 1200 216.43 2
 19961018 1200 212.30 2
 19961019 1200 219.85 2
 19961020 1200 216.77 2
 19961021 1200 215.96 2
 19961022 1200 219.83 2
 19961023 1200 218.26 2
 19961024 1200 221.19 2
 19961025 1200  -9.99 0
 19961026 1200  -9.99 0
 19961027 1200 221.64 2
 19961028 1200 220.53 2
 19961029 1200 215.93 2
 19961030 1200 222.53 2
 19961031 1200 222.76 2
 19961101 1200 217.20 2
 19961102 1200 219.53 2
 19961103 1200 221.44 2
 19961104 1200 219.90 2
 19961105 1200 219.70 2
 19961106 1200 219.34 2
 19961107 1200 220.37 2
 19961108 1200 219.57 2
 19961109 1200 220.46 2
 19961110 1200 217.82 2
 19961111 1200 219.58 2
 19961112 1200 221.24 2
 19961113 1200 214.86 2
 19961114 1200 216.95 2
 19961115 1200 216.93 2
 19961116 1200 215.15 2
 19961117 1200 214.12 2
 19961118 1200 211.60 2
 19961119 1200 210.55 2
 19961120 1200 213.32 2
 19961121 1200 210.05 2
 19961122 1200 210.75 2
 19961123 1200 204.74 2
 19961124 1200 209.95 2
 19961125 1200 208.97 2
 19961126 1200 209.02 2
 19961127 1200 202.99 2
 19961128 1200 210.99 2
 19961129 1200 207.24 2
 19961130 1200 210.02 2
 19961201 1200 203.12 2
 19961202 1200 208.44 2
 19961203 1200 209.07 2
 19961204 1200 200.67 2
 19961205 1200 208.00 2
 19961206 1200 207.16 2
 19961207 1200 201.37 2
 19961208 1200 204.77 2
 19961209 1200 205.57 2
 19961210 1200 203.75 2
 19961211 1200 202.67 2
 19961212 1200 200.99 2
 19961213 1200 201.91 2
 19961214 1200 206.60 2
 19961215 1200 206.94 2
 19961216 1200 205.02 2
 19961217 1200 206.17 2
 19961218 1200 211.75 2
 19961219 1200 208.22 2
 19961220 1200 208.00 2
 19961221 1200 210.56 2
 19961222 1200 208.23 2
 19961223 1200 212.17 2
 19961224 1200 211.50 2
 19961225 1200 212.75 2
 19961226 1200 213.44 2
 19961227 1200 212.19 2
 19961228 1200 213.26 2
 19961229 1200 217.29 2
 19961230 1200 218.92 2
 19961231 1200 213.59 2
 19970101 1200 217.11 2
 19970102 1200 219.15 2
 19970103 1200 213.01 2
 19970104 1200 216.36 2
 19970105 1200 213.97 2
 19970106 1200 215.26 2
 19970107 1200 211.57 2
 19970108 1200 211.85 2
 19970109 1200 213.53 2
 19970110 1200 212.72 2
 19970111 1200 217.02 2
 19970112 1200 216.49 2
 19970113 1200 213.55 2
 19970114 1200 220.09 2
 19970115 1200 215.79 2
 19970116 1200 214.90 2
 19970117 1200 217.66 2
 19970118 1200 217.90 2
 19970119 1200 219.52 2
 19970120 1200 218.17 2
 19970121 1200 219.85 2
 19970122 1200 224.41 2
 19970123 1200 221.72 2
 19970124 1200 224.37 2
 19970125 1200 224.70 2
 19970126 1200 223.43 2
 19970127 1200 223.67 2
 19970128 1200 223.25 2
 19970129 1200 226.03 2
 19970130 1200 222.62 2
 19970131 1200 223.92 2
 19970201 1200 222.52 2
 19970202 1200 224.02 2
 19970203 1200 225.21 2
 19970204 1200 221.41 2
 19970205 1200 218.22 2
 19970206 1200 224.89 2
 19970207 1200 225.10 2
 19970208 1200 216.78 2
 19970209 1200 216.38 2
 19970210 1200 221.32 2
 19970211 1200 221.71 2
 19970212 1200 217.39 2
 19970213 1200 219.45 2
 19970214 1200 219.43 2
 19970215 1200 220.77 2
 19970216 1200 216.40 2
 19970217 1200 223.62 2
 19970218 1200 221.40 2
 19970219 1200 218.72 2
 19970220 1200 224.46 2
 19970221 1200 224.00 2
 19970222 1200 225.16 2
 19970223 1200 223.17 2
 19970224 1200 227.70 2
 19970225 1200 226.53 2
 19970226 1200 229.49 2
 19970227 1200 231.02 2
 19970228 1200 228.71 2
 19970301 1200 231.05 2
 19970302 1200 232.63 2
 19970303 1200 231.40 2
 19970304 1200 234.16 2
 19970305 1200 240.19 2
 19970306 1200 235.61 2
 19970307 1200 234.22 2
 19970308 1200 230.00 2
 19970309 1200 236.01 2
 19970310 1200 226.66 2
 19970311 1200 229.30 2
 19970312 1200 239.56 2
 19970313 1200 232.79 2
 19970314 1200 233.03 2
 19970315 1200 237.47 2
 19970316 1200 229.17 2
 19970317 1200 233.15 2
 19970318 1200 239.16 2
 19970319 1200 237.62 2
 19970320 1200 234.47 2
 19970321 1200 240.77 2
 19970322 1200 247.24 2
 19970323 1200 237.33 2
 19970324 1200 242.99 2
 19970325 1200 241.18 2
 19970326 1200 243.44 2
 19970327 1200 239.57 2
 19970328 1200 242.64 2
 19970329 1200 243.58 2
 19970330 1200 237.96 2
