 Location:  8S 125W   7 Oct 1993 to 23 Sep 2013 ( 7292 times, 16 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  7 Oct 1993 to 1200  9 Sep 1994 (index     1 to   338,  338 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19931007 1200 154.07 2
 19931008 1200 149.72 2
 19931009 1200 152.98 2
 19931010 1200 148.16 2
 19931011 1200 149.07 2
 19931012 1200 153.23 2
 19931013 1200 150.87 2
 19931014 1200 149.19 2
 19931015 1200 154.29 2
 19931016 1200 146.78 2
 19931017 1200 155.62 2
 19931018 1200 151.46 2
 19931019 1200 150.00 2
 19931020 1200 152.72 2
 19931021 1200 152.12 2
 19931022 1200 153.03 2
 19931023 1200 152.25 2
 19931024 1200 155.01 2
 19931025 1200 156.71 2
 19931026 1200 158.69 2
 19931027 1200 154.21 2
 19931028 1200 156.56 2
 19931029 1200 161.86 2
 19931030 1200 159.32 2
 19931031 1200 159.68 2
 19931101 1200 157.71 2
 19931102 1200 160.00 2
 19931103 1200 158.04 2
 19931104 1200 158.15 2
 19931105 1200 154.29 2
 19931106 1200 153.69 2
 19931107 1200 153.37 2
 19931108 1200 153.50 2
 19931109 1200 151.24 2
 19931110 1200 156.62 2
 19931111 1200 154.71 2
 19931112 1200 158.49 2
 19931113 1200 155.90 2
 19931114 1200 159.68 2
 19931115 1200 163.10 2
 19931116 1200 158.72 2
 19931117 1200 158.82 2
 19931118 1200 158.48 2
 19931119 1200 159.36 2
 19931120 1200 156.77 2
 19931121 1200 156.62 2
 19931122 1200 155.36 2
 19931123 1200 157.52 2
 19931124 1200 161.03 2
 19931125 1200 152.68 2
 19931126 1200 157.35 2
 19931127 1200 156.29 2
 19931128 1200 158.50 2
 19931129 1200 150.94 2
 19931130 1200 155.14 2
 19931201 1200 154.42 2
 19931202 1200 153.49 2
 19931203 1200 147.68 2
 19931204 1200 151.31 2
 19931205 1200 148.83 2
 19931206 1200 146.51 2
 19931207 1200 147.44 2
 19931208 1200 145.42 2
 19931209 1200 148.69 2
 19931210 1200 140.66 2
 19931211 1200 147.74 2
 19931212 1200 141.01 2
 19931213 1200 141.84 2
 19931214 1200 139.88 2
 19931215 1200 139.80 2
 19931216 1200 141.68 2
 19931217 1200 146.28 2
 19931218 1200 147.46 2
 19931219 1200 146.97 2
 19931220 1200 146.89 2
 19931221 1200 149.31 2
 19931222 1200 146.99 2
 19931223 1200 146.08 2
 19931224 1200 144.20 2
 19931225 1200 146.44 2
 19931226 1200 141.08 2
 19931227 1200 144.46 2
 19931228 1200 147.79 2
 19931229 1200 147.08 2
 19931230 1200 151.44 2
 19931231 1200 143.90 2
 19940101 1200 147.88 2
 19940102 1200 151.06 2
 19940103 1200 149.60 2
 19940104 1200 150.70 2
 19940105 1200 149.14 2
 19940106 1200 155.61 2
 19940107 1200 162.36 2
 19940108 1200 152.72 2
 19940109 1200 155.92 2
 19940110 1200 162.52 2
 19940111 1200 161.02 2
 19940112 1200 154.72 2
 19940113 1200 161.54 2
 19940114 1200 162.14 2
 19940115 1200 154.37 2
 19940116 1200 158.07 2
 19940117 1200 156.02 2
 19940118 1200 159.10 2
 19940119 1200 156.04 2
 19940120 1200 151.92 2
 19940121 1200 151.39 2
 19940122 1200 155.11 2
 19940123 1200 150.21 2
 19940124 1200 151.86 2
 19940125 1200 151.94 2
 19940126 1200 149.83 2
 19940127 1200 156.44 2
 19940128 1200 149.24 2
 19940129 1200 152.27 2
 19940130 1200 151.69 2
 19940131 1200 151.44 2
 19940201 1200 154.73 2
 19940202 1200 147.35 2
 19940203 1200 155.73 2
 19940204 1200 151.76 2
 19940205 1200 149.25 2
 19940206 1200 151.41 2
 19940207 1200 151.44 2
 19940208 1200 151.66 2
 19940209 1200 151.53 2
 19940210 1200 150.33 2
 19940211 1200 152.19 2
 19940212 1200 152.84 2
 19940213 1200 148.46 2
 19940214 1200 151.08 2
 19940215 1200 151.66 2
 19940216 1200 151.64 2
 19940217 1200 148.71 2
 19940218 1200 149.82 2
 19940219 1200 154.10 2
 19940220 1200 149.22 2
 19940221 1200 150.74 2
 19940222 1200 149.74 2
 19940223 1200 154.12 2
 19940224 1200 153.71 2
 19940225 1200 150.64 2
 19940226 1200 151.40 2
 19940227 1200 154.10 2
 19940228 1200 148.43 2
 19940301 1200 151.77 2
 19940302 1200 153.51 2
 19940303 1200 150.89 2
 19940304 1200 153.74 2
 19940305 1200 149.57 2
 19940306 1200 150.73 2
 19940307 1200 154.85 2
 19940308 1200 154.45 2
 19940309 1200 148.45 2
 19940310 1200 155.18 2
 19940311 1200 153.49 2
 19940312 1200 156.83 2
 19940313 1200 151.46 2
 19940314 1200 156.46 2
 19940315 1200 157.82 2
 19940316 1200 155.00 2
 19940317 1200 160.31 2
 19940318 1200 160.92 2
 19940319 1200 161.62 2
 19940320 1200 157.25 2
 19940321 1200 157.45 2
 19940322 1200 158.84 2
 19940323 1200 154.26 2
 19940324 1200 153.14 2
 19940325 1200 152.18 2
 19940326 1200 152.69 2
 19940327 1200 150.32 2
 19940328 1200 150.64 2
 19940329 1200 152.56 2
 19940330 1200 151.13 2
 19940331 1200 148.06 2
 19940401 1200 149.67 2
 19940402 1200 151.69 2
 19940403 1200 148.71 2
 19940404 1200 150.79 2
 19940405 1200 151.49 2
 19940406 1200 147.08 2
 19940407 1200 150.75 2
 19940408 1200 151.78 2
 19940409 1200 153.16 2
 19940410 1200 152.40 2
 19940411 1200 151.52 2
 19940412 1200 150.44 2
 19940413 1200 154.16 2
 19940414 1200 154.20 2
 19940415 1200 148.33 2
 19940416 1200 154.78 2
 19940417 1200 154.96 2
 19940418 1200 148.77 2
 19940419 1200 151.67 2
 19940420 1200 151.22 2
 19940421 1200 148.46 2
 19940422 1200 149.06 2
 19940423 1200 148.78 2
 19940424 1200 150.75 2
 19940425 1200 149.04 2
 19940426 1200 147.80 2
 19940427 1200 149.72 2
 19940428 1200 147.32 2
 19940429 1200 147.44 2
 19940430 1200  -9.99 0
 19940501 1200 146.65 2
 19940502 1200 145.38 2
 19940503 1200 145.88 2
 19940504 1200 149.10 2
 19940505 1200 148.62 2
 19940506 1200 150.16 2
 19940507 1200 149.98 2
 19940508 1200 147.23 2
 19940509 1200 150.33 2
 19940510 1200 152.23 2
 19940511 1200 147.36 2
 19940512 1200 152.32 2
 19940513 1200 147.53 2
 19940514 1200 151.03 2
 19940515 1200 148.05 2
 19940516 1200 146.37 2
 19940517 1200 138.96 2
 19940518 1200 143.91 2
 19940519 1200 137.22 2
 19940520 1200 139.39 2
 19940521 1200 139.26 2
 19940522 1200 142.44 2
 19940523 1200 138.72 2
 19940524 1200 145.52 2
 19940525 1200 149.28 2
 19940526 1200 143.81 2
 19940527 1200 148.05 2
 19940528 1200 148.96 2
 19940529 1200 139.38 2
 19940530 1200 138.27 2
 19940531 1200 146.87 2
 19940601 1200 137.83 2
 19940602 1200 135.73 2
 19940603 1200 140.18 2
 19940604 1200 136.00 2
 19940605 1200 141.21 2
 19940606 1200 140.08 2
 19940607 1200 137.62 2
 19940608 1200 140.31 2
 19940609 1200 140.00 2
 19940610 1200 139.72 2
 19940611 1200 143.30 2
