 Location:  0N 140W  16 Apr 1983 to 28 May 2013 (11001 times, 39 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 16 Apr 1983 to 1200 10 Jul 1983 (index     1 to    86,   86 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19830416 1200 103.10 2
 19830417 1200 101.02 2
 19830418 1200 102.42 2
 19830419 1200 109.03 2
 19830420 1200 105.97 2
 19830421 1200 111.79 2
 19830422 1200 112.11 2
 19830423 1200  97.96 2
 19830424 1200 100.22 2
 19830425 1200  99.78 2
 19830426 1200 105.10 2
 19830427 1200 104.54 2
 19830428 1200 110.88 2
 19830429 1200 114.13 2
 19830430 1200  99.93 2
 19830501 1200 101.00 2
 19830502 1200  97.11 2
 19830503 1200  99.33 2
 19830504 1200  99.33 2
 19830505 1200 102.60 2
 19830506 1200  94.96 2
 19830507 1200  88.72 2
 19830508 1200  90.82 2
 19830509 1200  93.59 2
 19830510 1200  98.32 2
 19830511 1200 109.29 2
 19830512 1200 102.87 2
 19830513 1200  92.37 2
 19830514 1200  91.29 2
 19830515 1200  86.14 2
 19830516 1200  84.55 2
 19830517 1200  86.65 2
 19830518 1200  94.96 2
 19830519 1200  97.19 2
 19830520 1200  93.43 2
 19830521 1200  87.43 2
 19830522 1200  81.42 2
 19830523 1200  86.08 2
 19830524 1200  89.31 2
 19830525 1200  90.69 2
 19830526 1200  90.65 2
 19830527 1200  86.56 2
 19830528 1200  -9.99 0
 19830529 1200  -9.99 0
 19830530 1200  82.09 2
 19830531 1200  87.01 2
 19830601 1200  87.48 2
 19830602 1200  87.74 2
 19830603 1200  81.82 2
 19830604 1200  -9.99 0
 19830605 1200  -9.99 0
 19830606 1200  -9.99 0
 19830607 1200  91.41 2
 19830608 1200  90.59 2
 19830609 1200  87.02 2
 19830610 1200  85.80 2
 19830611 1200  -9.99 0
 19830612 1200  82.17 2
 19830613 1200  85.31 2
 19830614 1200  83.60 2
