 Location:  2N 165E   9 Jul 1985 to 29 Nov 2013 (10371 times, 40 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  9 Jul 1985 to 1200 22 Jul 1985 (index     1 to    14,   14 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19850709 1200 169.56 2
 19850710 1200 171.46 2
 19850711 1200 171.00 2
 19850712 1200 170.50 2
 19850713 1200  -9.99 0
 19850714 1200 171.97 2
 19850715 1200 171.64 2
 19850716 1200 170.77 2
 19850717 1200  -9.99 0
 19850718 1200 169.33 2
 19850719 1200 164.09 2
 19850720 1200 165.25 2
 19850721 1200 170.29 2
 19850722 1200 168.47 2
 Time: 1200  7 Aug 1985 to 1200 16 Oct 1985 (index    30 to   100,   71 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19850807 1200 157.99 2
 19850808 1200 156.79 2
 19850809 1200 161.15 2
 19850810 1200 161.70 2
 19850811 1200 163.59 2
 19850812 1200 157.24 2
 19850813 1200 152.81 2
 19850814 1200 156.83 2
 19850815 1200 161.41 2
 19850816 1200 158.81 2
 19850817 1200 165.69 2
 19850818 1200 167.16 2
 19850819 1200 164.57 2
 19850820 1200 166.71 2
 19850821 1200 167.01 2
 19850822 1200 166.60 2
 19850823 1200 163.13 2
 19850824 1200 167.91 2
 19850825 1200 167.16 2
 19850826 1200 161.60 2
 19850827 1200 166.56 2
 19850828 1200 167.92 2
 19850829 1200 163.73 2
 19850830 1200 164.16 2
 19850831 1200 160.52 2
 19850901 1200 162.61 2
 19850902 1200 157.15 2
 19850903 1200 169.63 2
 19850904 1200 172.16 2
 19850905 1200 163.51 2
 19850906 1200 163.75 2
 19850907 1200  -9.99 0
 19850908 1200  -9.99 0
 19850909 1200 171.14 2
 19850910 1200 168.96 2
 19850911 1200 171.94 2
 19850912 1200 167.97 2
 19850913 1200 163.78 2
 19850914 1200 162.00 2
 19850915 1200 162.23 2
 19850916 1200 166.58 2
 19850917 1200 172.75 2
 19850918 1200  -9.99 0
 19850919 1200 175.50 2
 19850920 1200 175.00 2
 19850921 1200 171.21 2
 19850922 1200 172.04 2
 19850923 1200 176.22 2
 19850924 1200 177.42 2
 19850925 1200 169.74 2
 19850926 1200 163.64 2
 19850927 1200 170.08 2
 19850928 1200 171.20 2
 19850929 1200 170.36 2
 19850930 1200 171.12 2
 19851001 1200 178.17 2
 19851002 1200 174.29 2
 19851003 1200 179.51 2
 19851004 1200 178.44 2
 19851005 1200 176.09 2
 19851006 1200 164.35 2
 19851007 1200 167.07 2
 19851008 1200 161.11 2
 19851009 1200 177.04 2
 19851010 1200 177.75 2
 19851011 1200 159.98 2
 19851012 1200  -9.99 0
 19851013 1200 176.89 2
 19851014 1200 175.50 2
 19851015 1200 168.20 2
 19851016 1200 176.16 2
 Time: 1200  4 Jul 1986 to 1200 18 Apr 1987 (index   361 to   649,  289 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19860704 1200 184.23 2
 19860705 1200 185.98 2
 19860706 1200 186.43 2
 19860707 1200 181.70 2
 19860708 1200 181.71 2
 19860709 1200 186.34 2
 19860710 1200 185.52 2
 19860711 1200 179.32 2
 19860712 1200 180.91 2
 19860713 1200 174.05 2
 19860714 1200 179.48 2
 19860715 1200 180.37 2
 19860716 1200 177.72 2
 19860717 1200 177.37 2
 19860718 1200 172.15 2
 19860719 1200 178.35 2
 19860720 1200 175.41 2
 19860721 1200 175.79 2
 19860722 1200 173.56 2
 19860723 1200 173.10 2
 19860724 1200 181.65 2
 19860725 1200 177.99 2
 19860726 1200 174.34 2
 19860727 1200 167.63 2
 19860728 1200 171.49 2
 19860729 1200 175.74 2
 19860730 1200 172.61 2
 19860731 1200 168.06 2
 19860801 1200 174.53 2
 19860802 1200 178.97 2
 19860803 1200 177.01 2
 19860804 1200 182.57 2
 19860805 1200 185.82 2
 19860806 1200 185.42 2
 19860807 1200 180.35 2
 19860808 1200 181.28 2
 19860809 1200 181.20 2
 19860810 1200 182.55 2
 19860811 1200 173.73 2
 19860812 1200 181.38 2
 19860813 1200 177.34 2
 19860814 1200 173.61 2
 19860815 1200 175.94 2
 19860816 1200 172.10 2
 19860817 1200 180.21 2
 19860818 1200 182.58 2
 19860819 1200 184.71 2
 19860820 1200 180.75 2
 19860821 1200 183.60 2
 19860822 1200 184.53 2
 19860823 1200 171.91 2
 19860824 1200 172.83 2
 19860825 1200 175.15 2
 19860826 1200 171.96 2
 19860827 1200 164.66 2
 19860828 1200 173.15 2
 19860829 1200 175.46 2
 19860830 1200 173.19 2
 19860831 1200 177.93 2
 19860901 1200 177.05 2
 19860902 1200 174.29 2
 19860903 1200 178.05 2
 19860904 1200 178.51 2
 19860905 1200 182.30 2
 19860906 1200 189.65 2
 19860907 1200 182.49 2
 19860908 1200 180.86 2
 19860909 1200 180.64 2
 19860910 1200 180.14 2
 19860911 1200 176.52 2
 19860912 1200 187.58 2
 19860913 1200 184.14 2
 19860914 1200 184.62 2
 19860915 1200 191.76 2
 19860916 1200 188.78 2
 19860917 1200 185.94 2
 19860918 1200 187.12 2
 19860919 1200 197.95 2
 19860920 1200 189.06 2
 19860921 1200 192.48 2
 19860922 1200 185.61 2
 19860923 1200 182.75 2
 19860924 1200 180.04 2
 19860925 1200 175.87 2
 19860926 1200 177.78 2
 19860927 1200 182.58 2
 19860928 1200 176.58 2
 19860929 1200 178.28 2
 19860930 1200 183.25 2
 19861001 1200 179.89 2
 19861002 1200 178.40 2
 19861003 1200 172.41 2
 19861004 1200 177.68 2
 19861005 1200 177.66 2
 19861006 1200 177.27 2
 19861007 1200 176.90 2
 19861008 1200 169.68 2
 19861009 1200 169.80 2
 19861010 1200  -9.99 0
 19861011 1200 167.72 2
 19861012 1200 170.59 2
 19861013 1200 166.73 2
 19861014 1200  -9.99 0
 19861015 1200 162.63 2
 19861016 1200  -9.99 0
 19861017 1200 162.19 2
 19861018 1200 165.44 2
 19861019 1200 164.93 2
 19861020 1200 169.95 2
 19861021 1200 168.67 2
 19861022 1200 175.00 2
 19861023 1200 178.27 2
 19861024 1200 177.91 2
 19861025 1200 181.89 2
 19861026 1200 174.41 2
 19861027 1200 174.58 2
 19861028 1200 172.38 2
 19861029 1200 173.76 2
 19861030 1200 170.27 2
 19861031 1200 169.87 2
 19861101 1200 171.73 2
 19861102 1200 170.71 2
 19861103 1200 174.40 2
 19861104 1200 177.37 2
 19861105 1200 175.94 2
 19861106 1200 176.15 2
 19861107 1200 175.11 2
 19861108 1200 180.12 2
 19861109 1200 179.96 2
 19861110 1200 177.57 2
 19861111 1200 166.65 2
 19861112 1200 169.85 2
 19861113 1200 177.56 2
 19861114 1200 175.48 2
 19861115 1200 176.61 2
 19861116 1200 178.88 2
 19861117 1200 176.32 2
 19861118 1200 177.21 2
 19861119 1200 184.00 2
 19861120 1200 191.22 2
 19861121 1200 192.86 2
 19861122 1200 189.46 2
 19861123 1200 189.48 2
 19861124 1200 192.80 2
 19861125 1200 188.55 2
 19861126 1200 177.25 2
 19861127 1200 172.15 2
 19861128 1200 179.97 2
 19861129 1200 180.79 2
 19861130 1200 179.34 2
 19861201 1200 176.81 2
 19861202 1200 168.20 2
 19861203 1200 175.78 2
 19861204 1200 170.49 2
 19861205 1200 164.37 2
 19861206 1200 171.42 2
 19861207 1200 165.01 2
 19861208 1200 162.19 2
 19861209 1200 167.45 2
 19861210 1200 170.50 2
 19861211 1200 176.34 2
 19861212 1200 172.18 2
 19861213 1200 175.31 2
 19861214 1200 178.85 2
 19861215 1200 181.83 2
 19861216 1200 177.21 2
 19861217 1200 175.62 2
 19861218 1200 175.55 2
 19861219 1200 161.60 2
 19861220 1200 153.31 2
 19861221 1200 160.35 2
 19861222 1200 160.62 2
 19861223 1200 159.35 2
 19861224 1200  -9.99 0
 19861225 1200  -9.99 0
 19861226 1200 166.77 2
 19861227 1200 160.40 2
 19861228 1200 153.50 2
 19861229 1200 155.26 2
 19861230 1200 158.87 2
 19861231 1200 156.70 2
 19870101 1200 154.94 2
 19870102 1200 150.81 2
 19870103 1200 152.40 2
 19870104 1200 152.27 2
 19870105 1200 155.08 2
 19870106 1200 151.78 2
 19870107 1200 145.04 2
 19870108 1200 140.10 2
 19870109 1200 139.98 2
 19870110 1200 141.08 2
 19870111 1200 136.51 2
 19870112 1200 132.62 2
 19870113 1200 135.12 2
 19870114 1200 134.34 2
 19870115 1200 138.43 2
 19870116 1200 136.29 2
 19870117 1200 137.19 2
 19870118 1200 139.80 2
 19870119 1200 136.61 2
 19870120 1200 133.20 2
 19870121 1200 139.13 2
 19870122 1200 147.03 2
 19870123 1200 146.77 2
 19870124 1200 144.28 2
 19870125 1200 149.61 2
 19870126 1200 155.44 2
 19870127 1200 156.33 2
 19870128 1200 151.21 2
 19870129 1200 153.03 2
 19870130 1200 152.88 2
 19870131 1200 155.13 2
 19870201 1200 158.64 2
 19870202 1200 149.89 2
 19870203 1200 148.95 2
 19870204 1200 148.62 2
 19870205 1200 149.07 2
 19870206 1200 155.97 2
 19870207 1200 154.29 2
 19870208 1200 152.33 2
 19870209 1200 148.42 2
 19870210 1200 147.74 2
 19870211 1200 146.28 2
 19870212 1200 153.88 2
 19870213 1200 152.98 2
 19870214 1200 154.07 2
 19870215 1200 153.65 2
 19870216 1200 149.33 2
 19870217 1200 150.87 2
 19870218 1200 160.36 2
 19870219 1200 163.57 2
 19870220 1200 157.51 2
 19870221 1200 155.08 2
 19870222 1200 162.97 2
 19870223 1200 166.45 2
 19870224 1200 158.69 2
 19870225 1200 151.86 2
 19870226 1200 155.56 2
 19870227 1200 154.00 2
 19870228 1200 156.22 2
 19870301 1200 159.61 2
 19870302 1200 159.63 2
 19870303 1200 156.65 2
 19870304 1200 149.95 2
 19870305 1200 154.27 2
 19870306 1200 157.22 2
 19870307 1200 156.27 2
 19870308 1200 156.72 2
 19870309 1200 157.28 2
 19870310 1200 163.98 2
 19870311 1200 163.53 2
 19870312 1200 161.31 2
 19870313 1200 155.90 2
 19870314 1200 157.10 2
 19870315 1200 154.57 2
 19870316 1200 160.45 2
 19870317 1200 154.17 2
 19870318 1200 150.71 2
 19870319 1200 151.65 2
 19870320 1200 157.22 2
 19870321 1200 162.50 2
 19870322 1200 155.61 2
 19870323 1200 156.67 2
 19870324 1200 161.27 2
 19870325 1200 159.53 2
 19870326 1200 161.25 2
 19870327 1200 167.87 2
 19870328 1200 161.34 2
 19870329 1200 155.86 2
 19870330 1200 155.39 2
 19870331 1200 158.42 2
 19870401 1200 155.88 2
 19870402 1200 157.82 2
 19870403 1200 165.38 2
 19870404 1200 162.21 2
 19870405 1200 158.97 2
 19870406 1200 151.85 2
 19870407 1200 160.93 2
 19870408 1200 167.48 2
 19870409 1200 159.42 2
 19870410 1200 157.63 2
 19870411 1200 161.65 2
 19870412 1200 159.22 2
 19870413 1200 158.50 2
 19870414 1200 162.25 2
 19870415 1200 165.73 2
 19870416 1200 173.17 2
 19870417 1200 175.60 2
 19870418 1200 178.82 2
 Time: 1200 27 Jul 1987 to 1200 22 Oct 1987 (index   749 to   836,   88 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19870727 1200 142.07 2
 19870728 1200 147.71 2
 19870729 1200 149.35 2
 19870730 1200  -9.99 0
 19870731 1200  -9.99 0
 19870801 1200 147.30 2
 19870802 1200 142.39 2
 19870803 1200 146.63 2
 19870804 1200 144.12 2
 19870805 1200 137.90 2
 19870806 1200 134.63 2
 19870807 1200 139.78 2
 19870808 1200 139.44 2
 19870809 1200 130.36 2
 19870810 1200 127.04 2
 19870811 1200  -9.99 0
 19870812 1200  -9.99 0
 19870813 1200 126.18 2
 19870814 1200 135.35 2
 19870815 1200 141.05 2
 19870816 1200  -9.99 0
 19870817 1200  -9.99 0
 19870818 1200 127.88 2
 19870819 1200  -9.99 0
 19870820 1200  -9.99 0
 19870821 1200 131.43 2
 19870822 1200 136.60 2
 19870823 1200 132.85 2
 19870824 1200 128.85 2
 19870825 1200  -9.99 0
 19870826 1200  -9.99 0
 19870827 1200  -9.99 0
 19870828 1200  -9.99 0
 19870829 1200 125.51 2
 19870830 1200 126.65 2
 19870831 1200 127.39 2
 19870901 1200 128.83 2
 19870902 1200 134.25 2
 19870903 1200 138.11 2
 19870904 1200 134.31 2
 19870905 1200 130.63 2
 19870906 1200 132.60 2
 19870907 1200 136.36 2
