 Location:  2N 125W   6 Dec 1991 to 17 Jun 2013 ( 7865 times, 48 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  6 Dec 1991 to 1200  5 Aug 1992 (index     1 to   244,  244 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19911206 1200 124.28 2
 19911207 1200 125.52 2
 19911208 1200 135.89 2
 19911209 1200 131.24 2
 19911210 1200 132.83 2
 19911211 1200 141.88 2
 19911212 1200 154.24 2
 19911213 1200 145.22 2
 19911214 1200 142.19 2
 19911215 1200 145.66 2
 19911216 1200 153.72 2
 19911217 1200 151.81 2
 19911218 1200 150.69 2
 19911219 1200 154.57 2
 19911220 1200 156.45 2
 19911221 1200 145.25 2
 19911222 1200 127.22 2
 19911223 1200 130.31 2
 19911224 1200 135.30 2
 19911225 1200 143.50 2
 19911226 1200 144.15 2
 19911227 1200 141.72 2
 19911228 1200 142.74 2
 19911229 1200 125.44 2
 19911230 1200 125.06 2
 19911231 1200 134.02 2
 19920101 1200 137.79 2
 19920102 1200 129.68 2
 19920103 1200 130.78 2
 19920104 1200 127.89 2
 19920105 1200 124.89 2
 19920106 1200 124.52 2
 19920107 1200 127.42 2
 19920108 1200 124.91 2
 19920109 1200 124.08 2
 19920110 1200 125.03 2
 19920111 1200 117.44 2
 19920112 1200 120.22 2
 19920113 1200 120.51 2
 19920114 1200 123.58 2
 19920115 1200 116.35 2
 19920116 1200 111.49 2
 19920117 1200 111.98 2
 19920118 1200 111.90 2
 19920119 1200 110.50 2
 19920120 1200 103.37 2
 19920121 1200 117.12 2
 19920122 1200 113.77 2
 19920123 1200 108.12 2
 19920124 1200 109.31 2
 19920125 1200 110.52 2
 19920126 1200 101.11 2
 19920127 1200 109.12 2
 19920128 1200 119.05 2
 19920129 1200 127.94 2
 19920130 1200 133.10 2
 19920131 1200 127.37 2
 19920201 1200 129.68 2
 19920202 1200 145.29 2
 19920203 1200 152.16 2
 19920204 1200 131.63 2
 19920205 1200 125.58 2
 19920206 1200 130.91 2
 19920207 1200 146.79 2
 19920208 1200 133.97 2
 19920209 1200 131.61 2
 19920210 1200 125.36 2
 19920211 1200 127.37 2
 19920212 1200 120.82 2
 19920213 1200 117.10 2
 19920214 1200 124.89 2
 19920215 1200 125.48 2
 19920216 1200 129.65 2
 19920217 1200 135.00 2
 19920218 1200 132.83 2
 19920219 1200 128.44 2
 19920220 1200 129.59 2
 19920221 1200 127.53 2
 19920222 1200 120.21 2
 19920223 1200 121.88 2
 19920224 1200 114.94 2
 19920225 1200 116.20 2
 19920226 1200 112.18 2
 19920227 1200 112.12 2
 19920228 1200 113.07 2
 19920229 1200 103.90 2
 19920301 1200  94.32 2
 19920302 1200 107.57 2
 19920303 1200 108.65 2
 19920304 1200  97.42 2
 19920305 1200 107.61 2
 19920306 1200  98.56 2
 19920307 1200  92.94 2
 19920308 1200  95.34 2
 19920309 1200  91.68 2
 19920310 1200 103.20 2
 19920311 1200  95.35 2
 19920312 1200  83.09 2
 19920313 1200  93.38 2
 19920314 1200 104.93 2
 19920315 1200  95.64 2
 19920316 1200  91.03 2
 19920317 1200  95.29 2
 19920318 1200  92.70 2
 19920319 1200  99.79 2
 19920320 1200  93.00 2
 19920321 1200  89.09 2
 19920322 1200  77.01 2
 19920323 1200  91.44 2
 19920324 1200  90.65 2
 19920325 1200  91.15 2
 19920326 1200 105.02 2
 19920327 1200  91.18 2
 19920328 1200  89.37 2
 19920329 1200 102.07 2
 19920330 1200 106.20 2
 19920331 1200 104.36 2
 19920401 1200  93.73 2
 19920402 1200  92.76 2
 19920403 1200  86.95 2
 19920404 1200  93.51 2
 19920405 1200  90.28 2
 19920406 1200  88.54 2
 19920407 1200  92.21 2
 19920408 1200  86.97 2
 19920409 1200  88.20 2
 19920410 1200 101.62 2
 19920411 1200 105.86 2
 19920412 1200 102.28 2
 19920413 1200 103.62 2
 19920414 1200 104.86 2
 19920415 1200 105.70 2
 19920416 1200 101.95 2
 19920417 1200  84.42 2
 19920418 1200  84.95 2
 19920419 1200  90.50 2
 19920420 1200  93.20 2
 19920421 1200  92.26 2
 19920422 1200  98.25 2
 19920423 1200  90.64 2
 19920424 1200  84.34 2
 19920425 1200  87.74 2
 19920426 1200  99.38 2
 19920427 1200  92.29 2
 19920428 1200  86.45 2
 19920429 1200  81.54 2
 19920430 1200  73.66 2
 19920501 1200  82.75 2
 19920502 1200  88.78 2
 19920503 1200  80.29 2
 19920504 1200  76.38 2
 19920505 1200  76.50 2
 19920506 1200  82.54 2
 19920507 1200  86.95 2
 19920508 1200  78.92 2
 19920509 1200  82.77 2
 19920510 1200  75.06 2
 19920511 1200  71.26 2
 19920512 1200  79.91 2
 19920513 1200  87.07 2
 19920514 1200  75.36 2
 19920515 1200  69.72 2
 19920516 1200  77.54 2
 19920517 1200  79.34 2
 19920518 1200  72.64 2
 19920519 1200  68.85 2
 19920520 1200  75.23 2
 19920521 1200  72.06 2
 19920522 1200  70.35 2
 19920523 1200  72.01 2
 19920524 1200  72.95 2
 19920525 1200  72.11 2
 19920526 1200  67.18 2
 19920527 1200  75.32 2
 19920528 1200  75.22 2
 19920529 1200  71.30 2
 19920530 1200  71.74 2
 19920531 1200  68.86 2
 19920601 1200  64.53 2
 19920602 1200  70.25 2
 19920603 1200  73.28 2
 19920604 1200  78.42 2
 19920605 1200  75.17 2
 19920606 1200  73.46 2
 19920607 1200  72.29 2
 19920608 1200  75.19 2
 19920609 1200  78.12 2
 19920610 1200  70.63 2
 19920611 1200  77.99 2
 19920612 1200  71.09 2
 19920613 1200  71.29 2
 19920614 1200  75.66 2
 19920615 1200  75.56 2
 19920616 1200  66.22 2
 19920617 1200  71.98 2
 19920618 1200  74.80 2
 19920619 1200  72.99 2
 19920620 1200  69.86 2
 19920621 1200  67.05 2
 19920622 1200  57.79 2
 19920623 1200  58.15 2
 19920624 1200  60.05 2
 19920625 1200  62.45 2
 19920626 1200  -9.99 0
 19920627 1200  61.51 2
 19920628 1200  57.61 2
 19920629 1200  54.82 2
 19920630 1200  52.76 2
 19920701 1200  52.77 2
 19920702 1200  59.34 2
 19920703 1200  82.12 2
 19920704 1200  92.93 2
 19920705 1200  94.47 2
 19920706 1200  96.73 2
 19920707 1200  98.58 2
 19920708 1200 100.63 2
 19920709 1200  98.68 2
 19920710 1200  94.70 2
 19920711 1200  87.23 2
 19920712 1200  83.04 2
 19920713 1200  76.49 2
 19920714 1200  72.94 2
 19920715 1200  74.84 2
 19920716 1200  69.06 2
 19920717 1200  58.76 2
 19920718 1200  68.78 2
 19920719 1200  73.01 2
 19920720 1200  70.19 2
 19920721 1200  66.57 2
 19920722 1200  68.81 2
 19920723 1200  66.69 2
 19920724 1200  67.17 2
 19920725 1200  73.05 2
 19920726 1200  88.32 2
 19920727 1200  98.25 2
 19920728 1200  87.69 2
 19920729 1200  88.90 2
 19920730 1200 100.27 2
 19920731 1200 112.02 2
 19920801 1200 105.74 2
 19920802 1200  95.56 2
 19920803 1200  84.26 2
 19920804 1200  -9.99 0
 19920805 1200  84.03 2
 Time: 1200  4 May 1993 to 1200 12 Mar 1995 (index   516 to  1193,  678 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19930504 1200  88.23 2
 19930505 1200  96.83 2
 19930506 1200  94.00 2
 19930507 1200  86.72 2
 19930508 1200  89.17 2
 19930509 1200  89.41 2
 19930510 1200  90.18 2
 19930511 1200  90.27 2
 19930512 1200  92.82 2
 19930513 1200  89.88 2
 19930514 1200  79.47 2
 19930515 1200  88.14 2
 19930516 1200  85.26 2
 19930517 1200  87.97 2
 19930518 1200  85.57 2
 19930519 1200  84.61 2
 19930520 1200  83.74 2
 19930521 1200  86.69 2
 19930522 1200  85.19 2
 19930523 1200  78.60 2
 19930524 1200  83.69 2
 19930525 1200  83.66 2
 19930526 1200  89.24 2
 19930527 1200  86.40 2
 19930528 1200  81.77 2
 19930529 1200  81.20 2
 19930530 1200  74.84 2
 19930531 1200  82.04 2
 19930601 1200  89.64 2
 19930602 1200  84.64 2
 19930603 1200  77.92 2
 19930604 1200  78.62 2
 19930605 1200  86.81 2
 19930606 1200  89.51 2
 19930607 1200  89.53 2
 19930608 1200  81.24 2
 19930609 1200  79.50 2
 19930610 1200  83.42 2
 19930611 1200  86.26 2
 19930612 1200  87.14 2
 19930613 1200  84.57 2
 19930614 1200  86.65 2
 19930615 1200  83.46 2
 19930616 1200  80.15 2
 19930617 1200  84.48 2
 19930618 1200  89.34 2
 19930619 1200  79.53 2
 19930620 1200  72.01 2
 19930621 1200  73.74 2
 19930622 1200  75.99 2
 19930623 1200  77.55 2
 19930624 1200  74.69 2
 19930625 1200  68.07 2
 19930626 1200  59.43 2
 19930627 1200  63.14 2
 19930628 1200  81.07 2
 19930629 1200  84.27 2
 19930630 1200  83.83 2
 19930701 1200  88.84 2
 19930702 1200  94.75 2
 19930703 1200  86.71 2
 19930704 1200  86.39 2
 19930705 1200  87.45 2
 19930706 1200  78.60 2
 19930707 1200  77.26 2
 19930708 1200  77.95 2
 19930709 1200  75.92 2
 19930710 1200  73.27 2
 19930711 1200  73.12 2
 19930712 1200  73.56 2
 19930713 1200  73.52 2
 19930714 1200  71.53 2
 19930715 1200  73.82 2
 19930716 1200  76.73 2
 19930717 1200  88.97 2
 19930718 1200  88.41 2
 19930719 1200  92.15 2
 19930720 1200  93.38 2
 19930721 1200  96.25 2
 19930722 1200  91.32 2
 19930723 1200  92.54 2
 19930724 1200  96.20 2
 19930725 1200  92.29 2
 19930726 1200 101.18 2
 19930727 1200  86.75 2
 19930728 1200  83.09 2
 19930729 1200  79.46 2
 19930730 1200  79.26 2
 19930731 1200  74.00 2
 19930801 1200  74.81 2
 19930802 1200  72.03 2
 19930803 1200  71.36 2
 19930804 1200  77.20 2
 19930805 1200  76.77 2
 19930806 1200  84.14 2
 19930807 1200  75.50 2
 19930808 1200  78.39 2
 19930809 1200  73.05 2
 19930810 1200  72.27 2
 19930811 1200  85.23 2
 19930812 1200  83.09 2
 19930813 1200  71.11 2
 19930814 1200  66.40 2
 19930815 1200  74.57 2
 19930816 1200  91.11 2
 19930817 1200  90.61 2
 19930818 1200  75.56 2
 19930819 1200  87.82 2
 19930820 1200  86.91 2
 19930821 1200  89.15 2
 19930822 1200  83.33 2
 19930823 1200  94.70 2
 19930824 1200  87.37 2
 19930825 1200 100.40 2
 19930826 1200  93.53 2
 19930827 1200  94.58 2
 19930828 1200 103.08 2
 19930829 1200  88.30 2
 19930830 1200  82.78 2
 19930831 1200  88.29 2
 19930901 1200  85.23 2
 19930902 1200  79.12 2
 19930903 1200  75.22 2
 19930904 1200  72.80 2
 19930905 1200  82.49 2
 19930906 1200  87.10 2
 19930907 1200  71.01 2
 19930908 1200  72.93 2
 19930909 1200  78.78 2
 19930910 1200  81.66 2
 19930911 1200  87.45 2
 19930912 1200  83.48 2
 19930913 1200 102.69 2
 19930914 1200  96.62 2
 19930915 1200  86.53 2
 19930916 1200  91.52 2
 19930917 1200  97.54 2
 19930918 1200 106.22 2
 19930919 1200 115.25 2
 19930920 1200 109.08 2
 19930921 1200  97.08 2
 19930922 1200 112.70 2
 19930923 1200 116.19 2
 19930924 1200 125.95 2
 19930925 1200 122.62 2
 19930926 1200 113.78 2
 19930927 1200 111.74 2
 19930928 1200 107.79 2
 19930929 1200 107.40 2
 19930930 1200 103.22 2
 19931001 1200  92.86 2
 19931002 1200  96.13 2
 19931003 1200 102.16 2
 19931004 1200 108.23 2
 19931005 1200 107.46 2
 19931006 1200  99.94 2
 19931007 1200 110.46 2
 19931008 1200 119.06 2
 19931009 1200 108.40 2
 19931010 1200 100.27 2
 19931011 1200 101.75 2
 19931012 1200  98.03 2
 19931013 1200  98.43 2
 19931014 1200  88.29 2
 19931015 1200  89.61 2
 19931016 1200  85.17 2
 19931017 1200  86.29 2
 19931018 1200  91.87 2
 19931019 1200  92.88 2
 19931020 1200 108.19 2
 19931021 1200 106.12 2
 19931022 1200  94.04 2
 19931023 1200  85.07 2
 19931024 1200  90.68 2
 19931025 1200 105.34 2
 19931026 1200  99.04 2
 19931027 1200  91.10 2
 19931028 1200  90.81 2
 19931029 1200 100.60 2
 19931030 1200  94.22 2
 19931031 1200  89.56 2
 19931101 1200  82.58 2
 19931102 1200  79.48 2
 19931103 1200  86.99 2
 19931104 1200  81.43 2
 19931105 1200  86.22 2
 19931106 1200  82.72 2
 19931107 1200  81.70 2
 19931108 1200  88.49 2
 19931109 1200  94.50 2
 19931110 1200  97.14 2
 19931111 1200  95.63 2
 19931112 1200  88.35 2
 19931113 1200  78.84 2
 19931114 1200  91.01 2
 19931115 1200  93.37 2
 19931116 1200  90.92 2
 19931117 1200  83.67 2
 19931118 1200  84.86 2
 19931119 1200  84.16 2
 19931120 1200  99.37 2
 19931121 1200  93.47 2
 19931122 1200  88.47 2
 19931123 1200  82.55 2
 19931124 1200  95.27 2
 19931125 1200 110.14 2
 19931126 1200 105.28 2
 19931127 1200 102.46 2
 19931128 1200  91.17 2
 19931129 1200  92.33 2
 19931130 1200 101.47 2
 19931201 1200 108.08 2
 19931202 1200 102.30 2
 19931203 1200 103.16 2
 19931204 1200 106.00 2
 19931205 1200 109.05 2
 19931206 1200 109.63 2
 19931207 1200 102.62 2
 19931208 1200 101.35 2
 19931209 1200  95.20 2
 19931210 1200  92.61 2
 19931211 1200  94.59 2
 19931212 1200  91.16 2
 19931213 1200  89.06 2
 19931214 1200  87.46 2
 19931215 1200  90.60 2
 19931216 1200  89.83 2
 19931217 1200  96.39 2
 19931218 1200 100.20 2
 19931219 1200  91.52 2
 19931220 1200  87.38 2
 19931221 1200  88.63 2
 19931222 1200 104.62 2
 19931223 1200  93.12 2
 19931224 1200  99.07 2
 19931225 1200  96.31 2
 19931226 1200 103.82 2
 19931227 1200  94.77 2
 19931228 1200  88.36 2
 19931229 1200  86.51 2
 19931230 1200  97.15 2
 19931231 1200  92.82 2
 19940101 1200  97.17 2
 19940102 1200  91.95 2
 19940103 1200  91.34 2
 19940104 1200  90.76 2
 19940105 1200  84.26 2
 19940106 1200  84.77 2
 19940107 1200  79.66 2
 19940108 1200  74.36 2
 19940109 1200  75.16 2
 19940110 1200  71.12 2
 19940111 1200  72.77 2
 19940112 1200  70.60 2
 19940113 1200  73.65 2
 19940114 1200  74.67 2
 19940115 1200  75.29 2
 19940116 1200  72.08 2
 19940117 1200  69.95 2
 19940118 1200  69.12 2
 19940119 1200  66.97 2
 19940120 1200  73.20 2
 19940121 1200  70.32 2
 19940122 1200  66.05 2
 19940123 1200  64.22 2
 19940124 1200  77.15 2
 19940125 1200  78.21 2
 19940126 1200  68.50 2
 19940127 1200  81.12 2
 19940128 1200  72.40 2
 19940129 1200  71.55 2
 19940130 1200  75.38 2
 19940131 1200  76.93 2
 19940201 1200  81.52 2
 19940202 1200  71.87 2
 19940203 1200  71.57 2
 19940204 1200  84.63 2
 19940205 1200  80.22 2
 19940206 1200  74.52 2
 19940207 1200  71.12 2
 19940208 1200  73.00 2
 19940209 1200  71.53 2
 19940210 1200  70.54 2
 19940211 1200  72.03 2
 19940212 1200  65.69 2
 19940213 1200  67.97 2
 19940214 1200  66.31 2
 19940215 1200  65.07 2
 19940216 1200  60.41 2
 19940217 1200  58.63 2
