 Location:  5N 140W  28 May 1988 to 13 Jun 2013 ( 9148 times, 42 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200 28 May 1988 to 1200 29 Aug 1988 (index     1 to    94,   94 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19880528 1200 113.53 2
 19880529 1200 109.83 2
 19880530 1200 111.02 2
 19880531 1200 113.88 2
 19880601 1200 117.22 2
 19880602 1200 105.38 2
 19880603 1200 105.98 2
 19880604 1200  97.40 2
 19880605 1200  96.03 2
 19880606 1200  95.98 2
 19880607 1200  94.52 2
 19880608 1200  90.78 2
 19880609 1200  88.67 2
 19880610 1200  84.32 2
 19880611 1200  87.29 2
 19880612 1200  81.21 2
 19880613 1200  84.91 2
 19880614 1200  85.99 2
 19880615 1200  83.70 2
 19880616 1200  81.86 2
 19880617 1200  83.01 2
 19880618 1200  77.37 2
 19880619 1200  78.13 2
 19880620 1200  82.01 2
 19880621 1200  -9.99 0
 19880622 1200  89.26 2
 19880623 1200  90.38 2
 19880624 1200  99.47 2
 19880625 1200  94.82 2
 19880626 1200  99.32 2
 19880627 1200 110.17 2
 19880628 1200 113.23 2
 19880629 1200 124.06 2
 19880630 1200 116.62 2
 19880701 1200 118.27 2
 19880702 1200 126.51 2
 19880703 1200 129.65 2
 19880704 1200 130.77 2
 19880705 1200 129.18 2
 19880706 1200 132.35 2
 19880707 1200 131.57 2
 19880708 1200 133.72 2
 19880709 1200 130.61 2
 19880710 1200 127.02 2
 19880711 1200 117.69 2
 19880712 1200 116.85 2
 19880713 1200 110.59 2
 19880714 1200 112.54 2
 19880715 1200 110.71 2
 19880716 1200 104.64 2
 19880717 1200 107.95 2
 19880718 1200 111.66 2
 19880719 1200 110.38 2
 19880720 1200 107.55 2
 19880721 1200 105.90 2
 19880722 1200 102.43 2
 19880723 1200 109.82 2
 19880724 1200 117.32 2
 19880725 1200 122.49 2
 19880726 1200 116.59 2
 19880727 1200 125.46 2
 19880728 1200 136.27 2
 19880729 1200 131.22 2
 19880730 1200 148.83 2
 19880731 1200 150.32 2
 19880801 1200 152.95 2
 19880802 1200 150.30 2
 19880803 1200 152.71 2
 19880804 1200 150.26 2
 19880805 1200 151.40 2
 19880806 1200 149.48 2
 19880807 1200 144.14 2
 19880808 1200 135.45 2
 19880809 1200 133.08 2
 19880810 1200 134.29 2
 19880811 1200 125.61 2
 19880812 1200 117.67 2
 19880813 1200 128.20 2
 19880814 1200 119.34 2
 19880815 1200 118.21 2
 19880816 1200 122.90 2
 19880817 1200 119.14 2
 19880818 1200 128.44 2
 19880819 1200 126.41 2
 19880820 1200 126.25 2
 19880821 1200 139.55 2
 19880822 1200 147.22 2
 19880823 1200 152.15 2
 19880824 1200 155.51 2
 19880825 1200 152.58 2
 19880826 1200 154.71 2
 19880827 1200 161.18 2
 19880828 1200 164.57 2
 19880829 1200 169.75 2
 Time: 1200  5 Sep 1988 to 1200 28 Oct 1988 (index   101 to   154,   54 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19880905 1200 174.84 2
 19880906 1200 173.24 2
 19880907 1200 158.04 2
 19880908 1200 151.23 2
 19880909 1200 137.90 2
 19880910 1200 126.16 2
 19880911 1200 123.70 2
 19880912 1200 130.56 2
 19880913 1200 132.08 2
 19880914 1200 140.89 2
 19880915 1200 143.65 2
 19880916 1200 144.52 2
 19880917 1200 144.20 2
 19880918 1200 148.41 2
 19880919 1200 152.79 2
 19880920 1200 154.19 2
 19880921 1200 153.20 2
 19880922 1200 153.63 2
 19880923 1200 154.95 2
 19880924 1200 156.96 2
 19880925 1200 159.07 2
 19880926 1200 163.54 2
 19880927 1200 168.71 2
 19880928 1200 171.04 2
 19880929 1200 163.71 2
 19880930 1200 164.70 2
 19881001 1200 167.35 2
 19881002 1200 176.67 2
 19881003 1200 166.95 2
 19881004 1200 156.33 2
 19881005 1200 154.57 2
 19881006 1200 146.74 2
 19881007 1200 121.31 2
 19881008 1200 114.94 2
 19881009 1200 118.88 2
 19881010 1200 118.95 2
 19881011 1200 121.86 2
 19881012 1200 124.65 2
 19881013 1200 125.94 2
 19881014 1200 125.17 2
 19881015 1200 126.67 2
 19881016 1200 128.75 2
 19881017 1200 131.80 2
 19881018 1200 131.31 2
 19881019 1200 131.49 2
 19881020 1200 128.08 2
 19881021 1200 129.92 2
 19881022 1200 142.51 2
 19881023 1200 149.02 2
 19881024 1200 161.90 2
 19881025 1200 175.64 2
 19881026 1200  -9.99 0
 19881027 1200  -9.99 0
 19881028 1200 178.39 2
 Time: 1200  7 Nov 1988 to 1200  8 Dec 1988 (index   164 to   195,   32 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19881107 1200 167.51 2
 19881108 1200 157.02 2
 19881109 1200 155.88 2
 19881110 1200 155.31 2
 19881111 1200 149.99 2
 19881112 1200 150.46 2
 19881113 1200 153.42 2
 19881114 1200 149.64 2
 19881115 1200 153.22 2
 19881116 1200 159.43 2
 19881117 1200 159.18 2
 19881118 1200 170.94 2
 19881119 1200 159.87 2
 19881120 1200 174.23 2
 19881121 1200 179.21 2
 19881122 1200 158.72 2
 19881123 1200  -9.99 0
 19881124 1200 163.13 2
 19881125 1200 157.13 2
 19881126 1200 155.18 2
 19881127 1200 154.36 2
 19881128 1200 147.04 2
 19881129 1200 125.10 2
 19881130 1200 122.12 2
 19881201 1200 123.55 2
 19881202 1200 124.78 2
 19881203 1200 127.14 2
 19881204 1200 129.79 2
 19881205 1200 133.40 2
 19881206 1200 148.17 2
 19881207 1200 158.39 2
 19881208 1200 167.49 2
 Time: 1200 17 Dec 1988 to 1200  3 Jan 1989 (index   204 to   221,   18 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19881217 1200 164.02 2
 19881218 1200 154.82 2
