 Location:  5N 110W   9 Nov 1985 to  7 Aug 2013 (10134 times, 24 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  9 Nov 1985 to 1200 28 Aug 1986 (index     1 to   293,  293 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19851109 1200  92.73 2
 19851110 1200  90.56 2
 19851111 1200  90.36 2
 19851112 1200  88.59 2
 19851113 1200  95.67 2
 19851114 1200  93.69 2
 19851115 1200  90.04 2
 19851116 1200  91.98 2
 19851117 1200 101.21 2
 19851118 1200  93.31 2
 19851119 1200  92.66 2
 19851120 1200 104.93 2
 19851121 1200  87.57 2
 19851122 1200  97.97 2
 19851123 1200 105.67 2
 19851124 1200 109.32 2
 19851125 1200 106.74 2
 19851126 1200 103.93 2
 19851127 1200 103.38 2
 19851128 1200 106.42 2
 19851129 1200 101.98 2
 19851130 1200 102.49 2
 19851201 1200 109.69 2
 19851202 1200 102.04 2
 19851203 1200 104.77 2
 19851204 1200 101.63 2
 19851205 1200  96.11 2
 19851206 1200  88.23 2
 19851207 1200  90.33 2
 19851208 1200  85.63 2
 19851209 1200  83.84 2
 19851210 1200  83.10 2
 19851211 1200  82.53 2
 19851212 1200  81.76 2
 19851213 1200  81.00 2
 19851214 1200  79.16 2
 19851215 1200  84.30 2
 19851216 1200  91.40 2
 19851217 1200  89.40 2
 19851218 1200 102.31 2
 19851219 1200 104.78 2
 19851220 1200 106.21 2
 19851221 1200 107.06 2
 19851222 1200 109.59 2
 19851223 1200  -9.99 0
 19851224 1200 111.41 2
 19851225 1200 106.98 2
 19851226 1200 106.88 2
 19851227 1200 111.54 2
 19851228 1200 114.58 2
 19851229 1200 108.96 2
 19851230 1200 117.32 2
 19851231 1200  -9.99 0
 19860101 1200 121.96 2
 19860102 1200 124.94 2
 19860103 1200 133.99 2
 19860104 1200 128.68 2
 19860105 1200 120.83 2
 19860106 1200 126.46 2
 19860107 1200 126.07 2
 19860108 1200 117.87 2
 19860109 1200 112.09 2
 19860110 1200 116.79 2
 19860111 1200 107.98 2
 19860112 1200  -9.99 0
 19860113 1200 104.92 2
 19860114 1200 103.58 2
 19860115 1200  83.06 2
 19860116 1200  79.37 2
 19860117 1200  81.08 2
 19860118 1200  79.67 2
 19860119 1200  74.85 2
 19860120 1200  72.94 2
 19860121 1200  74.89 2
 19860122 1200  78.12 2
 19860123 1200  77.03 2
 19860124 1200  75.95 2
 19860125 1200  76.22 2
 19860126 1200  72.00 2
 19860127 1200  70.90 2
 19860128 1200  82.84 2
 19860129 1200  77.82 2
 19860130 1200  75.38 2
 19860131 1200  -9.99 0
 19860201 1200  85.61 2
 19860202 1200  76.83 2
 19860203 1200  74.09 2
 19860204 1200  76.40 2
 19860205 1200  81.50 2
 19860206 1200  81.02 2
 19860207 1200  81.89 2
 19860208 1200  80.30 2
 19860209 1200  83.31 2
 19860210 1200  81.06 2
 19860211 1200  76.67 2
 19860212 1200  74.78 2
 19860213 1200  76.23 2
 19860214 1200  72.57 2
 19860215 1200  73.86 2
 19860216 1200  77.66 2
 19860217 1200  78.48 2
 19860218 1200  75.72 2
 19860219 1200  72.52 2
 19860220 1200  78.08 2
 19860221 1200  69.31 2
 19860222 1200  71.12 2
 19860223 1200  74.43 2
 19860224 1200  68.07 2
 19860225 1200  69.74 2
 19860226 1200  69.48 2
 19860227 1200  73.12 2
 19860228 1200  74.59 2
 19860301 1200  79.10 2
 19860302 1200  68.85 2
 19860303 1200  73.33 2
 19860304 1200  71.76 2
 19860305 1200  74.38 2
 19860306 1200  76.29 2
 19860307 1200  77.77 2
 19860308 1200  81.56 2
 19860309 1200  79.10 2
 19860310 1200  76.98 2
 19860311 1200  79.56 2
 19860312 1200  73.41 2
 19860313 1200  75.79 2
 19860314 1200  -9.99 0
 19860315 1200  -9.99 0
 19860316 1200  78.23 2
 19860317 1200  74.12 2
 19860318 1200  76.35 2
 19860319 1200  82.13 2
 19860320 1200  81.13 2
 19860321 1200  80.26 2
 19860322 1200  76.61 2
 19860323 1200  82.50 2
 19860324 1200  81.36 2
 19860325 1200  79.94 2
 19860326 1200  82.58 2
 19860327 1200  87.29 2
 19860328 1200  85.61 2
 19860329 1200  84.42 2
 19860330 1200  86.71 2
 19860331 1200  84.16 2
 19860401 1200  86.61 2
 19860402 1200  86.41 2
 19860403 1200  85.46 2
 19860404 1200  84.36 2
 19860405 1200  85.78 2
 19860406 1200  83.41 2
 19860407 1200  80.45 2
 19860408 1200  79.18 2
 19860409 1200  80.24 2
 19860410 1200  79.05 2
 19860411 1200  70.62 2
 19860412 1200  75.26 2
 19860413 1200  74.22 2
 19860414 1200  69.92 2
 19860415 1200  64.66 2
 19860416 1200  58.15 2
 19860417 1200  57.60 2
 19860418 1200  57.81 2
 19860419 1200  53.97 2
 19860420 1200  51.05 2
 19860421 1200  46.89 2
 19860422 1200  50.31 2
 19860423 1200  45.44 2
 19860424 1200  52.78 2
 19860425 1200  46.07 2
 19860426 1200  45.33 2
 19860427 1200  44.70 2
 19860428 1200  52.49 2
 19860429 1200  53.42 2
 19860430 1200  52.77 2
 19860501 1200  54.42 2
 19860502 1200  55.30 2
 19860503 1200  54.25 2
 19860504 1200  58.15 2
 19860505 1200  54.44 2
 19860506 1200  58.49 2
 19860507 1200  62.93 2
 19860508 1200  61.45 2
 19860509 1200  56.28 2
 19860510 1200  58.90 2
 19860511 1200  67.76 2
 19860512 1200  73.91 2
 19860513 1200  68.51 2
 19860514 1200  63.67 2
 19860515 1200  62.55 2
 19860516 1200  68.74 2
 19860517 1200  75.35 2
 19860518 1200  72.84 2
 19860519 1200  71.68 2
 19860520 1200  77.53 2
 19860521 1200  72.00 2
 19860522 1200  70.48 2
 19860523 1200  70.71 2
 19860524 1200  65.95 2
 19860525 1200  69.22 2
 19860526 1200  72.19 2
 19860527 1200  72.97 2
 19860528 1200  63.73 2
 19860529 1200  66.10 2
 19860530 1200  71.09 2
 19860531 1200  75.22 2
 19860601 1200  -9.99 0
 19860602 1200  -9.99 0
 19860603 1200  -9.99 0
 19860604 1200  -9.99 0
 19860605 1200  -9.99 0
 19860606 1200  72.56 2
 19860607 1200  73.00 2
 19860608 1200  -9.99 0
 19860609 1200  79.52 2
 19860610 1200  78.62 2
 19860611 1200  77.16 2
 19860612 1200  74.88 2
 19860613 1200  79.87 2
 19860614 1200  81.72 2
 19860615 1200  85.32 2
 19860616 1200  91.54 2
 19860617 1200  91.14 2
 19860618 1200  77.75 2
 19860619 1200  82.26 2
 19860620 1200  82.87 2
 19860621 1200  82.98 2
 19860622 1200  92.66 2
 19860623 1200  94.41 2
 19860624 1200  92.88 2
 19860625 1200  87.66 2
 19860626 1200  94.08 2
 19860627 1200 104.96 2
 19860628 1200  97.88 2
 19860629 1200  98.45 2
 19860630 1200  96.81 2
 19860701 1200  95.36 2
 19860702 1200  94.69 2
 19860703 1200 100.11 2
 19860704 1200  99.72 2
 19860705 1200 100.98 2
 19860706 1200 103.65 2
 19860707 1200 103.28 2
 19860708 1200 103.74 2
 19860709 1200 111.66 2
 19860710 1200 109.98 2
 19860711 1200 107.37 2
 19860712 1200 114.98 2
 19860713 1200 122.82 2
 19860714 1200 122.04 2
 19860715 1200 113.83 2
 19860716 1200 115.13 2
 19860717 1200 124.60 2
 19860718 1200 125.64 2
 19860719 1200 112.38 2
 19860720 1200 108.12 2
 19860721 1200 107.87 2
 19860722 1200 104.25 2
 19860723 1200  91.70 2
 19860724 1200  93.27 2
 19860725 1200  92.57 2
 19860726 1200  82.24 2
 19860727 1200  82.71 2
 19860728 1200  82.05 2
 19860729 1200  85.10 2
 19860730 1200  84.50 2
 19860731 1200  88.07 2
 19860801 1200  85.16 2
 19860802 1200  86.32 2
 19860803 1200 104.95 2
 19860804 1200  99.20 2
 19860805 1200 103.26 2
 19860806 1200 109.68 2
 19860807 1200 124.64 2
 19860808 1200 115.25 2
 19860809 1200 126.79 2
 19860810 1200 120.60 2
 19860811 1200 125.04 2
 19860812 1200 140.96 2
 19860813 1200 136.78 2
 19860814 1200 130.80 2
 19860815 1200 130.22 2
 19860816 1200 138.46 2
 19860817 1200 137.01 2
 19860818 1200 147.49 2
 19860819 1200 142.02 2
 19860820 1200 138.23 2
 19860821 1200 132.51 2
 19860822 1200 138.22 2
 19860823 1200 131.50 2
 19860824 1200 119.89 2
 19860825 1200 110.71 2
 19860826 1200 107.93 2
 19860827 1200 101.77 2
 19860828 1200  96.70 2
 Time: 1200 17 Nov 1986 to 1200 14 May 1988 (index   374 to   918,  545 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19861117 1200 101.27 2
 19861118 1200 102.15 2
 19861119 1200 102.58 2
 19861120 1200 108.31 2
 19861121 1200 108.47 2
 19861122 1200 109.01 2
 19861123 1200 105.22 2
 19861124 1200 111.70 2
 19861125 1200 119.92 2
 19861126 1200 117.50 2
 19861127 1200 112.52 2
 19861128 1200 113.78 2
 19861129 1200 118.36 2
 19861130 1200 119.64 2
 19861201 1200 114.65 2
 19861202 1200 108.22 2
 19861203 1200 107.12 2
 19861204 1200 109.91 2
 19861205 1200 103.63 2
 19861206 1200 105.82 2
 19861207 1200 108.90 2
 19861208 1200 104.30 2
 19861209 1200 107.45 2
 19861210 1200 100.30 2
 19861211 1200  99.44 2
 19861212 1200 104.66 2
 19861213 1200  96.58 2
 19861214 1200 100.74 2
 19861215 1200  97.79 2
 19861216 1200  97.78 2
 19861217 1200  94.02 2
 19861218 1200  99.96 2
 19861219 1200 107.77 2
 19861220 1200  97.22 2
 19861221 1200 110.86 2
 19861222 1200 108.45 2
 19861223 1200 105.28 2
 19861224 1200  -9.99 0
 19861225 1200  -9.99 0
 19861226 1200  98.15 2
 19861227 1200 106.11 2
 19861228 1200 111.24 2
 19861229 1200 110.23 2
 19861230 1200 104.06 2
 19861231 1200 108.79 2
 19870101 1200 105.89 2
 19870102 1200  99.08 2
 19870103 1200 107.02 2
 19870104 1200 101.71 2
 19870105 1200 102.65 2
 19870106 1200  98.27 2
 19870107 1200  94.83 2
 19870108 1200  95.48 2
 19870109 1200  95.29 2
 19870110 1200  94.78 2
 19870111 1200  90.38 2
 19870112 1200  87.36 2
 19870113 1200  91.97 2
 19870114 1200  85.19 2
 19870115 1200  79.27 2
 19870116 1200  78.70 2
 19870117 1200  83.02 2
 19870118 1200  76.79 2
 19870119 1200  78.62 2
 19870120 1200  81.30 2
 19870121 1200  77.23 2
 19870122 1200  76.30 2
 19870123 1200  72.52 2
 19870124 1200  67.45 2
 19870125 1200  69.94 2
 19870126 1200  73.02 2
 19870127 1200  73.46 2
 19870128 1200  73.41 2
 19870129 1200  74.67 2
 19870130 1200  81.59 2
 19870131 1200  79.23 2
 19870201 1200  82.68 2
 19870202 1200  87.26 2
 19870203 1200  77.72 2
 19870204 1200  71.17 2
 19870205 1200  70.01 2
 19870206 1200  69.43 2
 19870207 1200  67.31 2
 19870208 1200  66.54 2
 19870209 1200  66.67 2
 19870210 1200  62.17 2
 19870211 1200  71.41 2
 19870212 1200  69.67 2
