 Location:  7N 137E   7 Dec 1994 to 24 Dec 1996 (  749 times,  2 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  7 Dec 1994 to 1200 30 Jan 1996 (index     1 to   420,  420 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19941207 1200  92.49 2
 19941208 1200  91.52 2
 19941209 1200  90.75 2
 19941210 1200  93.93 2
 19941211 1200  90.57 2
 19941212 1200  91.31 2
 19941213 1200  89.74 2
 19941214 1200  93.18 2
 19941215 1200  88.34 2
 19941216 1200  -9.99 0
 19941217 1200  92.01 2
 19941218 1200  89.09 2
 19941219 1200  86.78 2
 19941220 1200  86.66 2
 19941221 1200  89.64 2
 19941222 1200  85.33 2
 19941223 1200  88.98 2
 19941224 1200  88.33 2
 19941225 1200  83.39 2
 19941226 1200  90.23 2
 19941227 1200  86.56 2
 19941228 1200  89.51 2
 19941229 1200  86.09 2
 19941230 1200  87.82 2
 19941231 1200  85.52 2
 19950101 1200  84.08 2
 19950102 1200  86.14 2
 19950103 1200  83.11 2
 19950104 1200  83.75 2
 19950105 1200  84.35 2
 19950106 1200  87.50 2
 19950107 1200  82.59 2
 19950108 1200  82.43 2
 19950109 1200  83.61 2
 19950110 1200  84.18 2
 19950111 1200  78.92 2
 19950112 1200  82.61 2
 19950113 1200  78.18 2
 19950114 1200  74.29 2
 19950115 1200  78.08 2
 19950116 1200  76.38 2
 19950117 1200  71.00 2
 19950118 1200  67.01 2
 19950119 1200  72.95 2
 19950120 1200  67.63 2
 19950121 1200  67.81 2
 19950122 1200  65.37 2
 19950123 1200  67.84 2
 19950124 1200  65.42 2
 19950125 1200  67.05 2
 19950126 1200  62.89 2
 19950127 1200  67.66 2
 19950128 1200  65.33 2
 19950129 1200  66.99 2
 19950130 1200  68.31 2
 19950131 1200  65.36 2
 19950201 1200  65.27 2
 19950202 1200  64.78 2
 19950203 1200  62.97 2
 19950204 1200  61.72 2
 19950205 1200  65.30 2
 19950206 1200  64.68 2
 19950207 1200  67.42 2
 19950208 1200  62.08 2
 19950209 1200  61.01 2
 19950210 1200  64.95 2
 19950211 1200  63.77 2
 19950212 1200  63.18 2
 19950213 1200  59.50 2
 19950214 1200  63.10 2
 19950215 1200  65.25 2
 19950216 1200  61.54 2
 19950217 1200  61.22 2
 19950218 1200  66.17 2
 19950219 1200  63.65 2
 19950220 1200  64.32 2
 19950221 1200  66.60 2
 19950222 1200  66.21 2
 19950223 1200  65.52 2
 19950224 1200  66.86 2
 19950225 1200  68.80 2
 19950226 1200  65.10 2
 19950227 1200  67.25 2
 19950228 1200  69.01 2
 19950301 1200  69.54 2
 19950302 1200  70.12 2
 19950303 1200  67.67 2
 19950304 1200  68.16 2
 19950305 1200  69.50 2
 19950306 1200  68.05 2
 19950307 1200  70.00 2
 19950308 1200  67.04 2
 19950309 1200  71.50 2
 19950310 1200  71.69 2
 19950311 1200  70.37 2
 19950312 1200  70.70 2
 19950313 1200  76.64 2
 19950314 1200  70.47 2
 19950315 1200  67.76 2
 19950316 1200  74.20 2
 19950317 1200  69.24 2
 19950318 1200  69.69 2
 19950319 1200  72.12 2
 19950320 1200  68.27 2
 19950321 1200  70.00 2
 19950322 1200  69.94 2
 19950323 1200  72.76 2
 19950324 1200  74.66 2
 19950325 1200  71.58 2
 19950326 1200  78.32 2
 19950327 1200  76.37 2
 19950328 1200  77.79 2
 19950329 1200  77.67 2
 19950330 1200  80.26 2
 19950331 1200  84.51 2
