 Location:  8N 125W   2 Oct 1992 to 30 Nov 2013 ( 7730 times, 13 blocks) Gen. Date Dec  1 2013
 Units: 20C Isotherm Depth (m), -9.99 = missing
 Time: 1200  2 Oct 1992 to 1200 23 Dec 1992 (index     1 to    83,   83 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM    ISO Q
 19921002 1200  85.66 2
 19921003 1200  83.01 2
 19921004 1200  85.51 2
 19921005 1200  87.14 2
 19921006 1200  92.35 2
 19921007 1200  90.63 2
 19921008 1200  91.78 2
 19921009 1200  95.00 2
 19921010 1200  91.86 2
 19921011 1200  92.56 2
 19921012 1200  92.61 2
 19921013 1200  92.76 2
 19921014 1200  92.59 2
 19921015 1200  92.59 2
 19921016 1200  86.55 2
 19921017 1200  89.88 2
 19921018 1200  87.85 2
 19921019 1200  83.39 2
 19921020 1200  86.67 2
 19921021 1200  75.52 2
 19921022 1200  76.80 2
 19921023 1200  76.71 2
 19921024 1200  74.30 2
 19921025 1200  76.12 2
 19921026 1200  81.13 2
 19921027 1200  77.42 2
 19921028 1200  79.64 2
 19921029 1200  82.84 2
 19921030 1200  87.63 2
 19921031 1200  81.38 2
 19921101 1200  85.28 2
 19921102 1200  85.26 2
 19921103 1200  90.33 2
 19921104 1200  90.39 2
 19921105 1200  89.91 2
 19921106 1200  90.95 2
 19921107 1200  92.30 2
 19921108 1200  95.81 2
 19921109 1200  95.67 2
 19921110 1200  95.31 2
 19921111 1200  94.51 2
 19921112 1200  95.01 2
 19921113 1200  94.33 2
 19921114 1200  93.39 2
 19921115 1200  90.51 2
 19921116 1200  87.76 2
 19921117 1200  86.39 2
 19921118 1200  79.55 2
 19921119 1200  82.73 2
 19921120 1200  82.00 2
 19921121 1200  79.97 2
 19921122 1200  78.09 2
 19921123 1200  75.02 2
 19921124 1200  77.59 2
 19921125 1200  76.45 2
 19921126 1200  75.97 2
 19921127 1200  79.83 2
 19921128 1200  75.93 2
 19921129 1200  76.37 2
 19921130 1200  81.64 2
 19921201 1200  87.21 2
 19921202 1200  88.28 2
 19921203 1200  91.27 2
 19921204 1200  92.44 2
 19921205 1200  96.54 2
 19921206 1200 103.15 2
 19921207 1200  95.81 2
 19921208 1200  96.48 2
 19921209 1200 103.74 2
 19921210 1200 102.62 2
 19921211 1200 103.72 2
 19921212 1200 105.34 2
 19921213 1200 106.94 2
 19921214 1200 108.82 2
 19921215 1200 105.49 2
 19921216 1200 102.74 2
 19921217 1200  99.36 2
 19921218 1200  96.03 2
 19921219 1200  96.61 2
 19921220 1200  95.11 2
 19921221 1200  90.92 2
 19921222 1200  91.57 2
 19921223 1200  93.24 2
 Time: 1200  7 May 1994 to 1200 28 Nov 2003 (index   583 to  4075, 3493 times)
