 Location:  2S 165E  16 Jul 1985 to 16 Jan 2014 (  343 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Jul 1985 to 1200 16 Dec 1985 (index     1 to     6,    6 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19850716 1200 28.31 2
 19850816 1200 28.42 2
 19850916 1200 28.56 2
 19851016 1200 28.55 2
 19851116 1200 28.64 2
 19851216 1200 28.60 2
 Time: 1200 16 Jul 1986 to 1200 16 Nov 2008 (index    13 to   281,  269 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19860716 1200 28.20 2
 19860816 1200 28.45 2
 19860916 1200 27.97 2
 19861016 1200 28.32 2
 19861116 1200 28.62 2
 19861216 1200 28.21 2
 19870116 1200 28.11 2
 19870215 1200 28.04 2
 19870316 1200 28.37 2
 19870416 1200 28.13 2
 19870516 1200 27.96 2
 19870616 1200 -9.99 0
 19870716 1200 -9.99 0
 19870816 1200 27.47 2
 19870916 1200 28.20 2
 19871016 1200 28.57 2
 19871116 1200 29.18 2
 19871216 1200 -9.99 0
 19880116 1200 -9.99 0
 19880215 1200 28.46 2
 19880316 1200 28.48 2
 19880416 1200 27.82 2
 19880516 1200 28.38 2
 19880616 1200 28.22 2
 19880716 1200 28.08 2
 19880816 1200 27.97 2
 19880916 1200 27.77 2
 19881016 1200 27.69 2
 19881116 1200 27.55 2
 19881216 1200 27.28 2
 19890116 1200 -9.99 0
 19890215 1200 27.49 2
 19890316 1200 27.51 2
 19890416 1200 27.76 2
 19890516 1200 28.33 2
 19890616 1200 28.60 2
 19890716 1200 28.12 2
 19890816 1200 28.22 2
 19890916 1200 28.22 2
 19891016 1200 28.51 2
 19891116 1200 -9.99 0
 19891216 1200 -9.99 0
 19900116 1200 28.31 2
 19900215 1200 28.30 2
 19900316 1200 28.41 2
 19900416 1200 28.17 2
 19900516 1200 28.85 2
 19900616 1200 28.82 2
 19900716 1200 28.14 2
 19900816 1200 28.41 2
 19900916 1200 28.20 2
 19901016 1200 29.09 2
 19901116 1200 -9.99 0
 19901216 1200 -9.99 0
 19910116 1200 -9.99 0
 19910215 1200 -9.99 0
 19910316 1200 -9.99 0
 19910416 1200 28.14 2
 19910516 1200 28.27 2
