 Location:  2S 125W  16 Nov 1991 to 16 May 2012 (  247 times,  1 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1991 to 1200 16 May 2012 (index     1 to   247,  247 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19911116 1200 26.10 1
 19911216 1200 26.38 1
 19920116 1200 26.85 1
 19920215 1200 27.61 1
 19920316 1200 27.22 1
 19920416 1200 27.82 1
 19920516 1200 27.69 1
 19920616 1200 26.54 1
 19920716 1200 25.15 1
 19920816 1200 24.36 1
 19920916 1200 24.65 1
 19921016 1200 24.49 2
 19921116 1200 24.27 2
 19921216 1200 24.72 2
 19930116 1200 24.77 2
 19930215 1200 25.54 2
 19930316 1200 26.49 2
 19930416 1200 27.41 2
 19930516 1200 27.60 2
 19930616 1200 26.82 2
 19930716 1200 25.16 2
 19930816 1200 24.44 2
 19930916 1200 24.45 2
 19931016 1200 25.23 1
 19931116 1200 25.10 1
 19931216 1200 24.93 1
 19940116 1200 25.02 1
 19940215 1200 25.32 1
 19940316 1200 26.18 1
 19940416 1200 26.45 1
 19940516 1200 26.75 1
 19940616 1200 26.79 1
 19940716 1200 25.00 1
 19940816 1200 24.50 1
 19940916 1200 24.18 1
 19941016 1200 25.19 1
 19941116 1200 25.44 1
 19941216 1200 25.83 1
 19950116 1200 25.56 1
 19950215 1200 26.22 1
 19950316 1200 26.01 1
 19950416 1200 26.08 1
 19950516 1200 -9.99 0
 19950616 1200 -9.99 0
 19950716 1200 -9.99 0
 19950816 1200 -9.99 0
 19950916 1200 23.09 1
 19951016 1200 22.98 1
 19951116 1200 23.36 1
 19951216 1200 23.87 1
 19960116 1200 24.64 1
 19960215 1200 25.16 1
 19960316 1200 25.65 1
 19960416 1200 26.58 1
 19960516 1200 26.31 1
 19960616 1200 25.60 1
 19960716 1200 25.74 1
 19960816 1200 24.61 1
 19960916 1200 -9.99 0
 19961016 1200 23.85 4
 19961116 1200 24.69 4
 19961216 1200 25.30 4
 19970116 1200 -9.99 0
 19970215 1200 -9.99 0
 19970316 1200 -9.99 0
 19970416 1200 27.24 4
 19970516 1200 27.56 4
 19970616 1200 27.78 4
 19970716 1200 27.87 4
 19970816 1200 27.50 4
 19970916 1200 27.41 4
 19971016 1200 27.84 1
 19971116 1200 27.77 1
 19971216 1200 28.01 1
 19980116 1200 27.68 1
 19980215 1200 27.41 1
 19980316 1200 28.15 1
 19980416 1200 27.86 1
 19980516 1200 27.41 4
 19980616 1200 25.13 4
 19980716 1200 23.76 4
 19980816 1200 24.03 4
 19980916 1200 -9.99 0
 19981016 1200 23.56 2
 19981116 1200 22.78 2
 19981216 1200 22.09 2
 19990116 1200 22.80 2
 19990215 1200 25.04 2
 19990316 1200 26.08 2
 19990416 1200 26.20 2
 19990516 1200 25.69 2
 19990616 1200 24.81 2
 19990716 1200 24.45 2
 19990816 1200 23.07 2
 19990916 1200 23.35 2
 19991016 1200 22.96 2
 19991116 1200 22.30 2
 19991216 1200 23.14 2
 20000116 1200 22.47 2
 20000215 1200 24.04 2
 20000316 1200 25.55 2
 20000416 1200 26.45 2
 20000516 1200 26.23 2
 20000616 1200 25.39 2
 20000716 1200 24.61 2
 20000816 1200 23.96 2
 20000916 1200 23.50 2
 20001016 1200 23.72 2
 20001116 1200 23.25 2
 20001216 1200 23.26 2
 20010116 1200 23.82 2
 20010215 1200 24.96 2
 20010316 1200 25.89 2
 20010416 1200 26.33 2
 20010516 1200 26.09 2
 20010616 1200 25.86 2
 20010716 1200 24.81 2
 20010816 1200 23.87 2
 20010916 1200 23.69 1
 20011016 1200 24.43 1
 20011116 1200 24.49 1
 20011216 1200 24.33 1
 20020116 1200 24.99 1
 20020215 1200 26.06 1
 20020316 1200 26.66 1
 20020416 1200 27.34 1
 20020516 1200 27.09 1
 20020616 1200 27.57 1
 20020716 1200 -9.99 0
 20020816 1200 25.95 1
 20020916 1200 -9.99 0
 20021016 1200 -9.99 0
 20021116 1200 -9.99 0
 20021216 1200 -9.99 0
 20030116 1200 -9.99 0
 20030215 1200 26.03 1
 20030316 1200 26.51 1
 20030416 1200 26.57 1
 20030516 1200 25.48 1
 20030616 1200 25.31 1
 20030716 1200 25.69 1
 20030816 1200 24.76 1
 20030916 1200 24.46 1
 20031016 1200 25.08 1
 20031116 1200 25.24 1
 20031216 1200 25.16 1
 20040116 1200 24.94 1
 20040215 1200 25.82 1
 20040316 1200 26.44 1
 20040416 1200 26.93 1
 20040516 1200 27.26 1
 20040616 1200 26.25 1
 20040716 1200 24.77 1
 20040816 1200 25.10 1
 20040916 1200 24.70 1
 20041016 1200 24.78 1
 20041116 1200 25.02 1
 20041216 1200 25.16 1
 20050116 1200 25.62 1
 20050215 1200 25.85 1
 20050316 1200 26.53 1
 20050416 1200 26.97 1
 20050516 1200 27.00 1
 20050616 1200 26.50 1
 20050716 1200 25.44 1
 20050816 1200 24.53 1
 20050916 1200 24.37 1
 20051016 1200 24.34 1
 20051116 1200 23.96 1
 20051216 1200 23.55 1
 20060116 1200 24.05 1
 20060215 1200 25.11 1
 20060316 1200 25.41 1
 20060416 1200 26.70 1
 20060516 1200 26.84 1
 20060616 1200 26.39 1
 20060716 1200 25.41 1
 20060816 1200 24.84 1
 20060916 1200 25.04 1
 20061016 1200 25.35 1
 20061116 1200 25.59 1
 20061216 1200 26.12 1
 20070116 1200 26.01 1
 20070215 1200 25.27 1
