 Location:  2S  95W  16 Nov 1992 to 15 Feb 2014 (  256 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 16 Aug 1997 (index     1 to    58,   58 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19921116 1200 21.54 1
 19921216 1200 22.49 1
 19930116 1200 24.21 1
 19930215 1200 25.88 1
 19930316 1200 27.39 1
 19930416 1200 27.58 1
 19930516 1200 26.53 1
 19930616 1200 24.94 1
 19930716 1200 22.76 1
 19930816 1200 21.43 1
 19930916 1200 21.15 1
 19931016 1200 21.89 1
 19931116 1200 22.52 1
 19931216 1200 23.36 1
 19940116 1200 24.54 1
 19940215 1200 25.70 1
 19940316 1200 25.74 1
 19940416 1200 25.05 1
 19940516 1200 24.73 1
 19940616 1200 23.87 1
 19940716 1200 22.20 1
 19940816 1200 20.25 1
 19940916 1200 20.67 1
 19941016 1200 21.96 1
 19941116 1200 23.03 1
 19941216 1200 23.86 1
 19950116 1200 25.30 1
 19950215 1200 26.36 1
 19950316 1200 26.75 1
 19950416 1200 25.01 1
 19950516 1200 23.67 1
 19950616 1200 22.90 1
 19950716 1200 21.73 1
 19950816 1200 20.01 1
 19950916 1200 19.86 1
 19951016 1200 20.36 1
 19951116 1200 21.14 1
 19951216 1200 21.80 1
 19960116 1200 23.62 1
 19960215 1200 25.52 1
 19960316 1200 26.25 1
 19960416 1200 24.70 1
 19960516 1200 24.20 4
 19960616 1200 22.48 4
 19960716 1200 21.17 4
 19960816 1200 20.41 4
 19960916 1200 19.56 4
 19961016 1200 19.94 4
 19961116 1200 20.54 2
 19961216 1200 21.52 2
 19970116 1200 23.17 2
 19970215 1200 25.13 2
 19970316 1200 26.61 2
 19970416 1200 -9.99 0
 19970516 1200 -9.99 0
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 25.50 2
 Time: 1200 16 Mar 1998 to 1200 16 May 1999 (index    65 to    79,   15 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19980316 1200 28.47 2
 19980416 1200 27.71 2
 19980516 1200 26.91 2
 19980616 1200 24.82 2
 19980716 1200 23.03 2
 19980816 1200 21.91 2
 19980916 1200 -9.99 0
 19981016 1200 -9.99 0
 19981116 1200 21.85 2
 19981216 1200 21.83 2
 19990116 1200 23.56 2
 19990215 1200 25.22 2
 19990316 1200 26.84 2
 19990416 1200 25.82 2
 19990516 1200 25.41 2
 Time: 1200 16 Dec 1999 to 1200 16 Jun 2008 (index    86 to   188,  103 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991216 1200 21.07 2
 20000116 1200 23.16 2
 20000215 1200 25.38 2
 20000316 1200 26.70 2
 20000416 1200 27.16 2
 20000516 1200 25.44 2
 20000616 1200 23.20 2
 20000716 1200 -9.99 0
 20000816 1200 -9.99 0
 20000916 1200 -9.99 0
 20001016 1200 -9.99 0
 20001116 1200 20.97 1
 20001216 1200 21.78 1
 20010116 1200 23.48 1
 20010215 1200 25.89 1
 20010316 1200 26.96 1
 20010416 1200 26.82 1
 20010516 1200 25.12 1
 20010616 1200 23.22 1
 20010716 1200 21.53 1
 20010816 1200 20.02 1
 20010916 1200 19.29 1
 20011016 1200 19.36 1
 20011116 1200 20.59 1
 20011216 1200 21.82 1
 20020116 1200 23.43 1
 20020215 1200 25.46 1
 20020316 1200 27.21 1
 20020416 1200 26.51 1
 20020516 1200 25.40 1
 20020616 1200 24.24 1
 20020716 1200 22.44 1
 20020816 1200 20.90 1
 20020916 1200 20.81 1
 20021016 1200 -9.99 0
 20021116 1200 22.86 2
 20021216 1200 23.55 2
 20030116 1200 24.64 2
 20030215 1200 25.52 2
 20030316 1200 26.13 2
 20030416 1200 25.42 2
 20030516 1200 23.97 2
 20030616 1200 22.42 2
 20030716 1200 22.21 2
 20030816 1200 21.26 2
 20030916 1200 20.43 2
 20031016 1200 -9.99 0
 20031116 1200 21.89 1
 20031216 1200 23.00 1
 20040116 1200 24.37 1
 20040215 1200 25.75 1
 20040316 1200 26.93 1
 20040416 1200 25.81 1
 20040516 1200 24.10 1
 20040616 1200 23.12 1
 20040716 1200 21.06 1
 20040816 1200 19.56 1
 20040916 1200 20.05 1
 20041016 1200 20.85 1
 20041116 1200 22.01 1
 20041216 1200 23.32 1
 20050116 1200 24.71 1
 20050215 1200 25.29 1
 20050316 1200 25.98 1
 20050416 1200 26.52 1
 20050516 1200 25.19 1
 20050616 1200 22.93 1
 20050716 1200 22.66 1
 20050816 1200 -9.99 0
 20050916 1200 -9.99 0
 20051016 1200 -9.99 0
 20051116 1200 20.71 2
 20051216 1200 21.65 2
 20060116 1200 23.99 2
 20060215 1200 26.26 2
 20060316 1200 26.12 2
 20060416 1200 25.81 2
 20060516 1200 25.54 2
 20060616 1200 24.05 2
 20060716 1200 23.03 2
 20060816 1200 21.96 2
 20060916 1200 -9.99 0
 20061016 1200 -9.99 0
 20061116 1200 23.20 2
 20061216 1200 23.96 2
 20070116 1200 -9.99 0
 20070215 1200 -9.99 0
 20070316 1200 -9.99 0
 20070416 1200 -9.99 0
 20070516 1200 23.59 2
 20070616 1200 21.78 2
 20070716 1200 20.71 2
 20070816 1200 -9.99 0
 20070916 1200 -9.99 0
 20071016 1200 -9.99 0
 20071116 1200 19.31 2
 20071216 1200 20.43 2
 20080116 1200 22.99 2
 20080215 1200 25.01 2
 20080316 1200 26.36 2
 20080416 1200 26.60 2
 20080516 1200 25.89 2
 20080616 1200 24.77 2
 Time: 1200 16 Jan 2009 to 1200 16 Jul 2011 (index   195 to   225,   31 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20090116 1200 24.56 2
 20090215 1200 25.74 2
 20090316 1200 26.37 2
 20090416 1200 27.10 2
 20090516 1200 26.25 2
 20090616 1200 -9.99 0
 20090716 1200 -9.99 0
 20090816 1200 -9.99 0
 20090916 1200 -9.99 0
 20091016 1200 21.83 1
 20091116 1200 22.63 1
 20091216 1200 24.17 1
 20100116 1200 25.08 1
 20100215 1200 26.09 1
 20100316 1200 26.65 1
 20100416 1200 27.03 1
 20100516 1200 25.18 1
 20100616 1200 22.72 1
 20100716 1200 21.16 1
 20100816 1200 19.38 2
 20100916 1200 19.30 2
 20101016 1200 19.39 2
 20101116 1200 20.06 2
 20101216 1200 21.62 2
 20110116 1200 23.70 2
 20110215 1200 25.88 2
 20110316 1200 26.54 2
 20110416 1200 26.78 2
 20110516 1200 25.99 2
 20110616 1200 24.97 2
 20110716 1200 23.19 2
 Time: 1200 16 Mar 2012 to 1200 16 Jul 2012 (index   233 to   237,    5 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20120316 1200 27.49 2
 20120416 1200 27.25 2
 20120516 1200 26.30 2
 20120616 1200 25.60 2
 20120716 1200 24.17 2
 Time: 1200 16 Apr 2013 to 1200 15 Feb 2014 (index   246 to   256,   11 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20130416 1200 26.19 2
 20130516 1200 24.61 2
 20130616 1200 22.88 2
 20130716 1200 21.54 2
 20130816 1200 20.21 2
 20130916 1200 19.97 2
 20131016 1200 20.57 2
 20131116 1200 21.01 2
 20131216 1200 22.44 2
 20140116 1200 24.36 2
 20140215 1200 24.82 2
