 Location:  5S 156E  16 Sep 1991 to 16 Jan 2014 (  269 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Sep 1991 to 1200 16 Mar 1993 (index     1 to    19,   19 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910916 1200 27.82 1
 19911016 1200 28.02 1
 19911116 1200 28.48 1
 19911216 1200 29.00 1
 19920116 1200 28.35 1
 19920215 1200 28.02 1
 19920316 1200 27.76 1
 19920416 1200 28.10 1
 19920516 1200 27.66 1
 19920616 1200 27.65 1
 19920716 1200 27.35 1
 19920816 1200 27.37 1
 19920916 1200 27.88 1
 19921016 1200 27.86 1
 19921116 1200 28.40 1
 19921216 1200 28.70 1
 19930116 1200 28.11 1
 19930215 1200 28.32 1
 19930316 1200 28.20 1
 Time: 1200 16 Dec 1993 to 1200 16 Jan 1998 (index    28 to    77,   50 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19931216 1200 28.49 4
 19940116 1200 28.47 4
 19940215 1200 28.21 4
 19940316 1200 28.57 4
 19940416 1200 28.15 4
 19940516 1200 28.01 4
 19940616 1200 27.90 4
 19940716 1200 26.96 4
 19940816 1200 27.11 4
 19940916 1200 26.95 4
 19941016 1200 27.28 4
 19941116 1200 28.18 4
 19941216 1200 28.30 4
 19950116 1200 28.61 1
 19950215 1200 28.18 1
 19950316 1200 28.49 1
 19950416 1200 28.73 1
 19950516 1200 28.21 1
 19950616 1200 28.38 1
 19950716 1200 28.00 1
 19950816 1200 27.96 1
 19950916 1200 28.19 1
 19951016 1200 28.37 1
 19951116 1200 28.49 1
 19951216 1200 28.88 1
 19960116 1200 29.25 1
 19960215 1200 28.93 1
 19960316 1200 28.87 1
 19960416 1200 28.24 1
 19960516 1200 28.21 1
 19960616 1200 28.16 1
 19960716 1200 28.12 1
 19960816 1200 28.20 4
 19960916 1200 28.60 4
 19961016 1200 28.68 4
 19961116 1200 28.92 4
 19961216 1200 28.85 4
 19970116 1200 28.75 4
 19970215 1200 28.47 4
 19970316 1200 29.04 4
 19970416 1200 28.56 4
 19970516 1200 28.45 4
 19970616 1200 28.01 4
 19970716 1200 27.47 4
 19970816 1200 27.38 1
 19970916 1200 27.24 1
 19971016 1200 27.66 1
 19971116 1200 28.10 1
 19971216 1200 28.54 1
 19980116 1200 28.94 1
 Time: 1200 16 Sep 1998 to 1200 16 Oct 1999 (index    85 to    98,   14 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19980916 1200 28.02 2
 19981016 1200 28.26 2
 19981116 1200 28.39 2
 19981216 1200 28.81 2
 19990116 1200 29.23 2
 19990215 1200 28.37 2
 19990316 1200 28.15 2
 19990416 1200 28.13 2
 19990516 1200 28.09 2
 19990616 1200 28.06 2
 19990716 1200 27.76 2
 19990816 1200 27.52 2
 19990916 1200 28.28 2
 19991016 1200 28.61 2
 Time: 1200 16 Nov 1999 to 1200 16 Dec 2002 (index    99 to   136,   38 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991116 1200 28.53 1
 19991216 1200 28.73 1
 20000116 1200 28.64 1
 20000215 1200 28.89 1
 20000316 1200 28.74 1
 20000416 1200 28.24 1
 20000516 1200 27.97 1
 20000616 1200 28.18 1
 20000716 1200 27.94 1
 20000816 1200 27.74 1
 20000916 1200 28.40 1
 20001016 1200 28.84 1
 20001116 1200 29.01 1
 20001216 1200 28.94 1
 20010116 1200 29.03 1
 20010215 1200 28.65 1
 20010316 1200 28.32 1
 20010416 1200 28.31 1
 20010516 1200 28.50 1
 20010616 1200 28.19 1
 20010716 1200 27.74 1
 20010816 1200 28.09 1
 20010916 1200 28.23 1
 20011016 1200 28.53 1
 20011116 1200 28.83 1
 20011216 1200 29.14 1
 20020116 1200 28.96 1
 20020215 1200 28.53 1
 20020316 1200 28.46 1
 20020416 1200 28.48 1
 20020516 1200 28.71 1
 20020616 1200 28.16 1
 20020716 1200 27.83 1
 20020816 1200 27.86 1
 20020916 1200 27.80 1
 20021016 1200 28.08 1
 20021116 1200 28.54 1
 20021216 1200 28.61 1
 Time: 1200 15 Feb 2004 to 1200 16 Jan 2014 (index   150 to   269,  120 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20040215 1200 28.56 1
 20040316 1200 28.66 1
 20040416 1200 28.82 1
 20040516 1200 28.29 1
 20040616 1200 27.86 1
 20040716 1200 27.55 1
 20040816 1200 27.49 1
 20040916 1200 27.77 1
 20041016 1200 28.35 1
 20041116 1200 28.61 1
 20041216 1200 29.10 1
 20050116 1200 28.65 1
 20050215 1200 28.64 1
 20050316 1200 28.74 1
 20050416 1200 28.88 1
 20050516 1200 28.61 1
 20050616 1200 28.26 1
 20050716 1200 28.02 1
 20050816 1200 27.60 1
 20050916 1200 27.92 1
 20051016 1200 28.46 1
 20051116 1200 28.65 1
 20051216 1200 28.94 1
 20060116 1200 29.16 1
 20060215 1200 28.58 1
 20060316 1200 28.60 1
 20060416 1200 28.37 1
 20060516 1200 28.75 1
 20060616 1200 28.45 1
 20060716 1200 27.97 1
 20060816 1200 27.37 1
 20060916 1200 27.88 1
 20061016 1200 28.09 1
 20061116 1200 28.64 1
 20061216 1200 28.95 1
 20070116 1200 28.91 1
 20070215 1200 28.56 1
 20070316 1200 28.76 1
 20070416 1200 28.57 1
 20070516 1200 28.47 1
 20070616 1200 28.65 1
 20070716 1200 28.23 1
 20070816 1200 28.15 1
 20070916 1200 28.40 1
 20071016 1200 28.81 1
 20071116 1200 28.97 1
 20071216 1200 28.60 1
 20080116 1200 28.59 1
 20080215 1200 28.66 1
 20080316 1200 28.37 1
 20080416 1200 27.88 1
 20080516 1200 28.30 1
 20080616 1200 27.76 1
 20080716 1200 27.93 1
 20080816 1200 27.96 1
 20080916 1200 28.09 1
 20081016 1200 28.76 1
 20081116 1200 28.71 1
 20081216 1200 28.71 1
 20090116 1200 29.16 1
 20090215 1200 28.37 1
 20090316 1200 28.28 1
 20090416 1200 29.01 1
 20090516 1200 28.74 1
 20090616 1200 28.54 1
 20090716 1200 27.94 1
 20090816 1200 28.01 1
 20090916 1200 27.97 1
 20091016 1200 28.37 1
 20091116 1200 28.58 1
 20091216 1200 28.70 1
 20100116 1200 28.45 1
 20100215 1200 27.78 1
 20100316 1200 27.37 1
 20100416 1200 28.51 1
 20100516 1200 28.70 1
 20100616 1200 28.68 1
 20100716 1200 -9.99 0
 20100816 1200 -9.99 0
 20100916 1200 -9.99 0
 20101016 1200 -9.99 0
 20101116 1200 -9.99 0
 20101216 1200 28.23 1
 20110116 1200 28.84 1
 20110215 1200 28.84 1
 20110316 1200 28.49 1
 20110416 1200 28.39 1
 20110516 1200 28.96 1
 20110616 1200 28.12 1
 20110716 1200 28.21 1
 20110816 1200 27.69 1
 20110916 1200 28.24 1
 20111016 1200 28.53 1
 20111116 1200 28.57 1
 20111216 1200 28.90 1
 20120116 1200 28.47 1
 20120215 1200 28.55 1
 20120316 1200 28.29 1
 20120416 1200 28.31 1
 20120516 1200 28.28 1
 20120616 1200 28.22 1
 20120716 1200 27.80 1
 20120816 1200 27.91 2
 20120916 1200 28.10 2
 20121016 1200 28.36 2
 20121116 1200 28.71 2
 20121216 1200 28.92 2
 20130116 1200 29.31 2
 20130215 1200 28.68 2
 20130316 1200 28.55 2
 20130416 1200 28.33 2
 20130516 1200 28.75 2
 20130616 1200 28.38 2
 20130716 1200 27.80 2
 20130816 1200 28.06 2
 20130916 1200 27.96 2
 20131016 1200 28.24 2
 20131116 1200 28.78 2
 20131216 1200 28.64 2
 20140116 1200 28.55 2
