 Location:  5S 180W  16 Apr 1993 to 16 Mar 2013 (  240 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Apr 1993 to 1200 16 Dec 1995 (index     1 to    33,   33 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19930416 1200 28.09 1
 19930516 1200 28.34 1
 19930616 1200 28.24 1
 19930716 1200 28.51 1
 19930816 1200 28.61 1
 19930916 1200 28.69 1
 19931016 1200 28.93 1
 19931116 1200 28.80 1
 19931216 1200 28.75 1
 19940116 1200 28.76 1
 19940215 1200 28.51 1
 19940316 1200 28.48 1
 19940416 1200 28.34 1
 19940516 1200 28.62 1
 19940616 1200 29.02 4
 19940716 1200 29.01 4
 19940816 1200 28.52 4
 19940916 1200 29.05 4
 19941016 1200 29.16 4
 19941116 1200 29.13 4
 19941216 1200 29.00 4
 19950116 1200 28.56 4
 19950215 1200 28.48 4
 19950316 1200 29.05 4
 19950416 1200 28.96 4
 19950516 1200 28.80 1
 19950616 1200 28.87 1
 19950716 1200 28.40 1
 19950816 1200 28.57 1
 19950916 1200 28.30 1
 19951016 1200 28.11 1
 19951116 1200 27.90 1
 19951216 1200 28.19 1
 Time: 1200 16 Jul 1996 to 1200 16 Jan 1998 (index    40 to    58,   19 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19960716 1200 28.24 1
 19960816 1200 28.41 1
 19960916 1200 28.42 1
 19961016 1200 28.70 1
 19961116 1200 28.35 1
 19961216 1200 28.21 1
 19970116 1200 28.34 1
 19970215 1200 28.59 1
 19970316 1200 27.88 1
 19970416 1200 28.51 1
 19970516 1200 28.55 1
 19970616 1200 28.45 1
 19970716 1200 28.53 1
 19970816 1200 28.27 1
 19970916 1200 28.58 1
 19971016 1200 28.64 1
 19971116 1200 28.71 1
 19971216 1200 29.16 2
 19980116 1200 28.82 2
 Time: 1200 16 Dec 1998 to 1200 16 Mar 2013 (index    69 to   240,  172 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19981216 1200 28.06 2
 19990116 1200 27.79 2
 19990215 1200 27.10 2
 19990316 1200 27.71 2
 19990416 1200 28.16 2
 19990516 1200 28.42 2
 19990616 1200 28.10 2
 19990716 1200 28.16 2
 19990816 1200 27.95 2
 19990916 1200 27.61 2
 19991016 1200 27.96 2
 19991116 1200 27.87 2
 19991216 1200 27.71 2
 20000116 1200 27.51 2
 20000215 1200 27.44 2
 20000316 1200 27.40 2
 20000416 1200 27.88 2
 20000516 1200 28.01 2
 20000616 1200 28.20 2
 20000716 1200 28.04 2
 20000816 1200 28.29 2
 20000916 1200 28.58 2
 20001016 1200 28.81 2
 20001116 1200 28.73 2
 20001216 1200 28.59 2
 20010116 1200 28.97 2
 20010215 1200 28.50 2
 20010316 1200 28.56 2
 20010416 1200 28.78 2
 20010516 1200 28.82 2
 20010616 1200 28.88 2
 20010716 1200 28.94 2
 20010816 1200 28.87 1
 20010916 1200 28.79 1
 20011016 1200 29.00 1
 20011116 1200 28.57 1
 20011216 1200 27.88 1
 20020116 1200 28.51 1
 20020215 1200 28.39 1
 20020316 1200 28.36 1
 20020416 1200 28.70 1
 20020516 1200 28.74 1
 20020616 1200 28.60 1
 20020716 1200 28.79 1
 20020816 1200 28.66 1
 20020916 1200 28.46 1
 20021016 1200 28.94 1
 20021116 1200 29.16 1
 20021216 1200 28.90 1
 20030116 1200 28.53 1
 20030215 1200 28.34 1
